pair_id,group,V0,V0r,V1,V1b,V2,V3
009cbb848172073da6307da6237f1ac5,control_doc,successful,successful,successful,,successful,successful
01558ad1d45d1becb17007d4a15a3045,cbd_doc,prospective_registration,,prospective_registration,,prospective_registration,prospective_registration
02d3f4bcde87789cd5796f4ecd8d7504,cbd_doc,mixed,,mixed,,mixed,mixed
05b5b1fc7a0d8927e202a1abe806b92b,cbd_doc_osf,prospective_registration,,prospective_registration,,prospective_registration,prospective_registration
06d7b2b57c28f002aaf90b62fef64492,adj,cannot_be_determined,cannot_be_determined,cannot_be_determined,,uninformative,uninformative
098e0b1aef25ce66e9bd4a9050ec4042,cbd_doc_osf,prospective_registration,,prospective_registration,,prospective_registration,prospective_registration
156594af5cb22c295f56df3f5629d931,adj,cannot_be_determined,successful,cannot_be_determined,,cannot_be_determined,successful
159c6d8b9bd50204669986e31f3916cb,control_nodoc,failed,failed,failed,cannot_be_determined,,
18f27f0a44d9bd9bdc4f027b900a0987,cbd_doc,cannot_be_determined,,cannot_be_determined,,,
1cb4a1bdb90946792f65e6f924e06722,control_nodoc,mixed,mixed,mixed,mixed,,
1e3865e2054817951b78578e1d86b5c3,control_nodoc,successful,successful,successful,successful,,
20e06f92e35eea50301bf3479bb3739f,control_doc,mixed,mixed,mixed,,mixed,mixed
221fb3a19a47b6080239a46d5a88a053,control_doc,failed,mixed,failed,,failed,failed
25cbd9ba3956a2a1ce22690844bde580,control_nodoc,successful,successful,cannot_be_determined,successful,,
261a28aeb65414af7928ff8d6440482f,adj,cannot_be_determined,cannot_be_determined,cannot_be_determined,cannot_be_determined,,
26e92fefdff04f133892d5c60558476b,control_doc,successful,successful,successful,,successful,successful
281d6f90bd5d1373290ed063ba26faac,cbd_doc,cannot_be_determined,,mixed,,cannot_be_determined,mixed
2a83f9e2bc133c8f9287924704a39c2e,control_nodoc,(no target),(no target),(no target),(no target),,
2aa0b76f27339ea29fcac421ad2f7092,control_nodoc,cannot_be_determined,failed,failed,(no target),,
2ab2dbd4fc471f2a9f23181d223da1aa,cbd_doc,cannot_be_determined,,cannot_be_determined,,cannot_be_determined,cannot_be_determined
2c58befb2fc3d3a45e58b473d51749b6,cbd_doc_osf,cannot_be_determined,,cannot_be_determined,,cannot_be_determined,cannot_be_determined
2f17c1861fc457e23312ee9ad77df549,control_doc,successful,successful,successful,,successful,successful
2f190b80514d2d2bdf7389c74f0b5a4f,control_nodoc,cannot_be_determined,cannot_be_determined,cannot_be_determined,successful,,
2fced4c8cb757752e32133cc1ef2c297,cbd_doc,cannot_be_determined,,cannot_be_determined,,,
3193ee6c8510850b12b6b8c1c5b424b7,control_nodoc,failed,failed,failed,failed,,
35e642c09c474aa56730b6480a81059d,cbd_doc_osf,cannot_be_determined,,cannot_be_determined,,cannot_be_determined,cannot_be_determined
3631f8f9e3733f5eef3930cb1b02477f,control_nodoc,successful,successful,successful,successful,,
37679b5a129ac90b2b20c785fe50f010,control_doc,successful,successful,failed,,failed,successful
383be6a0c1e44f1f24429ca087e87e19,control_doc,failed,failed,failed,,failed,failed
384c3126027eebbe4135c0351ecb96c6,control_nodoc,successful,successful,successful,successful,,
38ac2297e65d478a20f8799d7386a8d4,control_nodoc,successful,successful,successful,successful,,
3a33b3b19327f8bf1f59c62c6355161c,control_doc,successful,successful,successful,,successful,successful
3b5d328e91c17a00ab476128b71bb9b1,cbd_nodoc,cannot_be_determined,,(no target),cannot_be_determined,,
3c694197cb602f74abb8e399ffde9c2f,adj,failed,failed,mixed,failed,,
3f855bf04322a5bf6e35d6f23ac8385e,control_doc,successful,successful,successful,,successful,successful
4214fcf1d86666fbf577fa9beb7b6391,control_nodoc,mixed,mixed,mixed,mixed,,
446bb73f09aba5f3ef14ee70fd27b614,cbd_nodoc,cannot_be_determined,,cannot_be_determined,cannot_be_determined,,
45ac4d82d1f529c3b466af6891a57e2c,adj,cannot_be_determined,cannot_be_determined,cannot_be_determined,,successful,successful
460502f579a447b5e00869d436ceac89,cbd_doc,cannot_be_determined,,cannot_be_determined,,mixed,mixed
4746e423e7d682e0b5e1da15f9367250,cbd_doc,cannot_be_determined,,cannot_be_determined,,successful,successful
4c12e1f39cf96c1251c21c8c16182492,cbd_nodoc,prospective_registration,,prospective_registration,prospective_registration,,
4cae50ae4f4239b2210fd05781d59542,cbd_doc,cannot_be_determined,,cannot_be_determined,,cannot_be_determined,cannot_be_determined
4fe1f2272ecfd7d1a60f1a15615da2d5,control_nodoc,(no target),(no target),successful,successful,,
5070de68fd368c0fd5c736b833d4516b,control_nodoc,successful,successful,successful,successful,,
515495c693f2ebe98645000c00bdd9c3,adj,cannot_be_determined,cannot_be_determined,successful,,cannot_be_determined,successful
539c7c6c008dad4204079ae2f07c9961,control_doc,successful,successful,successful,,successful,successful
5428bbb4720b00ffcc6b50aa235ab1b8,control_nodoc,successful,successful,successful,successful,,
57f1e208c76a821aff0d74c54f07e4b7,control_doc,successful,successful,successful,,successful,successful
59578061b2a0696f45236288974c533e,cbd_doc,cannot_be_determined,,cannot_be_determined,,successful,mixed
5dbd5fc80aa664e23afb1cce75bc38a8,cbd_doc,(no target),,(no target),,(no target),cannot_be_determined
64522a710c6462d467881f6e8f06a5d5,adj,cannot_be_determined,cannot_be_determined,cannot_be_determined,,successful,successful
66ad64ff740ffc66b6a12e17cb8232a9,cbd_nodoc,cannot_be_determined,,cannot_be_determined,cannot_be_determined,,
66f218d62ea328e71aedd8ad74eb842d,cbd_nodoc,cannot_be_determined,,cannot_be_determined,cannot_be_determined,,
67dbe09da6169bfb8ec32a181a088359,cbd_doc,cannot_be_determined,,cannot_be_determined,,uninformative,uninformative
68eb75ac3edb8bed6edf28eda1af2cc3,cbd_nodoc,cannot_be_determined,,cannot_be_determined,cannot_be_determined,,
69b35f4769d6706475ef582c8d31f1d8,adj,cannot_be_determined,cannot_be_determined,successful,cannot_be_determined,,
6bd7ca61e7b9e88ea8cf3888f85240e5,control_nodoc,successful,successful,successful,successful,,
6fd403109812f7bc4b1137a182354d85,cbd_doc,(no target),,(no target),,(no target),(no target)
70f1ddf94e0a3de599e41c7c5237e492,cbd_nodoc,cannot_be_determined,,cannot_be_determined,cannot_be_determined,,
72163b3d84a7c5f5510aa3a668295727,control_doc,successful,successful,successful,,successful,successful
72e7300a561fb70101235dc4166e7472,control_nodoc,failed,failed,failed,mixed,,
7415e9d7aa7b227e5da08889cd5b9ff5,control_doc,successful,successful,successful,,successful,successful
785a211fc059785fea9c254c2383fd97,adj,(no target),(no target),(no target),,mixed,failed
785bec42228ff7a33c8b06e0ead3c07d,control_doc,successful,successful,successful,,successful,successful
7899f695fd70d461b88258ca32a7914b,cbd_doc_osf,(no target),,(no target),,prospective_registration,prospective_registration
7a9dd4bb65d627c46cc184e457413fb9,adj,mixed,(no target),mixed,mixed,,
7ef61314b188e4e292d1dfe3ddfba145,adj,(no target),cannot_be_determined,successful,(no target),,
7f23447d2f0fd4619a403c62d55974b9,cbd_nodoc,cannot_be_determined,,cannot_be_determined,cannot_be_determined,,
85937a2c318c37eb5b220f7e71e229a0,cbd_doc,cannot_be_determined,,cannot_be_determined,,mixed,mixed
87f2f0a2f92f8e9a1c1d8116c8793398,cbd_doc,cannot_be_determined,,cannot_be_determined,,(no target),(no target)
8a446335d9b4f852f4baf47b073f61ff,cbd_doc_osf,prospective_registration,,prospective_registration,,prospective_registration,prospective_registration
913d052e7e5da8591a883cf404e3b28f,control_doc,successful,successful,successful,,successful,successful
9364ace0f02f0cf60fb66543c8a127e2,control_doc,cannot_be_determined,cannot_be_determined,mixed,,mixed,mixed
94b6d2414c0d781b48acfef494286bda,cbd_doc_osf,prospective_registration,,prospective_registration,,prospective_registration,prospective_registration
95768b0fd55854e91a2067a098edf7df,cbd_nodoc,cannot_be_determined,,successful,successful,,
971d2aa308c277205aaf5843965a1207,control_doc,successful,successful,successful,,successful,successful
990973308123be72a4e09f44ccb3d520,cbd_doc,cannot_be_determined,,cannot_be_determined,,(no target),cannot_be_determined
9a913c31cb09e8e12f47d532c7c5953c,cbd_doc_osf,prospective_registration,,prospective_registration,,prospective_registration,prospective_registration
