ref_o,doi_o,study_o,year_o,ref_r,doi_r,url_r,study_r,abstract_r,year_r,outcome,outcome_quote,out_quote_source,type,quote_validated,quote_similarity,pathway_source,validation_status,readiness_level,multi_target,flora_match_type,original_source,prep_notes,match_status,match_method,match_confidence
,,,,Barnet et al. (2010). Cost-effectiveness of a Motivational Intervention to Reduce Rapid Repeated Childbearing in High-Risk Adolescent Mothers. Archives of Pediatrics and Adolescent Medicine.,10.1001/archpediatrics.2010.16,https://doi.org/10.1001/archpediatrics.2010.16,Cost-effectiveness of a Motivational Intervention to Reduce Rapid Repeated Childbearing in High-Risk Adolescent Mothers,"The CAMI costs and cost-effectiveness compare favorably with other effective programs aimed at preventing repeated teenage births. Replication of these results in broader samples of adolescents would provide policy guidance for what works, for whom, and at what cost.",2010.0,,,,,,,openalex,false_positive,7,True,,,openalex: The abstract reports cost-effectiveness results for the CAMI intervention and only suggests that replication in broader samples would be useful; it does not state that the paper is reanalyzing or directly replicating a specific prior study. No original study citation or explicit replication/reproduction language is given.,unmatched,,
,,,,"Fan, E., Laupacis, A., Pronovost, P. J., Guyatt, G. H., & Needham, D. M. (2010). How to Use an Article About Quality Improvement. JAMA, 304(20), 2279. https://doi.org/10.1001/jama.2010.1692",10.1001/jama.2010.1692,https://doi.org/10.1001/jama.2010.1692,How to Use an Article About Quality Improvement,"Quality improvement (QI) attempts to change clinician behavior and, through those changes, lead to improved patient outcomes. The methodological quality of studies evaluating the effectiveness of QI interventions is frequently low. Clinicians and others evaluating QI studies should be aware of the risk of bias, should consider whether the investigators measured appropriate outcomes, should be concerned if there has been no replication of the findings, and should consider the likelihood of success of the QI intervention in their practice setting and the costs and possibility of unintended effects of its implementation. This article complements and enhances existing Users' Guides that address the effects of interventions--Therapy, Harm, Clinical Decision Support Systems, and Summarizing the Evidence guides--with an emphasis on issues specific to QI studies. Given the potential for widespread implementation of QI interventions, there is a need for robust study methods in QI research.",2010.0,,,,,,,openalex,needs_review,6,False,,,openalex:,unmatched,,
,,,,"DePamphilis, M. L., & Aladjem, M. I. (2010). Eukaryotic Replication Origins and Initiation of <scp>DNA</scp> Replication. Encyclopedia of Life Sciences. Portico. https://doi.org/10.1002/9780470015902.a0001055.pub2",10.1002/9780470015902.a0001055.pub2,https://doi.org/10.1002/9780470015902.a0001055.pub2,Eukaryotic Replication Origins and Initiation of <scp>DNA</scp> Replication,"Abstract Eukaryotic deoxyribonucleic acid (DNA) replication begins at specific genomic sites called replication origins that serve as assembly sites for prereplication complexes (preRCs). PreRCs include proteins that recognise origin sequences, helicases that separate the two strands of DNA and accessory proteins that facilitate helicase binding and interaction with cell cycle regulatory pathways. Assembly of preRCs is required for initiation of DNA replication which occurs after those complexes recruit additional proteins including DNA polymerases . The sequence requirements for replication origins vary but they all include several distinct DNA elements that act synergistically to facilitate preRC assembly. The number of potential replication origins is higher than the number of actual replication initiation sites. Epigenetic processes and metabolic conditions dynamically select the location of replication initiation events of each cell cycle to insure complete and accurate replication of the entire genome in coordination with gene expression and chromatin condensation. Key Concepts: Replication initiates at distinct chromosomal locations that recruit prereplication (preRC) complexes. PreRCs are recruited sequentially, each step subject to strict regulation to prevent rereplication. Cyclin‐dependent kinases (CDK) levels change during the cell cycle. Low CDK activity is required for preRC assembly as cells exit mitosis. High CDK activity is required for activation of existing preRCs and initiation of DNA synthesis, while simultaneously suppressing assembly of new preRCs. Replication origin sequences vary among metazoans, but the functions of proteins that bind replication origins are conserved. Eukaryotic origins exhibit a modular structure. Modularity is detectable in single‐cell eukaryotes such as yeast and is more pronounced in metazoans, in which replication origins often cluster. Not all potential replication origins are activated in each cell cycle. Utilisation of replication origins is regulated dynamically to facilitate coordination with other metabolic processes occurring on chromatin. Either hyperactivation or suppression of replication origins can damage DNA and cause chromosomal rearrangements, suggesting that spacing replication initiation events at defined intervals facilitates genomic stability.",2010.0,,,,,,,openalex,needs_review,6,False,,,openalex:,unmatched,,
,,,,"Biagini, F. (2010). Second Fundamental Theorem of Asset Pricing. Encyclopedia of Quantitative Finance. Portico. https://doi.org/10.1002/9780470061602.eqf04008",10.1002/9780470061602.eqf04008,https://doi.org/10.1002/9780470061602.eqf04008,Second Fundamental Theorem of Asset Pricing,"Abstract The second fundamental theorem of asset pricing concerns the mathematical characterization of the economic concept of market completeness for liquid and frictionless markets. The theorem establishes the mathematical necessary and sufficient conditions in order to guarantee that every contingent claim on the market can be duplicated with a portfolio of primitive assets. For finite asset economies, completeness (i.e., perfect replication of every claim on the market by admissible self‐financing strategies) is equivalent to uniqueness of the equivalent martingale measure. This result can be extended to market models with an infinite number of assets by defining completeness in terms of approximate replication of claims by attainable ones.",2010.0,,,,,,,openalex,false_positive,7,True,,,"openalex: This is a theoretical/mathematical exposition of the Second Fundamental Theorem of Asset Pricing (a theorem in financial mathematics), not an empirical replication or a computational reanalysis of a prior study. It discusses conditions for market completeness rather than attempting to reproduce or replicate a specific previous empirical result.",unmatched,,
,,,,"Rowlands, D. J. (2010). The Replication of Viruses. Topley &amp; Wilson’s Microbiology and Microbial Infections. https://doi.org/10.1002/9780470688618.taw0213",10.1002/9780470688618.taw0213,https://doi.org/10.1002/9780470688618.taw0213,The Replication of Viruses,,2010.0,,,,,,,openalex,needs_review,6,False,,,openalex:,unmatched,,
,,,,"Condit, R. C., & Moyer, R. W. (2010). Poxvirus Replication. Topley &amp; Wilson’s Microbiology and Microbial Infections. https://doi.org/10.1002/9780470688618.taw0237",10.1002/9780470688618.taw0237,https://doi.org/10.1002/9780470688618.taw0237,Poxvirus Replication,"Poxvirus Classification and Virion Structure The Structure and Replication of Poxvirus DNA Poxvirus Transcription and Regulation of Viral Gene Expression Poxvirus Morphogenesis Poxvirus Genetics Poxvirus Genes Responsible for Immune Evasion, Host Range, and Control of Apoptosis",2010.0,,,,,,,openalex,needs_review,6,False,,,openalex:,unmatched,,
,,,,"[Unknown authors] (2010). Handbook of Developmental Science, Behavior, and Genetics.",10.1002/9781444327632,https://doi.org/10.1002/9781444327632,"Handbook of Developmental Science, Behavior, and Genetics","FOREWORD. Gilbert Gottlieb and the Developmental Point of View (EvelynFox Keller, Massachusetts Institute of Technology). I. INTRODUCTION. 1. Developmental Systems, Nature-Nurture, and the Role of Genesin Behavior and Development: On the Legacy of GilbertGottlieb (Kathryn E. Hood, The Pennsylvania State University,Carolyn Tucker Halpern, University of North Carolina at ChapelHill, Gary Greenberg, Wichita State University, Richard M. Lerner,Tufts University). 2. Normally Occurring Environmental and Behavioral Influences onGene Activity: From Central Dogma to Probabilistic Epigenesis(Gilbert Gottlieb). II. THEORETICAL FOUNDATIONS FOR THE DEVELOPMENTAL STUDY OFBEHAVIOR AND GENETICS. 3. Historical and Philosophical Perspectives on BehavioralGenetics and Developmental Science (James Tabery, University ofUtah, Paul E. Griffiths, University of Sydney). 4. Development and Evolution Revisited (Mae Wan Ho, Instituteof Science in Society). 5. Probabilistic Epigenesis and Modern Behavioral and NeuralGenetics (Douglas Wahlsten, University of North Carolina atGreensboro). 6. The Roles of Environment, Experience, and Learning inBehavioral Development (George F. Michel, University of NorthCarolina at Greensboro). 7. Contemporary Ideas in Physics and Biology in Gottlieb sPsychology (Ty Partridge, Wayne State University, GaryGreenberg, Wichita State University). III. EMPIRICAL STUDIES OF BEHAVIORAL DEVELOPMENT ANDGENETICS. 8. Behavioral Development during the Mother-Young Interaction inPlacental Mammals: The Development of Behavior in the Relationshipwith the Mother (Jay S. Rosenblatt, Institute of AnimalBehavior, Rutgers). 9. Amniotic Fluid as an Extended Milieu Interieur (Scott R.Robinson, University of Iowa, Valerie Mendez-Gallardo,University of Iowa). 10. Developmental Effects of Selective Breeding for an InfantTrait (Susan A. Brunelli, Columbia University Medical Center,Betty Zimmerberg, Williams College, Myron A. Hofer, ColumbiaUniversity Medical Center). 11. Emergence and Constraint in Novel Behavioral Adaptations(Kathryn E. Hood, The Pennsylvania State University). 12. Nonhuman Primate Research Contributions to UnderstandingGenetic and Environmental Influences on Phenotypic Outcomes acrossDevelopment (Allyson Bennett and Peter J. Pierre, Wake ForestUniversity). 13. Interactive Contributions of Genes and Early Experience toBehavioural Development: Sensitive Periods and Lateralized Brainand Behaviour (Lesley J. Rogers, University of New England,Armidale). 14. Trans-Generational Epigenetic Inheritance (Lawrence V.Harper, University of California, Davis). 15. The Significance of Non-Replication of Gene-PhenotypeAssociations (Carolyn Tucker Halpern, University of NorthCarolina at Chapel Hill). 16. Canalization and Malleability Reconsidered: TheDevelopmental Basis of Phenotypic Stability and Variability(Robert Lickliter and Christopher Harshaw, Florida InternationalUniversity). IV. APPLICATIONS TO DEVELOPMENT. 17. Gene-Parenting Interplay in the Development of InfantEmotionality (Cathi B. Propper, The University of North Carolinaat Chapel Hill, Ginger A. Moore, The Pennsylvania State University,W. Roger Mills-Koonce, The University of North Carolina at ChapelHill). 18. Genetic Research in Psychiatry and Psychology: A CriticalOverview (Jay Joseph, Licensed Psychologist). 19. On the Limits of Standard Quantitative Genetic Modeling ofInter-Individual Variation: Extensions, Ergodic Conditions and aNew Genetic Factor Model of Intra-Individual Variation (Peter C.M. Molenaar, The Pennsylvania State University). 20. Songs My Mother Taught Me: Gene-Environment Interactions,Brain Development and the Auditory System: Thoughts on Non-KinRejection, Part II (Elaine L. Bearer, University of NewMexico). 21. Applications of Developmental Systems Theory to BenefitHuman Development: On the Contributions of Gilbert Gottlieb toIndividuals, Families, and Communities (Richard M. Lerner,Michelle J. Boyd, Megan K. Kiely, Christopher M. Napolitano, andKristina L. Schmid, Tufts University). Name Index. Subject Index.",2010.0,,,,,,,openalex,false_positive,7,True,,,"openalex: This is an edited handbook/collection of chapters on developmental science, behavior, and genetics, not a study attempting to replicate or reproduce prior empirical results; the abstract lists chapter titles and authors with no indication of replication or reanalysis.",unmatched,,
,,,,Duan et al. (2010). Nanopatterning by an Integrated Process Combining Capillary Force Lithography and Microcontact Printing. Advanced Functional Materials.,10.1002/adfm.200901700,https://doi.org/10.1002/adfm.200901700,Nanopatterning by an Integrated Process Combining Capillary Force Lithography and Microcontact Printing,"Abstract A novel nanopatterning process was developed by combining capillary force lithography (CFL) and microcontact printing (µCP). Flat polydimethylsiloxane (PDMS) was used as the substrate in CFL, and after chemical functionalization, as the stamp in µCP, which increased the resolution of both methods. The polymer patterns, produced by CFL on a thin polymer film on the flat PDMS substrate, acted as a mask to oxidize the uncovered regions of the PDMS. The chemical patterns were subsequently formed by gas phase evaporation of a fluorinated silane. After removal of the polymer, these stamps were used to transfer thiol inks to a gold substrate by µCP. Gold patterns at a scale of less than 100 nm were successfully replicated by these chemically patterned flat PDMS stamps.",2010.0,,,,,,,openalex,false_positive,7,True,,,openalex: The abstract describes development of a novel nanopatterning method combining CFL and µCP and reports original experimental results; it does not claim to replicate or reanalyze any prior study.,unmatched,,
,,,,"Wang, Y., He, C., Xing, W., Li, F., Tong, L., Chen, Z., Liao, X., & Steinhart, M. (2010). Nanoporous Metal Membranes with Bicontinuous Morphology from Recyclable Block‐Copolymer Templates. Advanced Materials, 22(18), 2068–2072. Portico. https://doi.org/10.1002/adma.200903655",10.1002/adma.200903655,https://doi.org/10.1002/adma.200903655,Nanoporous Metal Membranes with Bicontinuous Morphology from Recyclable Block‐Copolymer Templates,"Nondestructive preparation of bicontinuous nanoporous metal membranes by replication of bicontinuous nanoporous polymeric membranes consisting of recoverable asymmetric block copolymers (BCPs) is reported. The BCP membranes are generated by swelling the minority domains of the BCP with selective solvents accompanied by reconstruction of the glassy matrix formed by the majority component (see figure). Detailed facts of importance to specialist readers are published as ""Supporting Information"". Such documents are peer-reviewed, but not copy-edited or typeset. They are made available as submitted by the authors. Please note: The publisher is not responsible for the content or functionality of any supporting information supplied by the authors. Any queries (other than missing content) should be directed to the corresponding author for the article.",2010.0,,,,,,,openalex,needs_review,6,False,,,openalex:,unmatched,,
"Soronen, P., Ollila, H. M., Antila, M., Silander, K., Palo, O. M., Kieseppä, T., Lönnqvist, J., Peltonen, L., Tuulio-Henriksson, A., Partonen, T., & Paunio, T. (2009). Replication of GWAS of bipolar disorder: association of SNPs near CDH7 with bipolar disorder and visual processing. Molecular Psychiatry, 15(1), 4–6. https://doi.org/10.1038/mp.2009.86",10.1038/mp.2009.86,Replication of GWAS of bipolar disorder: association of SNPs near CDH7 with bipolar disorder and visual processing,2009.0,"Tesli, M., Athanasiu, L., Mattingsdal, M., Kähler, A. K., Gustafsson, O., Andreassen, B. K., Werge, T., Hansen, T., Mors, O., Mellerup, E., Koefoed, P., Jönsson, E. G., Agartz, I., Melle, I., Morken, G., Djurovic, S., & Andreassen, O. A. (2010). Association analysis of PALB2 and BRCA2 in bipolar disorder and schizophrenia in a scandinavian case–control sample. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 153B(7), 1276–1282. Portico. https://doi.org/10.1002/ajmg.b.31098",10.1002/ajmg.b.31098,https://doi.org/10.1002/ajmg.b.31098,Association analysis of <i>PALB2</i> and <i>BRCA2</i> in bipolar disorder and schizophrenia in a scandinavian case–control sample,"A recent genome-wide association study (GWAS) found significant association between the PALB2 SNP rs420259 and bipolar disorder (BD). The intracellular functions of the expressed proteins from the breast cancer risk genes PALB2 and BRCA2 are closely related. Therefore, we investigated the relation between genetic variants in PALB2 and BRCA2 and BD. Due to increasing evidence of genetic overlap between BD and schizophrenia (SCZ), we also investigated association with SCZ. In a Scandinavian case-control sample (n = 686/2,538) we found the BRCA2 SNP rs9567552 to be significantly associated with BD (Nominal P = 0.00043). Additionally, we replicated the association between PALB2 SNP rs420259 and BD (Nominal P = 0.025). We then combined our sample with another Nordic case-control sample (n = 435/11,491) from Iceland, and added results from the Wellcome Trust Case Control Consortium (WTCCC) (n = 1,868/2,938) and the STEP-UCL/ED-DUB-STEP2 study (n = 2,558/3,274) in a meta-analysis which revealed a P-value of 1.2 × 10(-5) for association between PALB2 SNP rs420259 and BD (n = 5,547/20,241). Neither the PALB2 SNP rs420259 nor the BRCA2 SNP rs9567552 were nominally significantly associated with the SCZ phenotype in our Scandinavian sample (n = 781/2,839). Our findings support PALB2 and BRCA2 as risk genes specifically for BD, and suggest that altered DNA repair related to neurogenesis may be involved in BD pathophysiology. © 2010 Wiley-Liss, Inc.",2010.0,successful,"Additionally, we replicated the association between PALB2 SNP rs420259 and BD (Nominal P = 0.025).",abstract,replication,True,1.0,openalex,llm_confirmed,1,False,,crossref_llm_search,"openalex: The abstract explicitly says they ""replicated the association between PALB2 SNP rs420259 and BD"" and reports analysis of a new Scandinavian case–control sample and meta-analysis with other cohorts, indicating a replication of a single prior GWAS finding; the original GWAS citation is not given in the abstract. | The replication study reports a direct replication of the PALB2 rs420259 association with bipolar disorder (Nominal P = 0.025) and a significant meta-analysis (P = 1.2 × 10^-5), confirming the original GWAS finding; the provided putative original (Soronen et al. 2009) does not match this target. [outcome_confidence: high]",unmatched,,
