doi_r,item,status,mo_originals,n_mo,our_now,link_methods,work_id,pair_ids,aside,retired,suggested,old_ours,supabase,supabase_doi_o,live_generation
10.18632/oncotarget.12903,orig-065,still wrong,10.1093/eep/dvw006,1,10.1289/ehp.0901831,llm_references,W2532502137,574e55a9f9ff2944ecb34912ece2bd75,,,,Annual Ambient Black Carbon Associated with Shorter Telomeres in Elderly Men: Veterans Affairs Normative Aging Study (2010) doi:10.1289/ehp.0901831 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1002/art.39619,orig-067,now carries judges original,10.1038/ng.2462,1,10.1038/ng.2462,llm_title_search,W2470370465,b3b06cebd2f620bbb53866c92b87349c,,superseded:,,Genetic markers of rheumatoid arthritis susceptibility in anti-citrullinated peptide antibody negative patients (2012) doi:10.1136/annrheumdis-2011-201225 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1177/008124630303300307,orig-071,now carries judges original,10.1177/008124639902900204,1,10.1177/008124639902900204,llm_references,W2127819969,569cb607ed2d3206f8106e76fac74a52,,superseded:,,The comparability of the constructs of the 16PF in the South African context (1999) doi:10.4102/sajip.v25i1.679 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.3758/s13423-022-02158-1,orig-072,still wrong,10.1037/0096-1523.3.4.544,1,10.1037/0096-1523.1.3.288,llm_references,W4291010383,ad8c17a92e93ee48090124f8e5a50a3d,,,"Slovic, P., & Fischhoff, B. (1977). On the psychology of experimental surprises. DOI: 10.1037/0096-1523.3.4.544",Hindsight is not equal to foresight: The effect of outcome knowledge on judgment under uncertainty. (1975) doi:10.1037/0096-1523.1.3.288 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1371/journal.pone.0244110,orig-073,still wrong,10.1037/xlm0000667,1,10.1037/xhp0000702,llm_cited_candidates,W3113355506,4ba980a22773b9734d6a911bdbe2d4b5,,,"Flavell, McKean, Tipper, Kirkham, Vestner, and Over (2019), “Motion Fluency and Object Preference: Robust Perceptual but Fragile Memory Effects,” DOI: 10.1037/xlm0000667",Competing for affection: Perceptual fluency and ambiguity solution. (2019) doi:10.1037/xhp0000702 [llm_cited_candidates],not imported,,765e053cd24611e5 2026-09-24
10.1017/s1366728922000748,orig-077,now carries judges original,10.3758/s13423-019-01666-x,1,10.3758/s13423-019-01666-x,llm_references,W4310030267,1f9e52b0ad4f5f2a6f8ba2df71e846ba,,superseded:,,The contribution of semantics to the sentence superiority effect (2021) doi:10.1038/s41598-021-99565-6 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1016/j.bionps.2020.100014,orig-078,still wrong,10.1111/psyp.12185,1,10.1111/j.1469-8986.2011.01327.x,llm_title_search,W3024382336,d3183a77106f0da6528b25588c2d07d0,,,,Spatiotemporal and frequency domain analysis of auditory paired stimuli processing in schizophrenia and bipolar disorder with psychosis (2011) doi:10.1111/j.1469-8986.2011.01327.x [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1111/ejn.15512,orig-080,now carries judges original,10.1016/s1474-4422(13)70238-2,1,10.1016/s1474-4422(13)70238-2|10.1212/wnl.0000000000001128,llm_references,W3209377451,33a000221f8d2b482fc4da47fc26c5ed|b6c7217b5f158ab08797473ee71d4694,,,,Brain white matter volume abnormalities in Lesch-Nyhan disease and its variants (2014) doi:10.1212/wnl.0000000000001128 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1007/bf00880778,orig-081,still wrong,10.1007/bf00878974,1,10.1037/h0034578,llm_references,W2885882096,31709d550ff9eb25784a247444b678e8,,,"Tapp, J. T., Slaikeu, K. A., & Tulkin, S. R. (1974). Toward an evaluation of telephone counseling: Process and technical variables influencing “shows” and “no-shows” for a clinic referral. DOI: 10.1007/BF00878974.",Show versus no show: A comparison of referral calls to a suicide prevention and crisis service. (1973) doi:10.1037/h0034578 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.3389/fpsyt.2021.668152,orig-082,still wrong,10.1017/s0033291710001546,1,10.1093/schbul/sbs059,llm_title_search,W3157062612,53ee9df1d0c5305be35630a34a886ad6,,,"Freeman D, McManus S, Brugha T, Meltzer H, Jenkins R, Bebbington P. (2011). Concomitants of paranoia in the general population. Psychological Medicine. https://doi.org/10.1017/S0033291710001546",Differences in cognitive and emotional processes between persecutory and grandiose delusions (2013) doi:10.1093/schbul/sbs059 [llm_title_search],not imported,,010cf32bb63351e1 2026-09-22
