work,group,pick_key,live_file,live,sandbox,same_original,live_outcome,sb_outcome,live_methods,sb_methods
W2085224150,grobid,,extracted.csv,10.1257/aer.90.5.1209|llm_fulltext|cannot_be_determined|grobid,10.1257/aer.90.5.1209|llm_fulltext|cannot_be_determined|grobid,True,cannot_be_determined,cannot_be_determined,llm_fulltext,llm_fulltext
W3085815801,grobid,,extracted.csv,10.5040/9798216002796.ch-006|llm_title_search|mixed|grobid,10.5040/9798216002796.ch-006|llm_title_search|mixed|grobid,True,mixed,mixed,llm_title_search,llm_title_search
W3178831182,grobid,,extracted.csv,10.1177/0956797612466414|llm_fulltext|cannot_be_determined|grobid,10.1177/0956797612466414|llm_fulltext|cannot_be_determined|grobid,True,cannot_be_determined,cannot_be_determined,llm_fulltext,llm_fulltext
W3201683314,grobid,,extracted.csv,10.1016/0001-6918(81)90005-6|llm_title_search|successful|grobid,10.1016/0001-6918(81)90005-6|llm_title_search|successful|grobid,True,successful,successful,llm_title_search,llm_title_search
W6887594414,grobid,,extracted.csv,10.1111/j.1467-9280.2008.02056.x|llm_title_search|failed|grobid,10.1111/j.1467-9280.2008.02056.x|llm_title_search|failed|grobid,True,failed,failed,llm_title_search,llm_title_search
W6887647147,grobid,,extracted.csv,10.1037/0022-3514.73.2.321|llm_title_search|cannot_be_determined|grobid,10.1037/0022-3514.73.2.321|llm_title_search|successful|grobid,True,cannot_be_determined,successful,llm_title_search,llm_title_search
W6887701204,grobid,,extracted.csv,10.1111/1467-9280.02431|llm_title_search|cannot_be_determined|grobid,10.1111/1467-9280.02431|llm_title_search|successful|grobid,True,cannot_be_determined,successful,llm_title_search,llm_title_search
W6906534938,grobid,,extracted.csv,10.1371/journal.pone.0100115|llm_title_search|cannot_be_determined|grobid,10.1371/journal.pone.0100115|llm_title_search|failed|grobid,True,cannot_be_determined,failed,llm_title_search,llm_title_search
W6906535553,grobid,,extracted.csv,10.1037/e640112011-058|llm_title_search|cannot_be_determined|grobid,10.1037/e640112011-058|llm_title_search|prospective_registration|grobid,True,cannot_be_determined,prospective_registration,llm_title_search,llm_title_search
W6983742638,grobid,,extracted.csv,10.1016/j.schres.2019.01.046|llm_title_search|mixed|grobid,10.1016/j.schres.2019.01.046|llm_title_search|failed|grobid,True,mixed,failed,llm_title_search,llm_title_search
W7014427126,grobid,,extracted.csv,10.1126/science.1167975|llm_title_search|cannot_be_determined|grobid,,,cannot_be_determined,,llm_title_search,
W7027793731,grobid,,extracted.csv,10.1177/0956797610363775|llm_title_search|failed|grobid,10.1177/0956797610363775|llm_title_search|failed|grobid,True,failed,failed,llm_title_search,llm_title_search
W7035950297,grobid,,extracted.csv,10.1027/1618-3169/a000569|llm_title_search|mixed|grobid,|no_original_found|pending|grobid,False,mixed,pending,llm_title_search,no_original_found
W7065321282,grobid,,extracted.csv,10.1523/jneurosci.0703-10.2010|llm_title_search|cannot_be_determined|grobid,10.1523/jneurosci.0703-10.2010|llm_title_search|cannot_be_determined|grobid,True,cannot_be_determined,cannot_be_determined,llm_title_search,llm_title_search
