work,group,pick_key
W2085224150,grobid,
W3085815801,grobid,
W3178831182,grobid,
W3201683314,grobid,
W6887594414,grobid,
W6887647147,grobid,
W6887701204,grobid,
W6906534938,grobid,
W6906535553,grobid,
W6983742638,grobid,
W7014427126,grobid,
W7027793731,grobid,
W7035950297,grobid,
W7065321282,grobid,
W7066272435,grobid,
W7066930895,grobid,
W7070931910,grobid,
W7114908870,grobid,
W7116218659,grobid,
W1990691820,grobid,
W3185325517,dup_key_pick,@tversky1973_2
W1989219515,dup_key_pick,@vaughn1976_2
W7002253777,dup_key_pick,@martell1996_2
W4249689878,dup_key_pick,@lin1981_2
W4400417113,dup_key_pick,@fultz1986_2
W3159433821,dup_key_pick,@slovic1977_2
W6962663142,dup_key_pick,@ceballos2015_2
W6943966580,dup_key_pick,@zajonc1969_2
W4415106803,dup_key_pick,@bol2018_3
W3075875864,dup_key_pick,@ogden2016_2
W6966597440,dup_key_pick,@rockstuhl2005_2
W7000028966,dup_key_pick,@aknin2013_4
W4297998882,dup_key_pick,@bem2011_2
W3177463529,dup_key_pick,@jacobsen2004_2
W1484736562,dup_key_pick,@blair1995_2
W6996221145,dup_key_pick,@rapach2016_2
W6943792769,dup_key_pick,@chou2016_4
W2339342283,dup_key_pick,@benjamin2012_3
W229298742,dup_key_pick,@sanderson1995_2
W2129301600,dup_key_pick,@sabol1999_2
