population,doi_r,side_a,doi_a,title_a,doi_b,title_b,pair,class_a,class_b,detail,reg_a,reg_b
pipeline vs Observatory,10.1002/ajmg.10380,pipeline,10.1002/(sici)1096-8628(19970531)74:3<238::aid-ajmg2>3.0.co;2-m,"Initial genomic scan of the NIMH genetics initiative bipolar pedigrees: Chromosomes 3, 5, 15, 16, 17, and 22",10.1002/(sici)1096-8628(19970531)74:3<238::aid-ajmg2>3.3.co;2-4,"Initial genomic scan of the NIMH Genetics Initiative bipolar pedigrees: chromosomes 3, 5, 15, 16, 17, and 22",duplicate registration (alternative identifier),work,work,A: article of record · B: article of record,"Initial genomic scan of the NIMH genetics initiative bipolar pedigrees: Chromosomes 3, 5, 15, 16, 17, and 22","Initial genomic scan of the NIMH genetics initiative bipolar pedigrees: Chromosomes 3, 5, 15, 16, 17, and 22"
pipeline vs Observatory,10.1002/ajmg.b.32145,pipeline,10.1038/nature09856,Post-traumatic stress disorder is associated with PACAP and the PAC1 receptor,10.1038/nature10396,Post-traumatic stress disorder is associated with PACAP and the PAC1 receptor,mistake,work,mistake,A: article of record · B: Crossref marks this DOI as a addendum of another DOI,Post-traumatic stress disorder is associated with PACAP and the PAC1 receptor,Post-traumatic stress disorder is associated with PACAP and the PAC1 receptor
pipeline vs Observatory,10.1002/jae.2677,pipeline,10.3386/w10220,Measuring the Effects of Monetary Policy: A Factor-Augmented Vector Autoregressive (FAVAR) approach,10.1162/0033553053327452,Measuring the Effects of Monetary Policy: A Factor-Augmented Vector Autoregressive (FAVAR) approach,alternative identifier,alternative,work,A: NBER working paper · B: article of record,Measuring the Effects of Monetary Policy: A Factor-Augmented Vector Autoregressive (FAVAR) Approach,Measuring the Effects of Monetary Policy: A Factor-Augmented Vector Autoregressive (FAVAR) Approach
pipeline vs Observatory,10.1017/s1461145701002322,pipeline,10.1176/appi.ajp.158.9.1449,Symptom reduction and suicide risk in patients treated with placebo in antidepressant clinical trials : an analysis of the Food and Drug Administration database,10.1001/archpsyc.57.4.311,Symptom reduction and suicide risk in patients treated with placebo in antidepressant clinical trials: an analysis of the Food and Drug Administration database,mistake,mistake,work,"side A names Khan et al. 2000 (antidepressant trials, Arch Gen Psychiatry) by title and year but carries the DOI of Khan et al. 2001 (antipsychotic trials, Am J Psychiatry)",Symptom Reduction and Suicide Risk Among Patients Treated With Placebo in Antipsychotic Clinical Trials: An Analysis of the Food and Drug Administration Database,Symptom Reduction and Suicide Risk in Patients Treated With Placebo in Antidepressant Clinical Trials
pipeline vs Observatory,10.1037/a0037397,pipeline,10.1037//0096-1523.24.3.830,On the relations between seen objects and components of potential actions.,10.1037/0096-1523.24.3.830,On the relations between seen objects and components of potential actions,"same DOI, formatting",work,work,side A writes the DOI with '//' or URL-encoding,,
pipeline vs Observatory,10.1038/mp.2015.209,pipeline,10.1038/mp.2015.63,Subcortical brain volume abnormalities in 2028 individuals with schizophrenia and 2540 healthy controls via the ENIGMA consortium,10.1038/mp.2015.118,Subcortical brain volume abnormalities in 2028 individuals with schizophrenia and 2540 healthy controls via the ENIGMA consortium,mistake,work,mistake,A: article of record · B: DOI points to a notice/reply: “Erratum: Subcortical brain volume abnormalities in 2028 indi”,Subcortical brain volume abnormalities in 2028 individuals with schizophrenia and 2540 healthy controls via the ENIGMA consortium,Erratum: Subcortical brain volume abnormalities in 2028 individuals with schizophrenia and 2540 healthy controls via the ENIGMA consortium
pipeline vs Observatory,10.1038/s41598-017-18950-2,pipeline,10.1038/mp.2015.63,Subcortical brain volume abnormalities in 2028 individuals with schizophrenia and 2540 healthy controls via the ENIGMA consortium,10.1038/mp.2015.118,Subcortical brain volume abnormalities in 2028 individuals with schizophrenia and 2540 healthy controls via the ENIGMA consortium,mistake,work,mistake,A: article of record · B: DOI points to a notice/reply: “Erratum: Subcortical brain volume abnormalities in 2028 indi”,Subcortical brain volume abnormalities in 2028 individuals with schizophrenia and 2540 healthy controls via the ENIGMA consortium,Erratum: Subcortical brain volume abnormalities in 2028 individuals with schizophrenia and 2540 healthy controls via the ENIGMA consortium
pipeline vs Observatory,10.1044/cicsd_28_f_98,pipeline,10.1121/1.401923,An  investigation  of  locus  equations  as  a  source  of  relational invariance  for  stop  consonant  place  categorization,10.1121/1.2029833,An investigation of locus equations as a source of relational invariance for stop consonant place categorization,duplicate registration (alternative identifier),work,work,A: article of record · B: article of record,An investigation of locus equations as a source of relational invariance for stop place categorization,An investigation of locus equations as a source of relational invariance for stop place categorization
pipeline vs Observatory,10.1057/s41599-025-05523-2,pipeline,10.1163/187501701x00460,Self portrait with gorget Portrait of Rembrandt with a gorget,,Self portrait with gorget portrait of Rembrandt with a gorget,unresolved,work,missing,A: article of record · B: no DOI given,Rembrandt's Self-Portrait with Gorget: an ongoing debate,
pipeline vs Observatory,10.1073/pnas.0408670102,pipeline,10.1073/pnas.1936249100,Haplotype-based identification of a microsomal transfer protein marker associated with the human lifespan,10.1073/pnas.2300949100,Haplotype-based identification of a microsomal transfer protein marker associated with the human lifespan,mistake,work,mistake,A: article of record · B: DOI does not resolve to a registered work (malformed or wrong),Haplotype-based identification of a microsomal transfer protein marker associated with the human lifespan,
pipeline vs Observatory,10.1080/00220388.2018.1506576,pipeline,10.1016/j.jpubeco.2010.06.002,Property rights for the poor: Effects of land titling,10.2139/ssrn.1544578,Property rights for the poor: Effects of land titling,alternative identifier,work,alternative,A: article of record · B: SSRN working paper,Property rights for the poor: Effects of land titling,Property Rights for the Poor: Effects of Land Titling
pipeline vs Observatory,10.1080/00220388.2018.1506579,pipeline,10.1257/pol.1.1.75,"Housing, Health, and Happiness",10.1037/e596352012-001,"Housing, health, and happiness",alternative identifier,work,alternative,A: article of record · B: PsycEXTRA conference record,"Housing, Health, and Happiness","Housing, Health and Happiness"
pipeline vs Observatory,10.1080/13554799908415478,pipeline,10.1016/0028-3932(92)90058-t,"Spatio-motor cueing in unilateral left neglect: The role of hemispace, hand and motor activation",10.1016/0028-3932(92)90144-4,"Spatio-motor cueing in unilateral left neglect: the role of hemispace, hand and motor activation",mistake,work,mistake,A: article of record · B: DOI does not resolve to a registered work (malformed or wrong),"Spatio-motor cueing in unilateral left neglect: The role of hemispace, hand and motor activation",
pipeline vs Observatory,10.1080/14616734.2016.1181096,pipeline,10.1111/1467-7687.00045,Parental loss of close family members and propensities towards absorption in offspring,10.1111/desc.1998.1.issue-2,Parental loss of close family members and propensities towards absorption in offspring,mistake,work,mistake,"A: article of record · B: DOI points to a journal issue, not the article",Parental loss of close family members and propensities towards absorption in offspring,
pipeline vs Observatory,10.1080/14719037.2017.1295099,pipeline,10.1002/pam.21702,An Experimental Test of the Expectancy-Disconfirmation Theory of Citizen Satisfaction,10.1002/pam.2013.32.issue-3,An Experimental Test of the Expectancy-Disconfirmation Theory of Citizen Satisfaction,mistake,work,mistake,"A: article of record · B: DOI points to a journal issue, not the article",An Experimental Test of the Expectancy-Disconfirmation Theory of Citizen Satisfaction,
pipeline vs Observatory,10.1111/1540-4781.00152,pipeline,10.1111/j.1540-4781.1996.tb05463.x,Second Culture Acquisition: Ethnography in the Foreign Language Classroom,10.2307/329724,Second culture acquisition: Ethnography in the foreign language classroom,alternative identifier,work,alternative,A: article of record · B: JSTOR duplicate registration,Second Culture Acquisition: Ethnography in the Foreign Language Classroom,Second Culture Acquisition: Ethnography in the Foreign Language Classroom
pipeline vs Observatory,10.1111/acer.12265,pipeline,10.1093/hmg/ddq112,"A systematic gene-based screen of chr4q22–q32 identifies association of a novel susceptibility gene, DKK2 , with the quantitative trait of alcohol dependence symptom counts",10.1093/hmg/ddq326,"A systematic gene-based screen of chr4q22-q32 identifies association of a novel susceptibility gene, DKK2, with the quantitative trait of alcohol dependence symptom counts",duplicate registration (alternative identifier),work,work,A: article of record · B: article of record,"A systematic gene-based screen of chr4q22–q32 identifies association of a novel susceptibility gene, DKK2 , with the quantitative trait of alcohol dependence symptom counts","A systematic gene-based screen of chr4q22-q32 identifies association of a novel susceptibility gene, DKK2, with the quantitative trait of alcohol dependence symptom counts"
pipeline vs Observatory,10.1111/acps.12959,pipeline,10.1016/s0084-3970(08)79088-1,Clinical factors associated with treatment resistance in major depressive disorder: results from a European multicenter study,10.4088/jcp.v68n0713,Clinical factors associated with treatment resistance in major depressive disorder: results from a European multicenter study,mistake,mistake,work,"A: DOI points to a Year Book abstract digest, not the article · B: article of record",Clinical Factors Associated With Treatment Resistance in Major Depressive Disorder: Results From a European Multicenter Study,Clinical Factors Associated With Treatment Resistance in Major Depressive Disorder
pipeline vs Observatory,10.1111/bjop.12767,pipeline,10.1037//0003-066x.55.7.709,Multicultural minds: A dynamic constructivist approach to culture and cognition.,10.1037/0003-066x.55.7.709,Multicultural minds: A dynamic constructivist approach to culture and cognition,"same DOI, formatting",work,work,side A writes the DOI with '//' or URL-encoding,,
pipeline vs Observatory,10.1111/j.1467-1770.1996.tb01354.x,pipeline,10.1111/j.1540-4781.1993.tb01944.x,Input Processing and Second Language Acquisition: A Role for Instruction,10.2307/329557,Input processing and second language acquisition: A role for instruction,alternative identifier,work,alternative,A: article of record · B: JSTOR duplicate registration,Input Processing and Second Language Acquisition: A Role for Instruction,Input Processing and Second Language Acquisition: A Role for Instruction
pipeline vs Observatory,10.1111/j.1540-4781.1995.tb01114.x,pipeline,10.1111/j.1540-4781.1991.tb05376.x,Effect of Multicultural Lessons on Attitudes of Students of Spanish,10.2307/329491,Effect of multicultural lessons on attitudes of students of Spanish,alternative identifier,work,alternative,A: article of record · B: JSTOR duplicate registration,Effect of Multicultural Lessons on Attitudes of Students of Spanish,Effect of Multicultural Lessons on Attitudes of Students of Spanish
