doi_r,our_doi_o,mo_doi_o,population,our_type,our_title,our_year,mo_type,mo_title,mo_year
10.1002/ajmg.10380,10.1002/(sici)1096-8628(19970531)74:3<238::aid-ajmg2>3.0.co;2-m,10.1002/(sici)1096-8628(19970531)74:3<238::aid-ajmg2>3.3.co;2-4,pipeline,journal-article,Initial genomic scan of the NIMH genetics initiative bipolar pedigrees,1997,journal-article,Initial genomic scan of the NIMH genetics initiative bipolar pedigrees,1997.0
10.1002/ajmg.b.32145,10.1038/nature09856,10.1038/nature10396,pipeline,journal-article,Post-traumatic stress disorder is associated with PACAP and the PAC1 r,2011,journal-article,Post-traumatic stress disorder is associated with PACAP and the PAC1 r,2011.0
10.1002/jae.2677,10.3386/w10220,10.1162/0033553053327452,pipeline,report,Measuring the Effects of Monetary Policy: A Factor-Augmented Vector Au,2004,journal-article,Measuring the Effects of Monetary Policy: A Factor-Augmented Vector Au,2005.0
10.1017/s1461145701002322,10.1176/appi.ajp.158.9.1449,10.1001/archpsyc.57.4.311,pipeline,journal-article,Symptom Reduction and Suicide Risk Among Patients Treated With Placebo,2001,journal-article,Symptom Reduction and Suicide Risk in Patients Treated With Placebo in,2000.0
10.1037/a0037397,10.1037//0096-1523.24.3.830,10.1037/0096-1523.24.3.830,pipeline,journal-article,On the relations between seen objects and components of potential acti,1998,journal-article,On the relations between seen objects and components of potential acti,1998.0
10.1038/mp.2015.209,10.1038/mp.2015.63,10.1038/mp.2015.118,pipeline,journal-article,Subcortical brain volume abnormalities in 2028 individuals with schizo,2016,journal-article,Erratum: Subcortical brain volume abnormalities in 2028 individuals wi,2016.0
10.1038/s41598-017-18950-2,10.1038/mp.2015.63,10.1038/mp.2015.118,pipeline,journal-article,Subcortical brain volume abnormalities in 2028 individuals with schizo,2016,journal-article,Erratum: Subcortical brain volume abnormalities in 2028 individuals wi,2016.0
10.1044/cicsd_28_f_98,10.1121/1.401923,10.1121/1.2029833,pipeline,journal-article,An investigation of locus equations as a source of relational invarian,1991,journal-article,An investigation of locus equations as a source of relational invarian,1991.0
10.1057/s41599-025-05523-2,10.1163/187501701x00460,,pipeline,journal-article,Rembrandt's Self-Portrait with Gorget: an ongoing debate,2001,,,
10.1073/pnas.0408670102,10.1073/pnas.1936249100,10.1073/pnas.2300949100,pipeline,journal-article,Haplotype-based identification of a microsomal transfer protein marker,2003,,,
10.1080/00220388.2018.1506576,10.1016/j.jpubeco.2010.06.002,10.2139/ssrn.1544578,pipeline,journal-article,Property rights for the poor: Effects of land titling,2010,posted-content,Property Rights for the Poor: Effects of Land Titling,2010.0
10.1080/00220388.2018.1506579,10.1257/pol.1.1.75,10.1037/e596352012-001,pipeline,journal-article,"Housing, Health, and Happiness",2009,dataset,"Housing, Health and Happiness",2007.0
10.1080/13554799908415478,10.1016/0028-3932(92)90058-t,10.1016/0028-3932(92)90144-4,pipeline,journal-article,"Spatio-motor cueing in unilateral left neglect: The role of hemispace,",1992,,,
10.1080/14616734.2016.1181096,10.1111/1467-7687.00045,10.1111/desc.1998.1.issue-2,pipeline,journal-article,Parental loss of close family members and propensities towards absorpt,1998,journal-issue,,1998.0
10.1080/14719037.2017.1295099,10.1002/pam.21702,10.1002/pam.2013.32.issue-3,pipeline,journal-article,An Experimental Test of the Expectancy-Disconfirmation Theory of Citiz,2013,journal-issue,,2013.0
10.1111/1540-4781.00152,10.1111/j.1540-4781.1996.tb05463.x,10.2307/329724,pipeline,journal-article,Second Culture Acquisition: Ethnography in the Foreign Language Classr,1996,journal-article,Second Culture Acquisition: Ethnography in the Foreign Language Classr,1996.0
10.1111/acer.12265,10.1093/hmg/ddq112,10.1093/hmg/ddq326,pipeline,journal-article,A systematic gene-based screen of chr4q22–q32 identifies association o,2010,journal-article,A systematic gene-based screen of chr4q22-q32 identifies association o,2010.0
10.1111/acps.12959,10.1016/s0084-3970(08)79088-1,10.4088/jcp.v68n0713,pipeline,journal-article,Clinical Factors Associated With Treatment Resistance in Major Depress,2009,journal-article,Clinical Factors Associated With Treatment Resistance in Major Depress,2007.0
10.1111/bjop.12767,10.1037//0003-066x.55.7.709,10.1037/0003-066x.55.7.709,pipeline,journal-article,Multicultural minds: A dynamic constructivist approach to culture and ,2000,journal-article,Multicultural minds: A dynamic constructivist approach to culture and ,2000.0
10.1111/j.1467-1770.1996.tb01354.x,10.1111/j.1540-4781.1993.tb01944.x,10.2307/329557,pipeline,journal-article,Input Processing and Second Language Acquisition: A Role for Instructi,1993,journal-article,Input Processing and Second Language Acquisition: A Role for Instructi,1993.0
10.1111/j.1540-4781.1995.tb01114.x,10.1111/j.1540-4781.1991.tb05376.x,10.2307/329491,pipeline,journal-article,Effect of Multicultural Lessons on Attitudes of Students of Spanish,1991,journal-article,Effect of Multicultural Lessons on Attitudes of Students of Spanish,1991.0
10.1111/j.1542-4774.2011.01043.x,10.1162/jeea.2008.6.2-3.445,10.2139/ssrn.1012585,pipeline,journal-article,Are Muslim Immigrants Different in Terms of Cultural Integration?,2008,posted-content,Are Muslim Immigrants Different in Terms of Cultural Integration?,2007.0
10.1111/jcpp.13682,10.1017/s2045796019000283,10.1017/s2045796019000337,pipeline,journal-article,A risk calculator to predict adult attention-deficit/hyperactivity dis,2020,journal-article,A risk calculator to predict adult attention-deficit/hyperactivity dis,2020.0
10.1111/jofi.13063,10.3386/w25698,10.1111/jofi.12868,pipeline,report,Risk Management in Financial Institutions,2019,journal-article,Retracted: Risk Management in Financial Institutions,2020.0
10.1177/0022022100031003001,10.2307/2393017,10.1016/0142-694x(82)90089-8,pipeline,journal-article,Culture's Consequences: International Differences in Work-Related Valu,1983,journal-article,Culture's consequences: international differences in work-related valu,1982.0
10.1186/2040-2392-1-8,10.1176/ajp.2007.164.4.656,10.1176/appi.ajp.164.4.656,pipeline,journal-article,A Quantitative Trait Locus Analysis of Social Responsiveness in Multip,2007,journal-article,A Quantitative Trait Locus Analysis of Social Responsiveness in Multip,2007.0
10.1186/s12967-025-06535-x,10.1186/s12967-023-04588-4,10.1101/2023.07.13.23292611,pipeline,journal-article,Genetic risk factors for severe and fatigue dominant long COVID and co,2023,posted-content,Genetic Risk Factors for Severe and Fatigue Dominant Long COVID and Co,2023.0
10.1186/s40359-016-0127-2,10.1037/a0024140,10.1037/e520602012-165,pipeline,journal-article,Semantic information activated during retrieval contributes to later r,2011,dataset,Semantic Information Activated During Retrieval Contributes to Later R,2011.0
10.1191/0265532206lt332oa,10.1177/026553229901600205,10.1191/026553299674908889,pipeline,journal-article,"The relative importance of persons, items, subtests and languages to T",1999,journal-article,"The relative importance of persons, items, subtests and languages to T",1999.0
10.1212/wnl.0b013e31826c1ab7,10.1212/wnl.0b013e3181dad57e,10.1212/wnl.0b013e3181eee901,pipeline,journal-article,"Combined effects of smoking, anti-EBNA antibodies, and
               ",2010,journal-article,"COMBINED EFFECTS OF SMOKING, ANTI-EBNA ANTIBODIES, AND
            <i>",2010.0
10.1371/journal.pone.0095045,10.1016/s0084-3741(08)79224-2,10.1038/ng.120,pipeline,journal-article,Meta-analysis of genome-wide association data and large-scale replicat,2008,journal-article,Meta-analysis of genome-wide association data and large-scale replicat,2008.0
10.1371/journal.pone.0217436,10.4324/9781003030102-2,10.1080/09658211.2017.1396345,pipeline,book-chapter,Manipulating the reported age in earliest memories,2020,journal-article,Manipulating the reported age in earliest memories,2019.0
10.1371/journal.pone.0255424,10.1101/644237,10.1371/journal.pone.0217729,pipeline,posted-content,Left parietal tACS at alpha frequency induces a shift of visuospatial ,2019,journal-article,Left parietal tACS at alpha frequency induces a shift of visuospatial ,2019.0
10.1371/journal.pone.0312088,10.2139/ssrn.2319992,10.1017/bpp.2016.2,pipeline,posted-content,Motivated Numeracy and Enlightened Self-Government,2013,journal-article,Motivated numeracy and enlightened self-government,2017.0
10.2217/pgs.15.162,10.1161/circulationaha.105.576850,10.1161/circulationaha.105.576533,pipeline,journal-article,NAD(P)H Oxidase and Multidrug Resistance Protein Genetic Polymorphisms,2005,,,
10.23846/rps0009,10.2139/ssrn.1544578,10.1016/j.jpubeco.2010.06.002,pipeline,posted-content,Property Rights for the Poor: Effects of Land Titling,2010,journal-article,Property rights for the poor: Effects of land titling,2010.0
10.2466/pr0.1962.10.2.459,10.2466/pr0.1960.7.2.345,10.2466/pr0.7.6.345-356,pipeline,journal-article,Some Religious-Ethnic Differences in Interaction Rates,1960,journal-article,SOME RELIGIOUS-ETHNIC DIFFERENCES IN INTERACTION RATES,1960.0
10.3233/jad-132432,10.1038/ng.536,10.3410/f.2137000.1737107,pipeline,journal-article,Common variants at 7p21 are associated with frontotemporal lobar degen,2010,dataset,Faculty Opinions recommendation of Common variants at 7p21 are associa,2010.0
10.3386/w12607,10.3386/w8004,10.1162/00335530151144050,pipeline,report,The Impact of Legalized Abortion on Crime,2000,journal-article,The Impact of Legalized Abortion on Crime,2001.0
10.3389/fnint.2022.1041423,10.12688/f1000research.4170,10.12688/f1000research.3894.1,pipeline,journal-article,"Simple, biologically-constrained CA1 pyramidal cell models using an in",2014,journal-article,"Simple, biologically-constrained CA1 pyramidal cell models using an in",2014.0
10.3389/fnint.2023.935177,10.7554/elife.63751,10.7554/elife.63751.sa2,pipeline,journal-article,Learning precise spatiotemporal sequences via biophysically realistic ,2021,peer-review,Author response: Learning precise spatiotemporal sequences via biophys,2021.0
10.3390/jintelligence12040037,10.2139/ssrn.1589792,10.48550/arxiv.1004.2731,pipeline,posted-content,Data Mining the University: College GPA Predictions from SAT Scores,2010,preprint,Data Mining the University: College GPA Predictions from SAT Scores,2010.0
10.3758/s13423-017-1348-y,10.1037/e537272012-273,10.1037/0278-7393.21.4.803,pipeline,dataset,Creation of False Memories: Remembering Words Not Presented in Lists,1994,journal-article,Creating false memories: Remembering words not presented in lists.,1995.0
10.5249/jivr.v4i1.65,10.3109/13651500902912702,10.1080/13651500902912702,pipeline,journal-article,Does adversity earlier in life affect elderly suicide rates? A cross-n,2009,journal-article,Does adversity earlier in life affect elderly suicide rates? A cross-n,2009.0
10.5334/joc.342,10.31234/osf.io/z4ba8,10.1016/j.cognition.2021.104650,pipeline,posted-content,Prediction error boosts retention of novel words in adults but not in ,2021,journal-article,Prediction error boosts retention of novel words in adults but not in ,2021.0
10.5964/jnc.7033,10.1111/cdev.13068,10.1111/cdev.130,pipeline,journal-article,Associations of Number Line Estimation With Mathematical Competence: A,2018,,,
10.1002/jae.2449,10.1162/rest.90.1.158,10.3386/w11591,flora,journal-article,Evidence that Seat Belts Are as Effective as Child Safety Seats in Pre,2008,report,Evidence that Seat Belts are as Effective as Child Safety Seats in Pre,2005.0
10.1007/s11127-012-0023-0,10.1007/s11127-010-9760-0,10.5771/9783845253862_115,flora,journal-article,District magnitude and representation of the majority’s preferences: E,2012,book-chapter,District Magnitude and Representation of the Majoritys Preferences: E,2014.0
