doi_r,current_doi_o,correct_main_doi_o,alt_identifier_o,note
10.1002/hbm.25386,10.1093/schbul/sby016.348,10.1001/jamapsychiatry.2018.2467,,wrong original: FLoRA lists “T72. VERBAL MEMORY AND VOXEL BASED MORPHOMETRY IN FIRST EPISODE NON-AF”; the paper re-tests “Mapping the heterogeneous phenotype of schizophrenia and bipolar disor” (2018)
10.1002/npr2.70078,10.1002/npr2.70029,10.1002/npr2.70010,,wrong original: FLoRA lists “Clinical Characteristics of Patients With Enlarged Ventricles and Cogn”; the paper re-tests “Proposal for a novel classification of patients with enlarged ventricl” (2025)
10.1007/s12186-012-9090-0,10.1007/978-90-481-3941-5_10,10.1080/13639080.2011.573776,,wrong original: FLoRA lists “Human Fallibility and Learning from Errors at Work”; the paper re-tests “Engagement in learning after errors at work: enabling conditions and t” (2011)
10.1037/pspp0000104,10.1111/j.1467-6494.2012.00807.x,10.1177/0956797611427045,,"wrong original: FLoRA lists “Agency‐Communion and Self‐Esteem Relations Are Moderated by Culture, R”; the paper re-tests “Religiosity, social self-esteem, and psychological adjustment: On the ” (2012)"
10.1038/s41598-025-10331-4,10.1037/a0010932,,,"wrong original: FLoRA lists Burger (2009); the paper re-tests Milgram (1974), Obedience to Authority, Experiment 2 — a book with no DOI"
10.1080/08993408.2022.2079864,10.1016/j.chb.2017.09.030,10.1016/j.chb.2016.08.047,,wrong original: FLoRA lists “Extending the nomological network of computational thinking with non-c”; the paper re-tests “Which cognitive abilities underlie computational thinking? criterion v” (2017)
10.1080/20008198.2017.1315291,10.1037/a0032028,10.1016/j.nlm.2012.11.001,,wrong original: FLoRA lists “Updating of episodic memories depends on the strength of new learning ”; the paper re-tests “Changing memories after reactivation: A one-time opportunity?” (2013)
10.1111/cdev.12774,10.1016/j.dcn.2015.09.007,10.1037/a0023227,,"wrong original: FLoRA lists “Toddlers’ dysregulated fear predicts delta–beta coupling during presch”; the paper re-tests “Which fearful toddlers should we worry about? Context, fear regulation” (2011)"
10.1111/psyp.13546,10.1016/j.biopsycho.2016.05.001,10.1371/journal.pone.0154494,,wrong original: FLoRA lists “Nothing is safe: Intolerance of uncertainty is associated with comprom”; the paper re-tests “What is going on around here? Intolerance of uncertainty predicts thre” (2016)
10.1176/ps.62.4.pss6204_0367,10.1016/j.biopsych.2006.03.040,10.1037/a0018915,,wrong original: FLoRA lists “The Prevalence and Correlates of Eating Disorders in the National Como”; the paper re-tests “Cognitive behavioral guided self-help for the treatment of recurrent b” (2010)
10.1177/019874290503100104,10.1177/106342669800600406,10.1002/(sici)1520-6807(199807)35:3<259::aid-pits6>3.0.co;2-i,,wrong original: FLoRA lists “First Step to Success”; the paper re-tests “First Step to Success: intervening at the point of school entry to pre” (1998)
10.1371/journal.pone.0129263,10.1007/s001270050022,10.1093/oxfordjournals.schbul.a033315,,wrong original: FLoRA lists “Stability and change in needs of patients with schizophrenic disorders”; the paper re-tests “Natural course of schizophrenic disorders: A 15-year followup of a Dut” (1998)
10.3390/su12083069,10.1504/ijewm.2016.078598,10.1108/bfj-04-2017-0255,,wrong original: FLoRA lists “Household food waste dehydration technique as a pretreatment method fo”; the paper re-tests “Assessment of household food waste in Hungary” (2018)
10.7717/peerj.4661,10.7717/peerj.1232,10.1158/0008-5472.can-13-2876,,wrong original: FLoRA lists “Registered report: androgen receptor splice variants determine taxane ”; the paper re-tests “Androgen receptor splice variants determine taxane sensitivity in pros” (2014)
10.1073/pnas.2305629120,10.2139/ssrn.3435378,10.1073/pnas.1905779116,10.2139/ssrn.3435378,"FLoRA cites the SSRN working paper; the article is Breda & Napp 2019, PNAS"
10.1176/appi.ajp.2015.14070896,10.17816/nb100176,10.1126/science.1083968,,"FLoRA's DOI is a secondary (Russian) record of Caspi et al. 2003, Science"
10.1016/j.ynirp.2022.100149,10.1016/j.biopsych.2018.02.061,10.1038/s41380-020-0754-0,,"FLoRA cites the 2018 meeting abstract; the study is Han et al. 2021, Mol Psychiatry"
10.1177/1091142114537892,10.3386/w6614,10.1016/s0047-2727(99)00036-5,10.3386/w6614,"FLoRA cites the NBER working paper; the article is Goolsbee & Maydew 2000, J Public Econ"
10.1037/xge0000788,10.1037/e578192014-061,10.1037/a0035880,,FLoRA cites a non-journal version (PsycEXTRA conference record); use the article of record
10.1111/j.1540-4781.2011.01174.x,10.2307/329894,10.1111/j.1540-4781.1992.tb02573.x,,FLoRA cites a non-journal version (JSTOR duplicate registration); use the article of record
10.1515/zfsoz-2023-2029,10.31235/osf.io/93eyz,10.1016/j.ssresearch.2015.12.008,10.31235/osf.io/93eyz,FLoRA cites a non-journal version (OSF preprint); use the article of record
10.1525/collabra.77859,10.1002/(sici)1099-0771(199806)11:2%3c107::aid-bdm292%3e3.0.co;2-y,10.1002/(sici)1099-0771(199806)11:2<107::aid-bdm292>3.0.co;2-y,,"same DOI, misformatted ('//' or URL-encoded)"
10.3758/s13428-020-01457-6,10.1037//0096-1523.18.3.849,10.1037/0096-1523.18.3.849,,"same DOI, misformatted ('//' or URL-encoded)"
10.1002/jaba.706,,10.1177/107939179803300105,,FLoRA has no DOI for “The Acquisition of Instructive Feedback: A Comparison of Continuous Ve”; this DOI verifies against that title
