id,stratum,doi_r,doi_o,A,B,has_fulltext,has_abstract
flor-001,original,10.1002/hbm.25386,,flora,mo,False,False
flor-002,original,10.1002/npr2.70078,,flora,mo,False,False
flor-003,original,10.1007/s12186-012-9090-0,,mo,flora,False,False
flor-004,original,10.1016/j.heliyon.2019.e02434,,flora,mo,False,False
flor-005,original,10.1016/j.ynirp.2022.100149,,flora,mo,False,False
flor-006,original,10.1027/1864-9335/a000179,,flora,mo,False,False
flor-007,original,10.1027/1864-9335/a000185,,mo,flora,False,False
flor-008,original,10.1037/pspp0000104,,mo,flora,False,False
flor-009,original,10.1038/s41598-025-10331-4,,mo,flora,False,False
flor-010,original,10.1073/pnas.2305629120,,mo,flora,False,False
flor-011,original,10.1080/02687038.2010.536841,,flora,mo,False,False
flor-012,original,10.1080/08993408.2022.2079864,,mo,flora,False,False
flor-013,original,10.1080/20008198.2017.1315291,,mo,flora,False,False
flor-014,original,10.1093/jae/ejad013,,flora,mo,False,False
flor-015,original,10.1111/cdev.12774,,flora,mo,False,False
flor-016,original,10.1111/psyp.13546,,flora,mo,False,False
flor-017,original,10.1176/appi.ajp.2015.14070896,,mo,flora,False,False
flor-018,original,10.1176/ps.62.4.pss6204_0367,,mo,flora,False,False
flor-019,original,10.1177/019874290503100104,,flora,mo,False,False
flor-020,original,10.1177/1091142114537892,,mo,flora,False,False
flor-021,original,10.1177/1362168810375365,,flora,mo,False,False
flor-022,original,10.1371/journal.pone.0129263,,mo,flora,False,False
flor-023,original,10.1371/journal.pone.0294325,,mo,flora,False,False
flor-024,original,10.3390/su12083069,,mo,flora,False,False
flor-025,original,10.7554/elife.26030,,mo,flora,False,False
flor-026,original,10.7717/peerj.4661,,flora,mo,False,False
