doi_r,sim,ours,mo,our_doi,mo_doi
10.1001/archpsyc.1996.01830080033007,0.0625,Psychopathology in Adopted-out Children of Alcoholics The St,Inheritance of alcohol abuse: cross-fostering analysis of ad,10.1007/978-1-4615-7715-7_4,10.1001/archpsyc.1981.01780330019001
10.1002/ajmg.10380,1.0,Initial genomic scan of the NIMH genetics initiative bipolar,Initial genomic scan of the NIMH Genetics Initiative bipolar,10.1002/(sici)1096-8628(19970531)74:3<238::aid-ajmg2>3.0.co;2-m,10.1002/(sici)1096-8628(19970531)74:3<238::aid-ajmg2>3.3.co;2-4
10.1002/ajmg.b.32145,1.0,Post-traumatic stress disorder is associated with PACAP and ,Post-traumatic stress disorder is associated with PACAP and ,10.1038/nature09856,10.1038/nature10396
10.1002/ajp.20895,0.2608695652173913,Population-Level Right Handedness for a Coordinated Bimanual,Manual laterality for simple reaching and bimanual coordinat,10.1023/a:1023752816951,10.1007/s10764-009-9338-1
10.1002/alr.21275,0.16666666666666666,Genetics of the taste receptor T2R38 correlates with chronic,T2R38 taste receptor polymorphisms underlie susceptibility t,10.1002/alr.21140,10.1172/jci64240
10.1002/art.39619,0.2222222222222222,Genetic markers of rheumatoid arthritis susceptibility in an,High-density genetic mapping identifies new susceptibility l,10.1136/annrheumdis-2011-201225,10.1038/ng.2462
10.1002/bdr2.1773,0.3333333333333333,An aetiological study of the VACTERL-association,Environmental risk factors for the VACTERL association: A EU,10.1007/bf00441773,10.1002/bdr2.1686
10.1002/jae.2677,1.0,Measuring the Effects of Monetary Policy: A Factor-Augmented,Measuring the Effects of Monetary Policy: A Factor-Augmented,10.3386/w10220,10.1162/0033553053327452
10.1002/jae.2850,0.7857142857142857,"A One Covariate at a Time, Multiple Testing Approach to Vari","A one covariate at a time, multiple testing approach to vari",10.3982/ecta14176,10.24149/gwp290
10.1002/jeab.567,0.16666666666666666,Behavioral momentum and resurgence: Effects of time in extin,Extinction and reinforcement of alternative behavior,10.3758/s13420-013-0116-8,10.1037/h0076418
10.1002/mpr.251,0.0,Tabakentwöhnung,Multidimensional smoker profiles and their prediction of smo,10.17433/978-3-17-026572-1,10.1016/j.jsat.2007.08.006
10.1002/mrm.29947,0.5,Submillimeter lung MRI at 0.55 T using balanced steady‐state,Balanced steady-state free precession thoracic imaging with ,10.1002/mrm.29757,10.1002/mrm.28119
10.1007/bf00880778,0.0,Show versus no show: A comparison of referral calls to a sui,Toward an evaluation of telephone counseling,10.1037/h0034578,10.1007/bf00878974
10.1007/s00125-017-4405-1,0.125,Large-scale association analyses identify new loci influenci,A genome-wide approach accounting for body mass index identi,10.1038/ng.2385,10.1038/ng.2274
10.1007/s00426-021-01593-4,0.23076923076923078,Heart Beat Perception and Emotional Experience,"On the relationship between interoceptive awareness, emotion",10.1111/j.1469-8986.1981.tb02486.x,10.1016/j.cogbrainres.2005.09.019
10.1007/s00426-025-02211-3,0.1111111111111111,A visual search advantage for illusory faces in objects,Attention capture by faces,10.3758/s13414-021-02267-4,10.1016/j.cognition.2007.07.012
10.1007/s10763-023-10368-9,0.3333333333333333,Students’ views of oral performance assessment in mathematic,The impact of high stakes oral performance assessment on stu,10.1080/02602938.2014.961124,10.1007/s10649-020-09937-4
10.1016/j.bionps.2020.100014,0.28,Spatiotemporal and frequency domain analysis of auditory pai,Diagnostic specificity and familiality of early versus late ,10.1111/j.1469-8986.2011.01327.x,10.1111/psyp.12185
