doi_r,original,n_ours,n_mo
10.1001/archneurol.2008.552,same (identical sets),2,2
10.1001/archneurol.2010.147,same (identical sets),2,2
10.1001/archneurol.2010.292,same (identical sets),2,2
10.1001/archneurol.2011.155,same (identical sets),1,1
10.1001/archoto.2009.219,same (identical sets),1,1
10.1001/archpsyc.1981.01780310086009,same (identical sets),1,1
10.1001/archpsyc.1996.01830080033007,different (one each),1,1
10.1001/jama.2010.574,overlap (some in common),1,2
10.1001/jamacardio.2018.0569,same (identical sets),1,1
10.1002/ab.70042,same (identical sets),1,1
10.1002/acp.2974,same (identical sets),1,1
10.1002/acp.3439,same (identical sets),1,1
10.1002/aepp.13393,same (identical sets),1,1
10.1002/ajim.20660,same (identical sets),1,1
10.1002/ajmg.10380,different (one each),1,1
10.1002/ajmg.10645,same (identical sets),1,1
10.1002/ajmg.1320600515,same (identical sets),1,1
10.1002/ajmg.a.38190,same (identical sets),1,1
10.1002/ajmg.b.10761,same (identical sets),1,1
10.1002/ajmg.b.20004,same (identical sets),1,1
10.1002/ajmg.b.30056,same (identical sets),2,2
10.1002/ajmg.b.30215,same (identical sets),2,2
10.1002/ajmg.b.30262,overlap (some in common),1,2
10.1002/ajmg.b.30610,same (identical sets),2,2
10.1002/ajmg.b.30658,same (identical sets),1,1
10.1002/ajmg.b.30727,same (identical sets),1,1
10.1002/ajmg.b.30872,overlap (some in common),2,1
10.1002/ajmg.b.31031,same (identical sets),1,1
10.1002/ajmg.b.31088,same (identical sets),2,2
10.1002/ajmg.b.32049,same (identical sets),1,1
10.1002/ajmg.b.32104,same (identical sets),1,1
10.1002/ajmg.b.32106,overlap (some in common),2,2
10.1002/ajmg.b.32145,different (one each),1,1
10.1002/ajmg.b.32957,same (identical sets),1,1
10.1002/ajp.20895,different (one each),1,1
10.1002/ajpa.1330300206,same (identical sets),1,1
10.1002/alr.21275,different (one each),1,1
10.1002/ana.410280508,same (identical sets),1,1
10.1002/ana.410440223,same (identical sets),1,1
10.1002/ar.1091570205,same (identical sets),1,1
10.1002/art.21309,same (identical sets),1,1
10.1002/art.22301,overlap (some in common),5,4
10.1002/art.30604,same (identical sets),1,1
10.1002/art.33381,same (identical sets),1,1
10.1002/art.39302,same (identical sets),1,1
10.1002/art.39619,different (one each),1,1
10.1002/art.39932,overlap (some in common),3,4
10.1002/aur.1857,same (identical sets),1,1
10.1002/bdr2.1773,different (one each),1,1
10.1002/bem.20337,same (identical sets),1,1
10.1002/bem.2250160208,same (identical sets),1,1
10.1002/cpt.2424,overlap (some in common),1,2
10.1002/da.22678,same (identical sets),1,1
10.1002/dys.1470,overlap (some in common),2,1
10.1002/eat.10025,same (identical sets),1,1
10.1002/eat.1066,same (identical sets),1,1
10.1002/eat.20444,theirs: no original DOI,1,0
10.1002/eat.22228,same (identical sets),1,1
10.1002/eat.22304,same (identical sets),1,1
10.1002/ece3.1300,same (identical sets),1,1
10.1002/ece3.71556,same (identical sets),1,1
10.1002/elps.201100128,same (identical sets),1,1
10.1002/gepi.21707,overlap (some in common),3,4
10.1002/hbm.20283,same (identical sets),1,1
10.1002/hbm.21434,overlap (some in common),2,1
10.1002/hbm.25572,overlap (some in common),1,2
10.1002/humu.20725,same (identical sets),1,1
10.1002/humu.20840,same (identical sets),1,1
10.1002/humu.21009,same (identical sets),1,1
10.1002/hup.2802,same (identical sets),1,1
10.1002/ibd.21752,same (identical sets),1,1
10.1002/ijc.23682,same (identical sets),1,1
10.1002/imhj.21350,theirs: no original DOI,2,0
10.1002/jaba.484,same (identical sets),3,3
10.1002/jaba.833,same (identical sets),2,2
10.1002/jaba.964,overlap (some in common),1,2
10.1002/jae.1191,same (identical sets),1,1
10.1002/jae.1264,same (identical sets),1,1
10.1002/jae.1277,overlap (some in common),2,1
10.1002/jae.2424,same (identical sets),1,1
10.1002/jae.2493,same (identical sets),1,1
10.1002/jae.2540,same (identical sets),1,1
10.1002/jae.2622,same (identical sets),1,1
10.1002/jae.2677,different (one each),1,1
10.1002/jae.2695,same (identical sets),1,1
10.1002/jae.2782,same (identical sets),1,1
10.1002/jae.2814,same (identical sets),1,1
10.1002/jae.2850,different (one each),1,1
10.1002/jae.2851,same (identical sets),1,1
10.1002/jae.3021,same (identical sets),1,1
10.1002/jbmr.62,same (identical sets),3,3
10.1002/jcv2.12077,same (identical sets),1,1
10.1002/jeab.567,different (one each),1,1
10.1002/jor.21322,overlap (some in common),3,2
10.1002/jts.21996,same (identical sets),1,1
10.1002/mds.26292,same (identical sets),1,1
10.1002/mpr.251,different (one each),1,1
10.1002/mpr.293,same (identical sets),1,1
10.1002/mrm.29947,different (several),1,2
10.1002/pd.5459,same (identical sets),1,1
10.1002/pds.70087,same (identical sets),1,1
10.1002/pon.1181,same (identical sets),1,1
10.1002/pon.5126,same (identical sets),1,1
10.1002/pros.21443,same (identical sets),1,1
10.1002/sim.5925,overlap (some in common),1,2
10.1002/sim.8215,same (identical sets),2,2
10.1002/sm2.34,overlap (some in common),2,1
10.1002/smi.2430,same (identical sets),1,1
10.1002/smj.2911,same (identical sets),1,1
10.1002/syn.70011,same (identical sets),1,1
10.1002/tea.3660220207,same (identical sets),1,1
10.1007/bf00880778,different (one each),1,1
10.1007/bf00911175,same (identical sets),1,1
10.1007/bf00937890,same (identical sets),1,1
10.1007/s00125-009-1557-7,same (identical sets),1,1
10.1007/s00125-015-3508-9,same (identical sets),1,1
10.1007/s00125-017-4405-1,different (several),1,2
10.1007/s00125-017-4497-7,overlap (some in common),1,2
10.1007/s00213-024-06679-6,same (identical sets),1,1
10.1007/s00213-025-06837-4,overlap (some in common),1,3
10.1007/s00221-018-5259-6,overlap (some in common),1,2
10.1007/s00221-022-06411-w,same (identical sets),1,1
10.1007/s00221-022-06450-3,overlap (some in common),1,2
10.1007/s00221-023-06560-6,same (identical sets),1,1
10.1007/s00221-023-06688-5,same (identical sets),1,1
10.1007/s00221-024-06846-3,same (identical sets),1,1
10.1007/s00401-019-02026-8,same (identical sets),1,1
10.1007/s00406-021-01259-7,same (identical sets),1,1
10.1007/s00426-021-01593-4,different (one each),1,1
10.1007/s00426-022-01734-3,same (identical sets),1,1
10.1007/s00426-023-01841-9,overlap (some in common),2,1
10.1007/s00426-025-02211-3,different (one each),1,1
10.1007/s00429-022-02602-x,same (identical sets),1,1
10.1007/s00439-011-0972-2,same (identical sets),1,1
10.1007/s00439-018-1889-9,overlap (some in common),3,2
10.1007/s00464-018-6259-0,same (identical sets),1,1
10.1007/s00520-025-09264-5,same (identical sets),1,1
10.1007/s00787-024-02385-y,same (identical sets),1,1
10.1007/s10071-019-01254-5,same (identical sets),1,1
10.1007/s10198-021-01353-6,same (identical sets),1,1
10.1007/s10484-020-09484-x,same (identical sets),1,1
10.1007/s10579-021-09528-6,same (identical sets),1,1
10.1007/s10608-024-10550-5,same (identical sets),1,1
10.1007/s10654-011-9583-4,same (identical sets),2,2
10.1007/s10654-023-01058-5,same (identical sets),1,1
10.1007/s10664-024-10562-5,same (identical sets),1,1
10.1007/s10683-020-09658-8,overlap (some in common),2,1
10.1007/s10763-023-10368-9,different (one each),1,1
10.1007/s11126-020-09742-5,same (identical sets),1,1
10.1007/s12021-021-09512-z,same (identical sets),1,1
10.1007/s12253-014-9822-6,overlap (some in common),2,3
10.1007/s12286-023-00578-4,same (identical sets),2,2
10.1007/s12671-025-02575-y,same (identical sets),1,1
