work_id,doi,doi,pool_year,pool_title,observatory_year,observatory_title,title_jaccard
323418,https://doi.org/10.1080/00221325.1977.10533240,10.1080/00221325.1977.10533240,1985,"Der Meister, Propheten, Poeten und Könige Sprüche",1977,Jewish Culture and Psychological Differentiation—Partial Replication,0.0
7247632,https://doi.org/10.1001/archpsyc.1981.01780310086009,10.1001/archpsyc.1981.01780310086009,1980,Basagran plus Vistar for control of red rice and sesbania in soybeans.,1981,Diagnostic Interview for Borderline Patients,0.07142857142857142
9305343,https://doi.org/10.1212/wnl.49.3.798,10.1212/wnl.49.3.798,2009,Brand building in hospital sector,1997,Increased risk of mortality in Alzheimer's disease patients with higher education? A replication study,0.0
10332041,https://doi.org/10.1093/hmg/8.6.1085,10.1093/hmg/8.6.1085,2005,Automating Planning Using Natural Language.,1999,The timing of XIST replication: dominance of the domain,0.0
10395218,https://doi.org/10.1038/sj.mp.4000482,10.1038/sj.mp.4000482,1998,L'imagination esthétique : le regard de Vermeer,1999,Genetic association study of a polymorphic CAG repeats array of calcium-activated potassium channel (KCNN3) gene and schizophrenia among the Chinese population from Taiwan,0.0
12468009,https://doi.org/10.1016/s0165-0270(02)00264-9,10.1016/s0165-0270(02)00264-9,2002,Sellos: los misioneros de Hawai,2002,Assessment of locus and extent of neurotoxic lesions in monkeys using neuroimaging techniques: a replication,0.0
15030108,https://doi.org/10.1046/j.1467-9450.2003.00363.x,10.1046/j.1467-9450.2003.00363.x,2013,"O9-5 母乳を介した非IgE依存性食物アレルギー(O9 食物アレルギー3,口演,第63回日本アレルギー学会秋季学術大会)",2003,A strict response criterion yields a mirror effect in the novelty paradigm,0.0
20157068,https://doi.org/10.1001/archoto.2009.219,10.1001/archoto.2009.219,2011,Essays in Education Policy,2010,"Association of IL1A, IL1B, and TNF Gene Polymorphisms With Chronic Rhinosinusitis With and Without Nasal Polyposis",0.0
21279159,https://doi.org/10.1901/jeab.2010.94-13,10.1901/jeab.2010.94-13,1948,Distribution of penetrating particles and high energy electrons in extensive atmospheric showers,2010,DIVIDED STIMULUS CONTROL: A REPLICATION AND A QUANTITATIVE MODEL,0.0625
24897569,https://doi.org/10.1016/0376-6357(85)90034-8,10.1016/0376-6357(85)90034-8,2002,F213 Rayleigh-Benard 対流における正六角形格子上のパターン形成 : 5 次の振幅方程式,1985,Open-field behaviour in chickens: A replication revisited,0.0
26612384,https://doi.org/10.1016/j.euroneuro.2015.11.007,10.1016/j.euroneuro.2015.11.007,2006,Observation of b to d gamma decays and determination of (V(td)/V(ts)),2016,Replication of the association between CHRNA4 rs1044396 and harm avoidance in a large population-based sample,0.058823529411764705
26814567,https://doi.org/10.1207/s15327906mbr0302_5,10.1207/s15327906mbr0302_5,1995,Il problema della decretazione d'urgenza tra costituzione e prassi legislativa,1968,Replication Of Symptom Distress Factors In Anxious Neurotic Outpatients,0.0
