category,field,value_as_given,observatory_records,n_records,replication_ids,stated_title,registry_title,suggested_doi,evidence
DOI for another paper,original_url,https://doi.org/10.1002/hbm.21442,"2431, 2432, 2433, 2434",4,https://doi.org/10.1016/j.cortex.2014.11.019,White matter integrity and behavioral activation in healthy subjects,The pace of prosodic phrasing couples the listener's cortex to the reader's voice,10.1002/hbm.21275,registry title shares 0% of its words with the title given; Crossref search on the stated title finds 10.1002/hbm.21275 (“White matter integrity and behavioral activation in healthy subjects”)
DOI for another paper,original_url,https://doi.org/10.1002/lary.20566,2482,1,https://doi.org/10.1186/s40463-020-00432-7,Brain-derived nerve growth factor in the treatment of sensorineural hearing loss,Pertussis in adulthood,10.1002/lary.20515,registry title shares 0% of its words with the title given; Crossref search on the stated title finds 10.1002/lary.20515 (“Brain‐derived nerve growth factor in the treatment of sensorineural hearing loss”)
DOI for another paper,original_url,https://doi.org/10.1016/0028-3932(94)90145-7,5265,1,https://doi.org/10.1080/13554799908415478,One hand is better than two: motor extinction of left hand advantage in unilateral neglect,Reconsidering the 90° head-rotation paradigm used in neuropsychological research: Are there reflexive rather than hemispatial effects?,10.1016/0028-3932(94)90064-7,registry title shares 4% of its words with the title given; Crossref search on the stated title finds 10.1016/0028-3932(94)90064-7 (“One hand is better than two: Motor extinction of left hand advantage in unilateral neglect”)
DOI for another paper,original_url,https://doi.org/10.1016/j.appet.2010.02.003,2428,1,https://doi.org/10.1016/j.appet.2023.107065,All I saw was the cake: Hunger effects on attentional capture by visual food cues,Feeding patterns and behaviors during home supplementation of underweight Malawian children with lipid-based nutrient supplements or corn-soy blend,10.1016/j.appet.2009.11.003,registry title shares 0% of its words with the title given; Crossref search on the stated title finds 10.1016/j.appet.2009.11.003 (“All I saw was the cake. Hunger effects on attentional capture by visual food cues”)
DOI for another paper,original_url,https://doi.org/10.1016/j.beth.2010.12.001,2425,1,https://doi.org/10.1002/jclp.70017,Emotion as motion: using repetitive flexion movements to stimulate the approach system,Sudden Gains in Treatment-as-Usual Couple Therapy for Military Veterans,,registry title shares 0% of its words with the title given
DOI for another paper,original_url,https://doi.org/10.1016/j.brs.2021.01.006,"2494, 2495",2,https://doi.org/10.3389/fnhum.2022.937515,Asymmetric transcallosal conduction delay leads to finer bimanual movements,Bidirectional and state-dependent modulation of brain activity by transcranial focused ultrasound in non-human primates,,registry title shares 0% of its words with the title given
DOI for another paper,original_url,https://doi.org/10.1016/j.homp.2005.11.002,2498,1,https://doi.org/10.51910/ijhdr.v11i40.588,Improvement of flow cytometric analysis of basophil activation inhibition by high histamine dilutions. A novel basophil specific marker: CD 203c,The Nucleus— Lectures on Chronic Diseases and Miasms,10.1016/j.homp.2005.10.002,registry title shares 0% of its words with the title given; Crossref search on the stated title finds 10.1016/j.homp.2005.10.002 (“Improvement of flow cytometric analysis of basophil activation inhibition by high histamine dilutions. A novel basophil specific marker: CD 203c”)
DOI for another paper,original_url,https://doi.org/10.1016/s0272-7757(99)00057-6,1266,1,https://doi.org/10.1080/0003684042000229532,"Overeducation"" in the Labor Market",Overeducation in the labor market: a meta-analysis,10.1086/298261,same-title comparison (FLoRA vs Observatory): side B names Sicherman's 1991 'Overeducation in the Labor Market' by title and year but carries the DOI of Groot & Maassen van den Brink's 2000 meta-analysis
DOI for another paper,original_url,https://doi.org/10.1017/s0140525x00001850,4541,1,https://doi.org/10.1016/j.concog.2018.07.004,Unconscious cerebral initiative and the role of conscious will in voluntary action,Fodor flawed,10.1017/s0140525x00044903,registry title shares 0% of its words with the title given; Crossref search on the stated title finds 10.1017/s0140525x00044903 (“Unconscious cerebral initiative and the role of conscious will in voluntary action”)
DOI for another paper,original_url,https://doi.org/10.1037/h0073034,2456,1,https://doi.org/10.1038/s41598-025-25608-x,The dynamogenic factors in pacemaking and competition,Space illusions.,10.2307/1412188,registry title shares 0% of its words with the title given; Crossref search on the stated title finds 10.2307/1412188 (“The Dynamogenic Factors in Pacemaking and Competition”)
