sheet_row,node,url_r_before,url_r_after,alt_identifier_r
46,ke43j,https://osf.io/ke43j,https://doi.org/10.17605/OSF.IO/CEHGP,"10.17605/OSF.IO/CEHGP, 10.17605/OSF.IO/XY9MV"
47,7ux8p,https://osf.io/7ux8p,https://doi.org/10.17605/OSF.IO/DWR2M,"10.17605/OSF.IO/DWR2M, 10.17605/OSF.IO/7BNFP"
49,rzjvn,https://osf.io/rzjvn,https://doi.org/10.17605/OSF.IO/PYT4E,10.17605/OSF.IO/PYT4E
226,c5pbg,https://osf.io/c5pbg,https://doi.org/10.17605/OSF.IO/24D7B,"10.17605/OSF.IO/24D7B, 10.17605/OSF.IO/NX6DR, 10.17605/OSF.IO/49XEA"
229,8j9cg,https://osf.io/8j9cg,https://doi.org/10.17605/OSF.IO/9MKAE,"10.17605/OSF.IO/9MKAE, 10.17605/OSF.IO/7UFYV"
303,ahpik,https://osf.io/ahpik,https://doi.org/10.17605/OSF.IO/3UBV9,"10.17605/OSF.IO/3UBV9, 10.17605/OSF.IO/397FH"
304,mua6d,https://osf.io/mua6d,https://doi.org/10.17605/OSF.IO/2KJGZ,10.17605/OSF.IO/2KJGZ
311,bscfe,https://osf.io/bscfe,https://doi.org/10.17605/OSF.IO/X5B6D,10.17605/OSF.IO/X5B6D
313,2gkjt,https://osf.io/2gkjt,https://doi.org/10.17605/OSF.IO/PX56H,10.17605/OSF.IO/PX56H
317,bk53t,https://osf.io/bk53t,https://doi.org/10.17605/OSF.IO/RKQW2,10.17605/OSF.IO/RKQW2
363,sd7kg,https://osf.io/sd7kg,https://doi.org/10.17605/OSF.IO/CSM3D,10.17605/OSF.IO/CSM3D
389,tf8ky,https://osf.io/tf8ky,https://doi.org/10.17605/OSF.IO/U8G3X,"10.17605/OSF.IO/U8G3X, 10.17605/OSF.IO/FJ6E8"
393,yuybh,https://osf.io/yuybh,https://doi.org/10.17605/OSF.IO/HT9DU,10.17605/OSF.IO/HT9DU
445,bzdr2,https://osf.io/bzdr2,https://doi.org/10.17605/OSF.IO/BK79Y,10.17605/OSF.IO/BK79Y
451,38ges,https://osf.io/38ges,https://doi.org/10.17605/OSF.IO/9X765,"10.17605/OSF.IO/9X765, 10.17605/OSF.IO/3AMJ4"
456,pz0my,https://osf.io/pz0my,https://doi.org/10.17605/OSF.IO/SUYFC,10.17605/OSF.IO/SUYFC
457,sg3su,https://osf.io/sg3su,https://doi.org/10.17605/OSF.IO/6VSC4,"10.17605/OSF.IO/6VSC4, 10.17605/OSF.IO/BFZN9"
458,vy1bc,https://osf.io/vy1bc,https://doi.org/10.17605/OSF.IO/36DR5,10.17605/OSF.IO/36DR5
459,blcj6,https://osf.io/blcj6,https://doi.org/10.17605/OSF.IO/J3CFM,10.17605/OSF.IO/J3CFM
460,q7f6w,https://osf.io/q7f6w,https://doi.org/10.17605/OSF.IO/P6JXM,10.17605/OSF.IO/P6JXM
463,su6bm,https://osf.io/su6bm,https://doi.org/10.17605/OSF.IO/RQTGZ,10.17605/OSF.IO/RQTGZ
464,uhpyr,https://osf.io/uhpyr,https://doi.org/10.17605/OSF.IO/F59HN,"10.17605/OSF.IO/F59HN, 10.17605/OSF.IO/8QRTD"
465,j8bpa,https://osf.io/j8bpa,https://doi.org/10.17605/OSF.IO/E35Y2,10.17605/OSF.IO/E35Y2
479,xse7q,https://osf.io/xse7q,https://doi.org/10.17605/OSF.IO/RNE5U,"10.17605/OSF.IO/RNE5U, 10.17605/OSF.IO/3M7QW"
480,i29mh,https://osf.io/i29mh,https://doi.org/10.17605/OSF.IO/BX64Z,10.17605/OSF.IO/BX64Z
482,hp27x,https://osf.io/hp27x,https://doi.org/10.17605/OSF.IO/3FJVT,10.17605/OSF.IO/3FJVT
490,rmvk5,https://osf.io/rmvk5,https://doi.org/10.17605/OSF.IO/6XJQM,10.17605/OSF.IO/6XJQM
534,l8srm,https://osf.io/l8srm,https://doi.org/10.17605/OSF.IO/NGXYE,10.17605/OSF.IO/NGXYE
535,sqim7,https://osf.io/sqim7,https://doi.org/10.17605/OSF.IO/3VA2J,10.17605/OSF.IO/3VA2J
540,vmz2e,https://osf.io/vmz2e,https://doi.org/10.17605/OSF.IO/PXR93,"10.17605/OSF.IO/PXR93, 10.17605/OSF.IO/FSUT4"
542,wkgpq,https://osf.io/wkgpq,https://doi.org/10.17605/OSF.IO/V8W2C,"10.17605/OSF.IO/V8W2C, 10.17605/OSF.IO/DQYBC"
543,b98zw,https://osf.io/b98zw,https://doi.org/10.17605/OSF.IO/Z57UD,"10.17605/OSF.IO/Z57UD, 10.17605/OSF.IO/HB7KJ"
544,vnsqg,https://osf.io/vnsqg,https://doi.org/10.17605/OSF.IO/2FU9T,"10.17605/OSF.IO/2FU9T, 10.17605/OSF.IO/P87CN"
545,p9thw,https://osf.io/p9thw,https://doi.org/10.17605/OSF.IO/X2GMB,"10.17605/OSF.IO/X2GMB, 10.17605/OSF.IO/NRA37"
551,abxcj,https://osf.io/abxcj,https://doi.org/10.17605/OSF.IO/PKTMA,10.17605/OSF.IO/PKTMA
553,nr7d9,https://osf.io/nr7d9,https://doi.org/10.17605/OSF.IO/7CZWD,10.17605/OSF.IO/7CZWD
592,6n3bm,https://osf.io/6n3bm,https://doi.org/10.17605/OSF.IO/Q7HM4,10.17605/OSF.IO/Q7HM4
605,c5fza,https://osf.io/c5fza,https://doi.org/10.17605/OSF.IO/S2D6T,10.17605/OSF.IO/S2D6T
606,hasfu,https://osf.io/hasfu,https://doi.org/10.17605/OSF.IO/RC2KZ,10.17605/OSF.IO/RC2KZ
608,4xdkk,https://osf.io/4xdkk,https://doi.org/10.17605/OSF.IO/A9VRQ,10.17605/OSF.IO/A9VRQ
609,79dey,https://osf.io/79dey,https://doi.org/10.17605/OSF.IO/45VWM,10.17605/OSF.IO/45VWM
613,qlzap,https://osf.io/qlzap,https://doi.org/10.17605/OSF.IO/WBS96,10.17605/OSF.IO/WBS96
617,siaqe,https://osf.io/siaqe,https://doi.org/10.17605/OSF.IO/4ZUH6,"10.17605/OSF.IO/4ZUH6, 10.17605/OSF.IO/PUA6S, 10.17605/OSF.IO/QZRT2"
618,fejxb,https://osf.io/fejxb,https://doi.org/10.17605/OSF.IO/8DZPJ,10.17605/OSF.IO/8DZPJ
