flora_doi_o,flora_url_r,node,n_registrations,registration_dois,registration_dates,any_withdrawn
10.1037/0022-3514.94.1.1,https://osf.io/su6bm,su6bm,1,10.17605/OSF.IO/RQTGZ,2015-07-13,False
10.1037/0022-3514.94.1.116,https://osf.io/xse7q,xse7q,2,"10.17605/OSF.IO/RNE5U, 10.17605/OSF.IO/3M7QW","2015-07-13, 2015-07-24",False
10.1037/0022-3514.94.1.158,https://osf.io/sq8k9,sq8k9,1,10.17605/OSF.IO/X5SZY,2015-07-13,False
10.1037/0022-3514.94.1.16,https://osf.io/rc6mv,rc6mv,1,10.17605/OSF.IO/TYS7B,2015-07-13,False
10.1037/0022-3514.94.1.48,https://osf.io/fejxb,fejxb,2,"10.17605/OSF.IO/V3HFB, 10.17605/OSF.IO/8DZPJ","2012-09-19, 2015-07-13",False
10.1037/0022-3514.94.1.91,https://osf.io/abxcj,abxcj,1,10.17605/OSF.IO/PKTMA,2015-07-13,False
10.1037/0022-3514.94.2.183,https://osf.io/nr7d9,nr7d9,1,10.17605/OSF.IO/7CZWD,2015-07-13,False
10.1037/0022-3514.94.2.245,https://osf.io/ng6cc,ng6cc,1,10.17605/OSF.IO/ZDW87,2015-07-13,False
10.1037/0022-3514.94.2.94.2.196,https://osf.io/2gx4k,2gx4k,2,"10.17605/OSF.IO/2KRYW, 10.17605/OSF.IO/KG2X5","2015-07-13, 2015-07-23",False
10.1037/0022-3514.94.2.94.2.231,https://osf.io/v8vft,v8vft,1,10.17605/OSF.IO/CY9V4,2015-07-13,False
10.1037/0022-3514.94.3.382,https://osf.io/j8bpa,j8bpa,1,10.17605/OSF.IO/E35Y2,2015-07-13,False
10.1037/0022-3514.94.3.396,https://osf.io/79dey,79dey,1,10.17605/OSF.IO/45VWM,2015-07-13,False
10.1037/0022-3514.94.3.429,https://osf.io/cxmf6,cxmf6,2,"10.17605/OSF.IO/T75E3, 10.17605/OSF.IO/WYS6D","2015-07-13, 2015-07-13",True
