work_id,doi_r,old_doi_o,old_title_o,old_link_method,old_outcome,old_file,old_n_rows,new_doi_o,new_title_o,new_link_method,new_outcome,new_file,new_n_rows,match_change,link_method_changed,left_llm_references,outcome_changed
W1521097961,10.3233/jad-2011-111847,10.1371/journal.pgen.1001130,Dementia Revealed: Novel Chromosome 6 Locus for Late-Onset Alzheimer Disease Provides Gene,llm_references,successful,extracted.csv,1,10.1371/journal.pgen.1001130,Dementia Revealed: Novel Chromosome 6 Locus for Late-Onset Alzheimer Disease Provides Gene,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W176265305,10.1176/ajp.153.11.1484,10.1002/(sici)1522-7154(1996)2:1<1::aid-anxi1>3.0.co;2-v | 10.1176/ajp.152.1.22,Complicated grief and bereavement-related depression as distinct disorders: preliminary em | Anxiety among widowed elders: Is it distinct from depression and grief?,llm_references,successful,extracted.csv,2,10.1002/(sici)1522-7154(1996)2:1<1::aid-anxi1>3.0.co;2-v | 10.1176/ajp.152.1.22,Complicated grief and bereavement-related depression as distinct disorders: preliminary em | Anxiety among widowed elders: Is it distinct from depression and grief?,llm_references,successful,extracted_sandbox.csv,2,same original,False,False,False
W1771823445,10.1002/hbm.460010406,10.1093/brain/116.1.1,Functional mapping of brain areas implicated in auditory—verbal memory function,llm_references,successful,extracted.csv,1,10.1093/brain/116.1.1,Functional mapping of brain areas implicated in auditory—verbal memory function,llm_references,cannot_be_determined,extracted_sandbox.csv,1,same original,False,False,True
W195104432,,10.1080/10437797.1998.10778906,Distance Learning in Social Work Education,llm_references,cannot_be_determined,extracted.csv,1,,,target_pending,pending,target_pending.csv,1,declined (no original),True,True,True
W1964529863,10.1002/dev.420060103,10.1002/dev.420040203,Environmentally induced changes in the dimensions of the rat cerebrum,llm_references,failed,extracted.csv,1,10.1002/dev.420040203,Environmentally induced changes in the dimensions of the rat cerebrum,llm_references,failed,extracted_sandbox.csv,1,same original,False,False,False
W1966139138,10.1371/journal.pone.0051876,10.1371/journal.pone.0022757,What People Believe about How Memory Works: A Representative Survey of the U.S. Population,llm_references,successful,extracted.csv,1,10.1371/journal.pone.0022757,What People Believe about How Memory Works: A Representative Survey of the U.S. Population,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W1967997943,10.1081/ada-100101885,10.1017/s0954579498001333,Multiple jeopardy: Risk and protective factors among addicted mothers'offspring,llm_references,successful,extracted.csv,1,10.1017/s0954579498001333,Multiple jeopardy: Risk and protective factors among addicted mothers'offspring,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W1969237464,10.15302/j-fase-2014037,10.1371/journal.pone.0013661,Genome Wide Association Studies for Milk Production Traits in Chinese Holstein Population,llm_references,successful,extracted.csv,1,10.1371/journal.pone.0013661,Genome Wide Association Studies for Milk Production Traits in Chinese Holstein Population,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W1973118694,10.1002/hbm.20283,10.1016/j.neuroimage.2004.03.025,Activation of the fusiform gyrus when individuals with autism spectrum disorder view faces,llm_references,successful,extracted.csv,1,10.1016/j.neuroimage.2004.03.025,Activation of the fusiform gyrus when individuals with autism spectrum disorder view faces,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W1973122849,10.1002/ana.410280508,10.1002/ana.410230509,Mild senile dementia of the alzheimer type: 2. Longitudinal assessment,llm_references,successful,extracted.csv,1,10.1002/ana.410230509,Mild senile dementia of the alzheimer type: 2. Longitudinal assessment,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W1980936285,10.1207/s15326934crj0803_8,10.1080/10400419309534498,Insight problems revisited: The influence of cognitive styles and experience on creative p,llm_references,successful,extracted.csv,1,10.1080/10400419309534498,Insight problems revisited: The influence of cognitive styles and experience on creative p,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W1982594477,10.1016/j.cortex.2012.08.008,10.1016/j.neuropsychologia.2012.07.029,Could masked conceptual primes increase recollection? The subtleties of measuring recollec,llm_references,successful,extracted.csv,1,10.1016/j.neuropsychologia.2012.07.029,Could masked conceptual primes increase recollection? The subtleties of measuring recollec,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W1983161251,10.1080/0360127910170403,10.1080/0380127830090102,SATISFACTION AND ROLE STRAIN AMONG MIDDLE‐AGE AND OLDER REENTRY WOMEN STUDENTS,llm_references,cannot_be_determined,extracted.csv,1,10.1080/0380127830090102,SATISFACTION AND ROLE STRAIN AMONG MIDDLE‐AGE AND OLDER REENTRY WOMEN STUDENTS,llm_references,cannot_be_determined,extracted_sandbox.csv,1,same original,False,False,False
W1984196654,10.1186/1471-2458-8-120,10.1186/1471-2458-6-187,Stages of development and injury patterns in the early years: a population-based analysis,llm_references,successful,extracted.csv,1,10.1186/1471-2458-6-187,Stages of development and injury patterns in the early years: a population-based analysis,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W1984604010,10.1192/bjp.161.1.55,10.1192/bjp.155.1.92,Concordance by Sex in Sibling Pairs with Schizophrenia is Paternally Inherited,llm_references,successful,extracted.csv,1,10.1192/bjp.155.1.92,Concordance by Sex in Sibling Pairs with Schizophrenia is Paternally Inherited,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W1987244237,10.1901/jaba.2007.40-559,10.1901/jaba.1973.6-125,REDUCING THE LATENCY OF A CHILD'S RESPONDING TO INSTRUCTIONS BY MEANS OF A TOKEN SYSTEM1,llm_references,successful,extracted.csv,1,10.1901/jaba.1973.6-125,REDUCING THE LATENCY OF A CHILD'S RESPONDING TO INSTRUCTIONS BY MEANS OF A TOKEN SYSTEM1,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W1988799899,10.1002/ajmg.b.30262,10.1111/j.1440-1819.2004.01280.x,Association of the XBP1−116C/G polymorphism with schizophrenia in the Japanese population,llm_references,failed,extracted.csv,1,10.1111/j.1440-1819.2004.01280.x,Association of the XBP1−116C/G polymorphism with schizophrenia in the Japanese population,llm_references,failed,extracted_sandbox.csv,1,same original,False,False,False
W1994533505,10.1002/ajmg.b.30658,10.1126/science.1129837,Common <i>Kibra</i> Alleles Are Associated with Human Memory Performance,llm_references,failed,extracted.csv,1,10.1126/science.1129837,Common <i>Kibra</i> Alleles Are Associated with Human Memory Performance,llm_references,failed,extracted_sandbox.csv,1,same original,False,False,False
W1995762476,10.1080/00048670802119820,10.1080/00048670802119762,Shyness 1: Distance Treatment of Social Phobia Over the Internet,llm_references,successful,extracted.csv,1,10.1080/00048670802119762,Shyness 1: Distance Treatment of Social Phobia Over the Internet,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W2001858347,10.1111/j.1468-1331.2012.03879.x,10.1002/ana.22403,Genome‐wide association studies of cerebral white matter lesion burden,llm_references,successful,extracted.csv,1,10.1002/ana.22403,Genome‐wide association studies of cerebral white matter lesion burden,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W2003328263,10.1371/journal.pone.0030237,10.1073/pnas.0610765104,"Genetic analysis of the calcineurin pathway identifies members of the EGR gene family, spe",llm_references,successful,extracted.csv,1,10.1073/pnas.0610765104,"Genetic analysis of the calcineurin pathway identifies members of the EGR gene family, spe",llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W2012166465,10.1111/j.1532-5415.1989.tb06814.x,10.1111/j.1532-5415.1981.tb01744.x,Functional Assessment of Elderly Subjects in Four Service Settings*,llm_references,successful,extracted.csv,1,10.1111/j.1532-5415.1981.tb01744.x,Functional Assessment of Elderly Subjects in Four Service Settings*,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W2015123399,10.1159/000012254,10.1097/00005053-199611000-00006 | 10.1111/j.1600-0447.1997.tb09922.x,The Development and Psychometric Characteristics of the Somatoform Dissociation Questionna | The development of the somatoform dissociation questionnaire (SDQ‐5) as a screening instru,llm_references,successful,extracted.csv,2,10.1097/00005053-199611000-00006 | 10.1111/j.1600-0447.1997.tb09922.x,The Development and Psychometric Characteristics of the Somatoform Dissociation Questionna | The development of the somatoform dissociation questionnaire (SDQ‐5) as a screening instru,llm_references,successful,extracted_sandbox.csv,2,same original,False,False,False
W2020060357,10.2466/pr0.1978.43.3.945,10.1007/bf00492361,Effects of chronic administration of diphenylhydantoin on learning and offspring behavior,llm_references,failed,extracted.csv,1,10.1007/bf00492361,Effects of chronic administration of diphenylhydantoin on learning and offspring behavior,llm_references,failed,extracted_sandbox.csv,1,same original,False,False,False
W2024124148,10.4236/jbbs.2013.32020,10.1097/00006842-199303000-00004,"Dependence between apolipoprotein E phenotypes and temperament in children, adolescents, a",llm_references,mixed,extracted.csv,1,10.1097/00006842-199303000-00004,"Dependence between apolipoprotein E phenotypes and temperament in children, adolescents, a",llm_references,mixed,extracted_sandbox.csv,1,same original,False,False,False
W2025439004,10.1007/s00125-015-3508-9,10.1093/hmg/ddu184,Identification of a splicing variant that regulates type 2 diabetes risk factor CDKAL1 lev,llm_references,failed,extracted.csv,1,10.1093/hmg/ddu184,Identification of a splicing variant that regulates type 2 diabetes risk factor CDKAL1 lev,llm_references,failed,extracted_sandbox.csv,1,same original,False,False,False
W2041962819,10.2466/pms.2003.97.1.107,10.1037/0022-3514.59.3.411,The influence of mood on categorization: A cognitive flexibility interpretation.,llm_references,failed,extracted.csv,1,10.1037/0022-3514.59.3.411,The influence of mood on categorization: A cognitive flexibility interpretation.,llm_references,failed,extracted_sandbox.csv,1,same original,False,False,False
W2044943750,10.1002/jae.2424,10.1016/j.jeconom.2010.03.040,A spatio-temporal model of house prices in the USA,llm_references,cannot_be_determined,extracted.csv,1,10.1016/j.jeconom.2010.03.040,A spatio-temporal model of house prices in the USA,llm_references,"computational issues, not checked",extracted_sandbox.csv,1,same original,False,False,True
W2047469948,10.2466/pr0.1974.35.1.531,10.2466/pr0.1972.30.1.132,Effects of Group Laughter on Responses to Humorous Material,llm_references,cannot_be_determined,extracted.csv,1,10.2466/pr0.1972.30.1.132,Effects of Group Laughter on Responses to Humorous Material,llm_references,cannot_be_determined,extracted_sandbox.csv,1,same original,False,False,False
W2049839209,10.1371/journal.pone.0041228,10.1002/art.22813,Association of arthritis with a gene complex encoding C‐type lectin–like receptors,llm_references,successful,extracted.csv,1,10.1002/art.22813,Association of arthritis with a gene complex encoding C‐type lectin–like receptors,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W2053537456,10.2466/pr0.1987.61.2.379,10.1037/0021-9010.71.2.343,Vicarious punishment in a work setting.,llm_references,failed,extracted.csv,1,10.1037/0021-9010.71.2.343,Vicarious punishment in a work setting.,llm_references,failed,extracted_sandbox.csv,1,same original,False,False,False
W2064271395,10.2466/pr0.1989.65.2.579,10.1080/02796015.1984.12085098,Job Satisfaction Among Practicing School Psychologists: A National Study,llm_references,successful,extracted.csv,1,10.1080/02796015.1984.12085098,Job Satisfaction Among Practicing School Psychologists: A National Study,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W2069359258,10.1002/art.33381,10.1002/art.27457,Rheumatoid arthritis risk allele PTPRC is also associated with response to anti–tumor necr,llm_references,successful,extracted.csv,1,10.1002/art.27457,Rheumatoid arthritis risk allele PTPRC is also associated with response to anti–tumor necr,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W2075456319,10.2466/pms.102.1.73-74,10.2466/pr0.2003.92.2.393,Buying Books Online: Follow-up,llm_references,cannot_be_determined,extracted.csv,1,,,target_pending,pending,target_pending.csv,1,declined (no original),True,True,True
