doi_r,set,label,old0,old1,new0,new1
10.1111/jabr.12029,judged,both,decline,decline,decline,decline
10.1002/alr.21275,judged,ours,wrong,wrong,wrong,wrong
10.1109/compsac.2013.82,judged,mo,decline,wrong,decline,wrong
10.1046/j.1365-2133.1996.d01-1096.x,judged,ours,wrong,wrong,wrong,wrong
10.1167/iovs.08-2382,judged,mo,decline,wrong,wrong,wrong
10.1111/j.1540-4781.2006.00384.x,judged,ours,wrong,wrong,wrong,wrong
10.1002/ajp.20895,judged,split,wrong,wrong,decline,partial
10.1017/s0272263100010032,judged,mo,wrong,wrong,wrong,wrong
10.1371/journal.pone.0086462,judged,split,wrong,wrong,wrong,wrong
10.1371/journal.pone.0056732,judged,mo,decline,decline,decline,decline
10.1186/s12881-014-0102-9,judged,mo,wrong,wrong,wrong,wrong
10.1901/jaba.2000.33-239,judged,split,wrong,wrong,wrong,wrong
10.1073/pnas.0508189103,judged,mo,decline,decline,decline,decline
10.2466/pr0.95.3f.1059-1071,judged,mo,wrong,wrong,wrong,wrong
10.1002/mpr.251,judged,mo,decline,decline,decline,decline
10.2466/pr0.2002.91.3.722,judged,both,wrong,wrong,wrong,wrong
10.1080/13554790490507614,judged,split,decline,decline,decline,decline
10.3109/07357907.2011.630052,judged,mo,wrong,wrong,wrong,wrong
10.1001/archpsyc.1996.01830080033007,judged,split,wrong,wrong,wrong,wrong
10.2466/pr0.1990.66.2.407,judged,mo,wrong,decline,wrong,wrong
10.1207/s15327906mbr0104_1,judged,mo,decline,wrong,wrong,decline
10.1093/rheumatology/ker444,judged,mo,decline,decline,decline,decline
10.1093/scan/nst102,judged,split,wrong,wrong,wrong,wrong
10.2466/pr0.94.2.733-735,judged,mo,fix,fix,fix,fix
10.1177/008124630303300307,judged,mo,wrong,wrong,fix,fix
10.1017/s1930297500003144,judged,split,decline,wrong,decline,wrong
10.1186/ar2423,judged,mo,wrong,wrong,wrong,wrong
10.1098/rspb.2009.1765,judged,mo,wrong,wrong,wrong,wrong
10.1017/s0272263100015394,judged,split,wrong,wrong,wrong,wrong
10.1101/lm.1896010,judged,mo,wrong,wrong,partial,wrong
10.1186/ar4504,judged,mo,decline,wrong,decline,decline
10.1177/153944928900900404,judged,mo,wrong,wrong,wrong,wrong
10.1177/1526924816641814,judged,split,wrong,wrong,wrong,wrong
10.1145/2915970.2915983,judged,both,wrong,wrong,decline,decline
10.1002/art.39619,judged,mo,decline,decline,wrong,wrong
10.1080/10586458.2016.1173413,judged,mo,wrong,wrong,wrong,wrong
10.18632/oncotarget.12903,judged,mo,wrong,wrong,wrong,wrong
10.1073/pnas.1615198114,judged,split,wrong,wrong,wrong,wrong
10.1111/bjdp.12216,judged,mo,decline,decline,decline,decline
10.1007/bf00880778,judged,mo,wrong,decline,wrong,wrong
10.1093/ntr/nty218,judged,mo,wrong,wrong,wrong,wrong
10.1111/cogs.12721,judged,mo,decline,decline,decline,decline
10.3389/fpsyg.2019.01381,judged,mo,decline,fix,decline,decline
10.1534/g3.117.300366,judged,mo,wrong,decline,wrong,wrong
10.1080/00224499.2019.1669135,judged,mo,fix,fix,fix,fix
10.1177/1948550619887702,judged,mo,wrong,wrong,wrong,wrong
10.1523/eneuro.0332-19.2020,judged,mo,decline,decline,decline,decline
10.1016/j.bionps.2020.100014,judged,mo,fix,fix,decline,decline
10.3389/fgene.2020.00827,judged,mo,decline,decline,wrong,decline
10.1016/j.jad.2020.07.098,judged,mo,wrong,wrong,wrong,wrong
10.1093/scan/nsaa153,judged,mo,decline,fix,fix,fix
10.16910/jemr.12.4.10,judged,mo,wrong,wrong,wrong,wrong
10.1038/s41598-021-87130-0,judged,mo,fix,decline,decline,wrong
10.1038/s41598-021-91976-9,judged,both,decline,decline,decline,decline
10.5753/sbqs.2016.15130,judged,both,wrong,wrong,wrong,wrong
10.1002/jae.2850,judged,split,wrong,wrong,wrong,wrong
10.1007/s00426-021-01593-4,judged,mo,decline,decline,decline,decline
10.1111/spsr.12479,judged,mo,fix,fix,fix,fix
10.1111/ejn.15512,judged,mo,decline,wrong,decline,decline
10.1371/journal.pone.0262902,judged,mo,decline,decline,decline,decline
10.1080/13803611.2021.2022316,judged,mo,decline,decline,decline,decline
10.1371/journal.pone.0263879,judged,mo,decline,wrong,wrong,wrong
10.1080/20473869.2022.2044594,judged,split,wrong,decline,decline,wrong
10.1111/sjop.12816,judged,both,decline,wrong,wrong,decline
10.3390/ijerph19084912,judged,mo,decline,fix,fix,fix
10.3758/s13423-022-02158-1,judged,mo,decline,wrong,decline,wrong
10.3390/cells11203242,judged,mo,decline,decline,wrong,wrong
10.3389/fpsyg.2022.932592,judged,mo,wrong,wrong,wrong,wrong
10.1017/s1366728922000748,judged,mo,decline,fix,fix,fix
10.1098/rstb.2021.0459,judged,mo,decline,decline,decline,decline
10.1007/s10763-023-10368-9,judged,mo,wrong,decline,wrong,decline
10.1515/cti-2022-0032,judged,mo,wrong,decline,decline,decline
10.1093/schbul/sbad161,judged,mo,wrong,wrong,wrong,wrong
10.1002/mrm.29947,judged,mo,wrong,wrong,wrong,wrong
10.1371/journal.pgen.1011192,judged,mo,wrong,wrong,wrong,wrong
10.1089/cyber.2024.0136,judged,mo,decline,decline,fix,decline
