work_id,doi_r,has_fulltext,n_offered,packet,note
W1521097961,10.3233/jad-2011-111847,False,25,analysis/pick_pilot/truth/packets/W1521097961.md,
W176265305,10.1176/ajp.153.11.1484,False,7,analysis/pick_pilot/truth/packets/W176265305.md,
W1771823445,10.1002/hbm.460010406,False,17,analysis/pick_pilot/truth/packets/W1771823445.md,
W195104432,,False,3,analysis/pick_pilot/truth/packets/W195104432.md,
W1964529863,10.1002/dev.420060103,False,13,analysis/pick_pilot/truth/packets/W1964529863.md,
W1966139138,10.1371/journal.pone.0051876,False,19,analysis/pick_pilot/truth/packets/W1966139138.md,
W1967997943,10.1081/ada-100101885,False,19,analysis/pick_pilot/truth/packets/W1967997943.md,
W1969237464,10.15302/j-fase-2014037,False,26,analysis/pick_pilot/truth/packets/W1969237464.md,
W1973118694,10.1002/hbm.20283,False,69,analysis/pick_pilot/truth/packets/W1973118694.md,
W1973122849,10.1002/ana.410280508,False,20,analysis/pick_pilot/truth/packets/W1973122849.md,
W1980936285,10.1207/s15326934crj0803_8,False,14,analysis/pick_pilot/truth/packets/W1980936285.md,
W1982594477,10.1016/j.cortex.2012.08.008,False,53,analysis/pick_pilot/truth/packets/W1982594477.md,
W1983161251,10.1080/0360127910170403,False,36,analysis/pick_pilot/truth/packets/W1983161251.md,
W1984196654,10.1186/1471-2458-8-120,False,7,analysis/pick_pilot/truth/packets/W1984196654.md,
W1984604010,10.1192/bjp.161.1.55,False,28,analysis/pick_pilot/truth/packets/W1984604010.md,
W1987244237,10.1901/jaba.2007.40-559,False,3,analysis/pick_pilot/truth/packets/W1987244237.md,
W1988799899,10.1002/ajmg.b.30262,False,24,analysis/pick_pilot/truth/packets/W1988799899.md,
W1994533505,10.1002/ajmg.b.30658,True,6,analysis/pick_pilot/truth/packets/W1994533505.md,
W1995762476,10.1080/00048670802119820,False,28,analysis/pick_pilot/truth/packets/W1995762476.md,
W2001858347,10.1111/j.1468-1331.2012.03879.x,False,4,analysis/pick_pilot/truth/packets/W2001858347.md,
W2003328263,10.1371/journal.pone.0030237,False,62,analysis/pick_pilot/truth/packets/W2003328263.md,
W2012166465,10.1111/j.1532-5415.1989.tb06814.x,False,7,analysis/pick_pilot/truth/packets/W2012166465.md,
W2015123399,10.1159/000012254,False,25,analysis/pick_pilot/truth/packets/W2015123399.md,
W2020060357,10.2466/pr0.1978.43.3.945,False,1,analysis/pick_pilot/truth/packets/W2020060357.md,
W2024124148,10.4236/jbbs.2013.32020,False,28,analysis/pick_pilot/truth/packets/W2024124148.md,
W2025439004,10.1007/s00125-015-3508-9,False,11,analysis/pick_pilot/truth/packets/W2025439004.md,
W2041962819,10.2466/pms.2003.97.1.107,False,29,analysis/pick_pilot/truth/packets/W2041962819.md,
W2044943750,10.1002/jae.2424,False,4,analysis/pick_pilot/truth/packets/W2044943750.md,
W2047469948,10.2466/pr0.1974.35.1.531,False,2,analysis/pick_pilot/truth/packets/W2047469948.md,
W2049839209,10.1371/journal.pone.0041228,False,22,analysis/pick_pilot/truth/packets/W2049839209.md,
W2053537456,10.2466/pr0.1987.61.2.379,False,13,analysis/pick_pilot/truth/packets/W2053537456.md,
W2064271395,10.2466/pr0.1989.65.2.579,False,21,analysis/pick_pilot/truth/packets/W2064271395.md,
W2069359258,10.1002/art.33381,False,31,analysis/pick_pilot/truth/packets/W2069359258.md,
W2075456319,10.2466/pms.102.1.73-74,False,3,analysis/pick_pilot/truth/packets/W2075456319.md,
W2077804534,10.1108/02652320710820345,False,19,analysis/pick_pilot/truth/packets/W2077804534.md,
W2086756898,10.1080/02646830600973933,False,40,analysis/pick_pilot/truth/packets/W2086756898.md,
W2092106350,10.1111/j.1469-8986.2005.00367.x,False,39,analysis/pick_pilot/truth/packets/W2092106350.md,
W2093345556,10.2307/2112261,False,52,analysis/pick_pilot/truth/packets/W2093345556.md,
W2095864928,10.1177/1077559504273684,False,90,analysis/pick_pilot/truth/packets/W2095864928.md,
W2104755979,10.1093/brain/awh524,True,49,analysis/pick_pilot/truth/packets/W2104755979.md,
W2116883460,10.1046/j.1365-2648.1999.01230.x,False,28,analysis/pick_pilot/truth/packets/W2116883460.md,
W2117844119,10.1111/gbb.12012,False,24,analysis/pick_pilot/truth/packets/W2117844119.md,
W2119271910,10.1177/00238309070500010201,False,33,analysis/pick_pilot/truth/packets/W2119271910.md,
W2120814713,10.1111/j.1365-2850.2008.01294.x,False,17,analysis/pick_pilot/truth/packets/W2120814713.md,
W2121346405,10.1212/wnl.0b013e318264e353,False,28,analysis/pick_pilot/truth/packets/W2121346405.md,
W2123103695,10.1002/eat.1066,False,19,analysis/pick_pilot/truth/packets/W2123103695.md,
W2123294834,10.1177/0899764011404081,False,87,analysis/pick_pilot/truth/packets/W2123294834.md,
W2124578438,10.2307/256213,False,11,analysis/pick_pilot/truth/packets/W2124578438.md,
W2125426425,10.15288/jsa.1995.56.186,False,34,analysis/pick_pilot/truth/packets/W2125426425.md,
W2127819969,10.1177/008124630303300307,False,9,analysis/pick_pilot/truth/packets/W2127819969.md,
W2128411464,10.1111/1464-0597.00149,False,33,analysis/pick_pilot/truth/packets/W2128411464.md,
W2137148722,10.1002/jae.2493,False,7,analysis/pick_pilot/truth/packets/W2137148722.md,
W2138009685,10.1176/appi.ajp.158.8.1314,False,12,analysis/pick_pilot/truth/packets/W2138009685.md,
