work_id,truth_conf,truth_keys,not_a_replication,old,new,new_method,match_change,old_title,new_title
W1521097961,high,@naj2010,False,right,right,llm_references,same original,Dementia Revealed: Novel Chromosome 6 Locus for Late-Onset Alzheimer Disease Pro,Dementia Revealed: Novel Chromosome 6 Locus for Late-Onset Alzheimer Disease Pro
W176265305,medium,@prigerson1995b,False,right,right,llm_references,same original,Complicated grief and bereavement-related depression as distinct disorders: prel,Complicated grief and bereavement-related depression as distinct disorders: prel
W1771823445,medium,@grasby1993,False,right,right,llm_references,same original,Functional mapping of brain areas implicated in auditory—verbal memory function,Functional mapping of brain areas implicated in auditory—verbal memory function
W195104432,medium,not_on_list,False,right,none,target_pending,declined (no original),Distance Learning in Social Work Education,
W1964529863,medium,@walsh1971 @altman1968,False,right,right,llm_references,same original,Environmentally induced changes in the dimensions of the rat cerebrum,Environmentally induced changes in the dimensions of the rat cerebrum
W1966139138,high,@simons2011,False,right,right,llm_references,same original,What People Believe about How Memory Works: A Representative Survey of the U.S. ,What People Believe about How Memory Works: A Representative Survey of the U.S. 
W1967997943,medium,@luthar1998,False,right,right,llm_references,same original,Multiple jeopardy: Risk and protective factors among addicted mothers'offspring,Multiple jeopardy: Risk and protective factors among addicted mothers'offspring
W1969237464,high,@jiang2010,False,right,right,llm_references,same original,Genome Wide Association Studies for Milk Production Traits in Chinese Holstein P,Genome Wide Association Studies for Milk Production Traits in Chinese Holstein P
W1973118694,high,@hadjikhani2004,False,right,right,llm_references,same original,Activation of the fusiform gyrus when individuals with autism spectrum disorder ,Activation of the fusiform gyrus when individuals with autism spectrum disorder 
W1973122849,high,@berg1988,False,right,right,llm_references,same original,Mild senile dementia of the alzheimer type: 2. Longitudinal assessment,Mild senile dementia of the alzheimer type: 2. Longitudinal assessment
W1980936285,high,@martinsen1993,False,right,right,llm_references,same original,Insight problems revisited: The influence of cognitive styles and experience on ,Insight problems revisited: The influence of cognitive styles and experience on 
W1982594477,high,@taylor2012,False,right,right,llm_references,same original,Could masked conceptual primes increase recollection? The subtleties of measurin,Could masked conceptual primes increase recollection? The subtleties of measurin
W1983161251,medium,@kirk1983,False,right,right,llm_references,same original,SATISFACTION AND ROLE STRAIN AMONG MIDDLE‐AGE AND OLDER REENTRY WOMEN STUDENTS,SATISFACTION AND ROLE STRAIN AMONG MIDDLE‐AGE AND OLDER REENTRY WOMEN STUDENTS
W1984196654,high,@flavin2006,False,right,right,llm_references,same original,Stages of development and injury patterns in the early years: a population-based,Stages of development and injury patterns in the early years: a population-based
W1984604010,medium,@crow1989,False,right,right,llm_references,same original,Concordance by Sex in Sibling Pairs with Schizophrenia is Paternally Inherited,Concordance by Sex in Sibling Pairs with Schizophrenia is Paternally Inherited
W1987244237,high,@fjellstedt1973,False,right,right,llm_references,same original,REDUCING THE LATENCY OF A CHILD'S RESPONDING TO INSTRUCTIONS BY MEANS OF A TOKEN,REDUCING THE LATENCY OF A CHILD'S RESPONDING TO INSTRUCTIONS BY MEANS OF A TOKEN
W1988799899,medium,@kakiuchi2004 @chen2004,False,right,right,llm_references,same original,Association of the XBP1−116C/G polymorphism with schizophrenia in the Japanese p,Association of the XBP1−116C/G polymorphism with schizophrenia in the Japanese p
W1994533505,high,@papassotiropoulos2006,False,right,right,llm_references,same original,Common <i>Kibra</i> Alleles Are Associated with Human Memory Performance,Common <i>Kibra</i> Alleles Are Associated with Human Memory Performance
W1995762476,high,@titov2008,False,right,right,llm_references,same original,Shyness 1: Distance Treatment of Social Phobia Over the Internet,Shyness 1: Distance Treatment of Social Phobia Over the Internet
W2001858347,high,@fornage2011,False,right,right,llm_references,same original,Genome‐wide association studies of cerebral white matter lesion burden,Genome‐wide association studies of cerebral white matter lesion burden
W2003328263,medium,@yamada2007,False,right,right,llm_references,same original,Genetic analysis of the calcineurin pathway identifies members of the EGR gene f,Genetic analysis of the calcineurin pathway identifies members of the EGR gene f
W2012166465,medium,@pfeiffer1981,False,right,right,llm_references,same original,Functional Assessment of Elderly Subjects in Four Service Settings*,Functional Assessment of Elderly Subjects in Four Service Settings*
W2015123399,high,@nijenhuis1996 @nijenhuis1997,False,right,right,llm_references,same original,The Development and Psychometric Characteristics of the Somatoform Dissociation ,The Development and Psychometric Characteristics of the Somatoform Dissociation 
W2020060357,high,@rowley1977,False,right,right,llm_references,same original,Effects of chronic administration of diphenylhydantoin on learning and offspring,Effects of chronic administration of diphenylhydantoin on learning and offspring
W2024124148,high,@keltikangasjrvinen1993,False,right,right,llm_references,same original,"Dependence between apolipoprotein E phenotypes and temperament in children, adol","Dependence between apolipoprotein E phenotypes and temperament in children, adol"
W2025439004,high,@zhou2014,False,right,right,llm_references,same original,Identification of a splicing variant that regulates type 2 diabetes risk factor ,Identification of a splicing variant that regulates type 2 diabetes risk factor 
W2041962819,high,@murray1990,False,right,right,llm_references,same original,The influence of mood on categorization: A cognitive flexibility interpretation.,The influence of mood on categorization: A cognitive flexibility interpretation.
W2044943750,high,@holly2010,False,right,right,llm_references,same original,A spatio-temporal model of house prices in the USA,A spatio-temporal model of house prices in the USA
W2047469948,medium,@smyth1972,False,right,right,llm_references,same original,Effects of Group Laughter on Responses to Humorous Material,Effects of Group Laughter on Responses to Humorous Material
W2049839209,high,@lorentzen2007,False,right,right,llm_references,same original,Association of arthritis with a gene complex encoding C‐type lectin–like recepto,Association of arthritis with a gene complex encoding C‐type lectin–like recepto
W2053537456,medium,@schnake1986,False,right,right,llm_references,same original,Vicarious punishment in a work setting.,Vicarious punishment in a work setting.
W2064271395,high,@anderson1984,False,right,right,llm_references,same original,Job Satisfaction Among Practicing School Psychologists: A National Study,Job Satisfaction Among Practicing School Psychologists: A National Study
W2069359258,high,@cui2010,False,right,right,llm_references,same original,Rheumatoid arthritis risk allele PTPRC is also associated with response to anti–,Rheumatoid arthritis risk allele PTPRC is also associated with response to anti–
W2075456319,medium,@yang2003,False,right,none,target_pending,declined (no original),Buying Books Online: Follow-up,
W2077804534,high,@matzler2006,False,right,right,llm_references,same original,Dimensions of price satisfaction: a study in the retail banking industry,Dimensions of price satisfaction: a study in the retail banking industry
W2086756898,high,@newton2003,False,right,right,llm_references,same original,Socioemotional Correlates of Self-Reported Menstrual Cycle Irregularity in Preme,Socioemotional Correlates of Self-Reported Menstrual Cycle Irregularity in Preme
W2092106350,medium,@hagemann2002,False,right,right,llm_references,same original,Does resting electroencephalograph asymmetry reflect a trait? An application of ,Does resting electroencephalograph asymmetry reflect a trait? An application of 
W2093345556,medium,@blalock1968,False,right,none,target_pending,declined (no original),The American Occupational Structure.,
W2095864928,medium,@knutson2004,False,right,right,llm_references,same original,Social disadvantage and neglectful parenting as precursors to the development of,Social disadvantage and neglectful parenting as precursors to the development of
W2104755979,high,@kanemoto2000 @virta2002 @kanemoto2003 @peltola2001 @stgmann2002 @gambardella2003 @walz2003 @briellmann2000 @chou2003b @chou2003,False,partial,partial,llm_title_search,overlap (added/dropped an original),Association of an ABCB1 gene haplotype with pharmacoresistance in temporal lobe ,APOE epsilon4 genotype is associated with an earlier onset of chronic temporal l
W2116883460,high,@lowe1993,False,right,right,llm_references,same original,Maternal confidence for labor: Development of the childbirth self‐efficacy inven,Maternal confidence for labor: Development of the childbirth self‐efficacy inven
W2117844119,high,@mattay2003,False,right,right,llm_references,same original,Catechol O -methyltransferase val 158 -met genotype and individual variation in ,Catechol O -methyltransferase val 158 -met genotype and individual variation in 
W2119271910,high,@dupoux1999,False,right,right,llm_references,same original,Epenthetic vowels in Japanese: A perceptual illusion?,Epenthetic vowels in Japanese: A perceptual illusion?
W2120814713,high,@bowers2006,False,right,right,llm_references,same original,Preliminary outcomes of a trial to reduce conflict and containment on acute psyc,Preliminary outcomes of a trial to reduce conflict and containment on acute psyc
W2121346405,medium,@nalls2011,False,right,right,llm_references,same original,Imputation of sequence variants for identification of genetic risks for Parkinso,Imputation of sequence variants for identification of genetic risks for Parkinso
W2123103695,high,@mahon2001,False,right,right,llm_references,same original,Do broken relationships in childhood relate to bulimic women breaking off psycho,Do broken relationships in childhood relate to bulimic women breaking off psycho
W2123294834,high,@jacobs2002,False,right,right,llm_references,same original,Media Publicity and the Voluntary Sector: The Case of Nonprofit Organizations in,Media Publicity and the Voluntary Sector: The Case of Nonprofit Organizations in
W2124578438,high,@graen1982,False,right,none,target_pending,declined (no original),Role of leadership in the employee withdrawal process.,
W2125426425,high,@cooper1988,False,right,right,llm_references,same original,"Coping, expectancies, and alcohol abuse: A test of social learning formulations.","Coping, expectancies, and alcohol abuse: A test of social learning formulations."
W2127819969,high,@abrahams1999,False,wrong,right,llm_references,different original,The comparability of the constructs of the 16PF in the South African context,Qualitative and Statistical Impacts of Home Language on Responses to the Items o
W2128411464,high,@steiner1996,False,right,right,llm_references,same original,Fairness reactions to personnel selection techniques in France and the United St,Fairness reactions to personnel selection techniques in France and the United St
W2137148722,high,@chan2013b,False,right,right,llm_references,same original,A New Model of Trend Inflation,A New Model of Trend Inflation
W2138009685,medium,@deicken2000,False,right,right,llm_references,same original,Reduced Concentrations of Thalamic <i>N</i>-Acetylaspartate in Male Patients Wit,Reduced Concentrations of Thalamic <i>N</i>-Acetylaspartate in Male Patients Wit
