doi_r,source_csv,link_method,verdict,artifact_paths,artifact_bytes,notes
10.1038/s41562-020-0878-x,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=openalex:1 (07-27 15:22..07-27 15:22)
10.1111/bjhp.12331,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=openalex:1 (07-27 15:22..07-27 15:22)
10.17605/osf.io/gn3tv,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.17605/osf.io/q8g7f,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.17605/osf.io/dgkjt,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1257/rct.2987-3.1,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.3410/f.738492768.793577779,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1257/rct.2987-2.0,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1257/rct.2987-3.0,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1257/rct.2987,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.5281/zenodo.18973410,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.5281/zenodo.18973411,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.17705/1atrr.00011,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1177/13621688211026032,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.17705/1atrr.00056,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.17705/1atrr.00010,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.31234/osf.io/knh68,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1002/jnr.24569,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1007/s10664-021-09947-7,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1111/ecge.12072,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.17705/1atrr.00064,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.3389/fpsyg.2020.565128,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1002/jae.2544,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1002/hrdq.21212,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.5117/2017.045.002.008,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.31234/osf.io/3fv45,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.5958/2320-6233.2015.00002.4,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
