option,admitted,new,new_no_abs,known_new,obs,flora,extracted,per_1k,prev_screened,prev_proceed,dom_Social,dom_Health,dom_Life,dom_Physical,dom_Other,dom_none
A,9106,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
B,30728,21622,354,647,532,539,0,29.9,0,0,10768,1518,2221,6925,0,190
B_abs,30374,21268,0,646,531,538,0,30.4,0,0,10644,1495,2181,6793,0,155
B_SHL,23613,14507,187,567,470,476,0,39.1,0,0,10768,1518,2221,0,0,0
C,54951,45845,0,746,584,617,0,16.3,0,0,24427,5378,5205,10572,0,263
C_SHL,44116,35010,0,659,520,551,0,18.8,0,0,24427,5378,5205,0,0,0
C_SH,38911,29805,0,620,485,519,0,20.8,0,0,24427,5378,0,0,0,0
D,85486,76380,0,816,634,676,0,10.7,0,0,35256,10479,10495,19737,0,413
D_SHL,65336,56230,0,720,564,602,0,12.8,0,0,35256,10479,10495,0,0,0
C+B,63381,54275,354,909,719,750,0,16.7,0,0,27652,5852,6574,13849,0,348
C_SHL+B,56299,47193,354,878,696,727,0,18.6,0,0,27652,5852,6574,6925,0,190
