option,new,sample_n,proceed_k,proceed_rate,ci_lo,ci_hi,exp_proceeds
B,21622,120,74,0.617,0.527,0.699,13334.0
B_abs,21268,119,73,0.613,0.524,0.696,13047.0
B_SHL,14507,76,52,0.684,0.573,0.778,9926.0
C,45845,120,69,0.575,0.486,0.66,26361.0
C_SHL,35010,88,51,0.58,0.475,0.677,20290.0
C_SH,29805,76,48,0.632,0.519,0.731,18824.0
D,76380,240,99,0.445,0.384,0.507,33995.0
D_SHL,56230,173,80,0.49,0.415,0.564,27530.0
C+B,54275,162,93,0.574,0.496,0.653,31178.0
C_SHL+B,47193,140,84,0.605,0.521,0.689,28550.0
PubMed-admits,34,34,17,0.5,0.341,0.659,
