work_id,doi,population,pool_year,pool_title,known_twin,registry_agency,registry_type,registry_title,registry_years,title_sim,year_gap,n_pool_siblings,sibling_matches_registry,verdict,twin_class
224635783,10.3969/j.issn.1002-0829.2012.01.002,admitted_c048|set_aside:target_pending.csv,2012.0,Efficacy of contingency management in improving retention and compliance to methadone maintenance treatment: a random controlled study.,False,,,,,,,,,doi_unregistered,
1548962992,10.5555/359640.359729,admitted_c048|extracted,2000.0,Using electronic media for information sharing activities: a replication and extension,False,,,,,,,,,doi_unregistered,
1743160415,10.7490/f1000research.1096346.1,admitted_c048|extracted,2014.0,Resting state connectivity predicts implicit sequence learning performance: a replication and extension,False,,,,,,,,,doi_unregistered,
1867956390,10.4324/9780203832714-20,admitted_c048|extracted,2011.0,Using video to improve mathematics' teachers' abilities to attend to classroom features: A replication study,False,,,,,,,,,doi_unregistered,
2147563934,10.1017/s0003480001008715,admitted_c048|extracted,2001.0,Replication studies in longevity: puzzling findings in Danish centenarians at the 3'APOB-VNTR locus.,False,,,,,,,,,doi_unregistered,
2163324085,10.1111/j.1931-2393.2009.4111209.x,admitted_c048|set_aside:target_pending.csv,2009.0,Taking be proud! Be responsible! To the suburbs: a replication study.,False,,,,,,,,,doi_unregistered,
3044683407,10.58729/2167-3454.1105,admitted_c048|extracted,2020.0,Developing and Implementing FBA-BIPs in Elementary Classrooms: A Conceptual Replication.,False,,,,,,,,,doi_unregistered,
3091908735,10.17705/1atrr.00050,admitted_c048|set_aside:target_pending.csv,2020.0,A Conceptual Replication of the Unified Model of Information Security Policy Compliance,False,,,,,,,,,doi_unregistered,
3092065924,10.17705/1atrr.00048,admitted_c048|extracted,2020.0,Trust or Consequences Replication: A Methodological Replication Study,False,,,,,,,,,doi_unregistered,
3092105844,10.17705/1atrr.00054,admitted_c048,2020.0,Objective versus Relative Risk in Privacy Decision Making: A Replication Study from Germany,False,,,,,,,,,doi_unregistered,
3092516581,10.17705/1atrr.00053,admitted_c048,2020.0,Open Data: A Replication Study of User Motivation in Protecting Information Security using Protection Motivation Theory and Self-Determination Theory,False,,,,,,,,,doi_unregistered,
3095944999,10.17705/1atrr.00062,admitted_c048,2020.0,Emotional Dissonance and the Information Technology Professional: A Methodological Replication Study,False,,,,,,,,,doi_unregistered,
3097595019,10.17705/1atrr.00063,admitted_c048,2020.0,Towards a Greater Diversity of Replication Studies,False,,,,,,,,,doi_unregistered,
3205757548,10.13140/rg.2.2.27294.84802,admitted_c048|set_aside:search_link_unconfirmed.csv,2018.0,Lineaments of Support for Suicide Terrorism Among Indonesians: A Replication Study,False,,,,,,,,,doi_unregistered,
3213546858,10.17705/1atrr.00067,admitted_c048,2021.0,Toward a Unified Model of Information Security Policy Compliance: A Conceptual Replication Study,False,,,,,,,,,doi_unregistered,
6884501775,10.1021/la102083t.s001,admitted_c048,2016.0,Synthesis of Self-Supporting Gold Microstructures with Three-Dimensional Morphologies by Direct Replication of Diatom Templates,False,,,,,,,,,doi_unregistered,
6885081064,10.13140/rg.2.2.23777.83045,admitted_c048|extracted,2025.0,Materiality in the CSR-investor reaction relationship: A replication and extension of Flammer (2013),False,,,,,,,,,doi_unregistered,
6887818884,10.17605/osf.io/mv6r2,admitted_c048|set_aside:target_pending.csv,2023.0,Colorblind ideology/Assimilation and Perception of a Bleak Future on Anti-immigration attitudes and White Nationalism: Replication and Extensions,False,,,,,,,,,doi_unregistered,
6888479989,10.20381/ruor-28430,admitted_c048|extracted,2022.0,How can clinicians choose between conflicting and discordant systematic reviews? A replication study of the Jadad algorithm,False,,,,,,,,,doi_unregistered,
6903146283,10.1002/1098-108x(198811)7:6&amp;lt;813::aid-eat2260070612&amp;gt;3.0.co;2-4,admitted_c048|extracted,1988.0,Multiple Aspects and Correlates of Body Figure Ratings: A Replication and Extension of Fallon and Rozin (1985),False,,,,,,,,,doi_unregistered,
6903231421,10.1021/bi050036+.s001,admitted_c048,2016.0,Thermodynamic and in Vitro Replication Studies of an Intrastrand G[8-5]C\nCross-Link Lesion&lt;sup&gt;†&lt;/sup&gt;,False,,,,,,,,,doi_unregistered,
6906515382,10.17605/osf.io/6uwzf,admitted_c048|set_aside:no_evidence.csv,2019.0,Replication and Extension of the Liking Gap at BYU-Idaho,False,,,,,,,,,doi_unregistered,
6908660831,10.3262/zse1601078,admitted_c048|set_aside:target_pending.csv,2016.0,More or Less Violence in Schools? A Replication Study from 1996-2014 in Saxon Schools,False,,,,,,,,,doi_unregistered,
6921836316,10.1021/tx300325q.s001,admitted_c048,2016.0,&lt;i&gt;In-Vitro&lt;/i&gt; Replication Studies on &lt;i&gt;O&lt;/i&gt;&lt;sup&gt;2&lt;/sup&gt;‑Methylthymidine\nand &lt;i&gt;O&lt;/i&gt;&lt;sup&gt;4&lt;/sup&gt;‑Methylthymidine,False,,,,,,,,,doi_unregistered,
6925356556,10.17605/osf.io/sj589,admitted_c048|set_aside:target_pending.csv,2018.0,Study 2 - MTurk replication and extension,False,,,,,,,,,doi_unregistered,
6940316285,10.1002/1097-4679(199407)50:4&amp;lt;624::aid-jclp2270500420&amp;gt;3.0.co;2-i,admitted_c048|set_aside:target_pending.csv,1994.0,Lay theories of psychotherapy and perceptions of therapists: A replication and extension of furnham and wardley,False,,,,,,,,,doi_unregistered,
6941122926,10.1111/1475-6773.12595/full,admitted_c048|set_aside:target_pending.csv,,Testing the Replicability of a Successful Care Management Program: Results from a Randomized Trial and Likely Explanations for Why Impacts Did Not Replicate,False,,,,,,,,,doi_unregistered,
6959337438,10.1021/bi2007417.s001,admitted_c048,2016.0,In Vitro Replication Studies\nof Carboxymethylated DNA Lesions with &lt;i&gt;Saccharomyces cerevisiae&lt;/i&gt; Polymerase η,False,,,,,,,,,doi_unregistered,
6962448196,10.17605/osf.io/qrm83,admitted_c048|set_aside:no_original_found.csv,2024.0,"Second Phase: Replication and extension of Gantman et al. ""The time course of moral perception: an ERP investigation of the moral pop-out effect""",False,,,,,,,,,doi_unregistered,
6962975206,10.17605/osf.io/snkm8,admitted_c048,2018.0,Study 3 - Field replication,False,,,,,,,,,doi_unregistered,
6964744768,10.26180/19568839.v1,admitted_c048|set_aside:target_pending.csv,2022.0,The validity and reliability of the high sensitivity cognitive screen : a replication study,False,,,,,,,,,doi_unregistered,
7082357064,10.17605/osf.io/h92aw,admitted_c048|set_aside:target_pending.csv,2025.0,Efficiency or Equity? How Public Values Shape Bureaucrats' Artificial Intelligence Use? A Replication Study from Citizen’s Perspective,False,,,,,,,,,doi_unregistered,
7093342940,10.17605/osf.io/kgcp6,admitted_c048|set_aside:target_pending.csv,2025.0,"Pragmatic and Syntactic Influences on Adjective Interpretation: A Conceptual Replication of Wittenberg, Barner, and Levy (2016)",False,,,,,,,,,doi_unregistered,
7108328215,10.17605/osf.io/w5hnz,admitted_c048|set_aside:no_evidence.csv,2025.0,Carlson et al. 2020 - Replication Study,False,,,,,,,,,doi_unregistered,
7108711914,10.17605/osf.io/zvr6d,admitted_c048|set_aside:target_pending.csv,2025.0,Delta-Gamma Phase-Amplitude Coupling as Biomarker of Conscious States: A Pre-Registered Replication Study,False,,,,,,,,,doi_unregistered,
7110866713,10.1002/(sici)1097-0266(199711)18:103.0.co;2-r,admitted_c048|extracted,,Interindustry merger patterns and resource dependence: a replication and extension of Pfeffer (1972),False,,,,,,,,,doi_unregistered,
7139024853,"10.3758/bf03329773"">https://dx.doi.org/10.3758/bf03329773</a",admitted_c048|set_aside:unidentified_original.csv,1985.0,Failure to replicate mood-dependent retrieval,False,,,,,,,,,doi_unregistered,
7148895281,10.17605/osf.io/7ng4x,admitted_c048|set_aside:no_evidence.csv,2026.0,Revisiting parallel form equivalence for the English Elicited Imitation Task: A conceptual replication,False,,,,,,,,,doi_unregistered,
7160385271,10.17605/osf.io/nswxj,admitted_c048|set_aside:no_evidence.csv,2026.0,Associations of Stress Reactivity and Recovery with Age and Personality: A Multi-Method Replication and Extension,False,,,,,,,,,doi_unregistered,
6924928647,10.17605/osf.io/cjsk2,admitted_c048,2017.0,"Knowing exactly how effective an intervention, treatment, or manipulation is and ensuring that a study replicates: accuracy in parameter estimation as a partial solution to the replication crisis",False,content_negotiation,posted-content,"Knowing how effective an intervention, treatment, or manipulation is and increasing replication rates: accuracy in parameter estimation as a partial solution to the replication crisis",published=2017;issued=2017;created=2018,0.867,0.0,0.0,False,match,
4254835574,10.5114/cipp.2021.110948,admitted_c048,2021.0,"Conceptual replication of Seo (2008), “Self-efficacy as a mediator in the relationship between self-oriented perfectionism and academicprocrastination”",False,crossref,journal-article,"Conceptual replication of Seo (2008), “Self-efficacy as a mediator in the relationship between self-oriented perfectionism and academic
procrastination”",published-online=2021;published=2021;issued=2021;created=2021,0.917,0.0,0.0,False,match,
3090766329,10.3758/s13414-019-01950-x,admitted_c048|extracted,2020.0,"Can you have multiple attentional templates? Large-scale replications of Van Moorselaar, Theeuwes, and Olivers (2014) and Hollingworth and Beck (2016) (vol 81, pg 2700, 2019)",False,crossref,journal-article,"Correction to: Can you have multiple attentional templates? Large-scale replications of Van Moorselaar, Theeuwes, and Olivers (2014) and Hollingworth and Beck (2016)",published-print=2020;published-online=2019;published=2019;issued=2019;created=2019,0.944,0.0,1.0,True,match,
10562547,10.1176/ps.47.10.1125,admitted_c048|set_aside:target_pending.csv,1996.0,Day treatment versus supported employment for persons with severe mental illness: a replication study,False,crossref,journal-article,Day treatment versus supported employment for persons with severe mental illness: a replication study,published-print=1996;published=1996;issued=1996;created=2014,1.0,0.0,0.0,False,match,
29234848,10.1080/02796015.1986.12085213,admitted_c048|extracted,1986.0,Direct Replication of a Cross-Age Tutoring Program Involving Handicapped Adolescents and Children,False,crossref,journal-article,Direct Replication of a Cross-Age Tutoring Program Involving Handicapped Adolescents and Children,published-print=1986;published-online=2019;published=1986;issued=1986;created=2020,1.0,0.0,0.0,False,match,
37512214,10.2466/17.pr0.114k20w0,admitted_c048|set_aside:target_pending.csv,2014.0,Framing Unauthorized Immigrants: The Effects of Labels on Evaluations,False,crossref,journal-article,Framing Unauthorized Immigrants: The Effects of Labels on Evaluations,published-print=2014;published-online=2014;published=2014;issued=2014;created=2014,1.0,0.0,0.0,False,match,
38774845,10.1177/105268461102100603,admitted_c048,2011.0,A Systems Approach to Effectiveness in Catholic Elementary Schools: A Replication and Extension,False,crossref,journal-article,A Systems Approach to Effectiveness in Catholic Elementary Schools: A Replication and Extension,published-print=2011;published-online=2011;published=2011;issued=2011;created=2019,1.0,0.0,0.0,False,match,
49173955,10.1007/978-3-8349-8099-1_4,admitted_c048,2008.0,Measurement of Attitude Toward Private Labels: A Replication and Extension,False,crossref,book-chapter,Measurement of Attitude Toward Private Labels: A Replication and Extension,published-print=2008;published=2008;issued=2008;created=2009,1.0,0.0,0.0,False,match,
71802120,10.1080/00222216.1977.11970318,admitted_c048|extracted,1977.0,Leisure Socialization: Replication and Extension,False,crossref,journal-article,Leisure Socialization: Replication and Extension,published-print=1977;published-online=2018;published=1977;issued=1977;created=2018,1.0,0.0,0.0,False,match,
102226440,10.1176/ajp.154.4.551,admitted_c048|extracted,1997.0,Reduced morbidity after gradual discontinuation of lithium treatment for bipolar I and II disorders: a replication study,False,crossref,journal-article,Reduced morbidity after gradual discontinuation of lithium treatment for bipolar I and II disorders: a replication study,published-print=1997;published=1997;issued=1997;created=2014,1.0,0.0,0.0,False,match,
121562442,10.26076/8a52-1eb1,admitted_c048|extracted,2021.0,Outcomes and Presurgical Correlates of Lumbar Fusion in Utah Workers' Compensation Patients: A Replication Study,False,content_negotiation,article-journal,Outcomes and Presurgical Correlates of Lumbar Fusion in Utah Workers' Compensation Patients: A Replication Study,issued=2012,1.0,9.0,0.0,False,match,
124499220,10.34917/2824168,admitted_c048,2020.0,School counselor assignment in secondary schools: Replication and extension,False,content_negotiation,thesis,School counselor assignment in secondary schools: Replication and extension,issued=2011,1.0,9.0,0.0,False,match,
132413780,10.1111/j.1742-1241.2001.tb11065.x,admitted_c048|set_aside:target_pending.csv,2001.0,THE NIACIN SKIN FLUSH TEST IN SCHIZOPHRENIA: A REPLICATION STUDY,False,crossref,journal-article,THE NIACIN SKIN FLUSH TEST IN SCHIZOPHRENIA: A REPLICATION STUDY,published-print=2001;published-online=2001;published=2001;issued=2001;created=2023,1.0,0.0,0.0,False,match,
135501715,10.12794/metadc67994,admitted_c048|extracted,2011.0,Replication and Extension of a Comprehensive Staff Training Program for an Autism Treatment Program,False,crossref,dissertation,Replication and Extension of a Comprehensive Staff Training Program for an Autism Treatment Program,created=2025,1.0,14.0,0.0,False,match,
162660928,10.1176/ajp.153.6.806,admitted_c048|set_aside:target_pending.csv,1996.0,Clinical characteristics of Kraepelinian schizophrenia: replication and extension of previous findings,False,crossref,journal-article,Clinical characteristics of Kraepelinian schizophrenia: replication and extension of previous findings,published-print=1996;published=1996;issued=1996;created=2014,1.0,0.0,0.0,False,match,
174681507,10.48456/tr-331,admitted_c048,2021.0,HPP: a hierarchical propagation protocol for large scale replication in wide area networks,False,content_negotiation,report,HPP: a hierarchical propagation protocol for large scale replication in wide area networks,issued=1994,1.0,27.0,0.0,False,match,
