doi_r,title_r,old_filter_status,old_filter_confidence,new_filter_status,new_filter_confidence,new_filter_evidence
10.1002/jae.2544,Economic Transition and Growth: A Replication,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1002/hrdq.21212,Psychological Capital Intervention (<scp>PCI</scp>): A Replication and Extension,replication,high,needs_review,medium,phrase:replication and extension; no same-sentence cite
10.3389/fpsyg.2015.01365,Meta-analyses are no substitute for registered replications: a skeptical perspective on religious pr,replication,high,needs_review,medium,phrase:preregistered replication; no same-sentence cite
10.1371/journal.pone.0072467,Two Failures to Replicate High-Performance-Goal Priming Effects,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.1113/jp281472,The unknowable probability of replication,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.1111/bjhp.12331,Ethical issues surrounding the study of nocebo effects: Recommendations for deceptive research,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.23668/psycharchives.2392,Quantifying Replication Value: A formula-based approach to study selection in replication research.,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.5117/2017.045.002.008,Summaries,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.31234/osf.io/3fv45,Zhang &amp;amp; Smith_Does Power Reduce Temporal Discounting,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.31234/osf.io/rhvs8,Efficacy and Collective (Dis)satisfaction,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.1117/12.2583654,SCIL nanoimprint: wafer scale overlay alignment and single nm reproductibility by Fourrier scatterom,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.31234/osf.io/kmx75,Towards a simplified justification of the chosen sample size,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.31234/osf.io/5y34g,Reexamining the “Brain Drain” Effect: Does Ward et al. (2017) Replicate?,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1126/science.1202596,Corrections and Clarifications,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.1126/science.332.6029.537-d,Corrections and Clarifications,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.31234/osf.io/6kmjv,No evidence for embodiment: The motor system is not needed to keep action words in working memory,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.5117/tvt2017.1.jans,Meegesleept in de wereld van het verhaal?,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.1101/189522,Failure to reactivate salient episodic information during indirect and direct tests of memory retrie,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.5514/rmac.v31.i2.23247,El efecto de señales contingentes y no contingentes durante el intervalo de demora sobre la adquisic,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.31234/osf.io/kavx4_v1,Incidental Attitude Formation via the Surveillance Task: A Registered Replication Report of Olson an,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.31234/osf.io/d2eqk,Social Value Orientation and Attachment: A Replication and Extension of Van Lange et al. (1997),replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
10.1027/1618-3169/a000461,The “Mnemonic Time-Travel Effect”,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.31234/osf.io/kfgr8,Small procedural differences matter: Conceptual and direct replication attempts of the communication,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.31234/osf.io/2h59n,"Close and Conceptual Replications of Waytz, Dungan, &amp;amp; Young (2013) Studies 2b and 4",replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1080/10508619.2019.1568142,Perceived Morality and Antiatheist Prejudice: A Replication and Extension,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.2466/04.03.pr0.112.2.533-544,Is Intelligence Enhanced by Letter Priming? A Failure to Replicate the Results of Ciani and Sheldon ,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.17705/1atrr.00061,Re-Evaluating Internet Users’ Information Privacy Concerns: The Case in Japan,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.31234/osf.io/qjw7g,Revisiting the Relationship Between Social Distance and Communication Preferences: Replications and ,replication,high,needs_review,medium,phrase:conceptual replication; no same-sentence cite
10.17705/1atrr.00030,Mitigating Turnover Intentions: Are All IT Workers Warriors?,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.31234/osf.io/kbyna,Good things come to those who wait: Delaying gratification likely does matter for later achievement,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.17705/1atrr.00020,Emergent Leadership in Self-managed Virtual Teams: A Replication,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1561/107.00000066,Women’s Luxury Products as Signals to Other Women,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.3389/fpsyg.2020.573985,Further Validation of Measures of Target Detection and Stereotype Activation in the Stereotype Mispe,replication,high,needs_review,medium,phrase:conceptual replication; no same-sentence cite
10.3389/fpsyg.2016.01013,"Disorganization, COMT, and Children's Social Behavior: The Norwegian Hypothesis of Legacy of Disorga",replication,high,needs_review,medium,phrase:conceptual replication; no same-sentence cite
10.31234/osf.io/wej8z,Not all elementary school teachers are scared of math,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1037/a0023597,Playing Cards with Thomas Kuhn: A Critical Reexamination of the Bruner and Postman (1949) Experiment,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.23668/psycharchives.4766,Not all Elementary School Teachers are Scared of Math,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1017/s0140525x18000687,Putting replication in its place,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.17705/1atrr.00045,Coping with Rapid Changes in IT: An Update,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1093/alcalc/agaa009,Effects of Evaluative Conditioning on Implicit Evaluation of Alcohol and Drinking Behaviors: A Direc,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.17705/1atrr.00032,Does “Evaluating Journal Quality and the Association for Information Systems Senior Scholars Journal,replication,high,needs_review,medium,phrase:we replicate; no same-sentence cite
10.23668/psycharchives.4765,When Does the Story Matter? No Evidence for the Foregrounding Hypothesis in Math Story Problems,replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
10.1080/23251042.2021.1975350,The relationship between state-level carbon emissions and average working hours in the United States,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1113/ep086344,Publishing replication studies to support excellence in physiological research,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1186/s12877-017-0689-8,The association between anemia and falls in community-living women and men aged 65 years and older f,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1167/15.5.11,Shared liking and association valence for representational art but not abstract art,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1080/14616696.2017.1290265,Educational equalization stalled? Trends in inequality of educational opportunity between 1930 and 1,replication,high,needs_review,medium,phrase:we replicate; no same-sentence cite
10.1037/a0030530,Does logic feel good? Testing for intuitive detection of logicality in syllogistic reasoning.,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1371/journal.pone.0176856,"Labor force participation, unemployment and occupational attainment among immigrants in West Europea",replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1037/a0021329,"Synesthesia and memory: Color congruency, von Restorff, and false memory effects.",replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.3386/w20657,Validating Teacher Effect Estimates Using Changes in Teacher Assignments in Los Angeles,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1007/s13142-014-0272-1,Systematic review of health branding: growth of a promising practice,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1037/emo0000413,Not just bad actions: Affective concern for bad outcomes contributes to moral condemnation of harm i,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1038/tp.2016.147,"Association between polygenic risk for schizophrenia, neurocognition and social cognition across dev",replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.12688/f1000research.12694.1,On the interpretability and computational reliability of frequency-domain Granger causality,replication,high,needs_review,medium,phrase:we replicate; no same-sentence cite
10.1037/a0031497,Unconsciously triggered response inhibition requires an executive setting.,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1186/s40536-019-0070-9,"Sex differences in variability across nations in reading, mathematics and science: a meta-analytic e",replication,high,needs_review,medium,phrase:we replicate; no same-sentence cite
10.1017/s1930297500007348,Does intuitive mindset influence belief in God? A registered replication of,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1111/j.1530-0277.2011.01630.x,The Effects of Age at Drinking Onset and Stressful Life Events on Alcohol Use in Adulthood: A Replic,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1080/15534510.2019.1669488,Threatened suicide and baiting crowd formation: a replication and extension of Mann (1981),replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
10.31234/osf.io/ezp6d,Are STEM Faculty Biased Against Female Applicants? A Robust Replication and Extension of Moss-Racusi,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.13140/rg.2.1.2407.3128,Rule-Governed Behavior: Investigating a structural model of influences on adherence to rules,replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
10.1037/pspp0000195,Direct and conceptual replications of the taxometric analysis of type a behavior.,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.3758/s13414-017-1344-3,Does grasping capacity influence object size estimates? It depends on the context,replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
10.1080/23743603.2021.1878340,"Revisiting the decoy effect: replication and extension of Ariely and Wallsten (1995) and Connolly, R",replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.31219/osf.io/pzy5q,No Evidence for an Object Working Memory Capacity Benefit with Extended Viewing Time,replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
10.4324/9781315782362-45,Seeds of Doubt: Are Children Taught to be Essentialists?,replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
10.1027/1618-3169/a000486,Reactivated Visual Masks Do Not Disrupt Serial Recall,replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
10.3389/fpsyg.2020.587574,Exploration of Attentional and Executive Abilities in French-Speaking Children Immersed in Dutch Sin,replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
10.48550/arxiv.2006.11585,Time to adjust: Improving replicability in experimental psychology by adjustment for evident selecti,replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
10.31979/mrj.2020.1607,Behavioral Economic Analysis of Demand for Hypothetical Work Performance: A Partial Replication,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1158/1538-7445.am2016-4287,Abstract 4287: Serum metabolomic profiling of prostate cancer risk in the PLCO Cancer Screening Tria,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
10.1111/bjh.13830,A common genetic variant in 19q13·3 is associated with outcome of multiple myeloma patients treated ,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
10.1101/028001,"Genetic evidence that lower circulating FSH levels lengthen menstrual cycle, increase age at menopau",replication,high,needs_review,medium,phrase:did not replicate; no author-year cite
10.1158/1538-7445.am2017-1289,Abstract 1289: Evaluation of vitamin D receptor regulated genes reveals EGFR polymorphism is associa,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
10.1158/1538-7445.am2014-3267,Abstract 3267: Targeted DNA and RNA sequencing identifies breast cancer risk variants associated wit,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
10.1162/ling_a_00293,English Resumptive Pronouns Are More Common Where Gaps Are Less Acceptable,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
10.1080/17450918.2021.1890811,Review of Shakespeare’s <i>Much Ado About Nothing</i> (Directed by Christopher Luscombe for the Roya,replication,high,needs_review,medium,phrase:did not replicate; no author-year cite
10.1353/jwh.2021.0032,"Socialist Internationalism, World Capitalism, and the Global South: Soviet Foreign Economic Policy a",replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
10.7282/t3959gg3,Self-disclosure and liking online and face-to-face,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
10.36850/e1.pr2,Peer Review Round 2 of “Alcohol Cues and Their Effects on Sexually Aggressive Thoughts”,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
10.36850/e1.pr1,Peer Review Round 1 of “Alcohol Cues and Their Effects on Sexually Aggressive Thoughts”,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
10.7764/onomazein.45.05,Modality effects in the cultural evolution of language: An experimental iterated learning approach,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.17615/2qa0-fc21,Teacher support as a moderator between student sixth-grade transition experiences and end-of-year ad,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
10.1093/neuonc/nou249.15,P16 * METASTATIC MEDULLOBLASTOMA - UK RESULTS WITH INDUCTION AND HIGH DOSE CHEMOTHERAPY WITH HYPERFR,replication,high,needs_review,medium,phrase:did not replicate; no author-year cite
10.1167/18.10.507,Distance perception in the VR was determined by where you virtually are and where you really are,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
10.1167/11.11.82,Is attentional capture modulated by task difficulty? An N2pc study with visual search of repeated an,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
10.1136/heartjnl-2016-310696.17,P13 Anti-inflammatory effects of metformin – useful in cardiovascular disease?,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
10.1097/01.qai.0000413782.51835.49,A4 HIV Suicide for Microbicide,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
10.1167/14.10.414,Visually judging the fate of ones own and others basketball shots,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
10.1145/3105726.3106190,Using Tracing and Sketching to Solve Programming Problems,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.3765/salt.v27i0.4134,Prosodic Effects on Factive Presupposition Projection,replication,high,needs_review,medium,phrase:we replicate; no same-sentence cite
10.1093/ije/dyu273,Epigenetics and depressive disorders: a review of current progress and future directions,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.1017/jog.2016.121,Importance of basal boundary conditions in transient simulations: case study of a surging marine-ter,reproduction,high,needs_review,medium,phrase:could not reproduce; no author-year cite
10.1144/sp400.15,Characterization of gas flow through low-permeability claystone: laboratory experiments and two-phas,reproduction,high,needs_review,medium,phrase:could not reproduce; no same-sentence cite
10.1093/humrep/deu267,Association between endometriosis and the interleukin 1A (IL1A) locus,replication,high,needs_review,medium,phrase:successfully replicated; no author-year cite
10.1037/pspa0000261,Does social psychology persist over half a century? A direct replication of Cialdini et al.’s (1975),replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1037/xlm0000136,Category cued recall evokes a generate-recognize retrieval process.,replication,high,needs_review,medium,phrase:successfully replicated; no same-sentence cite
10.1111/j.1467-7687.2012.01177.x,Simulating the role of visual selective attention during the development of perceptual completion,replication,high,needs_review,medium,phrase:successfully replicated; no same-sentence cite
10.1016/j.nicl.2020.102441,Individual differences in anxiety and automatic amygdala response to fearful faces: A replication an,replication,high,needs_review,medium,phrase:successfully replicated; no same-sentence cite
10.25259/sni_361_2020,The use of three-dimensional anatomical patient-specific printed models in surgical clipping of intr,replication,high,needs_review,medium,phrase:successfully replicated; no author-year cite
10.1080/15512169.2011.539906,Classroom as Reality: Demonstrating Campaign Effects Through Live Simulation,replication,high,needs_review,medium,phrase:successfully replicated; no same-sentence cite
10.1017/thg.2019.13,Noncoding Variations in the Gene Encoding Ceramide Synthase 6 are Associated with Type 2 Diabetes in,replication,high,needs_review,medium,phrase:successfully replicated; no same-sentence cite
10.3389/fpsyg.2019.01286,Improved Properties of the Big Five Inventory and the Rosenberg Self-Esteem Scale in the Expanded Fo,replication,high,needs_review,medium,phrase:successfully replicated; no same-sentence cite
10.1177/0956797618794931,Still Suspicious: The Suspicious-Coincidence Effect Revisited,replication,high,needs_review,medium,phrase:successfully replicated; no same-sentence cite
10.3390/fishes6010006,"Eradication of the Invasive Common Carp, Cyprinus carpio from a Large Lake: Lessons and Insights fro",replication,high,needs_review,medium,phrase:successfully replicated; no author-year cite
10.1080/1357650x.2011.589519,Pair bonding and lateral neck-resting preferences in captive Caribbean flamingos (<i>Phoenicopterus ,replication,high,needs_review,medium,phrase:successfully replicated; no same-sentence cite
10.1371/journal.pone.0253023,Replication of machine learning methods to predict treatment outcome with antidepressant medications,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1002/bes2.1801,A Beginner's Guide to Conducting Reproducible Research,reproduction,high,needs_review,medium,phrase:reproducibility of; no same-sentence cite
10.1186/s12916-018-1018-6,Reproducibility of clinical research in critical care: a scoping review,reproduction,high,needs_review,medium,phrase:reproducibility of; no author-year cite
10.1089/brain.2014.0313,Reproducibility of Graph-Theoretic Brain Network Metrics: A Systematic Review,reproduction,high,needs_review,medium,phrase:reproducibility of; no author-year cite
10.1111/bph.15054,A practical guide for transparent reporting of research on natural products in the <i>British Journa,reproduction,high,needs_review,medium,phrase:reproducibility of; no same-sentence cite
10.1016/j.brs.2019.01.010,"Reproducibility in TMS–EEG studies: A call for data sharing, standard procedures and effective exper",reproduction,high,needs_review,medium,phrase:reproducibility of; no same-sentence cite
10.17605/osf.io/9ea76,The gateway belief model — replication and extension in Germany,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1027/1864-9335/a000181,Revisiting the Romeo and Juliet Effect (),replication,high,needs_review,medium,phrase:replication and extension; no same-sentence cite
