pair_id,doi_r,title_r,abstract_r,year_r,authors_r,journal_r,url_r,openalex_id_r,source,ref_r,filter_status,filter_method,filter_evidence,filter_confidence,original_match_type,original_match_confidence,classify_llm_model,oa_work_id_r,oa_work_id_o,study_r,doi_o,title_o,study_o,year_o,authors_o,ref_o,bibtex_ref_o,bibtex_ref_r,link_method,link_evidence,link_confidence,link_llm_model,screen_categories,prescreen_verdict,doi_o_verification,pdf_source,parse_method,outcome,outcome_phrase,outcome_confidence,out_quote_source,outcome_reasoning,outcome_computation,outcome_computational_quote,out_quote_computational_source,outcome_robustness,outcome_robustness_quote,out_quote_robust_source,outcome_llm_model,type,original_rank,n_originals
e37f9bb4d71842f3976eb60fee4bec6e,10.18718/81781.40,The Slave Trade and the Origins of Mistrust in Africa. A Replication Study of Nunn and Wantchekon (2011),"Nunn & Wantchekon (2011) detect a long-lasting impact of the slave trade on current trust levels across ethnic groups in Africa. They use data from Afrobarometer's wave 3 to construct trust measures. While I can perfectly replicate the original OLS and 2SLS findings in this wave starting from the same raw data, using data from more recent waves which were collected after the paper was published, I fail to replicate some of the paper's central findings. Plausible explanations are discussed",2025,Giulio Zanella,Econstor (Econstor),https://www.econstor.eu/bitstream/10419/318609/1/JCRE-2025-1.pdf,https://openalex.org/W4414599832,openalex_snapshot,Zanella · 2025 · Econstor (Econstor),replication,screen,rule:replication-claim-cited-title; Replication Study,high,single_original,low,,W4414599832,,,,,,,,,,"@article{GiulioZanella_2025, title={The Slave Trade and the Origins of Mistrust in Africa. A Replication Study of Nunn and Wantchekon (2011)}, author={Giulio Zanella}, journal={Econstor (Econstor)}, year={2025}, doi={10.18718/81781.40}, url={https://doi.org/10.18718/81781.40}}",api_error,,low,,,,skipped,,,api_error,,low,,,,,,,,,,,1,1
2e79f0f6edad5aad0e85da6788269171,10.18718/81781.17,Trends in the Gender Wage Gap in the US. A replication study of Blau and Kahn (Journal of Economic Literature 2017),"Gender wage gap, Replication study",2020,Matthias Collischon,Econstor (Econstor),http://hdl.handle.net/10419/219101,https://openalex.org/W3035485501,openalex_snapshot,Collischon · 2020 · Econstor (Econstor),replication,screen,rule:replication-claim-cited-title; replication study,high,single_original,low,,W3035485501,,,,,,,,,,"@article{MatthiasCollischon_2020, title={Trends in the Gender Wage Gap in the US. A replication study of Blau and Kahn (Journal of Economic Literature 2017)}, author={Matthias Collischon}, journal={Econstor (Econstor)}, year={2020}, doi={10.18718/81781.17}, url={https://doi.org/10.18718/81781.17}}",api_error,,low,,,,skipped,,,api_error,,low,,,,,,,,,,,1,1
9ca649d5e4198fd08fe2ee652af6c01d,10.18718/81781.11,"Revisiting the Drivers of Natural Gas Prices. A replication study of Brown &amp; Yücel (The Energy Journal, 2008)","This paper replicates the analysis in the paper 'What Drives Natural Gas Prices?"" by Stephen P.A. Brown and Mine K. Yücel. The replication confirms the results of that analysis: a long-run relationship existed between natural-gas prices and crude-oil prices during the period from June 1997 to June 2007. This relationship was primarily driven by crude-oil prices, as natural-gas prices adjusted to deviations from the long-run relationship. Controlling for exogenous covariates related to weather, seasonality, and supply disruptions strengthen the price relationship between these two commodities. When the sample is expanded to include data generated as recently as June 2017, evidence of the long-run relationship disappears completely. I posit that this results from increased U.S. natural-supply associated with the 'shale revolution'.",2019,Gavin Roberts,Econstor (Econstor),http://hdl.handle.net/10419/206818,https://openalex.org/W3015670873,openalex_snapshot,Roberts · 2019 · Econstor (Econstor),replication,screen,rule:replication-claim-cited-title; replication study,high,single_original,low,,W3015670873,,,,,,,,,,"@article{GavinRoberts_2019, title={Revisiting the Drivers of Natural Gas Prices. A replication study of Brown &amp; Yücel (The Energy Journal, 2008)}, author={Gavin Roberts}, journal={Econstor (Econstor)}, year={2019}, doi={10.18718/81781.11}, url={https://doi.org/10.18718/81781.11}}",api_error,,low,,,,skipped,,,api_error,,low,,,,,,,,,,,1,1
4a7741ec980a0f9c010d8d07620c44df,10.18718/81781.24,"The Possible Unemployment Cost of Average Inflation Below a Credible Target. A Replication Study of Svensson (American Economic Journal: Macroeconomics, 2015)","This paper replicates the main analysis of Svensson (2015) with some expansion to the original analysis, mainly for the United States. Overall, the replication exercise successfully confirms the conclusions of Svensson (2015). In both Sweden and the United States, empirical evidence sup- ports the existence of a non-vertical long run Phillips curve. The slope of the long run Phillips curve recorded -0.75 in Sweden and -0.23 in the United States. While the average inflation rate in the United States was very close to its targeted level, the average inflation rate in Sweden was 0.6 per- centage points below its targeted level over the sample period. The deviation of inflation rate from its targeted level in Sweden resulted in an unemployment cost equivalent to 0.8 percentage points over the sample period where the average unemployment rate recorded 7.4 percent compared with an estimated 6.6 percent had the average inflation rate been at its targeted level.",2022,"Oraby, Ramy",RePEc: Research Papers in Economics,https://hdl.handle.net/10419/253653,https://openalex.org/W6925615813,openalex_snapshot,Ramy · 2022 · RePEc: Research Papers in Economics,replication,screen,rule:replication-claim-cited-title; Replication Study,high,single_original,low,,W6925615813,,,,,,,,,,"@article{Oraby_2022, title={The Possible Unemployment Cost of Average Inflation Below a Credible Target. A Replication Study of Svensson (American Economic Journal: Macroeconomics, 2015)}, author={Oraby, Ramy}, journal={RePEc: Research Papers in Economics}, year={2022}, doi={10.18718/81781.24}, url={https://doi.org/10.18718/81781.24}}",api_error,,low,,,,skipped,,,api_error,,low,,,,,,,,,,,1,1
271cb394358e114015ce0566a90b6d43,10.18718/81781.13,"Meta-analysis and publication bias: How well does the FAT-PET-PEESE procedure work? A replication study of Alinaghi &amp; Reed (Research Synthesis Methods, 2018)","A meta-analysis is a tool for aggregating estimates of a similar “effect” across many studies. Publication bias is the phenomenon where literature is sample selected in favor of studies having statistically significant results and/or having estimates that satisfy pre-conceived expectations. A popular procedure used for conducting meta-analyses in the presence of publication bias is the FAT-PET-PEESE (FPP) procedure. In a recent paper published in Research Synthesis Methods, Alinaghi and Reed (2018), utilizing Monte Carlo simulations, report that the FPP procedure does not work well when used in “realistic” data environments where true effects differ both across and within studies. AR’s findings are important because the FPP approach is dominant in the economics meta-analysis literature. I replicate their results and discover two mistakes, which I subsequently correct. The first mistake is found in a descriptive statistics table, misrepresenting the overview of simulated dataset. The second is associated with the fixed effect estimation, generating erroneous estimated effects and Type I error. Further, I extend their analysis by making their simulation environment evenmore realistic. Despite producing somewhat different results, my replications generally confirm AR’s conclusions about the unreliability of the FPP procedure in realistic data environments.",2019,Sanghyun Hong,Econstor (Econstor),http://hdl.handle.net/10419/206820,https://openalex.org/W3015527450,openalex_snapshot,Hong · 2019 · Econstor (Econstor),replication,screen,rule:replication-claim-cited-title; replication study,high,single_original,low,,W3015527450,,,,,,,,,,"@article{SanghyunHong_2019, title={Meta-analysis and publication bias: How well does the FAT-PET-PEESE procedure work? A replication study of Alinaghi &amp; Reed (Research Synthesis Methods, 2018)}, author={Sanghyun Hong}, journal={Econstor (Econstor)}, year={2019}, doi={10.18718/81781.13}, url={https://doi.org/10.18718/81781.13}}",api_error,,low,,,,skipped,,,api_error,,low,,,,,,,,,,,1,1
5a02e0b5fa482a0c4eabd2eabeaed22c,10.18718/81781.15,"Semiparametric Value-At-Risk Estimation of Portfolios. A replication study of Dias (Journal of Banking &amp; Finance, 2014)","This paper aims to replicate the semiparametric Value-At-Risk model by Dias (2014) and to test its legitimacy. The study confirms the superiority of semiparametric estimation over classical methods such as mixture normal and Student-t approximations in estimating tail distribution of portfolios, which can be credited to the model's uniqueness in combining strengths of both extreme value theory (EVT) models and other multivariate models. The author however discovers, in one instance, the infeasibility of the Dias model, and suggests a modification.",2019,Jiahua Xu,Econstor (Econstor),http://hdl.handle.net/10419/206822,https://openalex.org/W3011517946,openalex_snapshot,Xu · 2019 · Econstor (Econstor),replication,screen,rule:replication-claim-cited-title; replication study,high,single_original,low,,W3011517946,,,,,,,,,,"@article{JiahuaXu_2019, title={Semiparametric Value-At-Risk Estimation of Portfolios. A replication study of Dias (Journal of Banking &amp; Finance, 2014)}, author={Jiahua Xu}, journal={Econstor (Econstor)}, year={2019}, doi={10.18718/81781.15}, url={https://doi.org/10.18718/81781.15}}",api_error,,low,,,,skipped,,,api_error,,low,,,,,,,,,,,1,1
c1dd285b5b84dfe491588f849085c5c1,10.18718/81781.32,"Market Access and Quality Upgrading: Evidence from Four Field Experiments. A Replication Study of Bold et al. (American Economic Review, 2022)","Bold et al. (2022b) investigate the effect of providing access to a larger, centralized market where quality is rewarded with a premium on farm productivity and framing incomes from smallholder maize farmers in western Uganda, using a series of randomized experiments and a differencein-differences approach. We successfully reproduce the results of this study using the publicly provided replication packet. Then test the robustness of these results by re-defining treatment and outcome variables, testing for model misspecification and the leverage of outliers, and testing for non-random selection in the Fisher-permutation process. Our results show that the findings in Bold et al. (2022b) are robust to a variety of decisions in the research process. This evokes confidence in the internal validity of the findings.",2024,"McWay, Ryan; Nchare, Karim; Sun, Pu",Econstor (Econstor),https://www.econstor.eu/bitstream/10419/295068/1/JCRE-2024-2.pdf,https://openalex.org/W6944377186,openalex_snapshot,Ryan · 2024 · Econstor (Econstor),reproduction,screen,rule:replication-claim-cited-title; Replication Study,high,single_original,low,,W6944377186,,,,,,,,,,"@article{McWay_2024, title={Market Access and Quality Upgrading: Evidence from Four Field Experiments. A Replication Study of Bold et al. (American Economic Review, 2022)}, author={McWay, Ryan and Nchare, Karim and Sun, Pu}, journal={Econstor (Econstor)}, year={2024}, doi={10.18718/81781.32}, url={https://doi.org/10.18718/81781.32}}",api_error,,low,,,,skipped,,,api_error,,low,,,,,,,,,,,1,1
40c7b020577bb0303f77718d675fa017,10.18718/81781.30,"The Long-Term Effects of Measles Vaccination on Earnings and Employment. A Replication Study of Atwood (American Economic Journal: Economic Policy, 2022)","Atwood analyzes the effects of the 1963 U.S. measles vaccination on long-run labor market out-comes, using a generalized difference-in-differences approach. We reproduce the results of thispaper and perform a battery of robustness checks. Overall, we confirm that the measles vaccinationhad positive labor market effects. While the negative effect on the likelihood of living in povertyand the positive effect on the probability of being employed are very robust across the differentspecifications, the headline estimate-the effect on earnings-is more sensitive to the exclusion ofcertain regions and survey years.",2023,"Barschkett, Mara; Huebener, Mathias; Leibing, Andreas; Marcus, Jan; Margaryan, Shushanik",Econstor (Econstor),https://hdl.handle.net/10419/281076,https://openalex.org/W6925514426,openalex_snapshot,Mara · 2023 · Econstor (Econstor),reproduction,screen,rule:replication-claim-cited-title; Replication Study,high,single_original,low,,W6925514426,,,,,,,,,,"@article{Barschkett_2023, title={The Long-Term Effects of Measles Vaccination on Earnings and Employment. A Replication Study of Atwood (American Economic Journal: Economic Policy, 2022)}, author={Barschkett, Mara and Huebener, Mathias and Leibing, Andreas and Marcus, Jan and Margaryan, Shushanik}, journal={Econstor (Econstor)}, year={2023}, doi={10.18718/81781.30}, url={https://doi.org/10.18718/81781.30}}",api_error,,low,,,,skipped,,,api_error,,low,,,,,,,,,,,1,1
9d8516e7fd275576c237f77e5fd43620,10.18718/81781.8,"Malaria Eradication in the Americas. A replication study of Bleakley (American Economic Journal. Applied Economics, 2010)","Bleakley (2010) finds that large-scale campaigns in the 20th century to eradicate malaria were followed by income gains for those native to historically endemic areas. I perform a pre-registered reanalysis and find these results to be largely robust. Malaria eradication efforts indeed appear to have been followed by anomalous income gains for natives of historically malarial areas of Brazil, Colombia, Mexico, and perhaps the United States. This supportive finding diverges from that of a separate, parallel reanalysis of Bleakley (2007), a study that finds long-term benefits from a hookworm eradication campaign in the United States.",2018,David Roodman,Econstor (Econstor),http://hdl.handle.net/10419/192939,https://openalex.org/W2944142152,openalex_snapshot,Roodman · 2018 · Econstor (Econstor),reproduction,screen,rule:replication-claim-cited-title; replication study,high,single_original,low,,W2944142152,,,,,,,,,,"@article{DavidRoodman_2018, title={Malaria Eradication in the Americas. A replication study of Bleakley (American Economic Journal. Applied Economics, 2010)}, author={David Roodman}, journal={Econstor (Econstor)}, year={2018}, doi={10.18718/81781.8}, url={https://doi.org/10.18718/81781.8}}",api_error,,low,,,,skipped,,,api_error,,low,,,,,,,,,,,1,1
1e659ddc8ab15af5119207f5ce356236,10.18718/81781.34,"Trends in U.S. Wage Inequality: Revising the Revisionists. A Replication Study of Autor, Katz, and Kearney (The Review of Economics and Statistics, 2008)","This paper successfully replicates Autor et al. (2008) and extends their analysis through 2022. The extension to an additional 17 years of analysis underscores the original finding that rising wage inequality was not an episodic event of the 1980s. That being said, overall 90/10 inequality and the college wage premium have plateaued since 2005. Despite overall inequality plateauing, uppertail 90/50 inequality has continued to increase since 1980 for both men and women. I also find that the composition-adjusted real wages of high school dropouts has caught up with high school graduates in the last decade. Between 2012 and 2022, high school dropouts saw larger real wage gains than any other education group. The combination of these findings is consistent with rising polarization in which employment and wages expand for high-wage and low-wage work.",2024,"Stephenson, Corinne",Econstor (Econstor),https://www.econstor.eu/bitstream/10419/299993/1/JCRE-2024-4.pdf,https://openalex.org/W6888085014,openalex_snapshot,Corinne · 2024 · Econstor (Econstor),replication,screen,rule:replication-claim-cited-title; Replication Study,high,single_original,low,,W6888085014,,,,,,,,,,"@article{Stephenson_2024, title={Trends in U.S. Wage Inequality: Revising the Revisionists. A Replication Study of Autor, Katz, and Kearney (The Review of Economics and Statistics, 2008)}, author={Stephenson, Corinne}, journal={Econstor (Econstor)}, year={2024}, doi={10.18718/81781.34}, url={https://doi.org/10.18718/81781.34}}",api_error,,low,,,,skipped,,,api_error,,low,,,,,,,,,,,1,1
