pair_id,doi_r,title_r,abstract_r,year_r,authors_r,journal_r,url_r,openalex_id_r,source,ref_r,filter_status,filter_method,filter_evidence,filter_confidence,original_match_type,original_match_confidence,doi_o,title_o,year_o,authors_o,ref_o,bibtex_ref_o,bibtex_ref_r,link_method,link_evidence,link_confidence,link_llm_model,doi_o_verification,outcome,outcome_phrase,outcome_confidence,out_quote_source,outcome_reasoning,type,original_rank,n_originals
64ba887b9588d4b43ee9f2ff33062d74,10.1038/s41562-020-0878-x,A registered replication study on oxytocin and trust,,2020.0,Carolyn H. Declerck; Christophe Boone; Loren Pauwels; Bodo Vogt; Ernst Fehr,Nature Human Behaviour,,https://openalex.org/W3033625555,openalex,Declerck · 2020 · Nature Human Behaviour,replication,both,"phrase:registered replication; no author-year cite | llm:""registered replication study on oxytocin and trust""",high,single_original,high,10.1038/nature03701,Oxytocin increases trust in humans,2005.0,"Kosfeld, M.; Heinrichs, M.; Zak, P. J.; Fischbacher, U.; Fehr, E.","Kosfeld, M., Heinrichs, M., Zak, P. J., Fischbacher, U., & Fehr, E. (2005). Oxytocin increases trust in humans. Nature, 435(7042), 673–676. https://doi.org/10.1038/nature03701","@article{Kosfeld_2005, title={Oxytocin increases trust in humans}, author={Kosfeld, M. and Heinrichs, M. and Zak, P. J. and Fischbacher, U. and Fehr, E.}, journal={Nature}, volume={435}, number={7042}, pages={673--676}, year={2005}, doi={10.1038/nature03701}, url={https://doi.org/10.1038/nature03701}}","@article{CarolynHDeclerck_2020.0, title={A registered replication study on oxytocin and trust}, author={Carolyn H. Declerck and Christophe Boone and Loren Pauwels and Bodo Vogt and Ernst Fehr}, journal={Nature Human Behaviour}, year={2020.0}, doi={10.1038/s41562-020-0878-x}, url={https://doi.org/10.1038/s41562-020-0878-x}}",llm_fulltext,The title 'A registered replication study on oxytocin and trust' and the inclusion of Kosfeld et al. (2005) in the reference list indicate that this paper is a direct replication of the seminal study on the topic.,high,gemini-3-flash-preview,verified,cannot_be_determined,A registered replication study on oxytocin and trust,high,title,"Only the paper title is provided and the abstract is missing ('nan'), so there is no information about whether the original finding was confirmed, failed, or partially replicated.",replication,1,1
5538cbaa2809b2fdd4003d0db8aadae8,10.17605/osf.io/x5b6d,"Replication of Schmidt and Besner (2008, JEPLMC, Exp 2)","Direct replication of Schmidt &amp; Besner, 2008. Materials and preliminary work collected by COS team, data collected by researchers outside of COS.",2015.0,Megan M. Kyc; Mark D. Cloud,Open Science Framework,,https://openalex.org/W2780226201,openalex,Kyc · 2015 · Open Science Framework,replication,rule_based,"phrase:replication of; cite:Besner, 2008",high,single_original,high,10.1037/0278-7393.34.1.116,"The Stroop effect and the relative proficiency of color naming and word reading: A test of the Cohen, Dunbar, and McClelland (1990) model",2008.0,Schmidt,Schmidt · 2008.0,"@misc{Schmidt_2008.0, title={The Stroop effect and the relative proficiency of color naming and word reading: A test of the Cohen, Dunbar, and McClelland (1990) model}, author={Schmidt}, year={2008.0}, doi={10.1037/0278-7393.34.1.116}, url={https://doi.org/10.1037/0278-7393.34.1.116}}","@article{MeganMKyc_2015.0, title={Replication of Schmidt and Besner (2008, JEPLMC, Exp 2)}, author={Megan M. Kyc and Mark D. Cloud}, journal={Open Science Framework}, year={2015.0}, doi={10.17605/osf.io/x5b6d}, url={https://doi.org/10.17605/osf.io/x5b6d}}",llm_fulltext,"Direct replication of Schmidt & Besner, 2008. Materials and preliminary work collected by COS team, data collected by researchers outside of COS. | DOI 10.1037/0278-7393.34.1.116 is not registered and no replacement was found",high,gemini-3-flash-preview,no_metadata,cannot_be_determined,"Direct replication of Schmidt & Besner, 2008. Materials and preliminary work collected by COS team, data collected by researchers outside of COS.",high,abstract,"The text explicitly states this is a direct replication of the named study but provides no results or author statement about whether the original findings were confirmed or not, so the outcome cannot be determined from the provided text.",replication,1,1
aaac57342f64af07592f5f7e661a6ba1,10.17605/osf.io/gn3tv,Replication of Gervais and Norenzayan (2012) - Analytic Thinking Promotes Religious Disbelief,The goal of this project is to conduct a high-powered multi-site direct replication of the finding by Gervais &amp; Norenzayan that analytic thinking is correlated with and causes diminished religious belief.,2014.0,Robert Calin‐Jageman,OSF Preprints (OSF Preprints),,https://openalex.org/W2777876197,openalex,Calin‐Jageman · 2014 · OSF Preprints (OSF Preprints),replication,rule_based,phrase:replication of; cite:Gervais and Norenzayan (2012),high,single_original,high,10.1126/science.1215647,Analytic Thinking Promotes Religious Disbelief,2012.0,"Gervais, W. M.; Norenzayan, A.","Gervais, W. M., & Norenzayan, A. (2012). Analytic Thinking Promotes Religious Disbelief. Science, 336(6080), 493–496. https://doi.org/10.1126/science.1215647","@article{Gervais_2012, title={Analytic Thinking Promotes Religious Disbelief}, author={Gervais, W. M. and Norenzayan, A.}, journal={Science}, volume={336}, number={6080}, pages={493--496}, year={2012}, doi={10.1126/science.1215647}, url={https://doi.org/10.1126/science.1215647}}","@article{RobertCalinJageman_2014.0, title={Replication of Gervais and Norenzayan (2012) - Analytic Thinking Promotes Religious Disbelief}, author={Robert Calin‐Jageman}, journal={OSF Preprints (OSF Preprints)}, year={2014.0}, doi={10.17605/osf.io/gn3tv}, url={https://doi.org/10.17605/osf.io/gn3tv}}",llm_fulltext,"The goal of this project is to conduct a high-powered multi-site direct replication of the finding by Gervais & Norenzayan that analytic thinking is correlated with and causes diminished religious belief. | DOI corrected: 10.1126/science.1218647 is not registered; replaced with 10.1126/science.1215647 (""Analytic Thinking Promotes Religious Disbelief"")",high,gemini-3-flash-preview,verified,cannot_be_determined,The goal of this project is to conduct a high-powered multi-site direct replication of the finding by Gervais & Norenzayan that analytic thinking is correlated with and causes diminished religious belief.,high,abstract,The provided text describes the objective of the replication study but does not state the actual results or whether the original finding was supported.,replication,1,1
c6734d5340ba53c9d628bf25df6ce155,10.17605/osf.io/q8g7f,Registered Report for Replication of Sussman and Olivola (2011),"Direct replication and extension of: Sussman, A. B., &amp; Olivola, C. Y. (2011). Axe the tax: Taxes are disliked more than equivalent costs. Journal of Marketing Research, 48, 91–101. http://doi.org/10.1509/jmkr.48.SPL.S91 The following pre-registrations were filed for this project: Pre-registration of in-principal accepted stage 1 report: osf.io/7pruq Pre-registration for analyses requested by reviewers: osf.io/nqg3e Pre-registration for pre-tests: osf.io/g2jbr",2018.0,Mark J. Brandt; Christoph Kogler; Erich Kirchler; Linda Dezső; Jerome Olsen,OSF Preprints (OSF Preprints),,https://openalex.org/W2900411997,openalex,Brandt · 2018 · OSF Preprints (OSF Preprints),replication,rule_based,phrase:replication of; cite:Sussman and Olivola (2011),high,single_original,high,10.1509/jmkr.48.spl.s91,Axe the tax: Taxes are disliked more than equivalent costs,2011.0,"Sussman, A. B.; Olivola, C. Y.","Sussman, A. B., & Olivola, C. Y. (2011). Axe the Tax: Taxes are Disliked More than Equivalent Costs. Journal of Marketing Research, 48(SPL), S91–S101. https://doi.org/10.1509/jmkr.48.spl.s91","@article{Sussman_2011, title={Axe the Tax: Taxes are Disliked More than Equivalent Costs}, author={Sussman, A. B. and Olivola, C. Y.}, journal={Journal of Marketing Research}, volume={48}, number={SPL}, pages={S91--S101}, year={2011}, doi={10.1509/jmkr.48.spl.s91}, url={https://doi.org/10.1509/jmkr.48.spl.s91}}","@article{MarkJBrandt_2018.0, title={Registered Report for Replication of Sussman and Olivola (2011)}, author={Mark J. Brandt and Christoph Kogler and Erich Kirchler and Linda Dezső and Jerome Olsen}, journal={OSF Preprints (OSF Preprints)}, year={2018.0}, doi={10.17605/osf.io/q8g7f}, url={https://doi.org/10.17605/osf.io/q8g7f}}",llm_fulltext,"Direct replication and extension of: Sussman, A. B., & Olivola, C. Y. (2011). Axe the tax: Taxes are disliked more than equivalent costs. Journal of Marketing Research, 48, 91–101.",high,gemini-3-flash-preview,verified,cannot_be_determined,"Direct replication and extension of: Sussman, A. B., & Olivola, C. Y. (2011). Axe the tax: Taxes are disliked more than equivalent costs.",high,abstract,The abstract identifies the study as a replication but does not report any findings or conclusions regarding the success of the replication.,replication,1,1
a68c13a3b19adbde98ad2852a32e112f,10.1080/23743603.2017.1378071,Due diligence: revisiting the heat–aggression association hypothesis,"Previous research has suggested that individuals hold cognitive associations between the constructs of hot temperatures and aggression. However, subsequent close replication attempts have cast doubt on the replicability of these effects. Therefore, the evidence for the existence of a cognitive heat–aggression association is mixed. A pilot study used a modified Affect Misattribution Procedure to examine whether exposure to heat-related words increased the accessibility of aggressive cognitions. The results of the pilot study showed that exposure to heat-related words increased the accessibility of aggressive cognitions relative to “comparison” trials (i.e. non-heat-related words and nonsense letter strings). I propose a direct replication of this pilot study, which will further test the existence of a heat–aggression association.",2017.0,Randy J. McCarthy,Comprehensive Results in Social Psychology,,https://openalex.org/W2766347877,openalex,McCarthy · 2017 · Comprehensive Results in Social Psychology,replication,both,phrase:replication of; no author-year cite | llm:“I propose a direct replication of this pilot study”,high,single_original,high,10.1111/j.1467-9280.2009.02355.x,Automatic effects of exposure to heat-related words on aggression: Test of the general aggression model,2009.0,"Berman, M. E.; McCloskey, M. S.; Fanning, J. R.; Schumacher, J. A.; Coccaro, E. F.","Berman, M. E., McCloskey, M. S., Fanning, J. R., Schumacher, J. A., & Coccaro, E. F. (2009). Serotonin Augmentation Reduces Response to Attack in Aggressive Individuals. Psychological Science, 20(6), 714–720. https://doi.org/10.1111/j.1467-9280.2009.02355.x","@article{Berman_2009, title={Serotonin Augmentation Reduces Response to Attack in Aggressive Individuals}, author={Berman, M. E. and McCloskey, M. S. and Fanning, J. R. and Schumacher, J. A. and Coccaro, E. F.}, journal={Psychological Science}, volume={20}, number={6}, pages={714--720}, year={2009}, doi={10.1111/j.1467-9280.2009.02355.x}, url={https://doi.org/10.1111/j.1467-9280.2009.02355.x}}","@article{RandyJMcCarthy_2017.0, title={Due diligence: revisiting the heat–aggression association hypothesis}, author={Randy J. McCarthy}, journal={Comprehensive Results in Social Psychology}, year={2017.0}, doi={10.1080/23743603.2017.1378071}, url={https://doi.org/10.1080/23743603.2017.1378071}}",llm_fulltext,"Study 1 was a high-powered, pre-registered replication of DeWall and Bushman’s (2009) Study 1. | DOI mismatch: 10.1111/j.1467-9280.2009.02355.x points to ""Serotonin Augmentation Reduces Response to Attack in Aggressive Individuals"" (2009), not ""Automatic effects of exposure to heat-related words on aggression: Test of the general aggression model""",low,gemini-3-flash-preview,mismatch,cannot_be_determined,"A pilot study used a modified Affect Misattribution Procedure to examine whether exposure to heat-related words increased the accessibility of aggressive cognitions. The results of the pilot study showed that exposure to heat-related words increased the accessibility of aggressive cognitions relative to ""comparison"" trials (i.e. non-heat-related words and nonsense letter strings). I propose a direct replication of this pilot study, which will further test the existence of a heat–aggression association.",high,abstract,"The abstract reports a positive pilot study and proposes a direct replication but does not report results of the proposed replication, so the replication outcome cannot be determined from the provided text.",replication,1,1
7515b1bbeace99f4a5dc7023c2bf4963,10.31234/osf.io/fg8yz,Are affective factors related to individual differences in facial expression recognition?,"Evidence that affective factors (e.g., anxiety, depression, affect) are significantly related to individual differences in emotion recognition is mixed. Palermo et al. (2018 Journal of Experimental Psychology: Human Perception and Performance) recently reported that individuals who scored lower in anxiety performed significantly better on two measures of facial-expression recognition (emotion-matching and emotion-labeling tasks), but not a third measure (the Multimodal Emotion Recognition Test). By contrast, facial- expression recognition was not significantly correlated with measures of depression, positive or negative affect, empathy, or autistic-like traits. Because the range of affective factors considered in this study and its use of multiple expression-recognition tasks mean that it is a relatively comprehensive investigation of the role of affective factors in facial expression recognition, we propose to carry out a direct replication.",2019.0,Sarah Aied Alharbi; Katherine S. Button; Amy Bagshaw; Lingshan Zhang; Kieran J. O’Shea; Vanessa Fasolt; Anthony J. Lee; Lisa M. DeBruine; Benedict C. Jones,,,https://openalex.org/W4243461258,openalex,Alharbi · 2019,replication,both,"phrase:direct replication; no author-year cite | llm:""we propose to carry out a direct replication""",high,single_original,high,10.1098/rsos.190699,Are affective factors related to individual differences in facial expression recognition?,2020.0,"Alharbi, S. A. H.; Button, K. S.; Zhang, L.; O’Shea, K. J.; Fasolt, V.; Lee, A. J.; DeBruine, L. M.; Jones, B. C.","Alharbi, S. A. H., Button, K. S., Zhang, L., O’Shea, K. J., Fasolt, V., Lee, A. J., DeBruine, L. M., & Jones, B. C. (2020). Are affective factors related to individual differences in facial expression recognition?. Royal Society Open Science, 7(9), 190699–190699. https://doi.org/10.1098/rsos.190699","@article{Alharbi_2020, title={Are affective factors related to individual differences in facial expression recognition?}, author={Alharbi, S. A. H. and Button, K. S. and Zhang, L. and O’Shea, K. J. and Fasolt, V. and Lee, A. J. and DeBruine, L. M. and Jones, B. C.}, journal={Royal Society Open Science}, volume={7}, number={9}, pages={190699--190699}, year={2020}, doi={10.1098/rsos.190699}, url={https://doi.org/10.1098/rsos.190699}}","@misc{SarahAiedAlharbi_2019.0, title={Are affective factors related to individual differences in facial expression recognition?}, author={Sarah Aied Alharbi and Katherine S. Button and Amy Bagshaw and Lingshan Zhang and Kieran J. O’Shea and Vanessa Fasolt and Anthony J. Lee and Lisa M. DeBruine and Benedict C. Jones}, year={2019.0}, doi={10.31234/osf.io/fg8yz}, url={https://doi.org/10.31234/osf.io/fg8yz}}",llm_fulltext,"Palermo et al. (2018 Journal of Experimental Psychology: Human Perception and Performance) recently reported that individuals who scored lower in anxiety performed significantly better on two measures of facial-expression recognition (emotion-matching and emotion-labeling tasks). | DOI mismatch: 10.1037/xhp0000541 points to ""Object-based target templates guide attention during visual search."" (2018), not ""Are affective factors related to individual differences in facial expression recognition?"" | DOI corrected: 10.1037/xhp0000541 pointed to a different work; replaced with 10.1098/rsos.190699 (""Are affective factors related to individual differences in facial expression recognition?"") | DOI confirmed by metadata search; row year_o/author_o disagree with DOI metadata (2020, ""Alharbi"")",low,gemini-3-flash-preview,verified,cannot_be_determined,"Palermo et al. (2018 Journal of Experimental Psychology: Human Perception and Performance) recently reported that individuals who scored lower in anxiety performed significantly better on two measures of facial-expression recognition (emotion-matching and emotion-labeling tasks), but not a third measure (the Multimodal Emotion Recognition Test). By contrast, facial-expression recognition was not significantly correlated with measures of depression, positive or negative affect, empathy, or autistic-like traits. Because the range of affective factors considered in this study and its use of multiple expression-recognition tasks mean that it is a relatively comprehensive investigation of the role of affective factors in facial expression recognition, we propose to carry out a direct replication.",high,abstract,"The abstract describes a planned direct replication and summarizes the original study's findings but does not report any results from the replication, so the replication outcome cannot be determined from this text.",replication,1,1
8264d6108dceb81754a783f58bf571e8,10.5465/ambpp.2020.236,Is White Always the Standard? Using Replication to Extend What We Know About Leadership Prototypes,"In 2008, Rosette, Leonardelli, & Phillips published a study in which they examined whether race was an implicit component of the business leadership prototype. At the time of the study Rosette et al. (2008) underscored that among the then 43 United States Presidents, none had been a racial minority and suggested that this leadership example had implications for how U.S. citizens acquired their implicit leadership prototypes. With the election of Barack Obama, the first African American President of the United States, an era of important technological, demographic and cultural changes emerged as to reshape the American socio-cultural landscape. Events in the last decade have demonstrated how prototypes within the general populace (e.g. the heterosexual marriage prototype) have become amenable to change. Moreover, recent research suggests that underlying racial attitudes as assessed by the Implicit Association Test (IAT) have shifted positively towards neutrality. The aim of the present study is to build on the work by Rosette et al. (2008) by examining whether recent changes have had a broadening and more racially inclusive effect on the business leader prototype. Grounding our direct replication study within the implicit leadership theory (ILT) literature, we retest the theoretical assumptions of Rosette et al. (2008).",2020.0,Adaora Ubaka; Xinxin Lu; Lyangela Gutierrez,Academy of Management Proceedings,,https://openalex.org/W3045817071,openalex,Ubaka · 2020 · Academy of Management Proceedings,replication,rule_based,phrase:direct replication; cite:Rosette et al. (2008),high,single_original,high,10.1037/0021-9010.93.4.758,The White Standard: Implicit Leadership Theories and Race,2008.0,"Rosette, A. S.; Leonardelli, G. J.; Phillips, K. W.","Rosette, A. S., Leonardelli, G. J., & Phillips, K. W. (2008). The White standard: Racial bias in leader categorization.. Journal of Applied Psychology, 93(4), 758–777. https://doi.org/10.1037/0021-9010.93.4.758","@article{Rosette_2008, title={The White standard: Racial bias in leader categorization.}, author={Rosette, A. S. and Leonardelli, G. J. and Phillips, K. W.}, journal={Journal of Applied Psychology}, volume={93}, number={4}, pages={758--777}, year={2008}, doi={10.1037/0021-9010.93.4.758}, url={https://doi.org/10.1037/0021-9010.93.4.758}}","@article{AdaoraUbaka_2020.0, title={Is White Always the Standard? Using Replication to Extend What We Know About Leadership Prototypes}, author={Adaora Ubaka and Xinxin Lu and Lyangela Gutierrez}, journal={Academy of Management Proceedings}, year={2020.0}, doi={10.5465/ambpp.2020.236}, url={https://doi.org/10.5465/ambpp.2020.236}}",llm_fulltext,"In 2008, Rosette, Leonardelli, & Phillips published a study in which they examined whether race was an implicit component of the business leadership prototype. | DOI mismatch: 10.1037/0021-9010.93.4.758 points to ""The White standard: Racial bias in leader categorization."" (2008), not ""The White Standard: Implicit Leadership Theories and Race""",low,gemini-3-flash-preview,mismatch,cannot_be_determined,The aim of the present …,high,abstract,"The provided abstract text is incomplete and cuts off before reporting any results or findings, making it impossible to determine the replication outcome.",replication,1,1
7be5b116cd4aae3a555b8c0722531b73,10.17605/osf.io/dgkjt,"Replication of Kneer &amp; Machery (2019, Study 2)","We are students from Northern Arizona University. Problem: To address the replication crisis, many efforts focus on reproducing psychological studies to ensure reliable findings. While direct replications matter, conceptual replications are also important for testing whether results hold across different contexts. Purpose: Our study sought to conceptually replicate Kneer and Machery’s (2019) Study 2, which investigated moral judgments of morally lucky and unlucky agents using a scenario in which a mother leaves her child beside a bathtub, resulting in either the child’s death or survival. Our extension examined situational attribution, where individuals are judged on contextual factors rather than personal factors. We changed the original scenario to include fathers who leave their child next to a bathtub for different circumstantial reasons, allowing us to explore how situational factors influence moral judgment. Predictions: In this study, moral-judgment ratings include four measures: wrongness, blame, permissibility, and punishment. When comparing our results to those of the original study, we predict we will replicate Kneer and Machery’s finding that punishment ratings differ significantly from the other measures. Within our extension, we hypothesize that fathers who leave their child for a more justifiable reason will receive higher situational attribution and, as a result, lower moral-judgment ratings.",2020.0,"Brendle, Rachel; Green, Sarah Ann; Estrada, Omar",Open MIND,,https://openalex.org/W7108658876,openalex,Rachel · 2020 · Open MIND,replication,both,"phrase:replication of; no author-year cite | llm:""conceptually replicate Kneer and Machery’s (2019) Study 2""",high,single_original,high,10.1016/j.cognition.2018.09.003,No luck for moral luck,2018.0,"Kneer, M.; Machery, É.","Kneer, M., & Machery, É. (2018). No luck for moral luck. Cognition, 182, 331–348. https://doi.org/10.1016/j.cognition.2018.09.003","@article{Kneer_2018, title={No luck for moral luck}, author={Kneer, M. and Machery, É.}, journal={Cognition}, volume={182}, pages={331--348}, year={2018}, doi={10.1016/j.cognition.2018.09.003}, url={https://doi.org/10.1016/j.cognition.2018.09.003}}","@article{Brendle_2020.0, title={Replication of Kneer &amp; Machery (2019, Study 2)}, author={Brendle, Rachel and Green, Sarah Ann and Estrada, Omar}, journal={Open MIND}, year={2020.0}, doi={10.17605/osf.io/dgkjt}, url={https://doi.org/10.17605/osf.io/dgkjt}}",llm_fulltext,"Our study sought to conceptually replicate Kneer and Machery’s (2019) Study 2, which investigated moral judgments of morally lucky and unlucky agents using a scenario in which a mother leaves her child beside a bathtub.",high,gemini-3-flash-preview,verified,cannot_be_determined,"Our study sought to conceptually replicate Kneer and Machery’s (2019) Study 2, which investigated moral judgments of morally lucky and unlucky agents using a scenario in which a mother leaves her child beside a bathtub, resulting in either the child’s death or survival. Our extension examined situational attribution, where individuals are judged on contextual factors rather than personal factors. We changed the original scenario to include fathers who leave their child next to a bathtub for different circumstantial reasons, allowing us to explore how situational factors influence moral judgment.",high,abstract,"The abstract explicitly states this is a conceptual replication and describes the methodological changes but gives no results or statements about whether Kneer & Machery's findings were confirmed or contradicted, so the outcome cannot be determined from the provided text.",replication,1,1
d976d93917fbe26c229896c736d7ed3a,10.1257/rct.2987-3.1,Heterogeneity of Experimental Findings: Evidence from Real-Effort Tasks,"In this project, we consider the heterogeneity of experimental findings.For example, how sensitive are experimental results to the demographics of the sample?How do they depend on the output measure used?How critical is the experimental protocol?We consider these questions in the context of a real effort task that builds on DellaVigna and Pope ( 2018) and that we run in May and June 2018.In this 2018 experiment, we run the same group of 16 experimental treatments repeatedly, in different version.Across the different version, we consider different demographic groups, and we vary the task used, the measure of effort, and whether subjects know that the task is an experiment.We examine how much the experimental results change in response to these changes, compared to a pure replication.We also elicit which of these changes experts believe will have the most impact.In this short document, which builds on the main pre-analysis plan, we outline how we obtain expert forecasts for measures of heterogeneity of experimental results in our experiment.The document is written after the completion of the data collection for the real effort experiment on MTurk, but before the collection of the expert forecast data. ExperimentWe refer to the main pre-analysis plan for a more detailed outline of the experiment itself.In short, we run four versions of a real-effort task.Version 1 is a direct replication of the task used by DellaVigna and Pope (REStud 2018): participants press two alternating keyboard buttons ('a' and 'b') within a given time period (10 minutes) (Figure 3).There are 16 different randomly-assigned treatments with varying levels and types of incentives, of which 15 are present in DellaVigna and Pope (REStud 2018) and one is an additional treatment which combines a psychological intervention with a piece rate incentive.For example, some participants will be given bonus payments based on points scored, others will raise money for charity, and some will receive no bonus.",2018.0,Stefano DellaVigna; Devin G. Pope,AEA Randomized Controlled Trials,,https://openalex.org/W4387646553,openalex,DellaVigna · 2018 · AEA Randomized Controlled Trials,replication,rule_based,phrase:replication of; cite:May and June 2018,high,single_original,high,10.1093/restud/rdx033,What Motivates Effort? Evidence and Expert Forecasts,2017.0,"DellaVigna, S.; Pope, D. G.","DellaVigna, S., & Pope, D. G. (2017). What Motivates Effort? Evidence and Expert Forecasts. The Review of Economic Studies, 85(2), 1029–1069. https://doi.org/10.1093/restud/rdx033","@article{DellaVigna_2017, title={What Motivates Effort? Evidence and Expert Forecasts}, author={DellaVigna, S. and Pope, D. G.}, journal={The Review of Economic Studies}, volume={85}, number={2}, pages={1029--1069}, year={2017}, doi={10.1093/restud/rdx033}, url={https://doi.org/10.1093/restud/rdx033}}","@article{StefanoDellaVigna_2018.0, title={Heterogeneity of Experimental Findings: Evidence from Real-Effort Tasks}, author={Stefano DellaVigna and Devin G. Pope}, journal={AEA Randomized Controlled Trials}, year={2018.0}, doi={10.1257/rct.2987-3.1}, url={https://doi.org/10.1257/rct.2987-3.1}}",llm_fulltext,"In this project, we consider the heterogeneity of experimental findings... in the context of a real effort task that builds on DellaVigna and Pope (2018) and that we run in May and June 2018. In this 2018 experiment, we run the same group of 16 experimental treatments repeatedly.",high,gemini-3-flash-preview,verified,cannot_be_determined,"We examine how much the experimental results change in response to these changes, compared to a pure replication. We also elicit which of these changes experts believe will have the most impact.",high,abstract,The abstract describes the methodology and experimental design of a replication project but does not report the actual results or whether the original findings were confirmed.,replication,1,1
fc0b0471be58dca56531396fcfc95376,10.3410/f.738492768.793577779,Faculty Opinions recommendation of An exploratory data analysis of word form prediction during word-by-word reading.,"In 2005, we reported evidence indicating that upcoming phonological word forms-e.g., kite vs. airplane-were predicted during reading. We recorded brainwaves (electroencephalograms [EEGs]) as people read word-by-word and then correlated the predictability in context of indefinite articles that preceded nouns ( a kite vs. an airplane) with the average event-related brain potentials (ERPs) they elicited [K. A. DeLong, T. P. Urbach, M. Kutas, Nat. Neurosci. 8, 1117-1121 (2005)]. Amid a broader controversy about the role of word-form prediction in comprehension, those findings were recently challenged by a failed putative direct replication attempt [M. S. Nieuwland et al., eLife 7, e33468 (2018); nine labs, one experiment, and 2.6e4 observations]. To better understand the empirical justification for positing an association between prenominal article predictability and scalp potentials, we conducted a wide-ranging exploratory data analysis (EDA), pooling our original data with extant data from two followup studies (one lab, three experiments, and 1.2e4 observations). We modeled the time course of article predictability in the single-trial data by fitting linear mixed-effects regression (LMER) models at each time point and scalp location spanning a 3-s interval before, during, and after the article. Model comparisons based on Akaike information criteria (AIC) and slope-regression ERPs [rERPs; N. J. Smith, M. Kutas, Psychophysiology 52, 157-168 (2015)] provide substantial empirical support for a small positive association between article predictability and scalp potentials approximately 300 to 500 ms after article onset, predominantly over bilateral posterior scalp. We think this effect may reasonably be attributed to prediction of upcoming word forms. PMID: 32788359",2020.0,Peter Hagoort,Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature,,https://openalex.org/W4234927140,openalex,Hagoort · 2020 · Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature,replication,both,"phrase:direct replication; no author-year cite | llm:""pooling our original data with extant data from two followup studies""",high,single_original,high,10.1038/nn1504,Probabilistic word pre-activation during language comprehension inferred from electrical brain activity,2005.0,"DeLong, K. A.; Urbach, T. P.; Kutas, M.","DeLong, K. A., Urbach, T. P., & Kutas, M. (2005). Probabilistic word pre-activation during language comprehension inferred from electrical brain activity. Nature Neuroscience, 8(8), 1117–1121. https://doi.org/10.1038/nn1504","@article{DeLong_2005, title={Probabilistic word pre-activation during language comprehension inferred from electrical brain activity}, author={DeLong, K. A. and Urbach, T. P. and Kutas, M.}, journal={Nature Neuroscience}, volume={8}, number={8}, pages={1117--1121}, year={2005}, doi={10.1038/nn1504}, url={https://doi.org/10.1038/nn1504}}","@article{PeterHagoort_2020.0, title={Faculty Opinions recommendation of An exploratory data analysis of word form prediction during word-by-word reading.}, author={Peter Hagoort}, journal={Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature}, year={2020.0}, doi={10.3410/f.738492768.793577779}, url={https://doi.org/10.3410/f.738492768.793577779}}",llm_fulltext,"In 2005, we reported evidence indicating that upcoming phonological word forms-e.g., kite vs. airplane-were predicted during reading... [K. A. DeLong, T. P. Urbach, M. Kutas, Nat. Neurosci. 8, 1117-1121 (2005)]. Amid a broader controversy about the role of word-form prediction in comprehension, those findings were recently challenged by a failed putative direct replication attempt [M. S. Nieuwland et al., eLife 7, e33468 (2018)]",high,gemini-3-flash-preview,verified,cannot_be_determined,"Amid a broader controversy about the role of word-form prediction in comprehension, those findings were recently challenged by a failed putative direct replication attempt [M. S. Nieuwland et al., eLife 7, e33468 (2018); nine labs, one experiment, and 2.6e4 observations]. To better understand the empirical justification for positing an association between prenominal article predictability and scalp potentials, we conducted a wide-ranging exploratory data analysis (EDA), pooling our original data with extant data fr…",high,abstract,"The abstract states they pooled original and extant data and performed an exploratory analysis but does not state whether the original finding was confirmed, contradicted, or partially replicated, so the replication outcome cannot be determined from the provided text.",replication,1,1
