pair_id,doi_r,title_r,abstract_r,year_r,authors_r,journal_r,url_r,openalex_id_r,source,ref_r,paper_type,filter_method,filter_evidence,filter_confidence,original_match_type,original_match_confidence,classify_llm_model,oa_work_id_r,oa_work_id_o,study_r,doi_o,title_o,study_o,year_o,authors_o,ref_o,bibtex_ref_o,bibtex_ref_r,link_method,link_evidence,link_confidence,link_llm_model,screen_categories,doi_o_verification,pdf_source,pdf_url,pdf_name,parse_method,outcome,outcome_phrase,outcome_confidence,out_quote_source,outcome_reasoning,outcome_computation,outcome_computational_quote,out_quote_computational_source,outcome_robustness,outcome_robustness_quote,out_quote_robust_source,outcome_llm_model,type,original_rank,n_originals,study_status,study_status_reasoning,study_status_model,osf_type
0dabf6e83b49d7af54dc10dbbd549478,,Close replication of Schuler & Wanke (2016) Study 1,,2017,Jarret T. Crawford,,https://osf.io/b8qaw/,https://openalex.org/W2777206250,openalex_snapshot,Crawford · 2017,replication,screen,rule:replication-claim-cited-title; Close replication,high,single_original,low,,W2777206250,,,,,,,,,,"@misc{JarretTCrawford_2017, title={Close replication of Schuler & Wanke (2016) Study 1}, author={Jarret T. Crawford}, year={2017}, url={https://osf.io/b8qaw/}}",no_evidence,,low,,clearly_declared,skipped,,,,,pending,,low,,outcome not coded: the record carries no abstract and no document could be acquired from any source,,,,,,,,replication,1,1,completed,"The title names a close replication study but does not identify a preregistration, protocol, analysis plan, or other prospective plan document.",gpt-5.6-luna,project_or_registration
d3d658125a9791e21cd9a72f6f98d0fe,,Replication attempt of Southgate et al. (2007),,2015,Tobias Schuwerk; Beate Priewasser; Beate Sodian; Josef Perner,OSF Preprints (OSF Preprints),https://osf.io/feg6u,https://openalex.org/W2781764993,openalex_snapshot,Schuwerk · 2015 · OSF Preprints (OSF Preprints),replication,screen,rule:replication-claim-cited-title; Replication attempt,high,single_original,low,,W2781764993,,,,,,,,,,"@article{TobiasSchuwerk_2015, title={Replication attempt of Southgate et al. (2007)}, author={Tobias Schuwerk and Beate Priewasser and Beate Sodian and Josef Perner}, journal={OSF Preprints (OSF Preprints)}, year={2015}, url={https://osf.io/feg6u}}",no_evidence,,low,,clearly_declared,skipped,,,,,pending,,low,,outcome not coded: the record carries no abstract and no document could be acquired from any source,,,,,,,,replication,1,1,completed,"The title describes a replication attempt rather than a protocol, preregistration, or other study-plan document.",gpt-5.6-luna,project_or_registration
f7e87a6a6cee107193185d1f0ea7232b,,Replication Study for RPCB,,2015,Stephen A. Williams; Timothy M. Errington; Nicole Perfito; Alexandria Denis,OSF Preprints (OSF Preprints),http://api.osf.io/v2/nodes/9523m/,https://openalex.org/W2785227772,openalex_snapshot,Williams · 2015 · OSF Preprints (OSF Preprints),replication,screen,rule:replication-claim-title-broad; Replication Study,high,single_original,low,,W2785227772,,,,,,,,,,"@article{StephenAWilliams_2015, title={Replication Study for RPCB}, author={Stephen A. Williams and Timothy M. Errington and Nicole Perfito and Alexandria Denis}, journal={OSF Preprints (OSF Preprints)}, year={2015}, url={http://api.osf.io/v2/nodes/9523m/}}",no_evidence,,low,,clearly_declared,skipped,,,,,pending,,low,,outcome not coded: the record carries no abstract and no document could be acquired from any source,,,,,,,,replication,1,1,completed,"The title names a replication study but does not identify a protocol, preregistration, analysis plan, or other prospective document.",gpt-5.6-luna,project_or_registration
58fb650f739dbfeaac25c82fd26bf452,,Optimal Predictions in Everyday Cognition: Conceptual Replication,,2016,Luděk Stehlík,OSF Preprints (OSF Preprints),http://api.osf.io/v2/nodes/eu6pb/,https://openalex.org/W2787563020,openalex_snapshot,Stehlík · 2016 · OSF Preprints (OSF Preprints),replication,screen,rule:replication-claim-title-strong; Conceptual Replication,high,single_original,low,,W2787563020,,,,,,,,,,"@article{LudkStehlk_2016, title={Optimal Predictions in Everyday Cognition: Conceptual Replication}, author={Luděk Stehlík}, journal={OSF Preprints (OSF Preprints)}, year={2016}, url={http://api.osf.io/v2/nodes/eu6pb/}}",no_evidence,,low,,clearly_declared,skipped,,,,,pending,,low,,outcome not coded: the record carries no abstract and no document could be acquired from any source,,,,,,,,replication,1,1,completed,"The title names a conceptual replication but does not identify the record as a preregistration, protocol, analysis plan, or other prospective study document.",gpt-5.6-luna,project_or_registration
f1f092774610213c545afc70b0793fb2,,Nowlis & Simonson (1997) Replication Study,,2017,Michael O’Donnell,,https://osf.io/wsf9p/,https://openalex.org/W2792899437,openalex_snapshot,O’Donnell · 2017,replication,screen,rule:replication-claim-cited-title; Replication Study,high,single_original,low,,W2792899437,,,,,,,,,,"@misc{MichaelODonnell_2017, title={Nowlis & Simonson (1997) Replication Study}, author={Michael O’Donnell}, year={2017}, url={https://osf.io/wsf9p/}}",no_evidence,,low,,clearly_declared,skipped,,,,,pending,,low,,outcome not coded: the record carries no abstract and no document could be acquired from any source,,,,,,,,replication,1,1,completed,"The title names a replication study but does not identify a protocol, preregistration, analysis plan, or other prospective document.",gpt-5.6-luna,project_or_registration
f9aa55bd6a63b1e74352a4855edbea02,,Stage 2 - Replication Study V1 - Before Consensus Design,,2017,Zoltan Kekecs; Balázs Aczél; Bence Pálfi; Barnabás Szászi; Márk Zrubka; Péter Szécsi; Márton Kovács,OSF Preprints (OSF Preprints),https://osf.io/rh5hb,https://openalex.org/W2793144517,openalex_snapshot,Kekecs · 2017 · OSF Preprints (OSF Preprints),needs_review,engine:16d370746b45,rule:replication-claim-title-broad; Replication Study,high,single_original,low,,W2793144517,,,,,,,,,,"@article{ZoltanKekecs_2017, title={Stage 2 - Replication Study V1 - Before Consensus Design}, author={Zoltan Kekecs and Balázs Aczél and Bence Pálfi and Barnabás Szászi and Márk Zrubka and Péter Szécsi and Márton Kovács}, journal={OSF Preprints (OSF Preprints)}, year={2017}, url={https://osf.io/rh5hb}}",no_evidence,,low,,clearly_declared|terminology_only|other,skipped,,,,,pending,,low,,outcome not coded: the record carries no abstract and no document could be acquired from any source,,,,,,,,,1,1,completed,"The title identifies a replication study stage but does not explicitly describe a preregistration, protocol, or other plan document.",gpt-5.6-luna,project_or_registration
453c3d7c26965780699b3a7a0ea93fa9,,Exact Replication of Rinck &amp;amp; Becker (2007),,2017,Iris Engelhard; K. van Schie Kevin; Arne Leer; Angelos-Miltiadis Krypotos,OSF Preprints (OSF Preprints),https://osf.io/exkjz,https://openalex.org/W7009753345,openalex_snapshot,Engelhard · 2017 · OSF Preprints (OSF Preprints),replication,screen,rule:replication-claim-cited-title; Exact Replication,high,single_original,low,,W7009753345,,,,,,,,,,"@article{IrisEngelhard_2017, title={Exact Replication of Rinck &amp;amp; Becker (2007)}, author={Iris Engelhard and K. van Schie Kevin and Arne Leer and Angelos-Miltiadis Krypotos}, journal={OSF Preprints (OSF Preprints)}, year={2017}, url={https://osf.io/exkjz}}",no_evidence,,low,,clearly_declared,skipped,,,,,pending,,low,,outcome not coded: the record carries no abstract and no document could be acquired from any source,,,,,,,,replication,1,1,completed,"The title names an exact replication rather than a preregistration, protocol, analysis plan, or other prospective plan document.",gpt-5.6-luna,project_or_registration
63cd0a610f537b26a668671ed10e76bd,,"Registered Replication of Nadelhoffer, T., Kvaran, T., &amp;amp; Nahmias, E. (2009). Temperament and intuition: A commentary on Feltz and Cokely. Consciousness and cognition, 18(1), 351-355.",,2017,James Beebe,OSF Preprints (OSF Preprints),http://api.osf.io/v2/nodes/txs86/,https://openalex.org/W7042937645,openalex_snapshot,Beebe · 2017 · OSF Preprints (OSF Preprints),replication,screen,rule:replication-claim-title-strong; Registered Replication,high,single_original,low,,W7042937645,,,,,,,,,,"@article{JamesBeebe_2017, title={Registered Replication of Nadelhoffer, T., Kvaran, T., &amp;amp; Nahmias, E. (2009). Temperament and intuition: A commentary on Feltz and Cokely. Consciousness and cognition, 18(1), 351-355.}, author={James Beebe}, journal={OSF Preprints (OSF Preprints)}, year={2017}, url={http://api.osf.io/v2/nodes/txs86/}}",no_evidence,,low,,clearly_declared,skipped,,,,,pending,,low,,outcome not coded: the record carries no abstract and no document could be acquired from any source,,,,,,,,replication,1,1,completed,"The title describes a registered replication rather than a registration or protocol document, so it does not indicate a prospective study plan.",gpt-5.6-luna,project_or_registration
ff95a31b5c94c4179636c01eb54f82a7,10.17605/osf.io/dt3q5,Pride and Shame Track Status Changes - Replication and Extension,,2018,Aaron W. Lukaszewski; David M. Buss; Patrick K. Durkee,OSF Preprints (OSF Preprints),https://doi.org/10.17605/osf.io/dt3q5,https://openalex.org/W2807804983,openalex_snapshot,Lukaszewski · 2018 · OSF Preprints (OSF Preprints),replication,screen,rule:replication-claim-title-strong; Replication and Extension,high,single_original,low,,W2807804983,,,,,,,,,,"@article{AaronWLukaszewski_2018, title={Pride and Shame Track Status Changes - Replication and Extension}, author={Aaron W. Lukaszewski and David M. Buss and Patrick K. Durkee}, journal={OSF Preprints (OSF Preprints)}, year={2018}, doi={10.17605/osf.io/dt3q5}, url={https://doi.org/10.17605/osf.io/dt3q5}}",no_evidence,,low,,clearly_declared,skipped,,,,,pending,,low,,outcome not coded: the record carries no abstract and no document could be acquired from any source,,,,,,,,replication,1,1,completed,"The title describes a replication and extension rather than a plan document such as a preregistration, protocol, or analysis plan.",gpt-5.6-luna,project_or_registration
08971dc42c8fb1282bc498455744c801,,Laptop vs Longhand Replication Study Idea,,2018,Heather L. Urry; Kristin Lane; David Funder; Donald Tellinghuisen; Mijke Rhemtulla,OSF Preprints (OSF Preprints),http://api.osf.io/v2/nodes/86y74/,https://openalex.org/W2810357346,openalex_snapshot,Urry · 2018 · OSF Preprints (OSF Preprints),needs_review,engine:16d370746b45,rule:replication-claim-title-broad; Replication Study,high,single_original,low,,W2810357346,,,,,,,,,,"@article{HeatherLUrry_2018, title={Laptop vs Longhand Replication Study Idea}, author={Heather L. Urry and Kristin Lane and David Funder and Donald Tellinghuisen and Mijke Rhemtulla}, journal={OSF Preprints (OSF Preprints)}, year={2018}, url={http://api.osf.io/v2/nodes/86y74/}}",no_evidence,,low,,about_replication,skipped,,,,,pending,,low,,outcome not coded: the record carries no abstract and no document could be acquired from any source,,,,,,,,,1,1,completed,The title names a replication study idea but does not explicitly identify the record as a plan document such as a protocol or preregistration.,gpt-5.6-luna,project_or_registration
