identifier,guid,kind,desc_chars,wiki_pages,wiki_chars,n_files,n_doc_files,doc_files
10.17605/osf.io/2egqr,2egqr,,0,0,0,0,0,
10.17605/osf.io/2cg3e,2cg3e,,0,0,0,0,0,
10.17605/osf.io/26fbh,26fbh,,0,0,0,0,0,
10.17605/osf.io/2y6wj,2y6wj,,0,0,0,0,0,
10.17605/osf.io/3kmr9,3kmr9,,0,0,0,0,0,
10.17605/osf.io/3nxpg,3nxpg,,0,0,0,0,0,
10.17605/osf.io/3t9qk,3t9qk,,0,0,0,0,0,
10.17605/osf.io/3bz2g,3bz2g,nodes,0,1,112,36,9,"Gino, Moore, & Bazerman (2009) Replication and extensions_ Main manuscript.docx | Gino, Moore, & Bazerman (2009) Replication and extensions_ Supplementary.docx | Gino_Moore__Bazerman_2009_Replication_and_extensions.docx | Aiyer-etal-2024-Collabra-Gino-etal-2009-replication-extensions-preprint-final.pdf | Aiyer-etal-2024-Collabra-Gino-etal-2009-replication-extensions-print.pdf | peer_review_and_communication_history.docx | collabra_2024_10_1_126266.pdf | Collbara-final-Gino-etal-2009-replication-extensions-supplementary-v1.docx | 2458234_reply_to_decision_letter_annex.pdf"
10.17605/osf.io/3wzjp,3wzjp,nodes,0,1,1874,4,3,SAS Poster Gärtner_final.pdf | SAS talk.pdf | Digital Poster Flash_2020.pdf
10.17605/osf.io/4j5cr,4j5cr,nodes,0,0,0,12,9,Registered-Report-EFFECT-OF-SPEAKER-PROFICIENCY-Final Version-Registered.pdf | Spanish Intelligibility Transcription Protocol.pdf | Experimental Protocols EFFECT OF SPEAKER PROFICIENCY.pdf | Stimuli Preparation and Coding Protocols EFFECT OF SPEAKER PROFICIENCY.pdf | Summary of Analyses EFFECT OF SPEAKER PROFICIENCY.pdf | AppendixS3 Summary of Analyses.docx | AppendixS2 Stimuli Preparation and Coding Protocols.docx | AppendixS1 Experimental Protocols.docx | AppendixS4 Summary and Explanation of Stage 1 to Stage 2 changes.docx
10.17605/osf.io/4nsa5,4nsa5,nodes,0,0,0,7,1,Readme.pdf
10.17605/osf.io/3df5s,3df5s,nodes,0,0,0,18,2,Chandrashekar-etal-2021-JDM-Bias Blind Spot-replications and agency extensions-print.pdf | Master.pdf
10.17605/osf.io/693vn,693vn,nodes,0,1,525,12,7,【2018 张】fpsyg-09-01702.pdf | CAN算法.pdf | 道德困境研究的范式沿革及其理论价值_刘传军.pdf | pone.0028610.pdf | korner 2020.pdf | CG2013JPSP.pdf | G-2017.pdf
10.17605/osf.io/6jdg3,6jdg3,nodes,0,0,0,7,5,"Anxiety from Active Learning Survey Items.pdf | List of Items and adaptations from Hood et al. (2021).pdf | Hood et al. - 2020 - Some Believe, Not All Achieve The Role of Active .pdf | Hood et al. - 2021 - “I Like and Prefer to Work Alone” Social Anxiety,.pdf | ToP_2025_Supplemental Analyses_Revised 05_16_25.docx"
10.17605/osf.io/6n7mg,6n7mg,nodes,0,0,0,6,3,Questionnaire-VBM.pdf | Preregistration-Protocol.pdf | Amendment-to-Preregistration!.pdf
10.17605/osf.io/5azdg,5azdg,nodes,0,1,305,33,22,PCIRR-S1-Rozin-etal-1997-replication-snapshot-v1.docx | PCIRR-S1-Rozin-etal-1997-replication-snapshot-RNR-reply-v2-G.docx | PCIRR-S1-Rozin-etal-1997-replication-snapshot-RNR-v3-G.docx | PCIRR_Rozin_et_al_1997_replication_extension.pdf | PCIRR_Rozin_et_al_1997_replication_extension.docx | Leong-etal-2024-PCIRR-S1-Rozin-etal-1997-rep-ext-preprint-v1.pdf | PCIRR-S1-Rozin-etal-1997-replication-supplementary-v2-G.docx | PCIRR-S1-Rozin-etal-1997-replication-manuscript-v6-G.docx | PCIRR-S1-RNR-Rozin-etal-1997-replication-manuscript-v2-G-trackchanges.docx | PCIRR-S1-RNR-comparison-to-PCIRR-S1.pdf
10.17605/osf.io/6zvqe,6zvqe,nodes,0,0,0,14,10,Coding_scheme_for_the_application_of_reference_norms_in_the_open_ended_item.pdf | Manuskript_ZfE_Reg_Report.pdf | Neutral_graphical_display_high_level.pdf | Neutral_graphical_display_medium_level.pdf | Criterial_reference_norm_high_level.pdf | Criterial_reference_norm_medium_level.pdf | Individual_reference_norm_high_level.pdf | Individual_reference_norm_medium_level.pdf | Social_reference_norm_high_level.pdf | Social_reference_norm_medium_level.pdf
10.17605/osf.io/6v8e2,6v8e2,nodes,0,0,0,26,15,20189-PSYC-Mellers_et_al_2001_Conjunction_Effect.docx | Mellers_et_al_2001_Conjunction_Effect_Wong_Yui_Tung_revised Pre Registration-G.docx | Mellers et al 2001_Conjunction_Effect_LEUNG_YING_CHIT_revised pre-registration-G.docx | Mellers et al 2001_Conjunction_Fallacy_Fong Chi Long Brian_revised pre-registration-G.docx | Mellers et al 2001_Conjunction_Effect_Cheng Yat Hin_Revised preregistration-G.docx | Readme-Pre-registration Guide.docx | MetaPsych-CopyEdit-Mellers et al 2001 replication extension-manuscript-v14-G.docx | Chandrashekar et al 2020 MP Mellers et al 2001 replication extension-preprint-final-v2.pdf | MetaPsych-CopyEdit-Mellers et al 2001 replication extension-supplementary-v14-G.docx | MetaPsych-final-Mellers et al 2001 replication extension-title-page.docx
10.17605/osf.io/77gpt,77gpt,nodes,0,1,2016,154,9,Combined replication analysis.pdf | S4.pdf | S5-8.pdf | Experiment 2 preregistration.pdf | Experiment 1 preregistration.pdf | ROMB1 CDI.docx | ROMB1 consent.docx | ROMB1 debrief.docx | ROMB1 demographic.docx
10.17605/osf.io/786jg,786jg,nodes,0,0,0,50,11,JESP-final-PPNumbing-title-page.docx | JESP-final-PPNumbing-Supplementary.docx | Ziano et al-PPnumbing-replications-extensions-preprint-final.pdf | JESP-final-PPNumbing-Manuscript.docx | Psychophysical-numbing-replication.docx | Psychophysical-numbing-replication-before-exclusion.docx | Study 1a.docx | Study 1b.docx | Study 2a.docx | Study 2b.docx
10.17605/osf.io/8evf4,8evf4,nodes,0,0,0,12,11,"(ethics) Student Project Approval Form 1.8 .docx | Reviewer Response Form_2024-Gallagher-1.docx | Letter.pdf | effect_size_Buunk_1997.pdf | A_replication_Study_on_the_association_between_Birth_Order_Attachment_style_and_jealousy.docx | Descriptive statistics output.pdf | MANOVA Birth order and Jel.pdf | MANOVA Gender, Birth order and jel.pdf | MANOVA sibling types and jealousy.pdf | MANOVA Social birth order and jel.pdf"
10.17605/osf.io/7yfkc,7yfkc,nodes,0,1,331,60,20,Kruger_1999_study_1_replication__extension_Below_average_effect (1).docx | Kruger 1999 replication + extension main manuscript.docx | Kruger 1999 supplementary.docx | ANOVA_Power_Kruger1999-v2-G.docx | ANOVA_Power_Kruger1999-v2-G.pdf | Kruger_1999_Markdown_v5-G.docx | JDM-final-Kruger_1999-replication-extension-main-v2-G.docx | JDM-final-Kruger_1999-replication-extension-supplementary-SHORT-v1.docx | JDM-final-Kruger_1999-replication-extension-supplementary-LONG-v1.docx | Korbmacher-etal-2022-Kruger-1999-rep-exts-print.pdf
10.17605/osf.io/8hdu3,8hdu3,nodes,0,0,0,13,5,Gray et al (2011) Rep Ext Supplementary.docx | Gray et al (2011) Rep Ext Main Manuscript.docx | Tsang-Feldman-2021-Gray-etal-2011-replication-extension-preprint.pdf | Gray_etal_2011_Replication__Extension.docx | README.docx
10.17605/osf.io/8ymj6,8ymj6,nodes,0,0,0,6,3,Power Analyses.docx | Supporting information for preprint on PsyArXiv.docx | Supporting information for Accepted Manuscript Williams Bond 2020.docx
10.17605/osf.io/8ywgh,8ywgh,nodes,0,0,0,8,4,20220729 Supplement 1b all measures used in the study.docx | 20220729 Supplement 1c SEM young adults.docx | 202205 Supplement 3 German states _boxplots Dec2020.docx | Wolgast_Bruns_Remmers_Reinhaus_2023. Adults experiences during the pandemic. A replication study.pdf
10.17605/osf.io/8wd2b,8wd2b,nodes,0,1,220,34,14,"MetaPsych-Default Effects-SupplyMtrl-final.docx | Chandrashekar et al 2022 Default effects replications and extensions-preprint-final.pdf | MetaPsych-Default Effects-Manuscript-with-title-final.docx | MetaPsych-Default Effects-SupplyMtrl-final-V3.docx | Chandrashekar-etal-2023-MP-Default-effects-replications-extensions-print.pdf | Galley_MP_2022_3108_Chandrashekar.pdf | Johnson_Bellman_Lohse_2002_-_Johnson__Goldstein2003_Group_A_Instructor.docx | (Revised Version) HKU replication & extension main manuscript template (Johnson & Goldstein, 2003 & Johnson et al 2.docx | (Revised Version) HKU replication & extension supplementary template (Johnson & Goldstein, 2003 & Johnso.docx | JohnsonBellman2002-JohnsonGoldstein_2003-Group_B.docx"
10.17605/osf.io/7xbth,7xbth,nodes,0,1,454,7,1,CIA_NegEmo_GamblingPilot_Labnotes.docx
10.17605/osf.io/9u7tn,9u7tn,nodes,0,0,0,11,5,McKenna1993-Group-A-main-manuscript.docx | McKenna1993-Group-A-supplementary.docx | Transparency Report.pdf | McKenna1993-Group-B-supplementary.docx | McKenna1993-Group-B-main-manuscript.docx
10.17605/osf.io/9uwns,9uwns,nodes,0,1,74,28,18,20189-PSYC-Hsee_1998_Less_is_Better.docx | Hsee 1998_Less_is_Better_Nguyen Anna Thao Bich_revised Pre-Registration-G.docx | Hsee_1998_Less_is_Better_Hung_Wing_Yiu_revised Pre-registration-G.docx | Hsee_1998_less-is-better_effects_Leung_Wai_Yee_Michelle_Revised Pre-registration-G.docx | Hsee 1998 - Less is Better - Chan Stephanie - revised Pre-registered Replication-G.docx | README.docx | Collabra-final-Hsee-1998-replication extension-supplementary.docx | Collabra-final-Hsee-1998-replication extension-main-manuscript.docx | Collabra-final-Hsee-1998-replication extension-title-page.docx | Vonasch-etal-2023-Collabra-Less is better-Hsee1998-replication-extension-preprint-v7.pdf
10.17605/osf.io/9fvtq,9fvtq,nodes,0,1,673,26,21,Newman etal 2014 replication & extension-Shuk Ching Janet LEE-Thesis.pdf | Lee-Feldman-2025-PCIRRR-RSOS-Newman-etal-2014-RRR-preprint-v5.pdf | RSOS-Newman-etal-2014-RRR-main-manuscript.docx | RSOS-Newman-etal-2014-RRR-supplementary.docx | Lee-Feldman-2025-RSOS-PCIRRR-Newman-etal-2014-RRR-print-with-supp.pdf | Newman etal 2014 rep ext-PCIRR-snapshot.docx | Newman etal 2014 replication & extension main manuscript.docx | Lee & Feldman-trueself-morality-newman-etal-2014-replication-extension-preprint.pdf | Newman etal 2014 replication & extension supplementary.docx | Newman-etal-2014-effect-size-power-analyses-v2-G.docx
