identifier,guid,title_r,kind,desc_chars,wiki_pages,wiki_chars,n_files,doc_files,n_doc_files,excluded_doc_files,n_excluded
https://osf.io/b8qaw/,b8qaw,Close replication of Schuler & Wanke (2016) Study 1,nodes,0,0,0,0,,0,,0
http://api.osf.io/v2/nodes/9523m/,9523m,Replication Study for RPCB,nodes,33,1,0,0,,0,,0
https://osf.io/feg6u,feg6u,Replication attempt of Southgate et al. (2007),nodes,0,0,0,0,,0,,0
10.17605/osf.io/6bw6x,6bw6x,Uncertainty and pain: a replication study,nodes,0,1,1453,0,,0,,0
https://osf.io/exkjz,exkjz,Exact Replication of Rinck &amp;amp; Becker (2007),,0,0,0,0,,0,,0
http://api.osf.io/v2/nodes/eu6pb/,eu6pb,Optimal Predictions in Everyday Cognition: Conceptual Replication,,0,0,0,0,,0,,0
http://api.osf.io/v2/nodes/txs86/,txs86,"Registered Replication of Nadelhoffer, T., Kvaran, T., &amp;amp; Nahmias, E. (2009). Temperament and intuition: A commentary on Feltz and Cokely. Consciousness and cognition, 18(1), 351-355.",,0,0,0,0,,0,,0
https://osf.io/wsf9p/,wsf9p,Nowlis & Simonson (1997) Replication Study,,0,0,0,0,,0,,0
http://api.osf.io/v2/nodes/x9wdf/,x9wdf,Qualtrics survey for close replication of Schuler &amp;amp; Wanke (2016) Study 2,,0,0,0,0,,0,,0
https://osf.io/tkzyb,tkzyb,Unconscious Arithmetic: A Direct Replication Data,,0,0,0,0,,0,,0
https://osf.io/pd497/#!,pd497,"Direct replication of De Neys, W., Rossi, S., & Houdé, O. (2013).",,0,0,0,0,,0,,0
https://osf.io/x7ebs,x7ebs,A conceptual replication and extension of “Successful explanations start with accurate descriptions: Questionnaire items as personality markers for more accurate predictions” by Seeboth &amp;amp; Mõttus (2018),,0,0,0,0,,0,,0
https://osf.io/fnh9u/#!,fnh9u,PDR1_Does Honesty Require Time? A preregistered replication of SEB2012 Exp2,,0,0,0,0,,0,,0
https://osf.io/tc9yf,tc9yf,Unconscious Arithmetic: A Direct Replication SPSS Files,,0,0,0,0,,0,,0
http://api.osf.io/v2/nodes/k7pyf/,k7pyf,STAGES replication study data,,0,0,0,0,,0,,0
https://osf.io/3ad2t/,3ad2t,CEO Faces: Replication and extension,,0,0,0,0,,0,,0
10.17605/osf.io/myxq5,myxq5,"Finucane, M. L., Alhakami, A., Slovic, P., &amp; Johnson, S. M. (2000): Replication and Extension",,0,0,0,0,,0,,0
https://osf.io/uh7sw/,uh7sw,"Incidental learning of collocations: a multi-site replication study of Webb, Newton, and Chang (2013)",,0,0,0,0,,0,,0
https://osf.io/rh5hb,rh5hb,Stage 2 - Replication Study V1 - Before Consensus Design,,0,0,0,0,,0,,0
10.17605/osf.io/dt3q5,dt3q5,Pride and Shame Track Status Changes - Replication and Extension,,0,0,0,0,,0,,0
http://api.osf.io/v2/nodes/86y74/,86y74,Laptop vs Longhand Replication Study Idea,,0,0,0,0,,0,,0
https://osf.io/tbywc,tbywc,"Direct Replication of Turri ,Buckwalter, Blouw (2015) at the University of Toronto Scarborough",,0,0,0,0,,0,,0
