openalex_id_r,identifier,guid,recover_via,wiki_chars,paper_file,n_files,n_doc_files,all_doc_files
https://openalex.org/W7027541250,https://osf.io/x9uyt,x9uyt,file,0,file EQS finale.pdf,2,2,file EQS finale.pdf | Variable_Labels.docx
https://openalex.org/W7110474656,https://osf.io/xwnps,xwnps,wiki,17811,,3,0,
https://openalex.org/W7015347345,http://api.osf.io/v2/nodes/jv4nf/,jv4nf,wiki,16684,,0,0,
https://openalex.org/W7033513801,https://osf.io/fbgep,fbgep,wiki,3578,,2,1,Explanation of MatLab Changes for Kool et. al. Project.docx
https://openalex.org/W7162053163,https://osf.io/5bx8h,5bx8h,wiki,2864,,2,0,
https://openalex.org/W7065974332,https://osf.io/pbec9,pbec9,wiki,2164,,136,8,"Record of Project Notes and Meeting Minutes.docx | (Transparency Checklist) A Direct Replication of Popp and Serra (2016, Experiment 1) - Better Free Recall and Worse Cued Recall of Animal Names than Object Names (Anonymized).pdf | Experiment Consent & Debriefing forms.docx | HREB Approval for PSYC 576A project.docx | Information given to potential participants.pdf | Manual Scoring Procedure.pdf"
https://openalex.org/W7052364282,https://osf.io/wctqy,wctqy,wiki,1813,,2,0,
https://openalex.org/W7037541307,http://api.osf.io/v2/nodes/jbpag/,jbpag,wiki,1522,,1,0,
https://openalex.org/W7113091754,https://osf.io/62cyz,62cyz,wiki,1493,,2,1,Appendix 1_Self-report measures.docx
https://openalex.org/W2786336911,10.17605/osf.io/6bw6x,6bw6x,wiki,1453,,0,0,
https://openalex.org/W7033463512,https://osf.io/yqks9,yqks9,wiki,1333,,5,0,
https://openalex.org/W7124669573,https://osf.io/3jud6,3jud6,wiki,1179,,1,1,README_OSF.pdf
https://openalex.org/W7058366358,http://osf.io/4rpjz/,4rpjz,wiki,1029,,0,0,
https://openalex.org/W7023438623,https://osf.io/c2bz7,c2bz7,wiki,780,,0,0,
https://openalex.org/W7056660514,http://api.osf.io/v2/nodes/8wphu/,8wphu,wiki,673,,0,0,
https://openalex.org/W7027702298,http://api.osf.io/v2/nodes/5z4a8/,5z4a8,wiki,649,,0,0,
https://openalex.org/W7057602161,http://api.osf.io/v2/nodes/auyqx/,auyqx,wiki,546,,0,0,
https://openalex.org/W7009240475,https://osf.io/6kf8a,6kf8a,wiki,483,,1,0,
https://openalex.org/W7014775623,https://osf.io/fn5tb,fn5tb,wiki,407,,0,0,
https://openalex.org/W7128747891,https://osf.io/4e6qz,4e6qz,wiki,359,,0,0,
https://openalex.org/W7112539439,https://osf.io/cr4xu,cr4xu,wiki,329,,0,0,
https://openalex.org/W6925271275,10.17605/osf.io/ub4zt,ub4zt,wiki,215,,1,0,
https://openalex.org/W6906502463,10.17605/osf.io/fnmk4,fnmk4,wiki+file,2063,Kutscher & Feldman 2019 CogEmo past behavior & regret-exceptionality replication & extension-w-supplement.pdf,1,1,Kutscher & Feldman 2019 CogEmo past behavior & regret-exceptionality replication & extension-w-supplement.pdf
