pair_id,doi_r,title_r,abstract_r,year_r,authors_r,journal_r,url_r,openalex_id_r,source,ref_r,filter_status,filter_method,filter_evidence,filter_confidence,original_match_type,original_match_confidence,classify_llm_model,oa_work_id_r,oa_work_id_o,study_r,doi_o,title_o,study_o,year_o,authors_o,ref_o,bibtex_ref_o,bibtex_ref_r,link_method,link_evidence,link_confidence,link_llm_model,screen_categories,doi_o_verification,pdf_source,parse_method,outcome,outcome_phrase,outcome_confidence,out_quote_source,outcome_reasoning,outcome_computation,outcome_computational_quote,out_quote_computational_source,outcome_robustness,outcome_robustness_quote,out_quote_robust_source,outcome_llm_model,type,original_rank,n_originals
15d886c0777e74b5ee6a4b848ffc47aa,,The identity status of African Americans in middle adolescence: a replication and extension of Forbes and Ashton (1998).,This study is a replication and extension of the work of Forbes and Ashton (1998). Seventy-seven African American high school students completed the revised version of the Extended Objective Measure of Ego Identity Status. Most of the students were found to be in uncommitted identity statuses. Similar results were found in both the ideological and interpersonal domains.,2002,Curtis W. Branch; Barrington Boothe,PubMed,https://pubmed.ncbi.nlm.nih.gov/12564831,https://openalex.org/W344728229,openalex_snapshot,Branch · 2002 · PubMed,replication,screen,rule:replication-claim-cited-title; replication and extension,high,single_original,low,,W344728229,W183247821,,,The identity status of African Americans in middle adolescence: a reexamination of Watson and Protinsky (1991).,,1998,"Forbes, S. C.; Ashton, P. T.","Forbes, S. C., & Ashton, P. T. (1998). The identity status of African Americans in middle adolescence: a reexamination of Watson and Protinsky (1991).. PubMed, 33(132), 845–9.","@article{Forbes_1998, title={The identity status of African Americans in middle adolescence: a reexamination of Watson and Protinsky (1991).}, author={Forbes, S. C. and Ashton, P. T.}, journal={PubMed}, volume={33}, number={132}, pages={845--9}, year={1998}}","@article{CurtisWBranch_2002, title={The identity status of African Americans in middle adolescence: a replication and extension of Forbes and Ashton (1998).}, author={Curtis W. Branch and Barrington Boothe}, journal={PubMed}, year={2002}, url={https://pubmed.ncbi.nlm.nih.gov/12564831}}",llm_author_year_search,"The identity status of African Americans in middle adolescence: a replication and extension of Forbes and Ashton (1998). | target named but unmatched to any record; picked by gpt-5.4-mini from 7 candidate(s) (openalex_authoryear): Candidate 7 is the only paper about African American identity status in middle adolescence, which matches the replication’s stated target and subject matter exactly.. All considered: openalex_authoryear: 10.17953/aicr.22.4.e5m62705k64811k4; openalex_authoryear: 10.2307/3042257; openalex_authoryear: 10.1016/s0920-4105(97)00030-2; openalex_authoryear: 10.1002/j.1552-4604.1998.tb04403.x; openalex_authoryear: 10.1093/acref/9780195301731.013.46549; openalex_authoryear: 10.1006/excr.1997.3782; openalex_authoryear: W183247821 | Original has no registered DOI (https://openalex.org/W183247821)",low,gpt-5.4-mini,clearly_declared,no_doi,,,pending,,low,,outcome not coded: no resolved original link (llm_author_year_search),,,,,,,,replication,1,1
0df5aa3bd433628356bfac984bc2cb68,,"DRIVER DISTRACTION: A REPLICATION AND EXTENSION OF BROWN, TICKNER & SIMMONS (1969)","The study reported here replicates and extends a study by Brown et al (1969) in which concurrent performance of a verbal reasoning task was shown to disrupt drivers' ability to judge whether or not the car they were driving would fit through gaps of different widths. In the present study, the test-track-based gap judgement task was again combined with the original verbal reasoning task, but also with a task requiring largely executive (PASAT) or visuo-spatial (imagery-based clock face comparison) processing. Results showed that ability to perform the verbal reasoning and PASAT task was reliably reduced when combined with gap judgement, but effects were largely absent when the secondary task imposed a high degree of visuo-spatial load. Although no effect of concurrent tasks was observed on gap judgement, the results observed are consistent with the original findings, since substantial evidence of performance trade-off was observed. For the covering abstract see ITRD E116025.",2002,S C Bowditch; John A. Groeger,,https://trid.trb.org/view/734118,https://openalex.org/W642059674,openalex_snapshot,Bowditch · 2002,replication,screen,rule:replication-claim-cited-title; REPLICATION AND EXTENSION,high,single_original,low,,W642059674,W2080967805,,10.1037/h0028103,Interference between concurrent tasks of driving and telephoning.,,1969,"Brown, I. D.; TICKNER, A. H.; SIMMONDS, D. C. V.","Brown, I. D., TICKNER, A. H., & SIMMONDS, D. C. V. (1969). Interference between concurrent tasks of driving and telephoning.. Journal of Applied Psychology, 53(5), 419–424. https://doi.org/10.1037/h0028103","@article{Brown_1969, title={Interference between concurrent tasks of driving and telephoning.}, author={Brown, I. D. and TICKNER, A. H. and SIMMONDS, D. C. V.}, journal={Journal of Applied Psychology}, volume={53}, number={5}, pages={419--424}, year={1969}, doi={10.1037/h0028103}, url={https://doi.org/10.1037/h0028103}}","@misc{SCBowditch_2002, title={DRIVER DISTRACTION: A REPLICATION AND EXTENSION OF BROWN, TICKNER & SIMMONS (1969)}, author={S C Bowditch and John A. Groeger}, year={2002}, url={https://trid.trb.org/view/734118}}",llm_author_year_search,"The study reported here replicates and extends a study by Brown et al (1969) in which concurrent performance of a verbal reasoning task was shown to disrupt drivers' ability to judge whether or not the car they were driving would fit through gaps of different widths. | target named but unmatched to any record; picked by gpt-5.4-mini from 2 candidate(s) (openalex_authoryear): Candidate 1 matches the replication’s described subject exactly: Brown, Tickner & Simmonds (1969) studied interference from a concurrent verbal/telephoning task on driving performance and gap judgement.. All considered: openalex_authoryear: 10.1037/h0028103; openalex_authoryear: 10.2307/2092815",low,gpt-5.4-mini,clearly_declared|context_transfer,verified,,,pending,,low,,outcome not coded: no resolved original link (llm_author_year_search),,,,,,,,replication,1,1
e6d44e45fc49f0a0b66e246f96985864,10.1167/6.6.859,"Does energy expenditure affect the perception of egocentric distance? A failure to replicate Experiment 1 of Proffitt, Stefanucci, and Epstein (2003)","In a series of recent studies, Proffitt and his colleagues have reported that the perceived distance to a target is influenced by the energy expenditure associated with any action, such as walking or throwing, for spanning the distance to the target. In particular, Proffitt, Stefanucci, Banton, and Epstein (2003) reported that wearing a heavy backpack caused verbal reports of distance to increase. We conducted a study to determine whether three responses dependent on perceived distance (verbal report of distance, blind walking, and estimates of object size) are influenced by the backpack manipulation. In two experiments, one involving a between-participants design and the other involving a within-participants design, we found that none of the three responses were influenced by the wearing of a heavy backpack.",2010,Jeffrey J. Hutchison; Jack M. Loomis,Journal of Vision,https://doi.org/10.1167/6.6.859,https://openalex.org/W2041771782,openalex_snapshot,Hutchison · 2010 · Journal of Vision,replication,screen,rule:replication-claim-cited-title; failure to replicate,high,single_original,low,,W2041771782,W2159011919,"1, 2",10.1111/1467-9280.t01-1-01427,The Role of Effort in Perceiving Distance,1,2003,"Proffítt, D. R.; Stefanucci, J. K.; Banton, T.; Epstein, W.","Proffítt, D. R., Stefanucci, J. K., Banton, T., & Epstein, W. (2003). The Role of Effort in Perceiving Distance. Psychological Science, 14(2), 106–112. https://doi.org/10.1111/1467-9280.t01-1-01427","@article{Profftt_2003, title={The Role of Effort in Perceiving Distance}, author={Proffítt, D. R. and Stefanucci, J. K. and Banton, T. and Epstein, W.}, journal={Psychological Science}, volume={14}, number={2}, pages={106--112}, year={2003}, doi={10.1111/1467-9280.t01-1-01427}, url={https://doi.org/10.1111/1467-9280.t01-1-01427}}","@article{JeffreyJHutchison_2010, title={Does energy expenditure affect the perception of egocentric distance? A failure to replicate Experiment 1 of Proffitt, Stefanucci, and Epstein (2003)}, author={Jeffrey J. Hutchison and Jack M. Loomis}, journal={Journal of Vision}, year={2010}, doi={10.1167/6.6.859}, url={https://doi.org/10.1167/6.6.859}}",llm_author_year_search,"A failure to replicate Experiment 1 of Proffitt, Stefanucci, and Epstein (2003) | target named but unmatched to any record; picked by gpt-5.4-mini from 2 candidate(s) (openalex_authoryear): The replication explicitly re-tested the backpack/effort effect on perceived distance from Proffitt, Stefanucci, Banton, and Epstein (2003), which matches the subject of candidate 2, not the unrelated handbook chapter in candidate 1.. All considered: openalex_authoryear: 10.1002/0471264385.wei0408; openalex_authoryear: 10.1111/1467-9280.t01-1-01427",low,gemini-3.5-flash-lite+gpt-5.4-mini,clearly_declared,verified,,,pending,,low,,outcome not coded: no resolved original link (llm_author_year_search),,,,,,,,replication,1,1
2fb3d0e35faaa88864059395ce0578c3,10.1002/(sici)1097-0266(199711)18:10<787::aid-smj913>3.0.co;2-r,Interindustry merger patterns and resource dependence: a replication and extension of Pfeffer (1972),"This paper reexamines Pfeffer’s (1972) classic study on interindustry merger patterns by replicating and then extending his findings. Pfeffer argued and found that resource dependencies, as measured by interindustry economic transactions, explained merger patterns. The replication investigates how robust the resource dependence explanation for interindustry mergers is when more precise methods are applied to a data set that essentially recreates Pfeffer’s. The extension examines the strength of the resouce dependence effect over time, and offers hypotheses that seek to explain both longitudinal and cross-sectional variation in the strength of this effect. Results indicate that while the significance of the resource dependence effect is once again observed, after applying more refined analytical methods to the data the explanatory power of resource dependence is greatly diminished. In addition, variation in the strength of the resource dependence effect suggests some boundary conditions for the theory, at least with respect to its ability to predict interindustry mergers. © 1997 John Wiley & Sons, Ltd.",1997,Sydney Finkelstein,Strategic Management Journal,https://doi.org/10.1002/(sici)1097-0266(199711)18:10<787::aid-smj913>3.0.co;2-r,https://openalex.org/W2168773945,openalex_snapshot,Finkelstein · 1997 · Strategic Management Journal,replication,screen,rule:replication-claim-cited-title; replication and extension,high,single_original,low,,W2168773945,W4238608942,,10.2307/2392151,Merger as a Response to Organizational Interdependence,,1972,"Pfeffer, J.","Pfeffer, J. (1972). Merger as a Response to Organizational Interdependence. Administrative Science Quarterly, 17(3), 382–382. https://doi.org/10.2307/2392151","@article{Pfeffer_1972, title={Merger as a Response to Organizational Interdependence}, author={Pfeffer, J.}, journal={Administrative Science Quarterly}, volume={17}, number={3}, pages={382--382}, year={1972}, doi={10.2307/2392151}, url={https://doi.org/10.2307/2392151}}","@article{SydneyFinkelstein_1997, title={Interindustry merger patterns and resource dependence: a replication and extension of Pfeffer (1972)}, author={Sydney Finkelstein}, journal={Strategic Management Journal}, year={1997}, doi={10.1002/(sici)1097-0266(199711)18:10<787::aid-smj913>3.0.co;2-r}, url={https://doi.org/10.1002/(sici)1097-0266(199711)18:10<787::aid-smj913>3.0.co;2-r}}",llm_author_year_search,"This paper reexamines Pfeffer’s (1972) classic study on interindustry merger patterns by replicating and then extending his findings. | target named but unmatched to any record; picked by gpt-5.4-mini from 2 candidate(s) (openalex_authoryear): The replication explicitly re-tested Pfeffer (1972) on interindustry merger patterns, which matches the candidate paper’s subject exactly: mergers as a response to organizational interdependence.. All considered: openalex_authoryear: 10.2307/2392151; openalex_authoryear: 10.5962/bhl.title.50670",low,gpt-5.4-mini,clearly_declared,verified,,,pending,,low,,outcome not coded: no resolved original link (llm_author_year_search),,,,,,,,replication,1,1
93978e6ecae408c0ee781e9ca85527a1,,Buyer confusion and market prices – a replication study of Kalayci and Potters (2011),"In this master’s thesis I report my close replication attempt of Kalayci and Potters (2011). They examine experimentally whether some of the complexity in consumer markets could be explained by firms’ attempts to take advantage of consumers bounded rationality. In their experimental markets sellers can try complicate buyers’ evaluation of the qualities of their goods. Their results show that price offers and transaction prices are significantly higher when sellers can use complexity to confuse buyers. This leads Kalayci and Potters (2011) to conclude that buyer confusion can, indeed, constitute a source of market power. The objective of my research is to study whether these results are replicated with a different sample from a similar pool of participants and a different experimenter. To that end, I reproduce the procedures of data gathering and analysis of the original research as exactly as possible. The replication experimental sessions were conducted in Turku University’s PCRC lab in May 2016 using the z-Tree program code employed in the original research, with only minor modifications, including translations into Finnish. The analysis is conducted following the original research and replicability is assessed by set criteria. The results on replicability are mixed: In the replication experimental data, as in the original research, price offers and transaction prices are higher when sellers sell to human buyers, and prices increase with average complexity. These effects are, however, smaller in size, and furthermore, I find that the high and low quality sellers’ prices respond differently to average complexity, which contradicts the original findings. I therefore deem my replication of Kalayci and Potters (2011) a partial success.",2016,Satu Metsälampi,Doria (University of Helsinki),http://www.doria.fi/handle/10024/125803,https://openalex.org/W2548422254,openalex_snapshot,Metsälampi · 2016 · Doria (University of Helsinki),replication,screen,rule:replication-claim-cited-title; replication study,high,single_original,low,,W2548422254,W2100604211,,10.1016/j.ijindorg.2010.06.004,Buyer confusion and market prices,,2011,"Kalaycı, K.; Potters, J.","Kalaycı, K., & Potters, J. (2010). Buyer confusion and market prices. International Journal of Industrial Organization, 29(1), 14–22. https://doi.org/10.1016/j.ijindorg.2010.06.004","@article{Kalayc_2010, title={Buyer confusion and market prices}, author={Kalaycı, K. and Potters, J.}, journal={International Journal of Industrial Organization}, volume={29}, number={1}, pages={14--22}, year={2010}, doi={10.1016/j.ijindorg.2010.06.004}, url={https://doi.org/10.1016/j.ijindorg.2010.06.004}}","@article{SatuMetslampi_2016, title={Buyer confusion and market prices – a replication study of Kalayci and Potters (2011)}, author={Satu Metsälampi}, journal={Doria (University of Helsinki)}, year={2016}, url={http://www.doria.fi/handle/10024/125803}}",llm_author_year_search,my close replication attempt of Kalayci and Potters (2011) | target named but unmatched to any record; picked by gpt-5.4-mini from 10 candidate(s) (openalex_authoryear): Candidate 1 matches the replication’s topic exactly—buyer confusion in markets—and its author order fits the cited Kalayci and Potters (2011) paper.. All considered: openalex_authoryear: 10.1016/j.ijindorg.2010.06.004; openalex_authoryear: 10.2139/ssrn.1944049; openalex_authoryear: 10.1111/j.1398-9995.2011.02728.x; openalex_authoryear: 10.1097/wox.0b013e318232389e; openalex_authoryear: 10.1111/j.1365-2036.2011.04730.x; openalex_authoryear: 10.1186/1471-2202-12-75; openalex_authoryear: 10.1007/s00403-011-1203-3; openalex_authoryear: 10.1097/aci.0b013e328346566f; openalex_authoryear: 10.1089/lap.2011.0335; openalex_authoryear: 10.1111/j.1365-2362.2011.02597.x,low,gpt-5.4-mini,clearly_declared|context_transfer,verified,,,pending,,low,,outcome not coded: no resolved original link (llm_author_year_search),,,,,,,,replication,1,1
8eef829d70dcaff5127542b0b80fa1a1,,Self-controlled feedback is effective if it is based on the learner's performance: A replication and extension of Chiviacowsky & Wulf (2005),"Self-controlled feedback schedules are more effective for motor learning compared to yoked schedules. These advantages have been attributed to motivational and/or cognitive processes with many researchers adopting the motivational perspective in recent years. However, Chiviacowsky and Wulf (2005) found that retention but not transfer performance could be equally optimised when the feedback decision is made before or after a trial. Chiviacowsky and Wulf (2005) concluded that motivational factors resulted in the similar retention performance, but the learning advantages of deciding after a trial as evidenced in transfer was hypothesised to emerge from cognitive processes. Here, we tested whether a positive additive effect of motivational and cognitive processes is a viable hypothesis for the learning benefits of self-controlled feedback. To this end, we included a Self-Both group that was able to request feedback before a trial but could then change or stay with their original choice after the trial. We also replicated the Self-Before and Self-After groups used in Chiviacowsky and Wulf (2005) whose decision was restricted to only before or after a trial, respectively. Corresponding Yoked groups were included for each Self-controlled group. Participants practiced a target aiming task whereby a slider was propelled down a track to a target distance with their non-dominant hand in the absence of vision. Contrary to the additive hypothesis, the Self-Both group did not outperform the other Self-controlled groups. Instead, the Self-After and Self-Both groups were not significantly different, but both demonstrated superior learning than the Self-Before group and their respective Yoked counterparts ( p ’s < .05). These findings indicate that the cognitive processes engaged during practice when participants are permitted to make their feedback decision following motor performance resulted in superior learning. These findings suggest that cognitive rather than motivational processes may have greater relative contributions to the learning benefits of self-controlled feedback schedules. Acknowledgments: Funded by NSERC",2014,Michael J Carter; Anthony N. Carlsen; Diane M. Ste‐Marie,"Journal of Exercise, Movement, and Sport",https://www.scapps.org/jems/index.php/1/article/view/780,https://openalex.org/W2679141322,openalex_snapshot,"Carter · 2014 · Journal of Exercise, Movement, and Sport",replication,screen,rule:replication-claim-cited-title; replication and extension,high,single_original,low,,W2679141322,W2051739041,,10.1080/02701367.2005.10599260,Self-Controlled Feedback Is Effective if It Is Based on the Learner's Performance,,2005,"Chiviacowsky, S.; Wulf, G.","Chiviacowsky, S., & Wulf, G. (2005). Self-Controlled Feedback Is Effective if It Is Based on the Learner's Performance. Research Quarterly for Exercise and Sport, 76(1), 42–48. https://doi.org/10.1080/02701367.2005.10599260","@article{Chiviacowsky_2005, title={Self-Controlled Feedback Is Effective if It Is Based on the Learner's Performance}, author={Chiviacowsky, S. and Wulf, G.}, journal={Research Quarterly for Exercise and Sport}, volume={76}, number={1}, pages={42--48}, year={2005}, doi={10.1080/02701367.2005.10599260}, url={https://doi.org/10.1080/02701367.2005.10599260}}","@article{MichaelJCarter_2014, title={Self-controlled feedback is effective if it is based on the learner's performance: A replication and extension of Chiviacowsky & Wulf (2005)}, author={Michael J Carter and Anthony N. Carlsen and Diane M. Ste‐Marie}, journal={Journal of Exercise, Movement, and Sport}, year={2014}, url={https://www.scapps.org/jems/index.php/1/article/view/780}}",llm_author_year_search,"We also replicated the Self-Before and Self-After groups used in Chiviacowsky and Wulf (2005) whose decision was restricted to only before or after a trial, respectively. | target named but unmatched to any record; picked by gpt-5.4-mini from 8 candidate(s) (openalex_authoryear): Candidate 1 is the exact Chiviacowsky & Wulf (2005) paper on self-controlled feedback that the replication explicitly says it replicated and extended.. All considered: openalex_authoryear: 10.1080/02701367.2005.10599260; openalex_authoryear: 10.1080/02701367.2005.10599266; openalex_authoryear: 10.1093/bja/aei246; openalex_authoryear: 10.1111/j.1468-3083.2005.01327.x; openalex_authoryear: 10.1213/01.ane.0000151160.93288.0a; openalex_authoryear: 10.1080/00015550410024085; openalex_authoryear: 10.1145/1099203.1099213; openalex_authoryear: 10.1080/15394450500459358",low,gpt-5.4-mini,clearly_declared,verified,,,pending,,low,,outcome not coded: no resolved original link (llm_author_year_search),,,,,,,,replication,1,1
1ff4a84becbad840e5b6dc7ec572c8f7,,"Relationship of 2D:4D Ratio to the Big Five, Verbal, and Numerical Intelligence: A Close Replication of Luxen and Buunk (2005)","This pre-registered replication attempt is aimed at the effect of 2nd to 4th digit ratio (2D:4D) on personality traits of the Big Five, verbal, and numerical intelligence. It aims to replicate the findings by Luxen and Buunk (2005).",2015,Thomas Scherndl; Anne-Kathrin Schock; Belinda Pletzer; Tuulia M. Ortner; Regina Bode,OSF Preprints (OSF Preprints),http://api.osf.io/v2/nodes/qp4h8/,https://openalex.org/W2776696688,openalex_snapshot,Scherndl · 2015 · OSF Preprints (OSF Preprints),replication,screen,rule:replication-claim-cited-title; Close Replication,high,single_original,low,,W2776696688,W2105994323,,10.1016/j.paid.2005.03.016,Second-to-fourth digit ratio related to Verbal and Numerical Intelligence and the Big Five,,2005,"Luxen, M. F.; Buunk, B. P.","Luxen, M. F., & Buunk, B. P. (2005). Second-to-fourth digit ratio related to Verbal and Numerical Intelligence and the Big Five. Personality and Individual Differences, 39(5), 959–966. https://doi.org/10.1016/j.paid.2005.03.016","@article{Luxen_2005, title={Second-to-fourth digit ratio related to Verbal and Numerical Intelligence and the Big Five}, author={Luxen, M. F. and Buunk, B. P.}, journal={Personality and Individual Differences}, volume={39}, number={5}, pages={959--966}, year={2005}, doi={10.1016/j.paid.2005.03.016}, url={https://doi.org/10.1016/j.paid.2005.03.016}}","@article{ThomasScherndl_2015, title={Relationship of 2D:4D Ratio to the Big Five, Verbal, and Numerical Intelligence: A Close Replication of Luxen and Buunk (2005)}, author={Thomas Scherndl and Anne-Kathrin Schock and Belinda Pletzer and Tuulia M. Ortner and Regina Bode}, journal={OSF Preprints (OSF Preprints)}, year={2015}, url={http://api.osf.io/v2/nodes/qp4h8/}}",llm_author_year_search,"A Close Replication of Luxen and Buunk (2005) | It aims to replicate the findings by Luxen and Buunk (2005). | target named but unmatched to any record; picked by gpt-5.4-mini from 2 candidate(s) (openalex_authoryear): Candidate 1 matches the replication’s subject exactly: Luxen and Buunk’s 2005 paper on 2D:4D ratio and the Big Five, verbal, and numerical intelligence.. All considered: openalex_authoryear: 10.1016/j.paid.2005.03.016; openalex_authoryear: 10.1016/j.neuroimage.2004.11.048 | identified 1 of 2 targets; unidentified: not named | searches: resolved('Luxen and Buunk (2005) -> authoryear:luxen+buunk 2005')",low,gpt-5.4-mini,clearly_declared,verified,,,pending,,low,,outcome not coded: no resolved original link (llm_author_year_search),,,,,,,,replication,1,1
b554c141bb2a9f01d0d6cdf91b3f9d02,10.17605/osf.io/tp32p,Registered replication and extension of Perilloux and Kurzban (2015),"Pre-registration for partial replication and extension of Perilloux and Kurzban (2015), Study 3.",2016,Sean C. Murphy; Damian Murray; Martie G. Haselton; Bill von Hippel,OSF Preprints (OSF Preprints),https://doi.org/10.17605/osf.io/tp32p,https://openalex.org/W2777073598,openalex_snapshot,Murphy · 2016 · OSF Preprints (OSF Preprints),replication,screen,rule:replication-claim-cited-title; replication and extension,high,single_original,low,,W2777073598,W1980838308,,10.1007/s40806-015-0017-5,Do (non-American) Men Overestimate Women’s Sexual Intentions?,3,2015,"Perilloux, C.; Muñoz‐Reyes, J. A.; Turiégano, E.; Kurzban, R.; Pita, M.","Perilloux, C., Muñoz‐Reyes, J. A., Turiégano, E., Kurzban, R., & Pita, M. (2015). Do (non-American) Men Overestimate Women’s Sexual Intentions?. Evolutionary Psychological Science, 1(3), 150–154. https://doi.org/10.1007/s40806-015-0017-5","@article{Perilloux_2015, title={Do (non-American) Men Overestimate Women’s Sexual Intentions?}, author={Perilloux, C. and Muñoz‐Reyes, J. A. and Turiégano, E. and Kurzban, R. and Pita, M.}, journal={Evolutionary Psychological Science}, volume={1}, number={3}, pages={150--154}, year={2015}, doi={10.1007/s40806-015-0017-5}, url={https://doi.org/10.1007/s40806-015-0017-5}}","@article{SeanCMurphy_2016, title={Registered replication and extension of Perilloux and Kurzban (2015)}, author={Sean C. Murphy and Damian Murray and Martie G. Haselton and Bill von Hippel}, journal={OSF Preprints (OSF Preprints)}, year={2016}, doi={10.17605/osf.io/tp32p}, url={https://doi.org/10.17605/osf.io/tp32p}}",llm_author_year_search,"Pre-registration for partial replication and extension of Perilloux and Kurzban (2015), Study 3. | target named but unmatched to any record; picked by gpt-5.4-mini from 1 candidate(s) (openalex_authoryear): The candidate is the 2015 Perilloux et al. paper on men overestimating women’s sexual intentions, which matches the replication’s target citation to Perilloux and Kurzban (2015), Study 3.. All considered: openalex_authoryear: 10.1007/s40806-015-0017-5",low,gpt-5.4-mini,clearly_declared|context_transfer,verified,,,pending,,low,,outcome not coded: no resolved original link (llm_author_year_search),,,,,,,,replication,1,1
467807a81730e7703d9c71278d7b3da6,,"Independent Direct Replication #2 of Vess (2012, PS, Study 1)","The main goal of the current project is to execute an independent (direct) replication of Vessâ (2012, PS) main finding from his Study 1. Consistent with an embodiment account, he found that more anxiously attached individuals reported more desire for warm food and drinks, but only when such individuals had recalled a past romantic breakup (vs. recalling an ordinary event). We will execute a high-powered (estimated power of .95) independent replication using exactly the same measures, manipulations, instructions (exact instructions and manipulation acquired from Vess), and sampling approach (online sample using Amazonâs Mechanical Turk website). The primary goal is to determine whether Vessâ finding generalizes to a new sample of individuals, hence contributing to the question of whether Vess' original finding reflects reproducible knowledge.",2013,Lorne Campbell; Etienne P. LeBel,OSF Preprints (OSF Preprints),http://api.osf.io/v2/nodes/yppur/,https://openalex.org/W2783379353,openalex_snapshot,Campbell · 2013 · OSF Preprints (OSF Preprints),replication,screen,rule:replication-claim-cited-title; Direct Replication,high,single_original,low,,W2783379353,W2109466703,,10.1177/0956797611435919,Warm Thoughts,1,2012,"Vess, M.","Vess, M. (2012). Warm Thoughts. Psychological Science, 23(5), 472–474. https://doi.org/10.1177/0956797611435919","@article{Vess_2012, title={Warm Thoughts}, author={Vess, M.}, journal={Psychological Science}, volume={23}, number={5}, pages={472--474}, year={2012}, doi={10.1177/0956797611435919}, url={https://doi.org/10.1177/0956797611435919}}","@article{LorneCampbell_2013, title={Independent Direct Replication #2 of Vess (2012, PS, Study 1)}, author={Lorne Campbell and Etienne P. LeBel}, journal={OSF Preprints (OSF Preprints)}, year={2013}, url={http://api.osf.io/v2/nodes/yppur/}}",llm_author_year_search,"Independent Direct Replication #2 of Vess (2012, PS, Study 1) | target named but unmatched to any record; picked by gpt-5.4-mini from 10 candidate(s) (openalex_authoryear): Candidate 4 is Vess’s 2012 Psychological Science paper “Warm Thoughts,” which matches the replication’s Study 1 topic about anxiously attached individuals wanting warm food and drinks after recalling a romantic breakup.. All considered: openalex_authoryear: 10.1177/1088868312440046; openalex_authoryear: 10.1177/0093854811430476; openalex_authoryear: 10.1016/j.canlet.2012.06.010; openalex_authoryear: 10.1177/0956797611435919; openalex_authoryear: 10.1037/14040-003; openalex_authoryear: 10.1177/1948550612459770; openalex_authoryear: 10.1007/s11031-012-9313-6; openalex_authoryear: 10.1080/15614263.2012.680719; openalex_authoryear: 10.4324/9780203126813; openalex_authoryear: 10.1021/jp301194j",low,gpt-5.4-mini,clearly_declared|context_transfer,verified,,,pending,,low,,outcome not coded: no resolved original link (llm_author_year_search),,,,,,,,replication,1,1
09a7657092ebca72b47c8ae72ec22624,10.17605/osf.io/r8qp2,The Language of War: A Replication and Extension of Abe (2012) and Matsumoto and Hwang (2013),"Legislative bodies have very important roles and understanding the psychology of their decision-making processes is a useful area of study. We add to this area by replicating two previous studies Abe (2012) and Matsumoto and Hwang (2013) in the context of a legislative body. The present study hypothesized that legislators who support war measures be externally focused and less cognitively complex in their speeches while opponents of war measures would be internally focused. Speeches were obtained pertaining to the decisions for the U.S. to take military action in Kosovo, Iraq, and Libya. While we found mixed results depending on the circumstances of a specific conflict, we demonstrate how automated language analysis can be combined with voting records to better understand behavioral action, such as legislative decision.",2017,Kayla Jordan; William Edward Padfield; Erin Michelle Buchanan,OSF Preprints (OSF Preprints),https://doi.org/10.17605/OSF.IO/R8QP2,https://openalex.org/W2893291435,openalex_snapshot,Jordan · 2017 · OSF Preprints (OSF Preprints),replication,screen,rule:replication-claim-cited-title; Replication and Extension,high,multiple_original,low,,W2893291435,W2145270401,,10.1177/0261927x12438532,Cognitive–Affective Styles Associated With Position on War,,2012,"Abe, J. A. A.","Abe, J. A. A. (2012). Cognitive–Affective Styles Associated With Position on War. Journal of Language and Social Psychology, 31(2), 212–222. https://doi.org/10.1177/0261927x12438532","@article{Abe_2012, title={Cognitive–Affective Styles Associated With Position on War}, author={Abe, J. A. A.}, journal={Journal of Language and Social Psychology}, volume={31}, number={2}, pages={212--222}, year={2012}, doi={10.1177/0261927x12438532}, url={https://doi.org/10.1177/0261927x12438532}}","@article{KaylaJordan_2017, title={The Language of War: A Replication and Extension of Abe (2012) and Matsumoto and Hwang (2013)}, author={Kayla Jordan and William Edward Padfield and Erin Michelle Buchanan}, journal={OSF Preprints (OSF Preprints)}, year={2017}, doi={10.17605/osf.io/r8qp2}, url={https://doi.org/10.17605/osf.io/r8qp2}}",llm_author_year_search,"We add to this area by replicating two previous studies Abe (2012) and Matsumoto and Hwang (2013) in the context of a legislative body. | target named but unmatched to any record; picked by gpt-5.4-mini from 10 candidate(s) (openalex_authoryear): Candidate 3 is the only Abe (2012) paper about war positions and language/psychological style, matching the replication’s target subject exactly.. All considered: openalex_authoryear: 10.1149/ma2012-02/54/3752; openalex_authoryear: 10.1142/9789814401500_0052; openalex_authoryear: 10.1177/0261927x12438532; openalex_authoryear: 10.1063/1.3681902; openalex_authoryear: 10.1029/2011je003945; openalex_authoryear: 10.1016/j.physletb.2012.05.051; openalex_authoryear: 10.9793/elsj.29.2_382; openalex_authoryear: 10.1258/ar.2012.120039; openalex_authoryear: 10.1080/09507116.2011.590667; openalex_authoryear: 10.1104/pp.112.197343",low,gpt-5.4-mini,clearly_declared|context_transfer,verified,,,pending,,low,,outcome not coded: no resolved original link (llm_author_year_search),,,,,,,,replication,1,2
