pair_id,doi_r,title_r,abstract_r,year_r,authors_r,journal_r,url_r,openalex_id_r,source,ref_r,filter_status,filter_method,filter_evidence,filter_confidence,original_match_type,original_match_confidence,classify_llm_model,oa_work_id_r,oa_work_id_o,study_r,doi_o,title_o,study_o,year_o,authors_o,ref_o,bibtex_ref_o,bibtex_ref_r,link_method,link_evidence,link_confidence,link_llm_model,screen_categories,prescreen_verdict,doi_o_verification,pdf_source,parse_method,outcome,outcome_phrase,outcome_confidence,out_quote_source,outcome_reasoning,outcome_computation,outcome_computational_quote,out_quote_computational_source,outcome_robustness,outcome_robustness_quote,out_quote_robust_source,outcome_llm_model,type,original_rank,n_originals
18b80414a35b02daae4b9ef9d51608d0,10.1177/0160017619869781,A Spatial Perspective on the Econometrics of Program Evaluation,"Empirical work in regional science has seen a growing interest in causal inference, leveraging insights from econometrics, statistics, and related fields. This has resulted in several conceptual as well as empirical papers. However, the role of spatial effects, such as spatial dependence (SD) and spatial heterogeneity (SH), is less well understood in this context. Such spatial effects violate the so-called stable unit treatment value assumption advanced by Rubin as part of the foundational framework for empirical treatment effect analysis. In this article, we consider the role of spatial effects more closely. We provide a brief overview of a number of attempts to extend existing econometric treatment effect evaluation methods with an accounting for spatial aspects and outline and illustrate an alternative approach. Specifically, we propose a spatially explicit counterfactual framework that leverages spatial panel econometrics to account for both SD and SH in treatment choice, treatment variation, and treatment effects. We illustrate this framework with a replication of a well-known treatment effect analysis, that is, the evaluation effect of minimum legal drinking age laws on mortality for US states during the period 1970–1984, a classic textbook example of applied causal inference. We replicate the results available in the literature and compare these to a range of alternative specifications that incorporate spatial effects.",2019.0,Marynia Kolak; Luc Anselin,International Regional Science Review,,https://openalex.org/W2970776432,openalex,Kolak · 2019 · International Regional Science Review,reproduction,both,phrase:replication of; no author-year cite | llm:replication of a well-known treatment effect analysis,high,single_original,low,,W2970776432,,,,A Spatial Perspective on the Econometrics of Program Evaluation,,2004,Anselin,Anselin · 2004,,"@article{MaryniaKolak_2019.0, title={A Spatial Perspective on the Econometrics of Program Evaluation}, author={Marynia Kolak and Luc Anselin}, journal={International Regional Science Review}, year={2019.0}, doi={10.1177/0160017619869781}, url={https://doi.org/10.1177/0160017619869781}}",target_pending,"In this article, we consider the role of spatial effects more closely. We provide a brief overview of a number of attempts to extend existing econometric... | No DOI found for resolved title/author | rejected: resolved original has the same title as the replication",low,gemini-3-flash-preview,,,skipped,,,cannot_be_determined,"Specifically, we propose a spatially explicit counterfactual framework that leverages spatial panel econometrics to account for both SD and SH in treatment choice, treatment variation, and treatment effects. We illustrate this framework with a replication of a well-known treatment effect analysis, that is, the evaluation effect of minimum legal drinking age laws on mortality for US states during the period 1970–1984, a classic textbook example of applied causal inference. We replicate the results available in the literature and compare these to a range of alternative specifications that incorporate spatial effects.",high,abstract,"The abstract confirms that the original results were successfully replicated (computationally successful), but it does not state whether the findings remained robust or were challenged when compared to alternative spatial specifications.",,,,,,,,reproduction,1,1
280fbf8caad8df40ec334eacfdd4813f,10.1001/jamapsychiatry.2013.288,A Comprehensive Family-Based Replication Study of Schizophrenia Genes,"IMPORTANCE: Schizophrenia (SCZ) is a devastating psychiatric condition. Identifying the specific genetic variants and pathways that increase susceptibility to SCZ is critical to improve disease understanding and address the urgent need for new drug targets. OBJECTIVE: To identify SCZ susceptibility genes. DESIGN: We integrated results from a meta-analysis of 18 genome-wide association studies (GWAS) involving 1,085,772 single-nucleotide polymorphisms (SNPs) and 6 databases that showed significant informativeness for SCZ. The 9380 most promising SNPs were then specifically genotyped in an independent family-based replication study that, after quality control, consisted of 8107 SNPs. SETTING: Linkage meta-analysis, brain transcriptome meta-analysis, candidate gene database, OMIM, relevant mouse studies, and expression quantitative trait locus databases. PATIENTS: We included 11,185 cases and 10,768 control subjects from 6 databases and, after quality control 6298 individuals (including 3286 cases) from 1811 nuclear families. MAIN OUTCOMES AND MEASURES: Case-control status for SCZ. RESULTS: Replication results showed a highly significant enrichment of SNPs with small P values. Of the SNPs with replication values of P.01, the proportion of SNPs that had the same direction of effects as in the GWAS meta-analysis was 89% in the combined ancestry group (sign test, P < 2.20 x 10(-16) and 93% in subjects of European ancestry only (P < 2.20 < 10(-16)). Our results supported the major histocompatibility complex region showing a3.7-fold overall enrichment of replication values of P < .01 in subjects from European ancestry. We replicated SNPs in TCF4 (P = 2.53 x 10(-10)) and NOTCH4 (P = 3.16 x 10(-7)) that are among the most robust SCZ findings. More novel findings included POM121L2 (P = 3.51 x 10(-7)), AS3MT (P = 9.01 x 10(-7)), CNNM2 (P = 6.07 = 10(-7)), and NT5C2(P = 4.09 x 10(-7)). To explore the many small effects, we performed pathway analyses. The most significant pathways involved neuronal function (axonal guidance, neuronal systems, and L1 cell adhesion molecule interaction)and the immune system (antigen processing, cell adhesion molecules relevant to T cells, and translocation to immunological synapse). CONCLUSIONS AND RELEVANCE: We replicated novel SCZ disease genes and pathogenic pathways. Better understanding the molecular and biological mechanisms involved with schizophrenia may improve disease management and may identify new drug targets.",2013.0,Karolina A. Åberg; Youfang Liu; József Bukszár; Joseph L. McClay; Amit N. Khachane; Ole A. Andreassen; Douglas Blackwood; Aiden Corvin; Srdjan Djurovic; Hugh Gurling; Roel A. Ophoff; Carlos N. Pato; Michele T. Pato; Brien P. Riley; Todd Webb; Kenneth S. Kendler; Mick O’Donovan; Nick Craddock; George Kirov; Mike Owen; Dan Rujescu; David St Clair; Thomas Werge; Christina M. Hultman; Lynn E. DeLisi; Patrick F. Sullivan; Edwin J. van den Oord,JAMA Psychiatry,,https://openalex.org/W2036569944,openalex,Åberg · 2013 · JAMA Psychiatry,replication,screen,phrase:we replicated; no author-year cite | llm:“independent family-based replication study”,high,single_original,low,,W2036569944,,,,,,,,,,"@article{KarolinaAberg_2013.0, title={A Comprehensive Family-Based Replication Study of Schizophrenia Genes}, author={Karolina A. Åberg and Youfang Liu and József Bukszár and Joseph L. McClay and Amit N. Khachane and Ole A. Andreassen and Douglas Blackwood and Aiden Corvin and Srdjan Djurovic and Hugh Gurling and Roel A. Ophoff and Carlos N. Pato and Michele T. Pato and Brien P. Riley and Todd Webb and Kenneth S. Kendler and Mick O’Donovan and Nick Craddock and George Kirov and Mike Owen and Dan Rujescu and David St Clair and Thomas Werge and Christina M. Hultman and Lynn E. DeLisi and Patrick F. Sullivan and Edwin J. van den Oord}, journal={JAMA Psychiatry}, year={2013.0}, doi={10.1001/jamapsychiatry.2013.288}, url={https://doi.org/10.1001/jamapsychiatry.2013.288}}",target_pending,,low,,clearly_declared|context_transfer,,skipped,,,pending,,low,,outcome not coded: no resolved original link (target_pending),,,,,,,,replication,1,1
dd6cb7e7c7d0f0c37ce3a2d43a82cf26,10.5282/edoc.23189,Understanding cognitive structure of multitasking behavior and working memory training effects,"Multitasking behavior and working memory training are important topics in psychological science. The present thesis systematically investigated the underlying cognitive constructs of multitasking behavior and the cognitive strategies related to transfer effects of working memory training, which were described in two empirical studies. In the first study, we examined the underlying cognitive constructs associated with the concept of multitasking behavior. Although prior investigations have revealed cognitive abilities to be important predictors of multitasking behavior, few studies have been conducted on the relation between executive functions (EFs) and multitasking behavior. In this regard, the current investigation explored the importance of EFs, working memory capacity (WMC), relational integration, and divided attention to multitasking behavior. A sample of 202 young adults completed a battery of EFs (shifting, updating, and inhibition), three WMC tests, three relational integration tests, two divided attention tests, and a multitasking scenario (Simultaneous Capacity). Our study provided several key findings. First, in direct replication attempts, we could replicate the multitasking behavior model (Bühner, König, Pick, &amp; Krumm, 2006) and partially replicate the three-factor and nested factors EFs models (Friedman et al., 2016). Second, the regression analyses revealed that updating, inhibition, relational integration, and divided attention had strong contributions in explaining multitasking behavior variance, whereas shifting and WMC did not show any explanatory power beyond these constructs. Finally, using structural equation modeling, we found that the general EF ability representing variance common to shifting, updating, and inhibition highly overlapped with multitasking behavior. Our results are of value not only to shed light on the relevant cognitive correlates of multitasking behavior but also to position multitasking behavior in an established framework of cognitive abilities. Additionally, by providing strong empirical evidence in favor of cognitive constructs of multitasking behavior, this study builds the necessary groundwork for steering future research to elucidate the etiology of underlying relations between these specific cognitive correlates and multitasking behavior. The second study inspected how transfer occurs on material-specific tasks, rather than other task types within the working memory training framework. Despite numerous attempts of using training interventions to increase WMC, the role of cognitive strategy in explaining the transfer effects is not yet experimentally investigated. We hypothesized that transfer would occur when a similar cognitive strategy is applied in solving both the trained and transfer tasks. According to this idea, we examined the strategic approach by directly using tasks that allow for specific strategies and tasks that do not. In particular, training with verbal and numerical materials should show transfer to figural (symbol) material, and the other way around. Additionally, differences between visual and verbal cognitive strategies could lead to differential transfer effects on working memory tasks. Eighty young adults received training on two working memory operations: storage and processing, and relational integration (derived from Oberauer, Süß, Wilhelm, &amp; Weittman, 2003) with four different materials verbal/numerical/figural (pattern)/figural (symbol), and another 17 served as active control group and 8 as passive group. Before and after 12 days of adaptive training, performance on the storage and processing, and on the relational integration tasks was assessed. Linear-mixed effects modeling revealed four important findings. First, following training, there were reliable improvements on the performance of trained storage and processing, and relational integration tasks, compared to the active control group. However, such training did not generalize to measures of the same working memory operation with different materials in most cases. Second, the only transfer effect was observed between numerical and figural (symbol) material within relational integration tasks, thereby confirming our hypothesis. Third, no transfer was detected between storage and processing, and relational integration. Finally, there was no direct evidence supporting the influence of cognitive strategies (visual and verbal) on transfer effects. Together, the present findings provide strong evidence for growing theories of multitasking behavior and working memory training, emphasizing the importance of cognitive underpinnings of multitasking behavior and specifying the efficacy of working memory intervention only on material-specific tasks, which may be emerged from the acquisition of task-specific cognitive strategies. Although the current investigation did not yet provide clear evidence about the strategic approach (i.e., internal information processing operations: visual and verbal), the combination of material-specific mechanisms with a general boost in the underlying cognitive strategies provides an important and interesting perspective for future work.",2018.0,Samsad Afrin Himi,Electronic Theses of LMU Munich (Ludwig-Maximilians-Universität München),,https://openalex.org/W2903308962,openalex,Himi · 2018 · Electronic Theses of LMU Munich (Ludwig-Maximilians-Universität München),replication,screen,"phrase:direct replication; cite:Friedman et al., 2016",high,multiple_original,medium,gemini-3-flash-preview,W2903308962,,,,,,2016,Friedman,Friedman · 2016,,"@article{SamsadAfrinHimi_2018.0, title={Understanding cognitive structure of multitasking behavior and working memory training effects}, author={Samsad Afrin Himi}, journal={Electronic Theses of LMU Munich (Ludwig-Maximilians-Universität München)}, year={2018.0}, doi={10.5282/edoc.23189}, url={https://doi.org/10.5282/edoc.23189}}",target_pending,"First, in direct replication attempts, we could replicate the multitasking behavior model (Bühner, König, Pick, & Krumm, 2006) and partially replicate the three-factor and nested factors EFs models (Friedman et al., 2016). | rejected: no doi_o and no usable title_o",low,gpt-5-mini,clearly_declared,,skipped,,,pending,,low,,outcome not coded: no resolved original link (target_pending),,,,,,,,replication,2,2
1c47d400321e5840b09d1e303c7b1464,10.17605/osf.io/x5b6d,"Replication of Schmidt and Besner (2008, JEPLMC, Exp 2)","Direct replication of Schmidt &amp; Besner, 2008. Materials and preliminary work collected by COS team, data collected by researchers outside of COS.",2015.0,Megan M. Kyc; Mark D. Cloud,Open Science Framework,,https://openalex.org/W2780226201,openalex,Kyc · 2015 · Open Science Framework,replication,screen,"phrase:replication of; cite:Besner, 2008",high,single_original,low,,W2780226201,,,,,,,,,,"@article{MeganMKyc_2015.0, title={Replication of Schmidt and Besner (2008, JEPLMC, Exp 2)}, author={Megan M. Kyc and Mark D. Cloud}, journal={Open Science Framework}, year={2015.0}, doi={10.17605/osf.io/x5b6d}, url={https://doi.org/10.17605/osf.io/x5b6d}}",target_pending,,low,,clearly_declared,,skipped,,,pending,,low,,outcome not coded: no resolved original link (target_pending),,,,,,,,replication,1,1
e6a9eb176846cbeb24412b8e58f3e5e2,10.17605/osf.io/d2epg,"The Effect of ""Heat-Priming"" on Hostile Perceptions",This is a direct replication of DeWall and Bushman's (2009) study demonstrating that priming participants with heat-related constructs increases perceptions of hostility relative to participants primed with either cold-related constructs or neutral constructs.,2013.0,Randy J. McCarthy,OSF Preprints (OSF Preprints),,https://openalex.org/W2778101318,openalex,McCarthy · 2013 · OSF Preprints (OSF Preprints),replication,screen,phrase:replication of; cite:DeWall and Bushman's (2009),high,single_original,low,,W2778101318,,,,,,,,,,"@article{RandyJMcCarthy_2013.0, title={The Effect of ""Heat-Priming"" on Hostile Perceptions}, author={Randy J. McCarthy}, journal={OSF Preprints (OSF Preprints)}, year={2013.0}, doi={10.17605/osf.io/d2epg}, url={https://doi.org/10.17605/osf.io/d2epg}}",target_pending,,low,,clearly_declared,,skipped,,,pending,,low,,outcome not coded: no resolved original link (target_pending),,,,,,,,replication,1,1
ff3d32ec0c5e9d270f1ae7660d4d0640,10.17605/osf.io/rp768,Crossley_OrgBehavior_2009_5Xaw - Peters - 69y36,"This is a Direct Replication attempt on the claim 4 claim: malice related indirectly to revenge (b = .19, p &lt; .05) from Crossley et al (2009). The statistical evidence is: b = .19, p &lt; .05",2021.0,"Kim Olivia Peters; Elan Simon Parsons; Miske, Olivia; Bri Luis [SCORE]; Zachary Loomas; Melissa Kline Struhl; Nicholas Fox [SCORE]; Andrew H. Tyner; Krystal Hahn",OSF Preprints (OSF Preprints),,https://openalex.org/W7130552453,openalex,Peters · 2021 · OSF Preprints (OSF Preprints),replication,screen,phrase:direct replication; cite:Crossley et al (2009),high,single_original,low,,W7130552453,,,,,,,,,,"@article{KimOliviaPeters_2021.0, title={Crossley_OrgBehavior_2009_5Xaw - Peters - 69y36}, author={Kim Olivia Peters and Elan Simon Parsons and Miske, Olivia and Bri Luis [SCORE] and Zachary Loomas and Melissa Kline Struhl and Nicholas Fox [SCORE] and Andrew H. Tyner and Krystal Hahn}, journal={OSF Preprints (OSF Preprints)}, year={2021.0}, doi={10.17605/osf.io/rp768}, url={https://doi.org/10.17605/osf.io/rp768}}",target_pending,,low,,clearly_declared,,skipped,,,pending,,low,,outcome not coded: no resolved original link (target_pending),,,,,,,,replication,1,1
cbfc8c6ca96d6154256a0eb3874c7f79,10.23668/psycharchives.2392,Quantifying Replication Value: A formula-based approach to study selection in replication research.,"Background: The concept of replication is a central value of empirical science. At the same time scientists do not regard every replication as equally valuable. Even though replications are a cornerstone of empirical science (Bertamini &amp; Munafò, 2012; Falk, 1998; Jasny, Chin, Chong, &amp; Vignieri, 2011; Koole &amp; Lakens, 2012; Moonesinghe, Khoury, &amp; Janssens, 2007; Rosenthal, 1990; Schmidt, 2009), most researchers will agree that conducting 20 direct replications of the classic and extremely robust Stroop color-naming task (Stroop, 1935) would not be the best way to spend one’s grant money. This raises an important question: when is a replication of an empirical finding of sufficient valuable to the scientific community that it should be be performed? Given limited resources, one could also ask: which among currently published findings are the most valuable to replicate? Some discussion of the circumstances under which replication efforts are more or less beneficial has already occurred in the wake of increased replication efforts in psychology (Brandt et al., 2014; Coles, Tiokhin, Scheel, Isager, &amp; Lakens, 2018), and recently suggestions have been put forward for how to select target studies for replication (Field, Hoekstra, Bringmann, &amp; van Ravenzwaaij, 2018; Kuehberger &amp; Schulte-Mecklenbeck, 2018). A comprehensive evaluation of the factors that could be used to quantify the replication value of a study is currently lacking, which is becoming increasingly important now that more replication studies are funded, performed, and published. Objectives: We propose a quantitative approach to help researchers, editors and funders evaluate and compare the replication value of original findings. Our approach rests on two fundamental assumptions: (1) That close replication (LeBel, Berger, Campbell, &amp; Loving, 2017; LeBel, McCarthy, Earp, Elson, &amp; Vanpaemel, 2018) is in principle a worthwhile endeavor, and (2) that there are more original observations worth replicating than we currently have the resources to replicate. In order to help researchers determine which among many findings might be the most promising candidates for replication, we outline a formula-based approach that can be relatively easily used to quantify the replication value of original findings. We propose that two components determine the replication value of empirical findings: (i) the impact of the effect, and (ii) the corroboration of the effect. Impact indicates the influence that the effect has had on scientific theory, research activities, or in society. All else being equal, findings that have had more impact are more important to replicate than findings that have had less impact. Corroboration indicates the empirical observations bearing on the finding, as well as the quality of these observations. As the corroboration of a particular finding increase, it becomes less important to replicate this finding, relative to a finding with little corroboration. The purpose of a replication value formula is to clarify how one intends to weigh the factors one considers important against one another, and to standardize parts of the study selection procedure. Because these formulas can be calculated quickly (and sometimes even automatically), they can be powerful tools for exploring a large set of studies to discover original findings that are particularly replication-worthy, assuming that the input to the formula is meaningful. Their ultimate goal is to make sure that resources spent on replication are efficiently utilized and that all relevant options for study choice can be considered when a replication effort is initialized. Research Questions: 1) What factors are considered important for determining the replication value of a particular finding or result? 2) Can we create a formula that is able to yield meaningful quantitative estimates of the relative replication value of empirical findings, based on metrics related to the impact and the corroboration of the finding? Approach &amp; Preliminary results: To assess whether our conceptualization of replication value is in line with evaluations of replication value in the broader community of researchers, and to better understand how replicating researchers justify decisions of study choice, we conducted a literature review of justifications of study selection in 85 replication reports. The literature review suggests that researchers use many different information sources to assess replication value that could be subsumed under the categories of impact and corroboration (e.g. citation impact, theoretical importance, imprecise estimates, lack of prior replication). However, it is also clear that some types of information cannot easily be quantified (e.g. theoretical importance), and it is clear that factors other than the value of replication matter for the evaluation process as well (e.g. feasibility). We are currently in the process of constructing one version of a replication value formula that captures the impact and corroboration of a finding. Once a formula has been derived, we aim to evaluate whether the candidate studies returned by the formula track researchers’ qualitative judgements of relative replication value. We will pursue this through two lines of inquiry. First, we will calculate replication value for a large number of studies in the psychological literature and evaluate the face-validity of the recommendations produced, as well as inspect formula recommendations for examples where the true replication is known to be very high or very low (e.g. Stroop, 1935). Second, we will design a study to assess whether formula-based replication value estimate is able to predict researchers’ intuitive evaluation of replication value. Preliminary assessment of face-validity for data in the Curate Science database suggests that the formula yields sensible estimates of replication value for cases where true replication value is known. At the time of the conference, we expect to have completed a comprehensive evaluation of formula performance for both the Curate Science database and a large sample of published studies from the psychological literature. In addition, we will be able to present the planned experimental design for the study that will compare formula recommendations to researchers’ intuitive judgements. References: Bertamini, M., &amp; Munafò, M. R. (2012). Bite-Size Science and Its Undesired Side Effects. Perspectives on Psychological Science, 7(1), 67–71. https://doi.org/10.1177/1745691611429353 Brandt, M. J., IJzerman, H., Dijksterhuis, A., Farach, F. J., Geller, J., Giner-Sorolla, R., … Van’t Veer, A. (2014). The replication recipe: What makes for a convincing replication? Journal of Experimental Social Psychology, 50, 217–224. Coles, N., Tiokhin, L., Scheel, A., Isager, P., &amp; Lakens, D. (2018). The Costs and Benefits of Replication Studies. https://doi.org/10.17605/osf.io/c8akj Falk, R. (1998). Replication-A Step in the Right Direction: Commentary on Sohn. Theory &amp; Psychology, 8(3), 313–321. https://doi.org/10.1177/0959354398083002 Field, S., Hoekstra, R., Bringmann, L., &amp; van Ravenzwaaij, D. (2018). When and Why to Replicate: As Easy as 1, 2, 3? Open Science Framework. https://doi.org/10.17605/osf.io/3rf8b Jasny, B. R., Chin, G., Chong, L., &amp; Vignieri, S. (2011). Again, and Again, and Again ... Science, 334(6060), 1225–1225. https://doi.org/10.1126/science.334.6060.1225 Koole, S. L., &amp; Lakens, D. (2012). Rewarding Replications: A Sure and Simple Way to Improve Psychological Science. Perspectives on Psychological Science, 7(6), 608–614. https://doi.org/10.1177/1745691612462586 Kuehberger, A., &amp; Schulte-Mecklenbeck, M. (2018). Selecting target papers for replication. Behavioral and Brain Sciences, 41. https://doi.org/10.1017/S0140525X18000742 LeBel, E. P., Berger, D., Campbell, L., &amp; Loving, T. J. (2017). Falsifiability is not optional. Journal of Personality and Social Psychology, 113(2), 254–261. https://doi.org/10.1037/pspi0000106 LeBel, E. P., McCarthy, R. J., Earp, B. D., Elson, M., &amp; Vanpaemel, W. (2018). A Unified Framework to Quantify the Credibility of Scientific Findings. Advances in Methods and Practices in Psychological Science, 1(3), 389–402. https://doi.org/10.1177/2515245918787489 Moonesinghe, R., Khoury, M. J., &amp; Janssens, A. C. J. W. (2007). Most Published Research Findings Are False—But a Little Replication Goes a Long Way. PLoS Medicine, 4(2), e28. https://doi.org/10.1371/journal.pmed.0040028 Rosenthal, R. (1990). Replication in behavioral research. Journal of Social Behavior &amp; Personality, 5(4), 1–30. Schmidt, S. (2009). Shall we really do it again? The powerful concept of replication is neglected in the social sciences. Review of General Psychology, 13(2), 90–100. https://doi.org/10.1037/a0015108 Stroop, J. R. (1935). Studies of interference in serial verbal reactions. Journal of Experimental Psychology, 18(6), 643–662. https://doi.org/10.1037/h0054651",2019.0,Peder Mortvedt Isager,Psychology Archives,,https://openalex.org/W2929434553,openalex,Isager · 2019 · Psychology Archives,replication,rule_based,"phrase:replication of; cite:Brandt et al., 2014",high,single_original,medium,gemini-3-flash-preview,W2929434553,,,,,,,,,,"@article{PederMortvedtIsager_2019.0, title={Quantifying Replication Value: A formula-based approach to study selection in replication research.}, author={Peder Mortvedt Isager}, journal={Psychology Archives}, year={2019.0}, doi={10.23668/psycharchives.2392}, url={https://doi.org/10.23668/psycharchives.2392}}",target_pending,,low,,about_replication,,skipped,,,pending,,low,,outcome not coded: no resolved original link (target_pending),,,,,,,,replication,1,1
35a5db4206194f6cb10418ba52c5af54,10.1080/23743603.2017.1378071,Due diligence: revisiting the heat–aggression association hypothesis,"Previous research has suggested that individuals hold cognitive associations between the constructs of hot temperatures and aggression. However, subsequent close replication attempts have cast doubt on the replicability of these effects. Therefore, the evidence for the existence of a cognitive heat–aggression association is mixed. A pilot study used a modified Affect Misattribution Procedure to examine whether exposure to heat-related words increased the accessibility of aggressive cognitions. The results of the pilot study showed that exposure to heat-related words increased the accessibility of aggressive cognitions relative to “comparison” trials (i.e. non-heat-related words and nonsense letter strings). I propose a direct replication of this pilot study, which will further test the existence of a heat–aggression association.",2017.0,Randy J. McCarthy,Comprehensive Results in Social Psychology,,https://openalex.org/W2766347877,openalex,McCarthy · 2017 · Comprehensive Results in Social Psychology,replication,screen,phrase:replication of; no author-year cite | llm:“I propose a direct replication of this pilot study”,high,single_original,low,,W2766347877,,,,,,,,,,"@article{RandyJMcCarthy_2017.0, title={Due diligence: revisiting the heat–aggression association hypothesis}, author={Randy J. McCarthy}, journal={Comprehensive Results in Social Psychology}, year={2017.0}, doi={10.1080/23743603.2017.1378071}, url={https://doi.org/10.1080/23743603.2017.1378071}}",target_pending,,low,,clearly_declared,,skipped,,,pending,,low,,outcome not coded: no resolved original link (target_pending),,,,,,,,replication,1,1
12528e7c759b5d9650e7f7635f61428b,10.5117/tvt2019.3.005.jans,Beïnvloedt een meer of minder sympathieke protagonist de transportatie van de lezer?,"Does a more or less sympathetic protagonist influence transportation of the reader? Two new replication studies Three previous studies into presenting a protagonist in a story as more or less sympathetic have not provided a clear picture of the effects that the portrayal of the protagonist may have on transportation, and via transportation on story-consistent beliefs. Results from a first study (N = 83) by De Graaf and Hustinx (2015) suggest that the way the protagonist is portrayed – as sympathetic, unsympathetic or neutral – influences the extent to which readers are transported into a story. No significant effects on beliefs of the readers were found, however. In a direct replication study (N = 79) and in a conceptual replication study (N = 81), Jansen, Nederhoff, and Ooms (2017) found results that supported the hypotheses from the original study to a limited extent. In view of the relatively small numbers of participants in these three studies and the resulting limited power of the statistical tests two new, larger-scaled replication studies were conducted. A direct replication study was performed (N = 238) with the same versions of the story as used in the original study, and also a conceptual replication study (N = 248) with three versions of a new story. Again, the hypotheses from the original study were supported to a limited extent. A meta-analysis of all five studies revealed a large indirect positive effect of story version on transportation via empathy, when comparing the versions with a sympathetic protagonist with the versions with an unsympathetic protagonist. When comparing the neutral story versions with the versions with an unsympathetic protagonist, the meta-analytic indirect effect was medium sized. Other than what the Affective Disposition Theory (Raney, 2004; Zillmann, 1994; 2006) claims, the story versions with a neutral protagonist did not lead to an absence of emotional responses. Furthermore, the outcomes add to the Transportation-Imagery Model (Green &amp; Brock, 2002; Van Laer, De Ruyter, Visconti, &amp; Wetzels, 2014). While this model does not include concrete suggestions of story characteristics that lead to transportation, our studies show that a protagonist who is portrayed as sympathetic may contribute to the level of transportation that readers experience, be it indirectly through empathy.",2019.0,Carel Jansen; Anneke de Graaf; L.G.M.M. Hustinx; Joëlle Ooms; Merel Schreinemakers; L.H. Zwiers,Tijdschrift voor taalbeheersing,,https://openalex.org/W2995703761,openalex,Jansen · 2019 · Tijdschrift voor taalbeheersing,replication,screen,"phrase:direct replication; cite:Jansen, Nederhoff, and Ooms (2017)",high,single_original,high,gemini-3-flash-preview,W2995703761,,,,,,,,,,"@article{CarelJansen_2019.0, title={Beïnvloedt een meer of minder sympathieke protagonist de transportatie van de lezer?}, author={Carel Jansen and Anneke de Graaf and L.G.M.M. Hustinx and Joëlle Ooms and Merel Schreinemakers and L.H. Zwiers}, journal={Tijdschrift voor taalbeheersing}, year={2019.0}, doi={10.5117/tvt2019.3.005.jans}, url={https://doi.org/10.5117/tvt2019.3.005.jans}}",target_pending,,low,,clearly_declared|context_transfer,,skipped,,,pending,,low,,outcome not coded: no resolved original link (target_pending),,,,,,,,replication,1,1
c0831f79b564e5f454c59f35bfd1f4be,10.17605/osf.io/xba78,"Replication of a Research Claim from Rich (2018), from Journal of Experimental Psychology: General","This is a direct replication attempt on the claim 4 (Experiment 1): Participants in the contingent feedback condition were more likely than participants in the full-information condition to adopt an inferior one-dimension categorization strategy, calculated by finding the proportion of responses that were consistent with each of the two 1D rules that participants might form on the relevant task dimensions, and then taking the maximum over these two proportions. The 95% posterior credible intervals (CI) for the difference between the conditions excluded zero: participants in the contingent-information condition had an average 1D score of .83, while those in the full-information condition had an average score of .75, CI = [.03, .14] from Rich et al (2018). The statistical evidence is: participants in the contingent-information condition had an average 1D score of .83, while those in the full-information condition had an average score of .75, CI = [.03, .14]",2021.0,"Nicholas Fox [SCORE]; Hahn, Krystal; Loomas, Zachary; de Leeuw, Joshua; Ostrowski, Rachel P.; Miske, Olivia; Parsons, Elan Simon; Bader, Miles; Tyner, Andrew; Bri Luis [SCORE]; Struhl, Melissa Kline",OSF Preprints (OSF Preprints),,https://openalex.org/W7105000729,openalex,[SCORE] · 2021 · OSF Preprints (OSF Preprints),replication,screen,phrase:replication of; cite:Rich et al (2018),high,single_original,low,,W7105000729,,,,,,,,,,"@article{NicholasFoxSCORE_2021.0, title={Replication of a Research Claim from Rich (2018), from Journal of Experimental Psychology: General}, author={Nicholas Fox [SCORE] and Hahn, Krystal and Loomas, Zachary and de Leeuw, Joshua and Ostrowski, Rachel P. and Miske, Olivia and Parsons, Elan Simon and Bader, Miles and Tyner, Andrew and Bri Luis [SCORE] and Struhl, Melissa Kline}, journal={OSF Preprints (OSF Preprints)}, year={2021.0}, doi={10.17605/osf.io/xba78}, url={https://doi.org/10.17605/osf.io/xba78}}",target_pending,,low,,clearly_declared,,skipped,,,pending,,low,,outcome not coded: no resolved original link (target_pending),,,,,,,,replication,1,1
