pair_id,doi_r,title_r,abstract_r,year_r,authors_r,journal_r,url_r,openalex_id_r,source,ref_r,paper_type,filter_method,filter_evidence,filter_confidence,original_match_type,original_match_confidence,classify_llm_model,oa_work_id_r,oa_work_id_o,study_r,doi_o,title_o,study_o,year_o,authors_o,ref_o,bibtex_ref_o,bibtex_ref_r,link_method,link_evidence,link_confidence,link_llm_model,screen_categories,doi_o_verification,pdf_source,parse_method,outcome,outcome_phrase,outcome_confidence,out_quote_source,outcome_reasoning,outcome_computation,outcome_computational_quote,out_quote_computational_source,outcome_robustness,outcome_robustness_quote,out_quote_robust_source,outcome_llm_model,type,original_rank,n_originals
b99834bc19bbad24580b3adfa04fb947,,Why do consumers support the underdog team in sports entertainment? Replication and extension study of motivational bases for consumer affection for underdog.,"The aim of this research study is to replicate the motivational bases associated with consumers’ affection towards the underdog and extend it to the sports industry, though some research does exist on consumers’ motivations behind their preference for underdog. This research focuses on identifying the consumers’ emotional feelings associated with underdog sports teams as discussed in the later part of the study. This is important for two reasons: first, the value and economic importance of the sports industry and, second, the conceptual issues that arise from consumers' affection for the ‘underdog’ in political, business and sporting areas.",2013,Amishkumar Patel,IARC scientific publications,https://hdl.handle.net/10652/2377,https://openalex.org/W221404,openalex_snapshot,Patel · 2013 · IARC scientific publications,replication,screen,rule:replication-claim-title-strong; Replication and extension,high,single_original,low,,W221404,,,,Motivational bases for consumers' underdog affection in commerce,,2013,Mcginnis,Mcginnis · 2013,,"@article{AmishkumarPatel_2013, title={Why do consumers support the underdog team in sports entertainment? Replication and extension study of motivational bases for consumer affection for underdog.}, author={Amishkumar Patel}, journal={IARC scientific publications}, year={2013}, url={https://hdl.handle.net/10652/2377}}",unidentified_original,"The aim of this research study is to replicate the motivational bases associated with consumers’ affection towards the underdog and extend it to the sports industry | the record carries no identifier; ""Mcginnis, L. (2013) Motivational bases for consumers' underdog affection in commerce"" looked up and not accepted (no_candidates) | the named original has no DOI and no OpenAlex id: kept for review as an unidentified original rather than written resolved | No DOI found for resolved title/author",low,gpt-5.4-mini,clearly_declared|context_transfer,not_found,openalex_xml,openalex_xml,pending,,low,,outcome not coded: no resolved original link (unidentified_original),,,,,,,,replication,1,1
b99834bc19bbad24580b3adfa04fb947,,Report of an internship conducted at the Memorial University Counselling Centre including a research project entitled: a partial replication and extension of Short's (1991) study of the relationship between initial client and counsellor perceptions,"The internship at the Memorial University Counselling Centre, St. John's, Newfoundland, was a valuable learning experience for the intern. During the 13 week placement the intern counselled 30 clients on a variety of concerns -- personal, career, and academic. She co-led an assertiveness training group for six weeks and worked as a Career Information Assistant for five hours each week. In addition, the intern benefited from the professional supervision at the centre, videotaping of sessions, and participation in case conferencing. Overall, the internship experience provided the intern with the opportunity to enhance and refine her counselling skills and gain an appreciation for counselling research by conducting a study in this setting. -- The research study was conducted with 29 of the intern's clients who gave informed consent. This study partially replicated and extended Short's (1991) investigation of the relationship between initial client and counsellor perceptions. Following the first, third, and fifth sessions, the intern and her clients completed the Counsellor/Client Post-Counselling Form (CPF). The CPF can be divided into six corresponding factors for counsellor and client. Results revealed a significant positive relationship on the initial session between perceptions of each other as measured by the CPF. Significant changes were found over time on three of six factors for the counsellor and on two of six factors for the clients. Significant differences were found between counsellor and client ratings on four of six factors for the first session and three of six factors for both the third and fifth sessions. A comparison of male and female client ratings showed female client ratings to be significantly higher than those of males on two factors for the third session. The results showed no significant difference in client perceptions of the counsellor based on their perceptions of age difference and no significant relationship between counselor and client ratings for those clients who terminated prematurely. Recommendations for further study are included.",1992,Patricia A. Rose,Memorial University Research Repository (Memorial University),http://research.library.mun.ca/5171/1/Rose_PatriciaAnneLannon.pdf,https://openalex.org/W96773735,openalex_snapshot,Rose · 1992 · Memorial University Research Repository (Memorial University),replication,screen,rule:replication-claim-cited-title; replication and extension,high,single_original,low,,W96773735,,,,Report of an jnternship c:gndyctp1 lithe MemQrial Unjvmj'Y CWORmA' centre; jnsl!ldjog a resemb Drpicct' A study of the rdatjQDsbjp bctwml initial client and SOUD¥!lpr pm:eptjPO,,1991,Short,Short · 1991,,"@article{PatriciaARose_1992, title={Report of an internship conducted at the Memorial University Counselling Centre including a research project entitled: a partial replication and extension of Short's (1991) study of the relationship between initial client and counsellor perceptions}, author={Patricia A. Rose}, journal={Memorial University Research Repository (Memorial University)}, year={1992}, url={http://research.library.mun.ca/5171/1/Rose_PatriciaAnneLannon.pdf}}",unidentified_original,"This study partially replicated and extended Short's (1991) investigation of the relationship between initial client and counsellor perceptions. | the record carries no identifier; ""Short, B. (1991) Report of an jnternship c:gndyctp1 lithe MemQrial Unjvmj'Y CWORmA' centre; jnsl!ldjog a resemb Drpicct' A study of the rdatjQDsbjp bctwml initial client and SOUD¥!lpr pm:eptjPO"" looked up and not accepted (no_candidates) | the named original has no DOI and no OpenAlex id: kept for review as an unidentified original rather than written resolved | No DOI found for resolved title/author",low,gpt-5.4-mini,clearly_declared|context_transfer|other,not_found,openalex_xml,openalex_xml,pending,,low,,outcome not coded: no resolved original link (unidentified_original),,,,,,,,replication,1,1
1d2e5e5f46518bb6c6098d54128c6892,,The Structure of Operational Thought: A Replication and Extension.,"A twenty-six item, Piagetian-based, group-administered written test of cognitive development, with each item measuring a specific concrete operation or a specific formal operation, was'given to 553 subjects, ages 10-48. Image analyses of the inter-item correlation matrix of the formal operations items alone completely replicated the results of a previous study and image analyses of the inter-item correlation matrix of all the items together partially replicated the results of the same previous study. These results are interpreted as providing support for the contention that concrete operations and formal operations are defined by separate but interrelated logical processes.",1985,William M. Gray,,http://files.eric.ed.gov/fulltext/ED260804.pdf,https://openalex.org/W199082884,openalex_snapshot,Gray · 1985,replication,screen,rule:replication-claim-title-strong; Replication and Extension,high,multiple_original,low,,W199082884,,,,May). The structure of operational thought: Some empirical support,,1981,Gray,Gray · 1981,,"@misc{WilliamMGray_1985, title={The Structure of Operational Thought: A Replication and Extension.}, author={William M. Gray}, year={1985}, url={http://files.eric.ed.gov/fulltext/ED260804.pdf}}",unidentified_original,"To replicate and extend Grey's (1981, 1985) studies involving junior-high school students | the named original has no DOI and no OpenAlex id: kept for review as an unidentified original rather than written resolved | No DOI found for resolved title/author",low,gpt-5.4-mini,clearly_declared|other,not_found,row_url,pdfminer,pending,,low,,outcome not coded: no resolved original link (unidentified_original),,,,,,,,replication,1,2
a0f1a5b3ec74fd0572a100cd56e2d8bd,,The Structure of Operational Thought: A Replication and Extension.,"A twenty-six item, Piagetian-based, group-administered written test of cognitive development, with each item measuring a specific concrete operation or a specific formal operation, was'given to 553 subjects, ages 10-48. Image analyses of the inter-item correlation matrix of the formal operations items alone completely replicated the results of a previous study and image analyses of the inter-item correlation matrix of all the items together partially replicated the results of the same previous study. These results are interpreted as providing support for the contention that concrete operations and formal operations are defined by separate but interrelated logical processes.",1985,William M. Gray,,http://files.eric.ed.gov/fulltext/ED260804.pdf,https://openalex.org/W199082884,openalex_snapshot,Gray · 1985,replication,screen,rule:replication-claim-title-strong; Replication and Extension,high,multiple_original,low,,W199082884,,,,The structure of operational thought: Some empirical support for Piagetian Theory,,1985,Gray,Gray · 1985,,"@misc{WilliamMGray_1985, title={The Structure of Operational Thought: A Replication and Extension.}, author={William M. Gray}, year={1985}, url={http://files.eric.ed.gov/fulltext/ED260804.pdf}}",unidentified_original,"To replicate and extend Grey's (1981, 1985) studies involving junior-high school students | the named original has no DOI and no OpenAlex id: kept for review as an unidentified original rather than written resolved | No DOI found for resolved title/author",low,gpt-5.4-mini,clearly_declared|other,not_found,row_url,pdfminer,pending,,low,,outcome not coded: no resolved original link (unidentified_original),,,,,,,,replication,2,2
b99834bc19bbad24580b3adfa04fb947,,Replication Study of Nursing Diagnosis in the Hospitalized Chronic Pulmonary Disease Patient: A Pilot Study,"This study replicated a pilot study, conducted by Lynn Dapice in 1985, to clinically validate nursing diagnoses developed by the American Thoracic Society Group and Nursing Diagnosis Classification Group. The purpose of this current study was to broaden the body of knowledge regarding nursing diagnoses associated with the medical diagnosis of Chronic Obstructive Pulmonary Disease (COPD).; A retrospective descriptive study was conducted using Dapice's tool adapted to suit this study. Data from 25 charts of hospitalized COPD clients were analyzed using percentages and t-test; the results showed no significant difference between the two studies, with the exception of the age range of the subjects. Seventy-six nursing diagnoses and 480 defining characteristics were documented. It was found that 103 of the defining characteristics supported fourteen nursing diagnoses; however, there were two nursing diagnoses that lacked documentation of supporting defining characteristics. The study also found that documentation of nursing process was very limited in the clinical area.",1990,Pearl Anne Kloac,Language arts journal of Michigan,https://scholarworks.gvsu.edu/theses/130,https://openalex.org/W213785669,openalex_snapshot,Kloac · 1990 · Language arts journal of Michigan,replication,screen,rule:replication-claim-title-broad; Replication Study,high,single_original,low,,W213785669,,,,Nursing diagnosis in the hospitalized chronic obstructive pulmonary disease patient: A pilot study. An unpublished master's thesis,,1985,Dapice,Dapice · 1985,,"@article{PearlAnneKloac_1990, title={Replication Study of Nursing Diagnosis in the Hospitalized Chronic Pulmonary Disease Patient: A Pilot Study}, author={Pearl Anne Kloac}, journal={Language arts journal of Michigan}, year={1990}, url={https://scholarworks.gvsu.edu/theses/130}}",unidentified_original,"This study replicated a pilot study, conducted by Lynn Dapice in 1985 | the record carries no identifier; ""Dapice, L. (1985) Nursing diagnosis in the hospitalized chronic obstructive pulmonary disease patient: A pilot study. An unpublished master's thesis"" looked up and not accepted (no_candidates) | the named original has no DOI and no OpenAlex id: kept for review as an unidentified original rather than written resolved | No DOI found for resolved title/author",low,gpt-5.4-mini,clearly_declared|measurement_validation,not_found,openalex_xml,openalex_xml,pending,,low,,outcome not coded: no resolved original link (unidentified_original),,,,,,,,replication,1,1
2a14cfbd0320949602702d1ae201acd3,10.5072/prism/9538,"Gambling and problem gambling in Louisiana : a replication study, 1995 to 1998",The main purpose of this report is to examine changes in the prevalence of gambling-related problems among the adult population in Louisiana between 1995 and 1998. An additional purpose of this report is to identify the types of gambling causing the greatest difficulties for the citizens of Louisiana. The results of this study will be useful in documenting the impact of legal gambling on the citizens of the State of Louisiana and in refining the services available to individuals in Louisiana with gambling-related difficulties.,1999,Rachel A. Volberg; William L. Moore,Open MIND,https://ucalgary.scholaris.ca/bitstreams/d3c9f612-1f62-4b56-9fad-0bf8e81ab1b5/download,https://openalex.org/W1156339628,openalex_snapshot,Volberg · 1999 · Open MIND,replication,screen,rule:replication-claim-cited-title; replication study,high,single_original,low,,W1156339628,,,,Wagering and Problem Wagering in Louisiana,,1995,Volberg,Volberg · 1995,,"@article{RachelAVolberg_1999, title={Gambling and problem gambling in Louisiana : a replication study, 1995 to 1998}, author={Rachel A. Volberg and William L. Moore}, journal={Open MIND}, year={1999}, doi={10.5072/prism/9538}, url={https://doi.org/10.5072/prism/9538}}",unidentified_original,"compares these findings to a similar survey completed in Louisiana in 1995 | the record carries no identifier; 'Volberg, R. (1995) Wagering and Problem Wagering in Louisiana' looked up and not accepted (no_candidates) | the named original has no DOI and no OpenAlex id: kept for review as an unidentified original rather than written resolved | No DOI found for resolved title/author",low,gpt-5.4-mini,clearly_declared|context_transfer|terminology_only,not_found,openalex_xml,openalex_xml,pending,,low,,outcome not coded: no resolved original link (unidentified_original),,,,,,,,replication,1,1
be8429c576dbd7963d83ccc061529686,10.1371/journal.pone.0076252,The SNP rs402710 in 5p15.33 Is Associated with Lung Cancer Risk: A Replication Study in Chinese Population and a Meta-Analysis,"BACKGROUND: Lung cancer is the most commonly diagnosed cancer and leading cause of cancer mortality in the world. A single nucleotide polymorphism (SNP), rs402710, located in 5p15.33, was firstly identified to be associated with the lung cancer risk in a genome-wide association study. However, some following replication studies yielded inconsistent results. METHODOLOGY AND FINDINGS: A case-control study of 611 cases and 1062 controls in a Chinese population was conducted, and then a meta-analysis integrating the current and previously published studies with a total 31811 cases and 36333 controls was performed to explore the real effect of rs402710 on lung cancer susceptibility. Significant associations between the SNP rs402710 and lung cancer risk were observed in both case-control study and meta-analysis, with ORs equal to 0.77 (95%CI = 0.63-0.95) and 0.83 (95%CI = 0.81-0.86) in dominant model, respectively. By stratified analysis of our case-control study, the associations were also observed in never smoker group and non-small cell lung cancer(NSCLC) group with ORs equal to 0.71 (95%CI = 0.53-0.95) and 0.69 (95%CI = 0.55-0.87), which was remarkable that larger effect of the minor allele T was seen in the two groups than that in overall lung cancer. Besides, the sensitive and cumulative analysis indicated the robust stability of the current results of meta-analysis. CONCLUSION: The results from our replication study and the meta-analysis provided firm evidence that rs402710 T allele significantly contributed to decreased lung cancer risk, and the case-control study implied that the variant may yield stronger effect on NSCLC and never smokers. However, the mechanism underlying the polymorphism conferring susceptibility to lung cancer is warranted to clarify in the follow-up studies.",2013,Xuzai Lu; Juntao Ke; Xia Luo; Yaowu Zhu; Li Zou; Huijun Li; Beibei Zhu; Zhi‐Gang Xiong; Wei Chen; Lingyan Deng; Jiao Lou; Xianxiu Wang; Yu Zhang; Zhenling Wang; Xiaoping Miao; Liming Cheng,PLoS ONE,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0076252&type=printable,https://openalex.org/W2004516764,openalex_snapshot,Lu · 2013 · PLoS ONE,replication,screen,rule:replication-claim-title-broad; Replication Study,high,single_original,low,,W2004516764,,,,"References rs402710 and Lung Cancer Caucasians, no significant heterogeneity was detected, whereas the heterogeneity in heterozygous and recessive model among Asian studies increased from no heterogeneity grade to moderate grade",,,rs402710,rs402710,,"@article{XuzaiLu_2013, title={The SNP rs402710 in 5p15.33 Is Associated with Lung Cancer Risk: A Replication Study in Chinese Population and a Meta-Analysis}, author={Xuzai Lu and Juntao Ke and Xia Luo and Yaowu Zhu and Li Zou and Huijun Li and Beibei Zhu and Zhi‐Gang Xiong and Wei Chen and Lingyan Deng and Jiao Lou and Xianxiu Wang and Yu Zhang and Zhenling Wang and Xiaoping Miao and Liming Cheng}, journal={PLoS ONE}, year={2013}, doi={10.1371/journal.pone.0076252}, url={https://doi.org/10.1371/journal.pone.0076252}}",unidentified_original,"The SNP rs402710 in 5p15.33 Is Associated with Lung Cancer Risk: A Replication Study in Chinese Population and a Meta-Analysis | rs402710 on 5p15.33, located in the intron region of cleft lip and palate transmembrane 1-like (CLPTM1L), was firstly identified in a GWAS set of 3,259 cases and 4,159 controls and a replication set of 2,899 cases and 5,573 controls by McKay JD et al [12]. | the record carries no identifier; 'References rs402710 References rs402710 and Lung Cancer Caucasians, no significant heterogeneity was detected, whereas the heterogeneity in heterozygous and recessive model among Asian studies increased from no heterogeneity grade to moderate grade' looked up and not accepted (declined) | the named original has no DOI and no OpenAlex id: kept for review as an unidentified original rather than written resolved | No DOI found for resolved title/author",low,gpt-5.4-mini,clearly_declared|context_transfer,not_found,row_url,pdfminer,pending,,low,,outcome not coded: no resolved original link (unidentified_original),,,,,,,,replication,1,1
69587a0e5e8a4cca88650f63cf80a71b,10.1167/6.6.859,"Does energy expenditure affect the perception of egocentric distance? A failure to replicate Experiment 1 of Proffitt, Stefanucci, and Epstein (2003)","In a series of recent studies, Proffitt and his colleagues have reported that the perceived distance to a target is influenced by the energy expenditure associated with any action, such as walking or throwing, for spanning the distance to the target. In particular, Proffitt, Stefanucci, Banton, and Epstein (2003) reported that wearing a heavy backpack caused verbal reports of distance to increase. We conducted a study to determine whether three responses dependent on perceived distance (verbal report of distance, blind walking, and estimates of object size) are influenced by the backpack manipulation. In two experiments, one involving a between-participants design and the other involving a within-participants design, we found that none of the three responses were influenced by the wearing of a heavy backpack.",2010,Jeffrey J. Hutchison; Jack M. Loomis,Journal of Vision,https://doi.org/10.1167/6.6.859,https://openalex.org/W2041771782,openalex_snapshot,Hutchison · 2010 · Journal of Vision,replication,screen,rule:replication-claim-cited-title; failure to replicate,high,single_original,low,,W2041771782,,"1, 2",,The role of effort in distance perception,1,2003,Proffitt,Proffitt · 2003,,"@article{JeffreyJHutchison_2010, title={Does energy expenditure affect the perception of egocentric distance? A failure to replicate Experiment 1 of Proffitt, Stefanucci, and Epstein (2003)}, author={Jeffrey J. Hutchison and Jack M. Loomis}, journal={Journal of Vision}, year={2010}, doi={10.1167/6.6.859}, url={https://doi.org/10.1167/6.6.859}}",unidentified_original,"A Failure to Replicate Experiment 1 of Proffitt, Stefanucci, and Epstein (2003) | the record carries no identifier; 'Proffitt, D.R., Stefanucci, J., Banton, T., (2003) The role of effort in distance perception' looked up and not accepted (declined) | the named original has no DOI and no OpenAlex id: kept for review as an unidentified original rather than written resolved | No DOI found for resolved title/author",low,gpt-5.4-mini,clearly_declared,not_found,crossref_search,pdfminer,pending,,low,,outcome not coded: no resolved original link (unidentified_original),,,,,,,,replication,1,1
b99834bc19bbad24580b3adfa04fb947,,ALCOHOL ABUSE AND HOPELESSNESS IN YOUNG ADULTS -A REPLICATION STUDY,"Alcohol abuse among college students in the United States is a problem that has significant negative effects on their physical and mental health, personal life, family situation, and education.Alcohol abuse, combined with depression may lead to increased suicide attempts in the young adult population, who have suicide rates higher than the general population as a whole.The effects of alcohol abuse and depression may have a direct effect on hopelessness in the college population.This study will examine variance in hopelessness among young adults who differ in alcohol use.The relationship between hopelessness symptoms, as measured by the Beck's Hopelessness Scale (BHS), and young",2002,Charles W. Cramer,Minds at UW (University of Wisconsin),http://digital.library.wisc.edu/1793/40355,https://openalex.org/W2141706826,openalex_snapshot,Cramer · 2002 · Minds at UW (University of Wisconsin),replication,screen,rule:replication-claim-title-broad; REPLICATION STUDY,high,single_original,low,,W2141706826,,,,Alcohol and Hopelessness in Young Adults. Unpublished master's thesis,,2001,Polanko,Polanko · 2001,,"@article{CharlesWCramer_2002, title={ALCOHOL ABUSE AND HOPELESSNESS IN YOUNG ADULTS -A REPLICATION STUDY}, author={Charles W. Cramer}, journal={Minds at UW (University of Wisconsin)}, year={2002}, url={http://digital.library.wisc.edu/1793/40355}}",unidentified_original,"The results of this replication study and the original by Polanco (2001) both show no significant difference in mean hopelessness scores between alcohol abusers and non-problematic users. | the record carries no identifier; ""Polanko, C. (2001) Alcohol and Hopelessness in Young Adults. Unpublished master's thesis"" looked up and not accepted (no_candidates) | the named original has no DOI and no OpenAlex id: kept for review as an unidentified original rather than written resolved | No DOI found for resolved title/author",low,gpt-5.4-mini,clearly_declared|builds_on_literature,not_found,openalex_xml,openalex_xml,pending,,low,,outcome not coded: no resolved original link (unidentified_original),,,,,,,,replication,1,1
b99834bc19bbad24580b3adfa04fb947,,EVALUATION OF THE EFFECTIVENESS OF STOUT'S SYSTEMS ANALYSIS AND DESIGN CLASS TO STUDENTS IN THE TRAINING AND DEVELOPMENT MASTER'S PROGRAM: A REPLICATION STUDY,Plan B,2003,Jamie A. Retzloff,Minds at UW (University of Wisconsin),http://digital.library.wisc.edu/1793/41031,https://openalex.org/W2186309243,openalex_snapshot,Retzloff · 2003 · Minds at UW (University of Wisconsin),replication,screen,rule:replication-claim-title-broad; REPLICATION STUDY,high,single_original,low,,W2186309243,,,,Evaluation of the usefulness of Stout's systems analysis and design class to students in the training and development master's program,,2002,Schindeldecker,Schindeldecker · 2002,,"@article{JamieARetzloff_2003, title={EVALUATION OF THE EFFECTIVENESS OF STOUT'S SYSTEMS ANALYSIS AND DESIGN CLASS TO STUDENTS IN THE TRAINING AND DEVELOPMENT MASTER'S PROGRAM: A REPLICATION STUDY}, author={Jamie A. Retzloff}, journal={Minds at UW (University of Wisconsin)}, year={2003}, url={http://digital.library.wisc.edu/1793/41031}}",unidentified_original,"This study replicated Schindeldecker's (2002) | the record carries no identifier; ""Schindeldecker, J. (2002) Evaluation of the usefulness of Stout's systems analysis and design class to students in the training and development master's program"" looked up and not accepted (no_candidates) | the named original has no DOI and no OpenAlex id: kept for review as an unidentified original rather than written resolved | Original has no registered DOI (https://openalex.org/W7197810977)",low,gpt-5.4-mini,clearly_declared,no_doi,openalex_xml,openalex_xml,pending,,low,,outcome not coded: no resolved original link (unidentified_original),,,,,,,,replication,1,1
