case_id,doi_r,title,abstract,your_verdict,your_confidence,your_note
V01,10.1109/agro-geoinformatics.2019.8820589,Preliminary Approach on Adaptability of Oryza2000 Model for Single Cropping Rice in Jiangsu Province (China),"The ORYZA2000 rice model is currently the most versatile rice growth simulation model jointly developed by the International Rice Research Institute (IRRI) and the Wageningen University. In this paper, Jiangsu province, well known as land of plenty, was chosen as a study area to evaluate ORYZA2000 using datasets where the same (similar) varieties were grown under both direct sowing and transplanting conditions, in order to verify the capability and adaptability of model to reproduce the effect of different establishing methods on single-cropping rice growth and development in the middle region of Jiangsu province with the same calibrated parameter set. The field experiments were carried out in 2016. All the available observation data, collected at nine field experimental sites located in the middle region of Jiangsu province, was split into calibration and validation datasets. In the general, it is concluded that the ORYZA2000 model was adaptable and could be applied in scenarios analysis in Jiangsu province with the parameters adjustment and the model localization.",,,
V02,10.1111/1751-7915.12460,Bespoke design of whole‐cell microbial machines,"Six years ago, I wrote a perspective article with Lars Blank (now at Aachen) and Jens Kromer (The University of Queensland) describing a grand challenge of developing chassis cells: tailorable cells that can be used to rapidly engineer production of industrially useful biochemicals (Vickers et al., 2010). We listed four requirements to develop chassis cells: a minimal cell, with associated reduction of complexity; the ability to tightly and predictably control overall cellular behaviour; the ability to precisely direct cellular carbon flux towards desired products; and a toolbox of technologies that enable high-level microbial engineering. Here, I will examine progress in each of these areas. I will also speculate on where we might go with this technology in the future. The minimal genome developed recently by the J. Craig Venter Institute (JCVI; (Hutchison et al., 2016) is the smallest known genome capable of sustaining self-replication of a free-living organism – albeit one that grows relatively slowly and that requires fairly complex nutritional support. Significant work is required to develop an industrially useful chassis cell using this technology, including improved growth rate and the ability to grow well under stresses typical of an industrial bioprocess (Vickers, 2016). However, it does demonstrate proof of concept for extreme genome minimization – one of the two approaches to construct a chassis cell. The other is greenfield genome design, a considerably more challenging approach requiring both the capacity to synthesize complete genomes and a full understanding of minimal metabolic requirements. While writing DNA has notably lagged behind reading DNA, we are now at the stage where, with a reasonable amount of resources and infrastructure, one can write entire microbial genomes from templates. However, of the 473 genes encoded on the minimal genome, the function of 149 is currently unknown (Hutchison et al., 2016) – indicating that we still have some way to go to achieve the sufficiently detailed understanding of cellular requirements that would enable true greenfield design. Notwithstanding this, it is fair to say that we are starting to move towards the point where we can seriously consider the ground-up construction of chassis cells. This will be accelerated by the ability to interrogate in detail what it takes to make a functional genome through the kind of genome minimization experiments pioneered at JVCI. The second requirement for chassis cell design is the ability to tightly and predictably control overall cellular behaviour. This goes hand in glove with the detailed understanding of metabolic behaviour required to build a cell from the ground-up. Understanding how regulatory circuits control native cellular behaviour is of course only the first step; an ability to exploit those regulatory circuits will be required to fully realize the potential of a chassis cell system. Synthetic biology approaches for the construction of discrete genetic circuitry are paving the way towards more complex and broad-reaching regulatory control, and orthologous methods – which are developing rapidly – will undoubtedly be required to obtain full control over cellular behaviour. Our ability to precisely direct cellular carbon flux towards desired products has come a long way over the last handful of years. In particular, metabolic modelling approaches – including an improved ability to incorporate kinetic information into models (Saa and Nielsen, 2016) – have progressed significantly. In the future, such models might start to provide a foundation for greenfield genome design. Experimentally, the ability to control carbon flux at specific metabolic nodes using a variety of different approaches and, perhaps more importantly, the ability to balance metabolic flux across metabolic pathways and within the entire metabolic network (aided by modelling) are improving rapidly. Key to this is understanding metabolic fluxes on a global cellular scale. While we have come a long way in our capacity to measure fluxes, challenges still remain in this area (see ‘Let′s talk about flux’, this issue by Lars Blank). Finally, our toolbox of enabling technologies has advanced significantly in recent years. Escherichia coli and yeast toolboxes are very well developed, and other organism toolboxes are catching up. As we discussed previously (Vickers et al., 2010), the development of an easily accessible central database of information linked to strain and part libraries will be very useful. The expansion and consolidation of collective databases (including GenBank, MetaCyc, BRENDA and SGD) with links to part facilities (such as AddGene, the Coli Genetic Stock Centre, and other plasmid/strain repositories) would help support engineering efforts. In terms of actual chassis cells, designs for both E. coli (Umenhoffer et al., 2010) and yeast (Jouhten et al., 2016) are underway, and will most likely move forward quickly in combination with the JCVI genome minimization approach. Perhaps the most advanced industrial production chassis currently in use is the C15 isoprenoid chassis developed by the industrial bioscience company Amyris. While it is not a genome-reduced chassis, it is very efficient; in combination with Amyris’ robotic strain development platform, it can be used to rapidly achieve high gram/L production titres. I envisage a future where metabolic engineers have a one-stop shop for microbial cell factory chasses that have specific base pathway augmentations (e.g., isoprenoid boosted, shikimate boosted, phosphoketolase boosted and non-ribosomal peptide boosted) and can be tailored rapidly to provide deployable production strains. That is the first generation; the next generation will be a broader selection of pathway-specific strains; for example, isoprenoid production strains tailored for C5, C10, C15, C20, etc.; and the third generation will be more specific sub-categories, e.g. carotenoids, tetraterpene derivatives, sterol pathway intermediates. The shop will include a variety of tailored decoration enzymes to modify/remove/add moieties – P450s, methyltransferases, oligotransferases, glycosyltransferases, etc.; these enzymes will be rapidly engineerable, have high specific activity, and lack regulatory controls. Modular toolkits to develop bolt-on parts are available, including a recently described yeast kit (Lee et al., 2015). In the future, we will also have a wide variety of validated bolt-on modules, including regulatory componentry (based on transcription factor sets and global response cascades), product export componentry and titre-boosting componentry – all of which will require minimal tailoring for the product of interest. The future of the microbial cell factory industry will be underpinned by rapid advances in computer-aided design, genome construction and high-throughput multiplexed robotic strain development/testing. Powerful new tools such as CRISPR will also play an important role. CRISPR is a game-changing technology from two respects. First, the remarkable power of the technology for genome editing is already delivering applied results in diverse fields. In the context of development of microbial cell factories this provides the potential for rapid retro fitting of the already-developed chassis for closely related applications. Second, CRISPR has broken new ground in regulatory legislation. In the United States, the decision has been taken that a CRISPR-modified organism is not a GMO, since no foreign DNA has been introduced into the cell. This likely means that the deployment of CRISPR-modified engineered organisms can happen far more rapidly, once initial approval has been provided for the original chassis. Our current limitation remains our basic understanding of cellular biology and, in particular, our ability to rapidly and predictably engineer that biology. However, that understanding is expanding very quickly, and as it does, we accelerate towards our ultimate goal to achieve bespoke design and implementation of whole-cell microbial machines. Eventually, we may have a design-build-deploy capacity for microbial machines (Vickers, 2016) that will allow us to rapidly deliver economically competitive bioprocesses. This will help us build a more sustainable future through the use of renewable feedstocks – currently agricultural products, but ultimately waste materials (e.g. gas fermentation) and direct photosynthesis (e.g. using cyanobacteria) – to produce the vast array of chemicals required to support the modern lifestyle of humanity. CEV is supported by a Queensland Government Accelerate Fellowship.",,,
V03,10.1017/s0140525x18000687,Putting replication in its place,"Abstract Direct replication is valuable but should not be elevated over other worthwhile research practices, including conceptual replication and checking of statistical assumptions. As noted by Rotello et al. (2015), replicating studies without checking the statistical assumptions can lead to increased confidence in incorrect conclusions. Finally, successful replications should not be elevated over failed replications, given that both are informative.",,,
V04,10.1186/s12889-019-6421-1,Comparison of clinical and cost-effectiveness of two strategies using mobile digital x-ray to detect pulmonary tuberculosis in rural India,"BACKGROUND: Medanta - The Medicity, a multi-super specialty corporate hospital in Gurugram, Haryana launched a ""TB-Free Haryana"" Campaign; mobile van equipped with a digital CXR machine to screen patients with presumptive Tuberculosis (TB). OBJECTIVES: In this study, we aimed to assess the (1) yield and cost analysis of two strategies using mobile digital x-ray to detect Pulmonary TB in rural Haryana. METHODS: An observational study was conducted on all individuals screened by either of the two case finding strategies using a mobile x-ray unit (MXU) mounted on a mobile van in District Mewat, Haryana during Jan-March 2016. RESULTS: Strategy 1: Out of 121 smear negative cases, x-rays were suggestive of TB in 39(32%), of which 24 were started on TB treatment. Cost of identifying a smear negative TB was US$ 32. Strategy 2: Out of 596 presumptive TB, chest x-rays were suggestive of TB in 108 (18%), of which 67 were started on TB treatment (56 were smear negative TB). Cost of detecting any case of TB was US$ 08 (1 USD = 64 INR). CONCLUSION: The study reports a new initiative within a PPM model to improve the diagnosis of PTB by filling the gap in the current diagnostic infrastructure. We believe there is potential for replication of strategy 2 model in other states, although further evidence is required.",,,
V05,10.1080/03071375.2021.1903239,On trees and wind turbines,"Wind-load estimations have been part of research on tree biomechanics and windthrow for several decades and are crucial for some safety assessment methods in commercial urban forestry and arboriculture. Examples of those methods are SIA, SIM, Finite Element Method, Dynatim and Arwilo. The goal of the present study was to see if an extremely simple mathematical model, based on stiff wind turbines, would be able to reproduce the results of some of those software packages. A model such as this, licence-free and at no cost, would be attractive to practitioners in their daily work. Simulation of, and comparison with, the commercial software was very satisfying. Agreement, with a correlation coefficient of 0.99, was almost perfect for more than 220 trees and a palm. Moreover, and as the correct interpretation of these methods is crucial, remarks are made too which can assist practitioners in their tree and palm risk assessments.",,,
V06,10.7287/peerj.preprints.3153/supp-26,nan,"Background. Enteroviruses are small non-enveloped viruses with (+) ssRNA genome with one open reading frame. Enterovirus protein 3C (or 3CD for some species) binds the replicative element oriL to initiate replication. The replication of enteroviruses features low fidelity, which allows the virus to adapt to the changing environment on the one hand, and requires additional mechanisms to maintain the genome stability on the other. Structural disturbances in the apical region of oriL domain d can be compensated by amino acid substitutions in positions 154 or 156 of 3C (amino acid numeration corresponds to poliovirus 3C), thus suggesting the co-evolution of these interacting sequences in nature. The aim of this work was to understand co-evolution patterns of two interacting replication machinery elements in enteroviruses, the apical region of oriL domain d and its putative binding partners in the 3C protein. Methods.To evaluate the variability of the domain d loop sequence we retrieved all available full enterovirus sequences (>6400 nucleotides), which were present in the NCBI database on February 2017 and analysed the variety and abundance of sequences in domain d of the replicative element oriL and in the protein 3C. Results.A total of 2,842 full genome sequences was analysed. The majority of domain d apical loops were tetraloops, which belonged to consensus YNHG (Y=U/C, N=any nucleotide, H=A/C/U). The putative RNA-binding tripeptide 154-156 (Enterovirus C 3C protein numeration) was less diverse than the apical domain d loop region and, in contrast to it, was species-specific. Discussion. Despite the suggestion that the RNA-binding tripeptide interacts with the apical region of domain d, they evolve independently in nature. Together, our data indicate the plastic evolution of both interplayers of 3C-oriL recognition.",,,
V07,10.1057/9780230603066_6,The Dynamics of Institutional Adaptation and the Fruitful Emergence of Managerial Syncretism in Japan,"In his classic study of the industrial revolution in Germany, Thorstein Veblen (1954) viewed the opportunity to borrow institutions from more “advanced” referent societies as a key situational advantage of “backwardness.” The point of departure for this chapter is the observation that this advantage can be offset by a range of problems, conflicts, and tensions as local actors attempt to make sense of, and get accustomed to, new sets of rules and practices imported from elsewhere. Especially problematic is the challenge of reconciling the diverse interests and worldviews of different actors who invoke competing sets of historical referents in assigning different meanings to their roles and relationships in new institutional settings. The result is more likely to constitute what Cardoso (1977) once referred to as “the originality of a copy” than the wholesale replication of any one institutional model.",,,
V08,10.1101/19011049,An international multicenter examination of MOG antibody assays,"Abstract Objectives To compare the reproducibility of 11 antibody assays for IgG and IgM myelin oligodendrocyte glycoprotein antibodies (MOG-IgG, MOG-IgM) from five international centers. Methods The following samples were analyzed: MOG-IgG clearly positive sera (n=39), MOG-IgG low positive sera (n=39), borderline negative sera (n=13), clearly negative sera (n=40), and healthy blood donors (n=30). As technical controls, 18 replicates (9 MOG-IgG positive and 9 negative) were included. All samples and controls were re-coded, aliquoted, and distributed to the five testing centers which performed the following antibody assays: five live and one fixed immunofluorescence cell-based assays (CBA-IF, five MOG-IgG, one MOG-IgM), three live flow cytometry cell-based assays (FACS-CBA, all MOG-IgG), and two enzyme-linked immunosorbent assays (ELISA, both MOG-IgG). Results We found excellent agreement (96%) between the live CBAs for MOG-IgG for samples previously identified as clearly positive or negative from four different national testing centers. The agreement was lower with fixed CBA-IF (90%) and the ELISA showed no concordance with CBAs for detection of human MOG-IgG. All CBAs showed excellent inter-assay reproducibility. The agreement of MOG-IgG CBAs for borderline negative (77%) and particularly low positive (33%) samples was less good. Finally, most samples from healthy blood donors (97%) were negative for MOG-IgG in all CBAs. Conclusion Live MOG-IgG CBAs showed excellent agreement for high positive and very good agreement for negative samples at four international testing centers. Low positive samples were more frequently discordant than in similar assays for other autoantigens. Further research is needed to improve international standardization for clinical care.",,,
V09,10.5281/zenodo.437143,Advocating Physical Activity For The Enhancement Of Cancer Prevention And Treatment,"The term ‘Cancer’ encompasses a large group of related disease processes that affect the healthy replication of cells (Dishman et al., 2004). Worldwide, cancers of the lung and airways alone were the fifth highest cause of mortality in 2015 (WHO, 2015). The same cancers were the fourth leading cause of mortality in high- income economy countries (WHO, 2015). While some cancers arise from non- epithelial cells, and are more attributable to pre-disposition and heredity, these cases form the minority of reported cancer incidence (Smith et al., 2016). The majority of cancers occur in epithelial tissues, which separate body cavities from the outside environment, and have a large number of modifiable lifestyle and environmental risk factors (Smith et al., 2016). There is a growing body of evidence linking physical activity and fitness with improved functional outcomes in cancer patients (Giovannucci et al., 2012). This improvement may be two fold. First, where activity and fitness have a direct improvement on risk factors for the development of certain cancers, such as diabetes. Secondly, it may also improve health and quality of life indices during cancer treatment (Giovannucci et al., 2012).",,,
V10,10.7287/peerj.preprints.3153v2/supp-2,nan,"Background. Enteroviruses are small non-enveloped viruses with (+) ssRNA genome with one open reading frame. Enterovirus protein 3C (or 3CD for some species) binds the replicative element oriL to initiate replication. The replication of enteroviruses features low fidelity, which allows the virus to adapt to the changing environment on the one hand, and requires additional mechanisms to maintain the genome stability on the other. Structural disturbances in the apical region of oriL domain d can be compensated by amino acid substitutions in positions 154 or 156 of 3C (amino acid numeration corresponds to poliovirus 3C), thus suggesting the co-evolution of these interacting sequences in nature. The aim of this work was to understand co-evolution patterns of two interacting replication machinery elements in enteroviruses, the apical region of oriL domain d and its putative binding partners in the 3C protein. Methods.To evaluate the variability of the domain d loop sequence we retrieved all available full enterovirus sequences (>6400 nucleotides), which were present in the NCBI database on February 2017 and analysed the variety and abundance of sequences in domain d of the replicative element oriL and in the protein 3C. Results.A total of 2,842 full genome sequences was analysed. The majority of domain d apical loops were tetraloops, which belonged to consensus YNHG (Y=U/C, N=any nucleotide, H=A/C/U). The putative RNA-binding tripeptide 154-156 (Enterovirus C 3C protein numeration) was less diverse than the apical domain d loop region and, in contrast to it, was species-specific. Discussion. Despite the suggestion that the RNA-binding tripeptide interacts with the apical region of domain d, they evolve independently in nature. Together, our data indicate the plastic evolution of both interplayers of 3C-oriL recognition.",,,
