work_id,doi,year,type,source,title,abstract_empty,screen,extracted,recovered_by_general,matches_replication-claim-text,matches_replication-claim-residual,matches_replication-signal
36929248,10.1186/s41235-023-00466-1,1988.0,article,数理解析研究所講究録,Yang-Mills connections and the index bundles(Geometry of Moduli Spaces and 4 Dimensional Manifold II),False,proceed,False,False,False,True,False
37141022,10.1037/abn0000809,2009.0,preprint,arXiv (Cornell University),Local Times of Multidimensional $\alpha$-time Fractional Brownian Motion,False,proceed,False,False,True,False,False
33443150,10.1073/pnas.2014271117,1998.0,article,Dialnet (Universidad de la Rioja),Las mentalidades en Canarias en la crisis del antiguo régimen: élites agrarias y comportamiento social en Tenerife (1750-1823),False,proceed,False,True,True,False,False
33626289,10.1177/0956797620970561,2002.0,article,Quality progress,Is Time Running Out for Quality,False,discard,False,False,False,False,False
26612384,10.1016/j.euroneuro.2015.11.007,2006.0,article,PhDT,Observation of b to d gamma decays and determination of (V(td)/V(ts)),False,proceed,False,False,False,False,False
27239894,10.1080/14616734.2016.1181096,2008.0,article,Central Asia and the Caucasus,The guam phenomenon: its experience as a regional cooperation structure and its prospects as an international Organization,False,proceed,False,False,True,False,False
26814567,10.1207/s15327906mbr0302_5,1995.0,article,Diritto dell'economia,Il problema della decretazione d'urgenza tra costituzione e prassi legislativa,False,proceed,False,False,False,True,False
29743634,10.1038/s41598-018-25634-y,2013.0,article,,"13th Group from Taiwan Youth Overseas Service Complete Pre-service Training, Look Ahead to Life in 22 Partner Countries",False,proceed,False,False,True,True,False
34806014,10.1093/texcom/tgab057,2000.0,article,Aequalitas: Revista jurídica de igualdad de oportunidades entre mujeres y hombres,Denegar a una funcionaria interina de larga duración la posibilidad de solicitar las excedencias para el cuidado de los hijos produce una efectiva y real discriminación respecto de la permanencia en el mercado de trabajo,False,proceed,False,False,True,False,False
15030108,10.1046/j.1467-9450.2003.00363.x,2013.0,article,アレルギー,"O9-5 母乳を介した非IgE依存性食物アレルギー(O9 食物アレルギー3,口演,第63回日本アレルギー学会秋季学術大会)",False,proceed,False,False,True,False,False
21279159,10.1901/jeab.2010.94-13,1948.0,article,Doklady Akad. Nauk S.S.S.R.,Distribution of penetrating particles and high energy electrons in extensive atmospheric showers,False,proceed,False,False,False,False,False
7247632,10.1001/archpsyc.1981.01780310086009,1980.0,article,Proceedings of the 33rd Annual Meeting of the Southern Weed Science Society.,Basagran plus Vistar for control of red rice and sesbania in soybeans.,False,proceed,False,False,False,False,True
12468009,10.1016/s0165-0270(02)00264-9,2002.0,article,La Aventura de la historia,Sellos: los misioneros de Hawai,False,proceed,False,False,False,False,False
30654172,10.1016/j.neuroimage.2019.01.020,2003.0,article,Ingeniería y territorio,La prevención de riesgos laborales en el sector de la construcción en España,False,proceed,False,True,True,False,True
37020899,10.1016/j.dib.2023.109079,1995.0,article,Diritto dell'economia,Terzo capitalismo e società aperta,False,proceed,False,True,True,False,True
36459646,10.1073/pnas.2210082119,2005.0,article,Jus: Juristische Schulung,Ein Umzug mit Störungen,False,proceed,False,False,True,False,False
37396571,10.3389/fnint.2023.935177,2009.0,article,INFOS,Informatik-Schnuppereinheiten zur Positionierung des Unterrichtsfachs,False,proceed,False,False,False,True,False
32351359,10.3389/fnins.2020.00342,1957.0,article,Radiation Research,POST TREATMENT MODIFICATION OF X-RAY INDUCED INJURY IN BARLEY BY AEROBIC AND ANAEROBIC HYDRATION,False,proceed,False,False,False,False,False
32074130,10.1371/journal.pone.0229310,2007.0,article,MK: Marketing + ventas,Tendencias actuales en venta,False,discard,False,False,True,False,False
24897569,10.1016/0376-6357(85)90034-8,2002.0,article,日本流体力学会年会講演論文集,F213 Rayleigh-Benard 対流における正六角形格子上のパターン形成 : 5 次の振幅方程式,False,proceed,False,False,True,True,False
27793020,10.18632/oncotarget.12903,2004.0,article,The Journal of Theological Studies,Die Filioque-Kontroverse zwischen Ost- und Westkirche im Frühmittelalter (Book),False,discard,False,False,True,False,True
32510346,10.1016/j.dcn.2020.100783,1984.0,article,Chem. Eng. Prog.; (United States),Temperature-zoned reactors for coal liquids hydrotreatment,False,proceed,False,True,True,False,False
27061668,10.1016/j.jecp.2016.03.002,1994.0,article,Journal of Experimental Child Psychology,A field trial for sealing abandoned mine shafts and adits with lightweight concrete,False,proceed,False,True,True,False,False
20157068,10.1001/archoto.2009.219,2011.0,book-chapter,ProQuest LLC eBooks,Essays in Education Policy,False,proceed,False,False,True,True,False
10332041,10.1093/hmg/8.6.1085,2005.0,article,The Florida AI Research Society,Automating Planning Using Natural Language.,False,proceed,False,False,True,False,False
38169673,10.1016/j.abrep.2023.100500,2005.0,article,Economía industrial,El efecto moderador de la cooperación interempresarial en la adopción y uso del EDI en la cadena de suministro de automoción,False,proceed,False,False,True,False,False
323418,10.1080/00221325.1977.10533240,1985.0,article,Zeitschrift für deutsche Philologie digital/Zeitschrift für deutsche Philologie,"Der Meister, Propheten, Poeten und Könige Sprüche",False,proceed,False,False,True,False,False
9305343,10.1212/wnl.49.3.798,2009.0,article,Betriebswirtschaftliche Forschung Und Praxis,Brand building in hospital sector,False,proceed,False,True,True,True,False
180321553,10.1016/j.neulet.2019.134425,1997.0,article,Revue trimestrielle de droit europeen,Concentrations (1^e^r janvier 1999 - 31 decembre 1999),False,proceed,False,False,False,False,False
10395218,10.1038/sj.mp.4000482,1998.0,dissertation,Molecular Psychiatry,L'imagination esthétique : le regard de Vermeer,False,proceed,False,False,True,False,False
3004314842,10.1080/02699931.2020.1719982,2020.0,article,Cognition & Emotion,Memory and preparedness in evaluative conditioning in a smell-taste paradigm. A registered report,False,proceed,False,True,True,False,True
2736769802,10.1080/14719037.2017.1295099,2017.0,article,Public Management Review,Experimental replication: an experimental test of the expectancy disconfirmation theory of citizen satisfaction,False,proceed,True,False,True,False,True
3162902525,10.13109/prkk.2021.70.4.356,2021.0,article,Praxis der Kinderpsychologie und Kinderpsychiatrie,Training der Worterkennung mit <i>Willy Wortbär:</i> Ein silbenbasiertes Leseförderprogramm für die Grundschule,False,proceed,False,False,True,False,False
1977238904,10.1044/jshd.4901.104,1984.0,article,Journal of Speech and Hearing Disorders,Clinician-Child Discourse,False,proceed,True,False,True,False,False
2144961582,10.1001/archpsyc.1981.01780290083009,1981.0,article,Archives of General Psychiatry,Attention Deficit Disorder ('Minimal Brain Dysfunction') in Adults,False,proceed,False,False,True,False,False
