doi_r,title_r,doi_o,title_o,set,label,mo_titles,mo_dois,old_key,old_model,mo_key,quote,error,confident,reasoning,flag,answer,flag_names_other,alt,flag_conf,alt_is_mo,alt_first_is_mo
10.1111/jabr.12029,<i>In Situ</i> Methodology for Studying State Driver Stress: A Between‐Subjects Design Replication,10.1111/j.1751-9861.2000.tb00072.x,"The Influence of Traffic Congestion, Daily Hassles, and Trait Stress Susceptibility on State Driver Stress: An Interactive Perspective1",judged,both,"['The relationship between traffic congestion, driver stress and direct versus indirect coping behaviours']",['10.1080/001401397188198'],@hennessy2000,gpt-5.6-luna,@hennessy1997,The current study replicated the findings of the in situ methodology using a between-subjects research design.,,True,"The study describes its target only as 'the in situ methodology' used by 'previous studies' with repeated-measures in-vehicle questionnaires; that description fits other records such as @hennessy1999, @wiesenthal2000, and @wickens2007, so @hennessy2000 is not singled out.",True,"False:@hennessy2000:@hennessy1999,@wiesenthal2000,@wickens2007",True,"['@hennessy1999', '@wiesenthal2000', '@wickens2007']",True,False,False
10.1002/alr.21275,Genetic variations in taste receptors are associated with chronic rhinosinusitis: a replication study,10.1002/alr.21140,Genetics of the taste receptor T2R38 correlates with chronic rhinosinusitis necessitating surgical intervention,judged,ours,['T2R38 taste receptor polymorphisms underlie susceptibility to upper respiratory infection'],['10.1172/jci64240'],@adappa2013,gpt-5.6-luna,@lee2012,CONCLUSION: This study replicates previous work which showed that the coding SNP rs10246939 in the TAS2R38 gene is associated with CRS.,,True,"The study explicitly says it replicates previous work showing that the TAS2R38 coding SNP rs10246939 is associated with CRS. @adappa2013 is the listed paper whose title and topic directly match this CRS/T2R38 association, whereas the other records do not report that specific CRS finding.",False,True:@adappa2013:,False,[],False,False,False
10.1109/compsac.2013.82,A Replicated Study on Random Test Case Generation and Manual Unit Testing: How Many Bugs Do Professional Developers Find?,10.1109/issre.2008.18,Finding Faults: Manual Testing vs. Random+ Testing vs. User Reports,judged,mo,['Random test case generation and manual unit testing: substitute or complement in retrofitting tests for legacy code?'],['10.1109/seaa.2012.42'],@ciupa2008,gpt-5.6-luna,,"This paper describes the replication of an empirical study comparing tool-supported test case generation and manual development of unit tests. As variation to the original study, which was based on test results from students performing manual unit testing for 60 minutes, the replication involves professional software developers with several years of industry experience and extends the initial time restriction.",,True,"The replication's description of the original study—students manually unit testing for 60 minutes and the conclusion that automated test generation can be equally efficient—matches Bacchelli et al. 2008 better than Ciupa et al. 2008, which included user reports and random+ testing.",True,False:@bacchelli2008:@bacchelli2008,True,"['@bacchelli2008', '@bacchelli2008']",True,False,False
10.1046/j.1365-2133.1996.d01-1096.x,Angry back syndrome': a non-reproducible phenomenon,10.1111/j.1600-0536.1975.tb05380.x,The angry back syndrome: eczema creates eczema,judged,ours,"[""Allergic reactions, 'spill-over' reactions, and T-cell subsets""]",['10.1007/bf00412879'],@mitchell1975,gpt-5.6-luna,,"The term 'angry back syndrome' (ABS) was coined by Mitchell in 1975. It was stated that a strong positive patch test reaction could create an 'angry back' which becomes hyper-reactive to other patch test challenges. The present study investigated whether the ABS is a generalized state of hyper-reactivity of skin, whether it is a localized hyper-reactivity of skin, i.e. only in the close proximity to a strong patch test reaction, whether it is an individual specific phenomenon and if ABS is a reproducible phenomenon.",,True,"The study explicitly states that the term 'angry back syndrome' was coined by Mitchell in 1975, which uniquely matches @mitchell1975's title and year. No other record is described as the 1975 source that coined the syndrome being re-tested.",False,True:@mitchell1975:,False,[],False,False,False
10.1167/iovs.08-2382,Linkage Analysis in Keratoconus: Replication of Locus 5q21.2 and Identification of Other Suggestive Loci,10.1167/iovs.06-0214,Two-Stage Genome-Wide Linkage Scan in Keratoconus Sib Pair Families,judged,mo,['Genomewide linkage scan in a multigeneration Caucasian pedigree identifies a novel locus for keratoconus on chromosome 5q14.3-q21.1'],['10.1097/01.gim.0000170772.41860.54'],@li2006,gpt-5.6-luna,,This study represents the first KC linkage replication study on the chromosomal region 5q21.2 and reports evidence of suggestive linkage in several regions for which suggestive or significant linkage has been previously detected in different populations.,,True,"The study explicitly describes itself as the first KC linkage replication study for chromosomal region 5q21.2, and @li2006 is the only listed record whose genome-wide linkage scan corresponds to the original 5q21.2 finding; other keratoconus linkage records concern different loci.",False,True:@li2006:,False,[],False,False,False
10.1111/j.1540-4781.2006.00384.x,The Pedagogical Knowledge Base of Four TESOL Teachers,10.3138/cmlr.56.4.585,Investigating Experienced ESL Teachers' Pedagogical Knowledge,judged,ours,"[""Investigating ESL teachers' pedagogical knowledge""]",['10.1111/0026-7902.00004'],@gatbonton2000,gpt-5.6-luna,,"This qualitative study is a partial replication of Gatbonton's (2000) study, using her stimulated recall methodology and coding features, but it also extends her study by incorporating a number of key changes.",,True,"The study explicitly describes itself as a partial replication of Gatbonton's (2000) study and says it uses her stimulated recall methodology and coding features, which uniquely identifies @gatbonton2000.",False,True:@gatbonton2000:,False,[],False,False,False
10.1002/ajp.20895,Population‐level right‐handedness for a coordinated bimanual task in naturalistic housed chimpanzees: replication and extension in 114 animals from Zambia and Spain,10.1023/a:1023752816951,Population-Level Right Handedness for a Coordinated Bimanual Task in Chimpanzees: Replication and Extension in a Second Colony of Apes,judged,split,"['Manual laterality for simple reaching and bimanual coordinated task in naturalistic housed chimpanzees (Pan troglodytes)', 'Manual laterality for simple reaching and bimanual coordinated task in naturalistic housed chimpanzees (Pan troglodytes)']","['10.1007/s10764-009-9338-1', '10.1007/s10764-009-9338-1']",@hopkins2003,gpt-5.6-luna,@llorente2009,"This has been conducted by replicating previous studies on similar samples (Mona Foundation, Spain), and then by extending the results to chimpanzees housed in intermediate settings. The results are consistent with those obtained by Hopkins in captive settings.",,True,"The abstract identifies the replicated target as previous studies on Mona Foundation, Spain, while Hopkins is only cited for consistency of results in captive settings. Thus @llorente2009 (bimanual task in naturalistic housed Pan troglodytes) and @mosquera2006 (Mona Foundation) fit the description b",True,"False:@llorente2009:@llorente2009,@mosquera2006",True,"['@llorente2009', '@llorente2009', '@mosquera2006']",True,True,True
10.1017/s0272263100010032,The Production of Word-Final Voiced Obstruents in English by L1 Speakers of Japanese and Cantonese,10.1111/j.1467-1770.1981.tb01379.x,ON THE NATURALNESS OF INTERLANGUAGE PHONOLOGICAL RULES1,judged,mo,['On predicting phonological difficulty in second language acquisition'],['10.1017/s0272263100004253'],@eckman1981,gpt-5.6-luna,@eckman1981b,This study is a partial replication and extension of Eckman's (1981a) study on the production of English word-final voiced obstruents by native speakers of Japanese and Cantonese,,True,"The study explicitly identifies its target as Eckman's (1981a) study on word-final voiced obstruents by Japanese and Cantonese speakers, which matches @eckman1981 and distinguishes it from @eckman1981b and all other records.",False,True:@eckman1981:,False,[],False,False,False
10.1371/journal.pone.0086462,Fear Inhibition in High Trait Anxiety,10.1037/0735-7044.120.5.995,Contingency awareness and fear inhibition in a human fear-potentiated startle paradigm.,judged,split,['Fear potentiation and fear inhibition in a human fear-potentiated startle paradigm'],['10.1016/j.biopsych.2005.02.025'],@jovanovi2006,gpt-5.6-luna,@jovanovi2005,We replicated earlier findings that a transfer of conditioned inhibition for startle responses requires contingency awareness.,,True,"The abstract explicitly says they replicated earlier findings that transfer of conditioned inhibition for startle responses requires contingency awareness, which matches @jovanovi2006's title and specific finding; no other record combines contingency awareness, conditioned inhibition transfer, and h",False,True:@jovanovi2006:,False,[],False,False,False
10.1371/journal.pone.0056732,Replication of Association between Schizophrenia and Chromosome 6p21-6p22.1 Polymorphisms in Chinese Han Population,10.1038/nature08192,Common variants on chromosome 6p22.1 are associated with schizophrenia,judged,mo,['Genome-wide association study identifies a susceptibility locus for schizophrenia in Han Chinese at 11p11.2'],['10.1038/ng.979'],@shi2009,gpt-5.6-luna,@yue2011,"In our previous two-stage genome-wide association study (GWAS), polymorphisms of zinc finger with KRAB and SCAN domains 4 (ZKSCAN4), nuclear factor-κB-activating protein-like (NKAPL), and piggyBac transposable element derived 1 (PGBD1), localized to chromosome 6p21-p22.1, were strongly associated with schizophrenia. To further investigate the association between polymorphisms at this locus and schizophrenia in the Chinese Han population, we selected eight other single-nucleotide polymorphisms (SNPs) distributed in or near these genes for a case-control association study in an independent sample of 902 cases and 1,091 healthy controls in an attempt to replicate the GWAS results.",,True,"The study explicitly says its target is the previous two-stage GWAS reporting associations for ZKSCAN4, NKAPL, and PGBD1 at chromosome 6p21-p22.1, which matches @shi2009. No other listed record is described as that specific prior GWAS finding.",False,True:@shi2009:,False,[],False,False,False
