doi_r,doi_o,outcome,mo,outcome_phrase,outcome_reasoning,link_method,pdf_source
10.1093/jnci/djv199,10.1093/jnci/djt309,mixed,success,"Of 11 markers identified in the discovery study, C-reactive protein (CRP) (odds ratio [OR] [highest vs. lowest category] = 1.77, 95% confidence interval [CI] = 1.23 to 2.54), serum amyloid A (SAA) (OR = 1.88, 95% CI = 1.28 to 2.76), soluble tumor necrosis factor receptor-2 (sTNFRII) (OR = 1.70, 95% CI = 1.18 to 2.45), and monokine induced by gamma interferon (CXCL9/MIG) (OR = 2.09, 95% CI = 1.41 to 3.00) were associated with lung cancer risk in the replication study (P trend < .01).","Four of the 11 markers identified in the discovery study were reproduced, while the supplied text does not report the remaining markers as replicated, indicating partial rather than complete replication.",llm_references,
10.3389/fpsyg.2014.00754,10.1523/jneurosci.6018-08.2009,mixed,success,Motor-evoked potentials recorded from the lip and hand muscles in response to single pulses of TMS revealed no measurable change in motor excitability due to cTBS. This failure to replicate previous findings may reflect the unreliability of measurements of motor excitability related to inter-individual variability. Discrimination of lip-articulated speech sounds was impaired between 20 and 35 min after cTBS over the lip motor representation.,The replication failed to reproduce the original motor-excitability effect but reproduced the original speech-discrimination disruption.,llm_cited_candidates,
10.1097/00006199-200609000-00004,10.1002/nur.10042,mixed,success,Stress levels and the top two sources of stress were essentially the same for both groups of correctional nurses. Sources of satisfaction are ranked similarly but subscale and overall scores indicate that the nurses in the replication study were more dissatisfied.,"The replication agrees with the original on stress levels and satisfaction rankings but differs on satisfaction scores, so the findings are partly consistent and partly not.",llm_references,
10.1186/1471-2350-15-38,10.1038/ng.856,mixed,success,"We were able to replicate the finding of association with one of the markers: rs2651899. Moreover, we see a trend for association for rs1835740 with migraine.","One of Chasman et al.'s three reported SNP associations, rs2651899, was replicated, whereas the other two tested Chasman markers were among the results without statistically significant association.",llm_title_search,openalex_xml
10.1371/journal.pone.0046385,10.1038/nature09270,mixed,success,"Significant lipid associations (one-tailed p<0.05) were replicated for 18 of 22 loci in Japanese samples, with significant inter-ethnic heterogeneity at 4 loci-APOB, APOE-C1, CETP, and APOA5-and allelic heterogeneity. Our results confirm that most of the tested lipid loci are associated with lipid traits in the Japanese, further indicating that in genetic susceptibility to lipid levels and CAD, the related metabolic pathways are largely common across the populations, while causal variants at individual loci can be population-specific.","The paper reports replication for most but not all tested loci and explicitly notes heterogeneity at four loci, so the overall result is partly confirmatory rather than uniformly successful.",llm_references,
10.1111/j.1600-0447.1993.tb03464.x,10.1111/j.1600-0447.1991.tb03147.x,mixed,success,"In contrast to the previous study, the anxiety-depression subscale met the standard of acceptable interrater reliability in the present study. As in the 1991 study, the 10-item psychotic disintegration scale as well as BPRS-18 global scores met (or closely approximated) this standard.",The replication agrees with the original for the psychotic disintegration and BPRS-18 scales but differs from it for the anxiety-depression subscale.,llm_references,
10.1186/1742-2094-3-33,10.1016/s0197-4580(00)00180-9,mixed,success,"We replicated the association of HLA-B7 with AD (overall, adjusted odds ratio = 2.3, 95% confidence interval = 1.4-3.7, p = 0.001), but not the previously suggested interaction with the epsilon4 allele of apolipoprotein E.","The paper reports agreement with the earlier HLA-B7 association but failure to reproduce the previously suggested APOE4 interaction, so the target's findings were only partly replicated.",llm_title_search,openalex_xml
10.1016/j.annepidem.2010.12.003,10.1017/s0033291707001900,mixed,success,"The current data supported the previous finding that psychopathology in early-and mid-adulthood predicted later CFS/ME (8). There was also support across the cohorts for a cross-sectional association between CFS/ ME and psychopathology (10), in agreement with previous research (2-4, 24, 25). In contrast, the data did not support previous findings regarding extremes of physical activity. There was no evidence that performing sporting activity at age 11 was associated with reduced odds of CFS/ME (10), or that persistent physical activity in early-to midadulthood increased the risk of CFS/ME (9).","The adult psychopathology finding from the 1946 cohort was supported, whereas the 1946 physical-activity finding was not.",llm_title_search,openalex_xml
10.1017/s0272263105050126,10.1037/0278-7393.17.5.888,mixed,success,"As found by Reber, Walkenfeld, and Hernstadt (1991), there was significantly greater variance in explicit compared to implicit learning. In contrast to Reber et al.'s findings, intelligence quotient (IQ) was significantly negatively related to implicit learning.","The paper explicitly reports agreement with one Reber finding and a contrasting result for another, making the replication mixed.",llm_title_search,
10.1017/s0958344004001715,10.1017/s0958344001000519,mixed,success,"Results of both studies showed that students were on the whole positively inclined to working with the Web and found it useful, with the majority preferring to use the Web as an add-on to face-to-face teaching. Differential findings related to gender emerged in the two studies.",The paper reports agreement between the studies on the main attitudes and preferences but also explicitly identifies differential gender findings.,llm_cited_candidates,
