pair_id,work_id,doi_r,item,link_method,current_generation,supabase,old_doi_o,old_title_o,old_year_o,doi_o,title_o,authors_o,year_o,ref_o,bibtex_ref_o,link_evidence,outcome_now,oa_work_id_o,flags,apply
574e55a9f9ff2944ecb34912ece2bd75,W2532502137,10.18632/oncotarget.12903,orig-065,llm_references,765e053cd24611e5 2026-09-23,not imported,10.1289/ehp.0901831,Annual Ambient Black Carbon Associated with Shorter Telomeres in Elderly Men: Veterans Affairs Normative Aging Study,2010,10.1093/eep/dvw006,Long-term ambient particle exposures and blood DNA methylation age: findings from the VA normative aging study,"Nwanaji‐Enwerem, J. C.; Colicino, E.; Trevisi, L.; Kloog, I.; Just, A. C.; Shen, J.; Brennan, K. J. M.; Dereix, A. E.; Hou, L.; Vokonas, P.; Schwartz, J. D.; Baccarelli, A.",2016,"Nwanaji‐Enwerem, J. C., Colicino, E., Trevisi, L., Kloog, I., Just, A. C., Shen, J., Brennan, K. J. M., Dereix, A. E., Hou, L., Vokonas, P., Schwartz, J. D., & Baccarelli, A. (2016). Long-term ambient particle exposures and blood DNA methylation age: findings from the VA normative aging study. Current Zoology, 2(2), dvw006–dvw006. https://doi.org/10.1093/eep/dvw006","@article{NwanajiEnwerem_2016, title={Long-term ambient particle exposures and blood DNA methylation age: findings from the VA normative aging study}, author={Nwanaji‐Enwerem, J. C. and Colicino, E. and Trevisi, L. and Kloog, I. and Just, A. C. and Shen, J. and Brennan, K. J. M. and Dereix, A. E. and Hou, L. and Vokonas, P. and Schwartz, J. D. and Baccarelli, A.}, journal={Current Zoology}, volume={2}, number={2}, pages={dvw006--dvw006}, year={2016}, doi={10.1093/eep/dvw006}, url={https://doi.org/10.1093/eep/dvw006}}","We replicated this inverse BC-TeloAA association in the Normative Aging Study, a male cohort based in the USA. | pick_check: confirmed | original corrected by adjudication, Observatory comparison 2026-09; outcome coded against the previous original — re-check",successful,W2433197407,,yes
ad8c17a92e93ee48090124f8e5a50a3d,W4291010383,10.3758/s13423-022-02158-1,orig-072,llm_references,765e053cd24611e5 2026-09-23,not imported,10.1037/0096-1523.1.3.288,Hindsight is not equal to foresight: The effect of outcome knowledge on judgment under uncertainty.,1975,10.1037/0096-1523.3.4.544,On the psychology of experimental surprises.,"Slovic, P.; Fischhoff, B.",1977,"Slovic, P., & Fischhoff, B. (1977). On the psychology of experimental surprises.. Journal of Experimental Psychology Human Perception & Performance, 3(4), 544–551. https://doi.org/10.1037/0096-1523.3.4.544","@article{Slovic_1977, title={On the psychology of experimental surprises.}, author={Slovic, P. and Fischhoff, B.}, journal={Journal of Experimental Psychology Human Perception & Performance}, volume={3}, number={4}, pages={544--551}, year={1977}, doi={10.1037/0096-1523.3.4.544}, url={https://doi.org/10.1037/0096-1523.3.4.544}}","In a novel 3 × 2 within-participants design, with three sequential judgments of outcome probabilities in two scenarios, we replicated the within-participants hindsight bias observed in the classic memory design and the between-participants hindsight bias in a hypothetical design simultaneously. | pick_check: confirmed | original corrected by adjudication, Observatory comparison 2026-09; outcome coded against the previous original — re-check",successful,W2003824622,,yes
4ba980a22773b9734d6a911bdbe2d4b5,W3113355506,10.1371/journal.pone.0244110,orig-073,llm_cited_candidates,765e053cd24611e5 2026-09-24,not imported,10.1037/xhp0000702,Competing for affection: Perceptual fluency and ambiguity solution.,2019,10.1037/xlm0000667,Motion fluency and object preference: Robust perceptual but fragile memory effects.,"Flavell, J. C.; McKean, B.; Tipper, S. P.; Kirkham, A. J.; Vestner, T.; Over, H.",2018,"Flavell, J. C., McKean, B., Tipper, S. P., Kirkham, A. J., Vestner, T., & Over, H. (2018). Motion fluency and object preference: Robust perceptual but fragile memory effects.. Journal of Experimental Psychology Learning Memory and Cognition, 45(9), 1569–1582. https://doi.org/10.1037/xlm0000667","@article{Flavell_2018, title={Motion fluency and object preference: Robust perceptual but fragile memory effects.}, author={Flavell, J. C. and McKean, B. and Tipper, S. P. and Kirkham, A. J. and Vestner, T. and Over, H.}, journal={Journal of Experimental Psychology Learning Memory and Cognition}, volume={45}, number={9}, pages={1569--1582}, year={2018}, doi={10.1037/xlm0000667}, url={https://doi.org/10.1037/xlm0000667}}","Recently, Flavell et al. (2019) demonstrated that an object's motion fluency (how smoothly and predictably it moves) influences liking of the object itself. Though the authors demonstrated learning of object-motion associations, participants only preferred fluently associated objects over disfluently associated objects when ratings followed a moving presentation but not a stationary presentation. In the presented experiment, we tested the possibility that this apparent failure of associative learning / evaluative conditioning was due to stimulus choice. To do so we replicate part of the original work | original corrected by adjudication, Observatory comparison 2026-09; outcome coded against the previous original — re-check",successful,W2892794535,,yes
d3183a77106f0da6528b25588c2d07d0,W3024382336,10.1016/j.bionps.2020.100014,orig-078,llm_title_search,765e053cd24611e5 2026-09-23,not imported,10.1111/j.1469-8986.2011.01327.x,Spatiotemporal and frequency domain analysis of auditory paired stimuli processing in schizophrenia and bipolar disorder with psychosis,2012,10.1111/psyp.12185,Diagnostic specificity and familiality of early versus late evoked potentials to auditory paired stimuli across the schizophrenia‐bipolar psychosis spectrum,"Hamm, J. P.; Ethridge, L. E.; Boutros, N. N.; Keshavan, M. S.; Sweeney, J. A.; Pearlson, G. D.; Tamminga, C. A.; Clementz, B. A.",2014,"Hamm, J. P., Ethridge, L. E., Boutros, N. N., Keshavan, M. S., Sweeney, J. A., Pearlson, G. D., Tamminga, C. A., & Clementz, B. A. (2014). Diagnostic specificity and familiality of early versus late evoked potentials to auditory paired stimuli across the schizophrenia‐bipolar psychosis spectrum. Psychophysiology, 51(4), 348–357. https://doi.org/10.1111/psyp.12185","@article{Hamm_2014, title={Diagnostic specificity and familiality of early versus late evoked potentials to auditory paired stimuli across the schizophrenia‐bipolar psychosis spectrum}, author={Hamm, J. P. and Ethridge, L. E. and Boutros, N. N. and Keshavan, M. S. and Sweeney, J. A. and Pearlson, G. D. and Tamminga, C. A. and Clementz, B. A.}, journal={Psychophysiology}, volume={51}, number={4}, pages={348--357}, year={2014}, doi={10.1111/psyp.12185}, url={https://doi.org/10.1111/psyp.12185}}","We replicated B-SNIP1 auditory-paired stimuli findings [28]. Remarkable similarities in response were observed between Hamm et al. [28] and the current study. | search_confirm: clearly_target — The record is by Hamm et al. and directly analyzes auditory paired-stimulus processing in schizophrenia and bipolar disorder with psychosis, matching the study’s description of the B-SNIP1 findings it replicated. | original corrected by adjudication, Observatory comparison 2026-09; outcome coded against the previous original — re-check",successful,W1560557356,,yes
31709d550ff9eb25784a247444b678e8,W2885882096,10.1007/bf00880778,orig-081,llm_references,765e053cd24611e5 2026-09-23,not imported,10.1037/h0034578,Show versus no show: A comparison of referral calls to a suicide prevention and crisis service.,1973,10.1007/bf00878974,Toward an evaluation of telephone counseling,"Tapp, J. T.; Slaikeu, K. A.; Tulkin, S. R.",1974,"Tapp, J. T., Slaikeu, K. A., & Tulkin, S. R. (1974). Toward an evaluation of telephone counseling. American Journal of Community Psychology, 2(4), 357–364. https://doi.org/10.1007/bf00878974","@article{Tapp_1974, title={Toward an evaluation of telephone counseling}, author={Tapp, J. T. and Slaikeu, K. A. and Tulkin, S. R.}, journal={American Journal of Community Psychology}, volume={2}, number={4}, pages={357--364}, year={1974}, doi={10.1007/bf00878974}, url={https://doi.org/10.1007/bf00878974}}","This study replicated the findings of a previous investigation in showing that the motivation of a caller in response to the question of a referral was positively correlated with ""showing"" for the appointment. | pick_check: confirmed | original corrected by adjudication, Observatory comparison 2026-09; outcome coded against the previous original — re-check",successful,W2885862658,,yes
53ee9df1d0c5305be35630a34a886ad6,W3157062612,10.3389/fpsyt.2021.668152,orig-082,llm_title_search,010cf32bb63351e1 2026-09-22,not imported,10.1093/schbul/sbs059,Differences in cognitive and emotional processes between persecutory and grandiose delusions,2013,10.1017/s0033291710001546,Concomitants of paranoia in the general population,"Freeman, D. H.; McManus, S.; Brugha, T. S.; Meltzer, H.; Jenkins, R.; Bebbington, P.",2010,"Freeman, D. H., McManus, S., Brugha, T. S., Meltzer, H., Jenkins, R., & Bebbington, P. (2010). Concomitants of paranoia in the general population. Psychological Medicine, 41(5), 923–936. https://doi.org/10.1017/s0033291710001546","@article{Freeman_2010, title={Concomitants of paranoia in the general population}, author={Freeman, D. H. and McManus, S. and Brugha, T. S. and Meltzer, H. and Jenkins, R. and Bebbington, P.}, journal={Psychological Medicine}, volume={41}, number={5}, pages={923--936}, year={2010}, doi={10.1017/s0033291710001546}, url={https://doi.org/10.1017/s0033291710001546}}","These findings converge with examination of contributors to persecutory and grandiose delusions in schizophrenia (22), which revealed that depression, anxiety, and negative self-evaluations were positively associated with presence of persecutory delusions but negatively associated with presence of grandiose delusions. The current findings extend this to the general population | search_confirm: clearly_target — The record directly matches the described schizophrenia study comparing cognitive and emotional contributors to persecutory and grandiose delusions, and its authorship aligns with the cited Garety-led work. | original corrected by adjudication, Observatory comparison 2026-09; outcome coded against the previous original — re-check",successful,W2086178391,,yes
a95ceb25f80b9f856dfc8ef26cd01a1e,W3036032493,10.3389/fnhum.2020.00230,orig-083,llm_references,765e053cd24611e5 2026-09-23,not imported,10.1073/pnas.1421435112,Increasing propensity to mind-wander with transcranial direct current stimulation,2015,10.1093/cercor/bhy086,Challenge to Unity: Relationship Between Hemispheric Asymmetry of the Default Mode Network and Mind Wandering,"Kajimura, S.; Kochiyama, T.; Abe, N.; Nomura, M.",2018,"Kajimura, S., Kochiyama, T., Abe, N., & Nomura, M. (2018). Challenge to Unity: Relationship Between Hemispheric Asymmetry of the Default Mode Network and Mind Wandering. Cerebral Cortex, 29(5), 2061–2071. https://doi.org/10.1093/cercor/bhy086","@article{Kajimura_2018, title={Challenge to Unity: Relationship Between Hemispheric Asymmetry of the Default Mode Network and Mind Wandering}, author={Kajimura, S. and Kochiyama, T. and Abe, N. and Nomura, M.}, journal={Cerebral Cortex}, volume={29}, number={5}, pages={2061--2071}, year={2018}, doi={10.1093/cercor/bhy086}, url={https://doi.org/10.1093/cercor/bhy086}}","Overall, we failed to replicate previous reports of successful modulations of mind-wandering propensity with tDCS over the IPL | pick_check: confirmed | original corrected by adjudication, Observatory comparison 2026-09; outcome coded against the previous original — re-check",failed,W2937131812,,yes
f2b8acf60606a9ec46ec33280355351e,W2011930735,10.1017/s0272263100010032,orig-087,llm_references,765e053cd24611e5 2026-09-23,not imported,10.1111/j.1467-1770.1981.tb01379.x,ON THE NATURALNESS OF INTERLANGUAGE PHONOLOGICAL RULES1,1981,10.1017/s0272263100004253,On predicting phonological difficulty in second language acquisition,"Eckman, F. R.",1981,"Eckman, F. R. (1981). On predicting phonological difficulty in second language acquisition. Studies in Second Language Acquisition, 4(1), 18–30. https://doi.org/10.1017/s0272263100004253","@article{Eckman_1981, title={On predicting phonological difficulty in second language acquisition}, author={Eckman, F. R.}, journal={Studies in Second Language Acquisition}, volume={4}, number={1}, pages={18--30}, year={1981}, doi={10.1017/s0272263100004253}, url={https://doi.org/10.1017/s0272263100004253}}","This study is a partial replication and extension of Eckman's (1981a) study on the production of English word-final voiced obstruents by native speakers of Japanese and Cantonese | pick_check: confirmed | original corrected by adjudication, Observatory comparison 2026-09; outcome coded against the previous original — re-check",cannot_be_determined,W2140516903,,yes
32e404fac4f2d5e2fd9ff553ce36f4d5,W2162351615,10.1186/ar4504,orig-101,llm_references,765e053cd24611e5 2026-09-23,not imported,10.2119/2008-00056.liu,Genome-Wide Association Scan Identifies Candidate Polymorphisms Associated with Differential Response to Anti-TNF Treatment in Rheumatoid Arthritis,2008,10.1002/art.30130,Genome‐wide association study of genetic predictors of anti–tumor necrosis factor treatment efficacy in rheumatoid arthritis identifies associations with polymorphisms at seven loci,"Plant, D.; Bowes, J.; Potter, C.; Hyrich, K. L.; Morgan, A. W.; Wilson, A. G.; Isaacs, J. D.; Register, B. S. f. R. B.; Barton, A.",2010,"Plant, D., Bowes, J., Potter, C., Hyrich, K. L., Morgan, A. W., Wilson, A. G., Isaacs, J. D., Register, B. S. f. R. B., & Barton, A. (2010). Genome‐wide association study of genetic predictors of anti–tumor necrosis factor treatment efficacy in rheumatoid arthritis identifies associations with polymorphisms at seven loci. Arthritis & Rheumatism, 63(3), 645–653. https://doi.org/10.1002/art.30130","@article{Plant_2010, title={Genome‐wide association study of genetic predictors of anti–tumor necrosis factor treatment efficacy in rheumatoid arthritis identifies associations with polymorphisms at seven loci}, author={Plant, D. and Bowes, J. and Potter, C. and Hyrich, K. L. and Morgan, A. W. and Wilson, A. G. and Isaacs, J. D. and Register, B. S. f. R. B. and Barton, A.}, journal={Arthritis & Rheumatism}, volume={63}, number={3}, pages={645--653}, year={2010}, doi={10.1002/art.30130}, url={https://doi.org/10.1002/art.30130}}","In this study, our aim was to elucidate the role of four polymorphisms identified in a prior large genome-wide association study (GWAS) in which the investigators analyzed the responses of patients with rheumatoid arthritis (RA) to treatment with tumor necrosis factor inhibitors (TNFi). The authors of that study reported that the four genetic variants were significantly associated. However, none of the associations reached GWAS significance, and two subsequent studies failed to replicate these associations. METHODS: The four polymorphisms (rs12081765, rs1532269, rs17301249 and rs7305646) were genotyped in a total of 634 TNFi-treated RA patients of Spanish Caucasian origin. | pick_check: confirmed | original corrected by adjudication, Observatory comparison 2026-09; outcome coded against the previous original — re-check",failed,W2043709854,,yes
cd1ce33badadf1dcd29ef92a9861bf4d,W2130598660,10.1186/ar2423,orig-102,llm_references,765e053cd24611e5 2026-09-23,not imported,10.1086/511443,Genetic Association Analysis of RHOB and TXNDC3 in Osteoarthritis,2007,10.1086/503849,Cis - and Trans -Acting Gene Regulation Is Associated with Osteoarthritis,"Mahr, S.; Burmester, G.; Hilke, D.; Göbel, U.; Grützkau, A.; Häupl, T.; Hauschild, M.; Koczan, D.; Krenn, V.; Neidel, J.; Perka, C.; Radbruch, A.; Thiesen, H.; Müller, B.",2006,"Mahr, S., Burmester, G., Hilke, D., Göbel, U., Grützkau, A., Häupl, T., Hauschild, M., Koczan, D., Krenn, V., Neidel, J., Perka, C., Radbruch, A., Thiesen, H., & Müller, B. (2006). Cis - and Trans -Acting Gene Regulation Is Associated with Osteoarthritis. The American Journal of Human Genetics, 78(5), 793–803. https://doi.org/10.1086/503849","@article{Mahr_2006, title={Cis - and Trans -Acting Gene Regulation Is Associated with Osteoarthritis}, author={Mahr, S. and Burmester, G. and Hilke, D. and Göbel, U. and Grützkau, A. and Häupl, T. and Hauschild, M. and Koczan, D. and Krenn, V. and Neidel, J. and Perka, C. and Radbruch, A. and Thiesen, H. and Müller, B.}, journal={The American Journal of Human Genetics}, volume={78}, number={5}, pages={793--803}, year={2006}, doi={10.1086/503849}, url={https://doi.org/10.1086/503849}}","To examine the associations of these SNPs with OA in East Asian populations and to evaluate their global significance, we conducted two case-control studies in 955 Chinese and 750 Japanese patients. ... We further conducted a meta-analysis of the study findings together with those of previously reported European studies using the DerSimonian-Laird procedure. | pick_check: confirmed | original corrected by adjudication, Observatory comparison 2026-09; outcome coded against the previous original — re-check",successful,W2022613207,,yes
