id,stratum,doi_r,doi_o,A,B,has_fulltext,claude_verdict,claude_own_outcome,claude_confidence,claude_evidence_basis,claude_reasoning,claude_quote,claude_correct_original,codex_verdict,codex_own_outcome,codex_confidence,codex_evidence_basis,codex_reasoning,codex_quote,codex_correct_original,consensus
cbd-001,cbd,10.1007/s00520-025-09264-5,10.1111/1747-0080.12342,mo,ours,True,mo,success,high,packet_fulltext,"The conceptual replication of Doyle et al.'s 2017 review found that foodservice interventions improved nutritional outcomes in all but one study and improved satisfaction in all but one. That matches the original's finding in direction. The paper reports a clear result, so 'cannot be determined' does not hold.",Findings suggest that the implementation of foodservice interventions is likely to have a positive impact on nutritional outcomes.,,mo,success,high,packet_fulltext,"The conceptual replication reports broadly beneficial effects: energy intake improved in all five studies reporting it, protein intake improved in four of five, and satisfaction improved in three of four studies reporting it. Although the evidence was heterogeneous and the authors call for larger confirmatory studies, their synthesis and conclusion reproduce the original finding that foodservice interventions improve nutritional outcomes and satisfaction; therefore A is clearly more defensible than saying the result cannot be determined.","The implementation of small, frequent high-energy high-protein meals and snacks and patient-focused foodservice models was found to improve a number of nutritional outcomes in both inpatient and ambulatory settings; however, further research is required to confirm these findings.",n/a,mo
cbd-002,cbd,10.1002/art.22301,10.1038/ng1496,mo,ours,False,mo,inconclusive,medium,web_abstract_or_partial,"The Kizawa ASPN D14 risk association was not found in this UK sample on its own. A meta-analysis pooling European Caucasian data gave only some evidence for an ASPN effect, and the abstract frames it as a protective allele. So the result is mixed rather than missing, and 'cannot be determined' is not defensible because the paper reports ASPN results.",A meta-analysis of these data and those from previously published reports ... suggested that an ASPN allele is protective against the risk of knee OA in Caucasians (P < 0.02).,,mo,inconclusive,high,web_abstract_or_partial,"The replication did not directly test the original D-repeat variants, so it could not cleanly reproduce the D14 risk association. Its meta-analysis instead supported a protective ASPN allele, making the evidence partial or mixed rather than indeterminable; therefore, inconclusive is more defensible.","with the exception of the test for ASPN, in which we did not test the exact same variants as those tested in previous studies.",,mo
cbd-003,cbd,10.1136/jmg.2008.064063,10.1038/ng.76,ours,mo,False,mo,inconclusive,high,packet_abstract_only,"Of the seven Willer et al. loci, five were associated with lipids in 21,010 Japanese people and two (NCAN/CILP2/PBX4 and MVK/MMAB) were not. That is a partial replication with a clearly reported result, so 'inconclusive' fits and 'cannot be determined' does not.","Associations between the novel loci and plasma lipid concentrations were generally conserved in the Japanese population, with the exception of NCAN/CILP2/PBX4 and MVK/MMAB.",,mo,inconclusive,high,web_fulltext,"The paper reports significant associations for several tested loci, including MLXIPL, CELSR2/PSRC1/SORT1, ANGPTL3, TRIB1, and GALNT2, but no association for NCAN/CILP2/PBX4 or MVK/MMAB. Thus the original multi-locus finding was only partly reproduced, making the overall outcome inconclusive rather than indeterminable.","Associations between the novel loci and plasma lipid concentrations were generally conserved in the Japanese population, with the exception of NCAN/CILP2/PBX4 and MVK/MMAB.",,mo
cbd-004,cbd,10.36253/qoe-14034,10.1093/poq/nfz003,mo,ours,True,mo,success,medium,packet_fulltext,"The quasi-replication of Druckman & Levendusky in European students found that the like, trust and thermometer items were almost indistinguishable. Social distance was related but distinct (r about .63), and politicians got lower sympathy than voters. The authors present these findings as in line with the original, so the core findings reproduced.","Fourth, also in line with previous literature (Druckman & Levendusky, 2019), politicians receive lower sympathy than voters.",,mo,success,high,packet_fulltext,"The replication reproduced the central pattern: like-dislike, trust, and thermometer measures behaved similarly, whereas social-distance measures formed a related but distinct construct. It also reproduced the finding that politicians were evaluated more negatively than ordinary party supporters. Although the design omitted the original study’s trait measure, the tested findings were sufficiently reproduced to code the outcome as a success, making A more defensible.","Fourth, also in line with previous literature (Druckman & Levendusky, 2019), politicians receive lower sympathy than voters.",n/a,mo
cbd-005,cbd,10.3389/fpsyg.2012.00056,10.1038/nn.2112,ours,mo,True,mo,inconclusive,medium,packet_fulltext,"The two replications copied Soon et al.'s task without fMRI. They found that previous responses alone predict choices about as accurately (61.6%) as the original voxel classifier did. This casts doubt on the original finding, but the authors say it is not enough to dismiss it and the fMRI claim itself was never re-tested. The paper does report results, so 'inconclusive' is more defensible than 'cannot be determined'.","Although our behavioral results show that response bias and response dependency in individual data give rise to the same prediction accuracy as a multivariate pattern classifier based on voxel activities derived from fMRI measurements, our behavioral results are not sufficient to dismiss the original findings.",,mo,inconclusive,high,packet_fulltext,"The paper closely replicated the behavioral task but did not collect fMRI data, so it did not directly retest the reported frontopolar-cortex decoding effect. Its behavioral classifier achieved comparable accuracy from preceding responses, identifying a plausible confound, but the authors explicitly state that this evidence cannot dismiss the original neural finding; therefore the replication outcome is inconclusive rather than unreported.","Although our behavioral results show that response bias and response dependency in individual data give rise to the same prediction accuracy as a multivariate pattern classifier based on voxel activities derived from fMRI measurements, our behavioral results are not sufficient to dismiss the original findings.",n/a,mo
cbd-006,cbd,10.1093/hmg/ddu041,10.1038/ng.1051,ours,mo,True,mo,inconclusive,high,packet_abstract_only,"Of the European menopause loci, six replicated at P<0.05 in African-American women and 14 more were only directionally consistent. That is a partial replication with results reported, so 'inconclusive' is right and 'cannot be determined' is not.","We replicated the associations between six loci and age at menopause (P-value < 0.05) ... In addition, associations of 14 loci are directionally consistent with previous reports.",,mo,inconclusive,high,packet_fulltext,"The study reproduced associations at only a subset of the loci previously identified in European-ancestry GWAS. Several loci or index SNPs did not replicate, including the two previously reported MCM8 SNPs, even though the authors found a possible secondary signal at that locus; therefore the overall result is mixed rather than an unqualified success or failure.","Results from our meta-analysis of African-American women confirm some, but not all, of the findings in women of European ancestry.",n/a,mo
cbd-007,cbd,10.1044/jshd.4901.104,10.1044/jshd.4302.123,mo,ours,False,cannot_tell,cannot_tell,low,packet_abstract_only,"The packet has only an access-wall page for this 1984 letter to the editor. The ASHA page returned 403, and a web search found no description of its findings. Without the text I cannot tell whether clinician dominance of discourse was reproduced.",,,mo,success,high,web_fulltext,"The accessible full-text scan includes the replication and Prutting’s accompanying reply. Prutting explicitly describes close correspondence between the two studies and says the independent investigators verified the original findings, so the replication is properly coded as successful.",different investigators using different subjects in different geographical areas were able to verify our findings.,,split
cbd-008,cbd,10.1097/00006199-199205000-00005,10.1097/00006199-198811000-00003,mo,ours,False,mo,failure,high,packet_abstract_only,"For early adolescents, the group the original study covered, the characterological set explained more variance than the situational set. That reverses the original pattern, and the authors say outright that it did not replicate.","These findings did not replicate those of the original study (Mahon & Yarcheski, 1988).",,mo,failure,high,web_abstract_or_partial,"The replication’s early-adolescent results reversed the original pattern: characterological variables explained somewhat more variance than situational variables. The paper explicitly states that these findings did not replicate the 1988 study, so Answer A is correct.","These findings did not replicate those of the original study (Mahon & Yarcheski, 1988).",,mo
cbd-009,cbd,10.17605/osf.io/acykd,10.1016/j.obhdp.2004.12.002,ours,mo,True,neither,failure,high,web_fulltext,"The OSF registration's results form reports d = -.148 (95% CI about [-0.45, 0.16]), which is not different from zero and significantly smaller than the original effect. The authors call it an 'informative failure to replicate'. So the result is a clear failure: it can be determined, and it is not inconclusive.",informative failure to replicate,,ours,cannot_tell,high,packet_fulltext,"The supplied full text is a planning/protocol-style document describing procedures, original-study effect sizes, and an a priori power analysis. It reports no replication sample results, test statistics, effect estimate, or conclusion about whether the subliminal anchoring effect was reproduced, so the outcome cannot be determined rather than coded as inconclusive.",Analysis:A priori: Compute required sample size,n/a,split
cbd-010,cbd,10.3402/ejpt.v6.29313,10.1001/jama.290.5.643,mo,ours,True,mo,failure,high,packet_fulltext,"In this new sample the STEPP had an adjusted sensitivity of 0.16 for 6-month PTS, against 0.88 in the original. Its predictive value came mainly from the CPSS component instead. The original's claim of excellent sensitivity was not reproduced.",STEPP positive0.160.870.060.95,,mo,failure,high,packet_fulltext,"The original STEPP finding was not reproduced: sensitivity for predicting 6-month PTS fell from 0.88 in the development study to 0.16 in this replication, despite specificity remaining fairly strong at 0.87. The authors explicitly characterize the STEPP evidence as poor-to-modest replication and conclude that current evidence does not support using the tool.","Thus, taken together, our current results and results of the only other studies that are currently available (Nixon, Nehmy, et al., 2010; Van Meijel et al., 2015) indicate poor to modest replication (STEPP) or partial replication (CTSQ) of the original predictive performance of these screening tools.",,mo
