doi_r,title_r,doi_o,title_o,set,label,mo_titles,mo_dois,old_key,old_model,mo_key,quote,error,confident,reasoning,flag,answer,flag_names_other,alt,flag_conf,alt_is_mo,alt_first_is_mo
10.1111/jabr.12029,<i>In Situ</i> Methodology for Studying State Driver Stress: A Between‐Subjects Design Replication,10.1111/j.1751-9861.2000.tb00072.x,"The Influence of Traffic Congestion, Daily Hassles, and Trait Stress Susceptibility on State Driver Stress: An Interactive Perspective1",judged,both,"['The relationship between traffic congestion, driver stress and direct versus indirect coping behaviours']",['10.1080/001401397188198'],@hennessy2000,gpt-5.6-luna,@hennessy1997,The current study replicated the findings of the in situ methodology using a between-subjects research design.,,True,"The study replicates the in-vehicle in situ methodology's findings that state driver stress is greater in heavy traffic, with trait stress susceptibility contributing — this is exactly the finding and design of Hennessy, Wiesenthal & Kohn (2000), and no other record (e.g., wiesenthal2000 music study",False,True:@hennessy2000:,False,[],False,False,False
10.1002/alr.21275,Genetic variations in taste receptors are associated with chronic rhinosinusitis: a replication study,10.1002/alr.21140,Genetics of the taste receptor T2R38 correlates with chronic rhinosinusitis necessitating surgical intervention,judged,ours,['T2R38 taste receptor polymorphisms underlie susceptibility to upper respiratory infection'],['10.1172/jci64240'],@adappa2013,gpt-5.6-luna,@lee2012,CONCLUSION: This study replicates previous work which showed that the coding SNP rs10246939 in the TAS2R38 gene is associated with CRS.,,False,"The study 'replicates previous work' showing rs10246939 in TAS2R38 is associated with CRS, which matches @adappa2013 exactly; however, the abstract frames the replicated polymorphisms as 'associated with respiratory infection' being retested in a CRS population, which equally fits @lee2012 (same gro",True,False:@adappa2013:@lee2012,True,['@lee2012'],False,True,True
10.1109/compsac.2013.82,A Replicated Study on Random Test Case Generation and Manual Unit Testing: How Many Bugs Do Professional Developers Find?,10.1109/issre.2008.18,Finding Faults: Manual Testing vs. Random+ Testing vs. User Reports,judged,mo,['Random test case generation and manual unit testing: substitute or complement in retrofitting tests for legacy code?'],['10.1109/seaa.2012.42'],@ciupa2008,gpt-5.6-luna,,"This paper describes the replication of an empirical study comparing tool-supported test case generation and manual development of unit tests. As variation to the original study, which was based on test results from students performing manual unit testing for 60 minutes, the replication involves professional software developers with several years of industry experience and extends the initial time restriction.",,True,"The study replicates an empirical comparison of tool-supported random test generation vs manual unit testing by students under a 60-minute limit; @ciupa2008 ('Finding Faults: Manual Testing vs. Random+ Testing vs. User Reports', Ciupa & Meyer) matches this design exactly, while closest alternative @",False,True:@ciupa2008:,False,[],False,False,False
10.1046/j.1365-2133.1996.d01-1096.x,Angry back syndrome': a non-reproducible phenomenon,10.1111/j.1600-0536.1975.tb05380.x,The angry back syndrome: eczema creates eczema,judged,ours,"[""Allergic reactions, 'spill-over' reactions, and T-cell subsets""]",['10.1007/bf00412879'],@mitchell1975,gpt-5.6-luna,,"The term 'angry back syndrome' (ABS) was coined by Mitchell in 1975. It was stated that a strong positive patch test reaction could create an 'angry back' which becomes hyper-reactive to other patch test challenges. The present study investigated whether the ABS is a generalized state of hyper-reactivity of skin, whether it is a localized hyper-reactivity of skin, i.e. only in the close proximity to a strong patch test reaction, whether it is an individual specific phenomenon and if ABS is a reproducible phenomenon.",,True,"The study explicitly says the term 'angry back syndrome' was 'coined by Mitchell in 1975', which uniquely identifies @mitchell1975 by author and year; no other record matches that description.",False,True:@mitchell1975:,False,[],False,False,False
10.1167/iovs.08-2382,Linkage Analysis in Keratoconus: Replication of Locus 5q21.2 and Identification of Other Suggestive Loci,10.1167/iovs.06-0214,Two-Stage Genome-Wide Linkage Scan in Keratoconus Sib Pair Families,judged,mo,['Genomewide linkage scan in a multigeneration Caucasian pedigree identifies a novel locus for keratoconus on chromosome 5q14.3-q21.1'],['10.1097/01.gim.0000170772.41860.54'],@li2006,gpt-5.6-luna,,This study represents the first KC linkage replication study on the chromosomal region 5q21.2 and reports evidence of suggestive linkage in several regions for which suggestive or significant linkage has been previously detected in different populations.,,True,"The study calls itself the first KC linkage replication of the 5q21.2 locus, which is the locus Li et al. (2006) reported in their two-stage genome-wide sib-pair linkage scan; no other record on the list reports 5q21.2 linkage.",False,True:@li2006:,False,[],False,False,False
10.1111/j.1540-4781.2006.00384.x,The Pedagogical Knowledge Base of Four TESOL Teachers,10.3138/cmlr.56.4.585,Investigating Experienced ESL Teachers' Pedagogical Knowledge,judged,ours,"[""Investigating ESL teachers' pedagogical knowledge""]",['10.1111/0026-7902.00004'],@gatbonton2000,gpt-5.6-luna,,"This qualitative study is a partial replication of Gatbonton's (2000) study, using her stimulated recall methodology and coding features, but it also extends her study by incorporating a number of key changes.",,True,"The abstract explicitly names Gatbonton's (2000) study as the one partially replicated, citing her stimulated recall methodology and coding features; no other listed record fits this description.",False,True:@gatbonton2000:,False,[],False,False,False
10.1002/ajp.20895,Population‐level right‐handedness for a coordinated bimanual task in naturalistic housed chimpanzees: replication and extension in 114 animals from Zambia and Spain,10.1023/a:1023752816951,Population-Level Right Handedness for a Coordinated Bimanual Task in Chimpanzees: Replication and Extension in a Second Colony of Apes,judged,split,"['Manual laterality for simple reaching and bimanual coordinated task in naturalistic housed chimpanzees (Pan troglodytes)', 'Manual laterality for simple reaching and bimanual coordinated task in naturalistic housed chimpanzees (Pan troglodytes)']","['10.1007/s10764-009-9338-1', '10.1007/s10764-009-9338-1']",@hopkins2003,gpt-5.6-luna,@llorente2009,"This has been conducted by replicating previous studies on similar samples (Mona Foundation, Spain), and then by extending the results to chimpanzees housed in intermediate settings. The results are consistent with those obtained by Hopkins in captive settings.",,False,"The study replicates Hopkins' coordinated bimanual tube task finding, but its words only credit 'Hopkins' generally; @hopkins1995 is the original 110-chimp tube task report and fits the re-tested finding at least as well as @hopkins2003, which is itself a replication in a second colony.",True,False:@hopkins1995:@hopkins1995,True,"['@hopkins1995', '@hopkins1995']",False,False,False
10.1017/s0272263100010032,The Production of Word-Final Voiced Obstruents in English by L1 Speakers of Japanese and Cantonese,10.1111/j.1467-1770.1981.tb01379.x,ON THE NATURALNESS OF INTERLANGUAGE PHONOLOGICAL RULES1,judged,mo,['On predicting phonological difficulty in second language acquisition'],['10.1017/s0272263100004253'],@eckman1981,gpt-5.6-luna,@eckman1981b,This study is a partial replication and extension of Eckman's (1981a) study on the production of English word-final voiced obstruents by native speakers of Japanese and Cantonese,,True,"The study explicitly names Eckman (1981a) as the study on production of English word-final voiced obstruents by Japanese and Cantonese speakers whose interlanguage rules it partially replicates; among the two 1981 Eckman entries, the title 'On the naturalness of interlanguage phonological rules' mat",False,True:@eckman1981:,False,[],False,False,False
10.1371/journal.pone.0086462,Fear Inhibition in High Trait Anxiety,10.1037/0735-7044.120.5.995,Contingency awareness and fear inhibition in a human fear-potentiated startle paradigm.,judged,split,['Fear potentiation and fear inhibition in a human fear-potentiated startle paradigm'],['10.1016/j.biopsych.2005.02.025'],@jovanovi2006,gpt-5.6-luna,@jovanovi2005,We replicated earlier findings that a transfer of conditioned inhibition for startle responses requires contingency awareness.,,True,"The study replicates the finding that transfer of conditioned inhibition in startle requires contingency awareness, which is exactly the title and topic of @jovanovi2006; @jovanovi2005 tested fear inhibition but not the contingency-awareness finding, so no other record fits as well.",False,True:@jovanovi2006:,False,[],False,False,False
10.1371/journal.pone.0056732,Replication of Association between Schizophrenia and Chromosome 6p21-6p22.1 Polymorphisms in Chinese Han Population,10.1038/nature08192,Common variants on chromosome 6p22.1 are associated with schizophrenia,judged,mo,['Genome-wide association study identifies a susceptibility locus for schizophrenia in Han Chinese at 11p11.2'],['10.1038/ng.979'],@shi2009,gpt-5.6-luna,@yue2011,"In our previous two-stage genome-wide association study (GWAS), polymorphisms of zinc finger with KRAB and SCAN domains 4 (ZKSCAN4), nuclear factor-κB-activating protein-like (NKAPL), and piggyBac transposable element derived 1 (PGBD1), localized to chromosome 6p21-p22.1, were strongly associated with schizophrenia. To further investigate the association between polymorphisms at this locus and schizophrenia in the Chinese Han population, we selected eight other single-nucleotide polymorphisms (SNPs) distributed in or near these genes for a case-control association study in an independent sample of 902 cases and 1,091 healthy controls in an attempt to replicate the GWAS results.",,True,"The passage calls the re-tested finding 'our previous two-stage GWAS' identifying ZKSCAN4, NKAPL, and PGBD1 at 6p21-p22.1 in the Chinese Han population — @shi2009 is the European GWAS by Levinson's group, not a Han Chinese 'our previous' GWAS. @li2010 (Tao Li et al., MHC-region variants in schizophr",True,False:@li2010:@li2010,True,"['@li2010', '@li2010']",True,False,False
