pair_id,doi_r,title_r,abstract_r,year_r,authors_r,journal_r,url_r,openalex_id_r,source,ref_r,paper_type,filter_method,filter_evidence,filter_confidence,original_match_type,original_match_confidence,classify_llm_model,oa_work_id_r,oa_work_id_o,study_r,doi_o,title_o,study_o,year_o,authors_o,ref_o,bibtex_ref_o,bibtex_ref_r,link_method,link_evidence,link_confidence,link_llm_model,screen_categories,doi_o_verification,pdf_source,pdf_url,pdf_name,parse_method,outcome,outcome_phrase,outcome_confidence,out_quote_source,outcome_reasoning,outcome_computation,outcome_computational_quote,out_quote_computational_source,outcome_robustness,outcome_robustness_quote,out_quote_robust_source,outcome_llm_model,type,original_rank,n_originals,study_status,study_status_reasoning,study_status_model,osf_type,outcome_keyword_guess
b3f413e7f9d73571a75c4830fdc9618f,10.1001/archinte.168.16.1791,Physical Activity and the Association of Common FTO Gene Variants With Body Mass Index and Obesity,"BACKGROUND: Common FTO (fat mass and obesity associated) gene variants have recently been associated with body mass index (BMI) and obesity in several large studies. The role of lifestyle factors (such as physical activity) in those with an underlying FTO genetic predisposition is unknown. METHODS: To determine if FTO variants are associated with BMI in Old Order Amish (OOA) individuals, and to further determine whether the detrimental associations of FTO gene variants can be lessened by increased physical activity, a total of 704 healthy OOA adults were selected from the Heredity and Phenotype Intervention (HAPI) Heart Study, an investigation of gene x environment interactions in cardiovascular disease, for whom objective quantified physical activity measurements were available and for whom 92 single-nucleotide polymorphisms (SNPs) in FTO were genotyped. RESULTS: Twenty-six FTO SNPs were associated with BMI (P = .04 to <.001), including rs1477196 (P < .001) and rs1861868 (P < .001), 2 SNPs in moderate linkage disequilibrium in the OOA (D' = 0.82; r(2) = 0.36). Stratified analyses of rs1861868 revealed its association with BMI to be restricted entirely to those subjects with low sex- and age-adjusted physical activity scores (P < .001); in contrast, the SNP had no effect on those with above-average physical activity scores (P = .29), with the genotype x physical activity interaction achieving statistical significance (P = .01). Similar evidence for interaction was also obtained for rs1477196. CONCLUSIONS: Our results strongly suggest that the increased risk of obesity owing to genetic susceptibility by FTO variants can be blunted through physical activity. These findings emphasize the important role of physical activity in public health efforts to combat obesity, particularly in genetically susceptible individuals.",2008,,,,https://openalex.org/W2010505352,,,replication,screen,,high,single_original,low,,,,,,,,,,,,"@misc{Unknown_2008, title={Physical Activity and the Association of Common FTO Gene Variants With Body Mass Index and Obesity}, year={2008}, doi={10.1001/archinte.168.16.1791}, url={https://doi.org/10.1001/archinte.168.16.1791}}",target_pending,,low,,,,,,,,pending,,low,,outcome not coded: no resolved original link (target_pending),,,,,,,,replication,1,1,,,,,
a272cb3d653596d37b0760727cec82ef,10.1001/archneurol.2009.101,Implication of Sex and SORL1 Variants in Italian Patients With Alzheimer Disease,"OBJECTIVE: To investigate the association of genetic variants in sortilin-related receptor (SORL1), which has been proposed as an important genetic contributor to late-onset Alzheimer disease (LOAD). DESIGN: We analyzed 13 SORL1 single-nucleotide polymorphisms (SNPs) and the relative haplotypes in a case-control association study. PARTICIPANTS: The sample included 708 Italian subjects: 251 unrelated, sporadic patients with LOAD, 99 sporadic patients with early-onset Alzheimer disease (AD), and 358 healthy controls. MAIN OUTCOME MEASURES: We analyzed the 13 SNPs in the SORL1 gene that had been studied in previous reports using case-control methods and included sex, apolipoprotein E (APOE) genotype, and age at AD onset as covariates. RESULTS: The SNPs 4 (rs661057), 7 (rs12364988), and 10 (rs641120) were significantly associated with LOAD compared with controls. We found an association between these 3 variants and sex, suggesting that SORL1 may possibly affect LOAD through a female-specific mechanism. Of interest, the association of these SNPs with LOAD was confined to APOE epsilon4 noncarriers. Several haplotypic associations at the 5' end of SORL1 were found, including the previously associated CGC haplotype at SNPs 8 through 10. CONCLUSIONS: Our results confirm the association of SORL1 with AD and show a possible effect of female sex, suggesting that this gene may be a promising susceptibility factor for LOAD. Further studies to detect pathogenic variants and further elucidate the effect of SORL1 on the development of AD are necessary.",2009,,,,https://openalex.org/W2028857633,,,replication,screen,,high,single_original,low,,,,,,,,,,,,"@misc{Unknown_2009, title={Implication of Sex and SORL1 Variants in Italian Patients With Alzheimer Disease}, year={2009}, doi={10.1001/archneurol.2009.101}, url={https://doi.org/10.1001/archneurol.2009.101}}",target_pending,,low,,,,,,,,pending,,low,,outcome not coded: no resolved original link (target_pending),,,,,,,,replication,1,1,,,,,
4e019062d73ea12e48c6e96976179284,10.1001/archneurol.2010.201,"Meta-analysis Confirms CR1, CLU, and PICALM as Alzheimer Disease Risk Loci and Reveals Interactions With APOE Genotypes","OBJECTIVES: To determine whether genotypes at CLU, PICALM, and CR1 confer risk for Alzheimer disease (AD) and whether risk for AD associated with these genes is influenced by apolipoprotein E (APOE) genotypes. DESIGN: Association study of AD and CLU, PICALM, CR1, and APOE genotypes. SETTING: Academic research institutions in the United States, Canada, and Israel. PARTICIPANTS: Seven thousand seventy cases with AD, 3055 with autopsies, and 8169 elderly cognitively normal controls, 1092 with autopsies, from 12 different studies, including white, African American, Israeli-Arab, and Caribbean Hispanic individuals. RESULTS: Unadjusted, CLU (odds ratio [OR], 0.91; 95% confidence interval [CI], 0.85-0.96 for single-nucleotide polymorphism [SNP] rs11136000), CR1 (OR, 1.14; 95% CI, 1.07-1.22; SNP rs3818361), and PICALM (OR, 0.89; 95% CI, 0.84-0.94, SNP rs3851179) were associated with AD in white individuals. None were significantly associated with AD in the other ethnic groups. APOE ε4 was significantly associated with AD (ORs, 1.80-9.05) in all but 1 small white cohort and in the Arab cohort. Adjusting for age, sex, and the presence of at least 1 APOE ε4 allele greatly reduced evidence for association with PICALM but not CR1 or CLU. Models with the main SNP effect, presence or absence of APOE ε4, and an interaction term showed significant interaction between presence or absence of APOE ε4 and PICALM. CONCLUSIONS: We confirm in a completely independent data set that CR1, CLU, and PICALM are AD susceptibility loci in European ancestry populations. Genotypes at PICALM confer risk predominantly in APOE ε4-positive subjects. Thus, APOE and PICALM synergistically interact.",2010,,,,https://openalex.org/W2171610997,,,reproduction,screen,,high,single_original,low,,,,,,,,,,,,"@misc{Unknown_2010, title={Meta-analysis Confirms CR1, CLU, and PICALM as Alzheimer Disease Risk Loci and Reveals Interactions With APOE Genotypes}, year={2010}, doi={10.1001/archneurol.2010.201}, url={https://doi.org/10.1001/archneurol.2010.201}}",target_pending,,low,,,,,,,,pending,,low,,outcome not coded: no resolved original link (target_pending),,,,,,,,reproduction,1,1,,,,,
408e9d25750a106d73be8b8d0e91e8f2,10.1001/archneurol.2010.350,Association of TMEM106B Gene Polymorphism With Age at Onset in Granulin Mutation Carriers and Plasma Granulin Protein Levels,"OBJECTIVE: To test whether rs1990622 (TMEM106B) is associated with age at onset (AAO) in granulin (GRN) mutation carriers and with plasma GRN levels in mutation carriers and healthy, elderly individuals. Rs1990622 (TMEM106B) was identified as a risk factor for frontotemporal lobar degeneration with TAR DNA-binding protein inclusions (FTLD-TDP) in a recent genome-wide association. DESIGN: Rs1990622 was genotyped in GRN mutation carriers and tested for association with AAO using the Kaplan-Meier method and a Cox proportional hazards model. SETTING: Alzheimer's Disease Research Center. Subjects We analyzed 50 affected and unaffected GRN mutation carriers from 4 previously reported FTLD-TDP families (HDDD1, FD1, HDDD2, and the Karolinska family). The GRN plasma levels were also measured in 73 healthy, elderly individuals. MAIN OUTCOME MEASURES: Age at onset and GRN plasma levels. RESULTS: The risk allele of rs1990622 was associated with a mean decrease of the AAO of 13 years (P = 9.9 × 10(-7)) and with lower plasma GRN levels in both healthy older adults (P = 4 × 10(-4)) and GRN mutation carriers (P = .0027). Analysis of the HapMap database identified a nonsynonymous single-nucleotide polymorphism rs3173615 (T185S) in perfect linkage disequilibrium with rs1990622. CONCLUSIONS: The association of rs1990622 with AAO explains, in part, the wide range in the AAO of disease among GRN mutation carriers. We hypothesize that rs1990622 or another variant in linkage disequilibrium could act in a manner similar to APOE in Alzheimer disease, increasing risk for disease in the general population and modifying AAO in mutation carriers. Our results also suggest that genetic variation in TMEM106B may influence risk for FTLD-TDP by modulating secreted levels of GRN.",2011,,,,https://openalex.org/W1994089264,,,replication,screen,,high,single_original,low,,,,,,,,,,,,"@misc{Unknown_2011, title={Association of TMEM106B Gene Polymorphism With Age at Onset in Granulin Mutation Carriers and Plasma Granulin Protein Levels}, year={2011}, doi={10.1001/archneurol.2010.350}, url={https://doi.org/10.1001/archneurol.2010.350}}",target_pending,,low,,,,,,,,pending,,low,,outcome not coded: no resolved original link (target_pending),,,,,,,,replication,1,1,,,,,
542c4a87162ca77958e7f91ec79f0db9,10.1001/archneurol.2011.646,A Comprehensive Genetic Association Study of Alzheimer Disease in African Americans,"OBJECTIVES: To evaluate the association of genetic variation with late-onset Alzheimer disease (AD) in African Americans, including genes implicated in recent genome-wide association studies of whites. DESIGN: We analyzed a genome-wide set of 2.5 million imputed markers to evaluate the genetic basis of AD in an African American population. SUBJECTS: Five hundred thirteen well-characterized African American AD cases and 496 cognitively normal African American control subjects. SETTING: Data were collected from multiple sites as part of the Multi-Institutional Research on Alzheimer Genetic Epidemiology (MIRAGE) Study and the Henry Ford Health System as part of the Genetic and Environmental Risk Factors for Alzheimer Disease Among African Americans (GenerAAtions) Study. RESULTS: Several significant single-nucleotide polymorphisms (SNPs) were observed in the region of the apolipoprotein E gene (APOE). After adjusting for the confounding effects of APOE genotype, one of these SNPs, rs6859 in PVRL2, remained significantly associated with AD (P = .0087). Association was also observed with SNPs in CLU, PICALM, BIN1, EPHA1, MS4A, ABCA7, and CD33, although the effect direction for some SNPs and the most significant SNPs differed from findings in data sets consisting of whites. Finally, using the African American genome-wide association study data set as a discovery sample, we obtained suggestive evidence of association with SNPs for several novel candidate genes. CONCLUSIONS: Some genes contribute to AD pathogenesis in both white and African American cohorts, although it is unclear whether the causal variants are the same. A larger African American sample will be needed to confirm novel gene associations, which may be population specific.",2011,,,,https://openalex.org/W2127072914,,,replication,screen,,high,single_original,low,,,,,,,,,,,,"@misc{Unknown_2011, title={A Comprehensive Genetic Association Study of Alzheimer Disease in African Americans}, year={2011}, doi={10.1001/archneurol.2011.646}, url={https://doi.org/10.1001/archneurol.2011.646}}",target_pending,,low,,,,,,,,pending,,low,,outcome not coded: no resolved original link (target_pending),,,,,,,,replication,1,1,,,,,
1efa2be2e3cb75fedc23b9abb68c242f,10.1001/archophthalmol.2010.349,An Investigation Into LOXL1 Variants in Black South African Individuals With Exfoliation Syndrome,"OBJECTIVE: To investigate the association between 2 lysyl oxidase-like 1 (LOXL1) polymorphisms, rs1048661 (R141L) and rs3825942 (G153D), and exfoliation syndrome (XFS) in black South African individuals. METHODS: A total of 43 black patients with XFS and 47 ethnically matched controls were recruited for genetic analysis. Samples were analyzed for presence of the LOXL1-R141L and G153D variants using restriction fragment length polymorphism analysis. A case-control association study was performed. RESULTS: The R141L and G153D single-nucleotide polymorphisms (SNPs) were both significantly associated with XFS (P = .00582 and P < .00001, respectively). Consistent with findings in white populations but not in Asian cohorts, the GG genotype of the R141L SNP was present in significantly more XFS cases than controls (P = .00582). However, in this black South African study population, the AA genotype of G153D was present in an overwhelming majority of cases with XFS (P < .00001; odds ratio, 17.10; 95% confidence interval, 4.91-59.56), contrary to all previous articles in which the GG genotype was strongly associated with the disease phenotype. CONCLUSION: The LOXL1 SNPs R141L and G153D are significantly associated with XFS in this black South African population. The AA genotype of G153D confers XFS risk in this population, as opposed to the GG genotype described in all other populations, suggesting that unidentified genetic or environmental factors independent of these LOXL1 SNPs may influence phenotypic expression of the syndrome. CLINICAL RELEVANCE: Elucidation of the role of genetic factors, including the LOXL1 gene, in XFS will facilitate identification of individuals predisposed to developing this condition.",2011,,,,https://openalex.org/W1984621406,,,replication,screen,,high,single_original,low,,,,,,,,,,,,"@misc{Unknown_2011, title={An Investigation Into LOXL1 Variants in Black South African Individuals With Exfoliation Syndrome}, year={2011}, doi={10.1001/archophthalmol.2010.349}, url={https://doi.org/10.1001/archophthalmol.2010.349}}",target_pending,,low,,,,,,,,pending,,low,,outcome not coded: no resolved original link (target_pending),,,,,,,,replication,1,1,,,,,
cfa595800505e9dc85f707bfd05fb62e,10.1002/bdm.1837,Social Context and the Dynamics of Cooperative Choice,"Abstract Recent work using decontextualized economic games suggests that cooperation is a dynamic decision‐making process: Automatic responses typically support cooperation on average, while deliberation leads to increased selfishness. Here, we performed two studies examining how these temporal effects generalize to games with richer social context cues. Study 1 found that time pressure increased cooperation to a similar extent in games played with in‐group members and out‐group members. Study 2 found that time pressure increased cooperation to a similar extent in games described as competitions and games described as collaborations. These results show that previous positive effects of time pressure on cooperation are not unique to neutrally framed games devoid of social context and are not driven by implicit assumptions of shared group membership or cooperative norms. In doing so, our findings provide further insight into the cognitive underpinnings of cooperative decision making. Copyright © 2014 John Wiley & Sons, Ltd.",2015,,,,https://openalex.org/W2152617494,,,replication,screen,,high,single_original,low,,,,,,,,,,,,"@misc{Unknown_2015, title={Social Context and the Dynamics of Cooperative Choice}, year={2015}, doi={10.1002/bdm.1837}, url={https://doi.org/10.1002/bdm.1837}}",target_pending,,low,,,,,,,,pending,,low,,outcome not coded: no resolved original link (target_pending),,,,,,,,replication,1,1,,,,,
1da18517e9397bcdf50326261c29ed3a,10.1002/hep.28322,DEPDC5 variants increase fibrosis progression in Europeans with chronic hepatitis C virus infection,"UNLABELLED: Chronic hepatitis C virus (HCV) infection may progress to cirrhosis and hepatocellular carcinoma (HCC). Recently, two genetic variants, DEPDC5 rs1012068 and MICA rs2596542, were associated with the onset of HCC in Asian subjects with chronic HCV infection. The aim of the present study was to analyze whether DEPDC5 and MICA genetic variants were associated with liver disease progression in European subjects with chronic HCV infection. In a Northern Italian discovery cohort (n = 477), neither DEPDC5 rs1012068 nor MICA rs2596542 were associated with HCC (n = 150). However, DEPDC5 rs1012068 was independently associated with cirrhosis (n = 300; P = 0.049). The association of rs1012068 with moderate to severe fibrosis was confirmed in an independent cross-sectional German cohort (n = 415; P = 0.006). Furthermore, DEPDC5 rs1012068 predicted faster fibrosis progression in a prospective cohort (n = 247; P = 0.027). Next, we examined the distribution of nonsynonymous DEPDC5 variants in the overall cross-sectional cohort (n = 912). The presence of at least one variant increased the risk of moderate/severe fibrosis by 54% (P = 0.040). To understand the molecular mechanism underlying the genetic association of DEPDC5 variants with fibrosis progression, we performed in vitro studies on immortalized hepatic stellate cells (LX-2). In these cells, down-regulation of DEPDC5 resulted in increased expression of β-catenin and production of its target matrix metallopeptidase 2 (MMP2), a secreted enzyme involved in fibrosis progression. CONCLUSION: DEPDC5 variants increase fibrosis progression in European subjects with chronic HCV infection. Our findings suggest that DEPDC5 down-regulation may contribute to HCV-related fibrosis by increasing MMP2 synthesis through the β-catenin pathway.",2016,,,,https://openalex.org/W2269344449,,,replication,screen,,high,single_original,low,,,,,,,,,,,,"@misc{Unknown_2016, title={DEPDC5 variants increase fibrosis progression in Europeans with chronic hepatitis C virus infection}, year={2016}, doi={10.1002/hep.28322}, url={https://doi.org/10.1002/hep.28322}}",target_pending,,low,,,,,,,,pending,,low,,outcome not coded: no resolved original link (target_pending),,,,,,,,replication,1,1,,,,,
7d8a959f06edae32f2b5121fcf42aa15,10.1002/hep.31314,Estrogen Signaling and Portopulmonary Hypertension: The Pulmonary Vascular Complications of Liver Disease Study (PVCLD2),"BACKGROUND AND AIMS: Portopulmonary hypertension (POPH) was previously associated with a single-nucleotide polymorphism (SNP) rs7175922 in aromatase (cytochrome P450 family 19 subfamily A member 1 [CYP19A1]). We sought to determine whether genetic variants and metabolites in the estrogen signaling pathway are associated with POPH. APPROACH AND RESULTS: , and pulmonary artery wedge pressure ≤15 mm Hg without another cause of pulmonary hypertension. Controls had advanced liver disease, right ventricular (RV) systolic pressure <40 mm Hg, and normal RV function by echocardiography. We genotyped three SNPs in CYP19A1 and CYP1B1 using TaqMan and imputed SNPs in estrogen receptor 1 using genome-wide markers. Estrogen metabolites were measured in blood and urine samples. There were 37 patients with POPH and 290 controls. Mean age was 57 years, and 36% were female. The risk allele A in rs7175922 (CYP19A1) was significantly associated with higher levels of estradiol (P = 0.02) and an increased risk of POPH (odds ratio [OR], 2.36; 95% confidence interval [CI], 1.12-4.91; P = 0.02) whereas other SNPs were not. Lower urinary 2-hydroxyestrogen/16-α-hydroxyestrone (OR per 1-ln decrease = 2.04; 95% CI, 1.16-3.57; P = 0.01), lower plasma levels of dehydroepiandrosterone-sulfate (OR per 1-ln decrease = 2.38; 95% CI, 1.56-3.85; P < 0.001), and higher plasma levels of 16-α-hydroxyestradiol (OR per 1-ln increase = 2.16; 95% CI, 1.61-2.98; P < 0.001) were associated with POPH. CONCLUSIONS: Genetic variation in aromatase and changes in estrogen metabolites were associated with POPH.",2021,,,,https://openalex.org/W3016427071,,,replication,screen,,high,single_original,low,,,,,,,,,,,,"@misc{Unknown_2021, title={Estrogen Signaling and Portopulmonary Hypertension: The Pulmonary Vascular Complications of Liver Disease Study (PVCLD2)}, year={2021}, doi={10.1002/hep.31314}, url={https://doi.org/10.1002/hep.31314}}",target_pending,,low,,,,,,,,pending,,low,,outcome not coded: no resolved original link (target_pending),,,,,,,,replication,1,1,,,,,
bffc63ec22d9441d5fb93cb9bb4ae55d,10.1002/humu.20989,No association between<i>CALHM1</i>variation and risk of Alzheimer disease,"A polymorphism in the calcium homeostasis modulator 1 gene (CALHM1) has recently been associated with risk of late-onset Alzheimer disease. We examined this variant (rs2986017) in 945 Caucasian Americans with late-onset Alzheimer disease and 875 age-matched Caucasian American controls. No association with risk of late-onset Alzheimer disease (p=0.368 for genotypes; p=0.796 for alleles) was observed in our sample. However, a potential modest association of minor allele homozygosity (TT) with an earlier age-at-onset was seen (p=0.034).",2009,,,,https://openalex.org/W1989703753,,,replication,screen,,high,single_original,low,,,,,,,,,,,,"@misc{Unknown_2009, title={No association between<i>CALHM1</i>variation and risk of Alzheimer disease}, year={2009}, doi={10.1002/humu.20989}, url={https://doi.org/10.1002/humu.20989}}",target_pending,,low,,,,,,,,pending,,low,,outcome not coded: no resolved original link (target_pending),,,,,,,,replication,1,1,,,,,
