your_decision,doi_r,population,kind,item,action,why,claude,codex,suggested_instead,title_r,year_r,our_originals,mo_originals
,10.18632/oncotarget.12903,pipeline vs Observatory,different paper,orig-065,replace,both judges agree,"mo (medium): The paper mainly replicates its own KORA finding in the NAS cohort. Where it frames the NAS analysis against a published study, that study is ref 34, Nwanaji-Enwerem et al. 2016 (NAS epigenetic age and air pollution): the authors call their analysis 'our replication', retain that study's repeated-measures approach and explain why their results differ from it. McCracken 2010 is cited only as background (ref 33) among telomere studies.","mo (high): The paper identifies reference 34—Nwanaji-Enwerem et al. (2016), Answer A—as the previous NAS study of epigenetic aging and air pollution and compares its KORA results with those NAS associations. Answer B is discussed as earlier telomere literature, but the authors explicitly state that its reported association was inverse to their KORA observation.",,Long-term exposure to air pollution is associated with biological aging,2016,Annual Ambient Black Carbon Associated with Shorter Telomeres in Elderly Men: Veterans Affairs Normative Aging Study (2010) doi:10.1289/ehp.0901831 [llm_references],Long-term ambient particle exposures and blood DNA methylation age: findings from the VA normative aging study (2016) doi:10.1093/eep/dvw006
,10.1002/art.39619,pipeline vs Observatory,different paper,orig-067,replace,both judges agree,"mo (high): The replicated markers were selected from the ImmunoChip discovery study's anti-CCP-negative analysis, which is ref 21: Eyre et al. 2012 Nat Genet. Viatte et al. 2012 (ref 8) is a separate candidate-marker study cited as background.","mo (high): The methods identify the discovery dataset as the six-cohort ImmunoChip study in reference 21, comprising 3,339 anti-CCP-negative cases and 15,870 controls. Reference 21 is Eyre et al. (2012), “High-density genetic mapping identifies new susceptibility loci for rheumatoid arthritis,” so Answer A is correct; Answer B is a different earlier study.",,Replication of Associations of Genetic Loci Outside the HLA Region With Susceptibility to Anti–Cyclic Citrullinated Peptide–Negative Rheumatoid Arthritis,2016,Genetic markers of rheumatoid arthritis susceptibility in anti-citrullinated peptide antibody negative patients (2012) doi:10.1136/annrheumdis-2011-201225 [llm_references],High-density genetic mapping identifies new susceptibility loci for rheumatoid arthritis (2012) doi:10.1038/ng.2462
,10.1177/008124630303300307,pipeline vs Observatory,different paper,orig-071,replace,both judges agree,"mo (medium): The paper replicates the qualitative phase of Abrahams and Mauer (1999b), in which participants gave synonyms for 16PF words. That qualitative, home-language analysis is the SAJP paper 'Qualitative and statistical impacts of home language...'. The SAJIP paper on construct comparability is a psychometric factor-structure study. Both are in the reference list, but only A matches the replicated synonym task.","mo (high): The replication repeats the synonym-list procedure from Abrahams and Mauer’s home-language study, including its list of 136 words and qualitative methodology. That study is Answer A; Answer B concerns construct comparability and is a separate 1999 paper.",,A Comparison of Native and Non-Native English-Speaking Groups' Understanding of the Vocabulary Contained within the 16PF (SA92),2003,The comparability of the constructs of the 16PF in the South African context (1999) doi:10.4102/sajip.v25i1.679 [llm_references],Qualitative and statistical impacts of home language on responses to the items of the Sixteen Personality Factor Questionnaire (16PF) in South Africa (1999) doi:10.1177/008124639902900204
,10.3758/s13423-022-02158-1,pipeline vs Observatory,different paper,orig-072,replace,both judges agree,"mo (medium): The study adopts the four scenarios of Slovic & Fischhoff (1977), powers itself on that paper's effect and calls it 'the original study'. It replicates the between-participants hypothetical-design hindsight bias with those materials. Fischhoff 1975 is cited only as the general source of the hindsight-bias concept.","mo (high): The replication paper explicitly states that its four experimental scenarios were adopted from Slovic and Fischhoff (1977), and it again credits that paper as the source of its materials. Fischhoff (1975) is cited as foundational work defining hindsight bias, but it is not the specific study whose materials were re-tested here.","Slovic, P., & Fischhoff, B. (1977). On the psychology of experimental surprises. DOI: 10.1037/0096-1523.3.4.544","Pragmatic, constructive, and reconstructive memory influences on the hindsight bias",2022,Hindsight is not equal to foresight: The effect of outcome knowledge on judgment under uncertainty. (1975) doi:10.1037/0096-1523.1.3.288 [llm_references],On the psychology of experimental surprises (1977) doi:10.1037/0096-1523.3.4.544
,10.1371/journal.pone.0244110,pipeline vs Observatory,different paper,orig-073,replace,both judges agree,"mo (high): The replicated work is the motion-fluency study of Flavell, McKean et al. 2019 (JEP:LMC, ref 7). It found preference effects only after moving, not stationary, presentations, and the paper replicates it with insect stimuli. 'Competing for affection' (JEP:HPP, ref 5) is a different perceptual-fluency paper.","mo (high): The paper explicitly says it replicates the original motion-fluency study by Flavell et al. (2019), cited as reference 7. Reference 7 is the study named in Answer B; Answer A is reference 5 and provides only general background on perceptual fluency.","Flavell, McKean, Tipper, Kirkham, Vestner, and Over (2019), “Motion Fluency and Object Preference: Robust Perceptual but Fragile Memory Effects,” DOI: 10.1037/xlm0000667",Motion fluency effects on object preference is limited to learned context,2020,Competing for affection: Perceptual fluency and ambiguity solution. (2019) doi:10.1037/xhp0000702 [llm_cited_candidates],Motion fluency and object preference: Robust perceptual but fragile memory effects (2019) doi:10.1037/xlm0000667
,10.1017/s1366728922000748,pipeline vs Observatory,different paper,orig-077,replace,both judges agree,"mo (high): The paper adapts the stimuli and RPVP paradigm of Declerck et al. (2020) to replicate the bilingual SSE in Spanish-English bilinguals. Massol et al. (2021) is the source of the semantic manipulation used in the extension, not the replicated finding.","mo (high): The paper explicitly identifies the bilingual SSE reported by Declerck et al. (2020) as the finding being replicated and says it adapted that study’s stimuli and paradigm. Massol et al. (2021) is discussed as related monolingual work on semantics, not as the original study underlying this replication.",,The contributions of proficiency and semantics to the bilingual sentence superiority effect,2022,The contribution of semantics to the sentence superiority effect (2021) doi:10.1038/s41598-021-99565-6 [llm_references],Unified syntax in the bilingual mind (2020) doi:10.3758/s13423-019-01666-x
,10.1016/j.bionps.2020.100014,pipeline vs Observatory,different paper,orig-078,replace,both judges agree,"mo (high): The replicated B-SNIP1 paired-stimuli study is reference [28], Hamm et al. 2014 Psychophysiology 'Diagnostic specificity and familiality of early versus late evoked potentials...'. Hamm 2011/2012 is cited separately as [39] only in methods context.","mo (high): The paper explicitly identifies its first goal as replicating the B-SNIP1 paired-stimuli findings reported in reference 28. Reference 28 is Hamm et al. (2014), “Diagnostic specificity and familiality of early versus late evoked potentials to auditory paired stimuli across the schizophrenia-bipolar psychosis spectrum,” matching Answer A; the 2012 study in Answer B is a different reference.",,Auditory paired-stimuli responses across the psychosis and bipolar spectrum and their relationship to clinical features,2020,Spatiotemporal and frequency domain analysis of auditory paired stimuli processing in schizophrenia and bipolar disorder with psychosis (2011) doi:10.1111/j.1469-8986.2011.01327.x [llm_references],Diagnostic specificity and familiality of early versus late evoked potentials to auditory paired stimuli across the schizophrenia-bipolar psychosis spectrum (2014) doi:10.1111/psyp.12185
,10.1111/ejn.15512,pipeline vs Observatory,different paper,orig-080,replace,both judges agree,"mo (high): The Discussion explicitly states that the volumetric findings replicated are those of Schretlen et al. 2013 (Lancet Neurology regional brain volume study). The 2015 Neurology VBM white-matter paper is cited as prior background motivating the DTI work, not as the replicated result.","mo (high): The discussion explicitly identifies Schretlen et al. (2013) as the prior study whose volumetric findings were replicated using a different segmentation method. The 2015 white-matter paper in Answer A motivated the diffusion-tensor extension, but the paper’s explicit replication claim cites the 2013 study in Answer B.",,Microstructural white matter abnormalities in Lesch–Nyhan disease,2021,Brain white matter volume abnormalities in Lesch-Nyhan disease and its variants (2014) doi:10.1212/wnl.0000000000001128 [llm_references],Regional brain volume abnormalities in Lesch-Nyhan disease and its variants: A cross-sectional study (2013) doi:10.1016/s1474-4422(13)70238-2
,10.1007/bf00880778,pipeline vs Observatory,different paper,orig-081,replace,both judges agree,"mo (medium): The replicated findings - caller motivation for referral predicting showing, problem identification relating negatively, and counselor concreteness - are the process/technical variables examined by Tapp, Slaikeu & Tulkin (1974) 'Toward an evaluation of telephone counseling: process and technical variables influencing shows and no shows'. The 1973 Slaikeu et al. paper is an earlier comparison of referral calls, but the concreteness/motivation predictors come from the 1974 study.","mo (high): The three predictors examined in the replication—caller motivation, identification of a specific problem, and counselor concreteness—are precisely the combined predictors reported by Tapp, Slaikeu, and Tulkin (1974). The earlier 1973 study chiefly identified motivation and concreteness, whereas the 1974 paper also reported the negative relationship between specific-problem identification and appointment attendance that the replication explicitly retested.","Tapp, J. T., Slaikeu, K. A., & Tulkin, S. R. (1974). Toward an evaluation of telephone counseling: Process and technical variables influencing “shows” and “no-shows” for a clinic referral. DOI: 10.1007/BF00878974.",The prediction of “shows” and “no‐shows” to a crisis center,1975,Show versus no show: A comparison of referral calls to a suicide prevention and crisis service. (1973) doi:10.1037/h0034578 [llm_references],Toward an evaluation of telephone counseling (1974) doi:10.1007/bf00878974
,10.3389/fpsyt.2021.668152,pipeline vs Observatory,different paper,orig-082,replace,both judges agree,"mo (medium): Aim (1) is to replicate general-population associations of worry, negative self-beliefs and sleep with paranoia; the general-population concomitants study (Freeman et al., Concomitants of paranoia) is the prior work cited for these associations. Garety et al. is a schizophrenia-patient study cited as the finding the paper EXTENDS to the general population, not replicates.","mo (high): The paper explicitly aims to replicate general-population associations between paranoid ideation and worry, negative self-beliefs, and sleep disturbance, which are the findings reported by Freeman et al. (2011). Garety et al. (2013) is treated instead as a clinical comparison of persecutory and grandiose delusions with which the new findings converge and which they extend to the general population.","Freeman D, McManus S, Brugha T, Meltzer H, Jenkins R, Bebbington P. (2011). Concomitants of paranoia in the general population. Psychological Medicine. https://doi.org/10.1017/S0033291710001546",Paranoia and Grandiosity in the General Population: Differential Associations With Putative Causal Factors,2021,Differences in cognitive and emotional processes between persecutory and grandiose delusions (2013) doi:10.1093/schbul/sbs059 [llm_title_search],Concomitants of paranoia in the general population (2011) doi:10.1017/s0033291710001546
,10.3389/fnhum.2020.00230,pipeline vs Observatory,different paper,orig-083,replace,both judges agree,"mo (medium): The design (right IPL alone, reference over left cheek, SART with thought probes) is modelled on Kajimura et al. (2019), and the discussion contrasts its null result with that study specifically. Axelrod 2015 stimulated DLPFC and Kajimura & Nomura 2015 used dual DLPFC+IPL montages, which the paper describes as different from its right-IPL-only question.","mo (high): The paper specifically re-tests the right-IPL-only finding of Kajimura et al. (2019), using its electrode montage and stimulation parameters while adding stronger controls. The two 2015 studies in Answer B concern different montages—DLPFC stimulation or concurrent DLPFC/right-IPL stimulation—and are discussed as related prior research rather than the principal study being re-tested.",,Effect of tDCS Over the Right Inferior Parietal Lobule on Mind-Wandering Propensity,2020,Increasing propensity to mind-wander with transcranial direct current stimulation (2015) doi:10.1073/pnas.1421435112 [llm_references] || Decreasing propensity to mind-wander with transcranial direct current stimulation (2015) doi:10.1016/j.neuropsychologia.2015.07.013 [llm_references],Challenge to unity: relationship between hemispheric asymmetry of the default mode network and mind wandering (2019) doi:10.1093/cercor/bhy086
,10.1371/journal.pone.0056732,pipeline vs Observatory,different paper,orig-084,replace,both judges agree,"mo (high): The replication targets the authors' own previous two-stage Han Chinese GWAS (Yue et al. 2011, Nat Genet), which identified ZKSCAN4/NKAPL/PGBD1; the combined analysis pools with its first-stage sample. Shi et al. 2009 is a European 6p22.1 study cited as background.","mo (high): The replication paper explicitly identifies its earlier two-stage Chinese Han GWAS as reference 22 and says the present study uses independent subjects to verify that GWAS's associations. Reference 22 is Yue et al. (2011), the study named in Answer B; Shi et al. (2009) is cited only among prior European GWASs.",,Replication of Association between Schizophrenia and Chromosome 6p21-6p22.1 Polymorphisms in Chinese Han Population,2013,Common variants on chromosome 6p22.1 are associated with schizophrenia (2009) doi:10.1038/nature08192 [llm_references],Genome-wide association study identifies a susceptibility locus for schizophrenia in Han Chinese at 11p11.2 (2011) doi:10.1038/ng.979
,10.1093/scan/nsaa153,pipeline vs Observatory,different paper,orig-085,replace,both judges agree,"mo (high): The paper is a pre-registered replication of Holbrook et al. 2016 (Neuromodulation of group prejudice and religious belief), which B lists first. A names the 2018 JoVE methods article describing the cTBS procedure, not the original finding. B's second entry is a spurious duplicate but the main entry is correct.","mo (high): The replication paper explicitly states that it replicates and extends Holbrook et al. (2016), whose experiment tested whether pMFC downregulation reduced religious belief and group prejudice. Answer B includes that original study; Answer A is a later 2018 methods article describing the stimulation procedure, not the original finding being retested. The additional van Pelt et al. entry in B is not the original experiment, but B’s main entry is correct.","Holbrook, Izuma, Deblieck, Fessler, and Iacoboni (2016), “Neuromodulation of group prejudice and religious belief,” doi:10.1093/scan/nsv107",Posterior medial frontal cortex and threat-enhanced religious belief: a replication and extension,2020,Continuous Theta Burst Stimulation of the Posterior Medial Frontal Cortex to Experimentally Reduce Ideological Threat Responses (2018) doi:10.3791/58204 [llm_references],Neuromodulation of group prejudice and religious belief (2016) doi:10.1093/scan/nsv107 || Neuromodulation of group prejudice and religious belief (2016) doi:10.1093/scan/nsw017
,10.1111/cogs.12721,pipeline vs Observatory,different paper,orig-086,replace,both judges agree,"mo (high): The paper conceptually replicates McNeill's (1992) classic DAF gesture-speech synchrony study, reported in Hand and Mind. McNeill 2005 is cited for the IW case and theory, not the DAF experiment.",mo (high): The full text repeatedly identifies McNeill’s 1992 delayed-auditory-feedback experiments as the original work being conceptually replicated. Thus Answer B names the correct source; the paper cites McNeill’s 2005 work only as related theory and background.,"McNeill, David (1992), Hand and Mind: What Gestures Reveal about Thought",Entrainment and Modulation of Gesture–Speech Synchrony Under Delayed Auditory Feedback,2019,Gesture and Thought (2005) doi:10.7208/chicago/9780226514642.001.0001 [llm_references],Hand and mind: What gestures reveal about thought (1992) doi:10.2307/415833
,10.1017/s0272263100010032,pipeline vs Observatory,different paper,orig-087,replace,both judges agree,"mo (medium): The paper states it replicates Eckman (1981a), and its reference list identifies 1981a as 'On predicting phonological difficulty in second language acquisition', SSLA 4. Eckman 1981b (Language Learning) is cited separately.","mo (high): The replication paper explicitly identifies the replicated work as “Eckman's (1981a) study.” Its references label “On predicting phonological difficulty in second language acquisition” as Eckman 1981a, while Answer B's paper is separately labeled 1981b. Therefore Answer A names the original study.","Eckman, F. R. (1981), “On predicting phonological difficulty in second language acquisition,” Studies in Second Language Acquisition 4, 18–30, doi:10.1017/S0272263100004253.",The Production of Word-Final Voiced Obstruents in English by L1 Speakers of Japanese and Cantonese,1991,ON THE NATURALNESS OF INTERLANGUAGE PHONOLOGICAL RULES1 (1981) doi:10.1111/j.1467-1770.1981.tb01379.x [llm_references],On predicting phonological difficulty in second language acquisition (1981) doi:10.1017/s0272263100004253
,10.3389/fgene.2020.00827,pipeline vs Observatory,different paper,orig-088,replace,both judges agree,"mo (high): The replicated GWAS found a genome-wide significant PNPLA2 locus (rs61876744) and a suggestive MAML2 signal; that is McComish et al. 2019 (JAMA Ophthalmology), whose four white cohorts are meta-analysed. Li et al. 2011 reported a different locus (RAB3GAP1).","mo (high): The replication paper explicitly attributes the PNPLA2 and MAML2 findings under examination to McComish et al. (2019). Those loci are reported in Answer A’s study, whereas the 2011 study in Answer B investigated a different GWAS signal.","McComish et al. (2019), “Association of Genetic Variation With Keratoconus,” doi:10.1001/jamaophthalmol.2019.5293",Replication of the Association Between Keratoconus and Polymorphisms in PNPLA2 and MAML2 in a Han Chinese Population,2020,"A genome-wide association study identifies a potential novel gene locus for keratoconus, one of the commonest causes for corneal transplantation in developed countries (2011) doi:10.1093/hmg/ddr460 [llm_references]",Association of genetic variation with keratoconus (2019) doi:10.1001/jamaophthalmol.2019.5293
,10.1371/journal.pone.0263879,pipeline vs Observatory,different paper,orig-090,replace,both judges agree,"mo (medium): Experiment 1 conceptually replicates prior findings of real-time sensitivity to strong islands, cited as [11, 13, 14], with Stowe's filled-gap study [11] as the central example. Phillips (2006) is cited [19] for evidence that active dependency formation IS attempted in some subject islands, i.e., a qualification rather than the replicated finding.","mo (high): The paper presents Experiment 1 as a conceptual replication of earlier strong-island findings and specifically describes Stowe’s 1986 filled-gap experiment as evidence that readers suppress gap prediction inside strong islands. Phillips (2006) is cited only for a contrasting special case involving subject islands with possible parasitic gaps, not as the principal study being re-tested.",,The real-time status of strong and weak islands,2022,The real-time status of island phenomena (2006) doi:10.1353/lan.2006.0217 [llm_references],Parsing WH-constructions: evidence for on-line gap location (1986) doi:10.1080/01690968608407062
,10.1167/iovs.08-2382,pipeline vs Observatory,different paper,orig-092,replace,both judges agree,"mo (medium): The replicated locus is 5q21.2. It overlaps the 5q14.3-q21.1 region that Tang et al. (2005) reported in a large multigeneration pedigree (LOD 3.53), and the paper calls itself the first replication of that region. Li et al. 2006 is a different sib-pair scan, not the source of this locus. I based this on the abstract and on secondary descriptions, not the full text.","mo (high): The replication paper identifies 5q21.2 as the replicated locus. Tang et al. (2005) originally mapped the overlapping 5q14.3–q21.1 region, whereas Li et al. (2006) reported other chromosome 5 and 14 linkage regions; therefore Answer B names the original study.",,Linkage Analysis in Keratoconus: Replication of Locus 5q21.2 and Identification of Other Suggestive Loci,2009,Two-Stage Genome-Wide Linkage Scan in Keratoconus Sib Pair Families (2006) doi:10.1167/iovs.06-0214 [llm_references],Genomewide linkage scan in a multigeneration Caucasian pedigree identifies a novel locus for keratoconus on chromosome 5q14.3-q21.1 (2005) doi:10.1097/01.gim.0000170772.41860.54
