doi_r,original_url,result,replication_type,replication_year,replication_title,field,source,validated,confidence,ai_version
10.1001/archgenpsychiatry.2009.155,https://doi.org/10.1001/archpsyc.63.7.769,failure,close extension,2009,Association of the Glutamate Transporter Gene SLC1A1 With Atypical Antipsychotics–Induced Obsessive-compulsive Symptoms,biological sciences,,no,high,8.5
10.1001/archgenpsychiatry.2010.51,https://doi.org/10.1046/j.1360-0443.1998.93913758.x,success,close extension,2010,Genetic and Environmental Influences on Disordered Gambling in Men and Women,biological sciences,,no,high,8.8-base
10.1001/archgenpsychiatry.2010.94,https://doi.org/10.1038/mp.2017.133,success,close extension,2010,Brain Function in Carriers of a Genome-wide Supported Bipolar Disorder Variant,biological sciences,,no,high,8.5
10.1001/archinte.168.16.1791,https://doi.org/10.1126/science.1141634,success,close extension,2008,Physical Activity and the Association of Common FTO Gene Variants With Body Mass Index and Obesity,biological sciences,,no,high,8.5
10.1001/archneur.63.9.1250,https://doi.org/10.1016/j.ajhg.2011.08.009,failure,close extension,2006,Clinical Features of Parkinson Disease Patients With Homozygous Leucine-Rich Repeat Kinase 2 G2019S Mutations,biological sciences,,no,high,8.5
10.1001/archneurol.2008.552,https://doi.org/10.1016/j.neuron.2007.05.022,success,close extension,2009,GAB2 as an Alzheimer Disease Susceptibility Gene,biological sciences,,no,high,8.5
10.1001/archneurol.2009.101,https://doi.org/10.1038/ng1943,inconclusive,close extension,2009,Implication of Sex and SORL1 Variants in Italian Patients With Alzheimer Disease,biological sciences,,no,medium,8.5
10.1001/archneurol.2010.147,https://doi.org/10.1038/ng.440,success,close experiment,2010,"Replication of CLU, CR1, and PICALM Associations With Alzheimer Disease",biological sciences,,no,high,8.5
10.1001/archneurol.2010.201,https://doi.org/10.1038/ng.440,success,close experiment,2010,"Meta-analysis Confirms CR1, CLU, and PICALM as Alzheimer Disease Risk Loci and Reveals Interactions With APOE Genotypes",biological sciences,,no,high,8.5
10.1001/archneurol.2010.292,https://doi.org/10.1038/ng.440,success,close extension,2011,"Identification of Novel Loci for Alzheimer Disease and Replication of CLU, PICALM, and BIN1 in Caribbean Hispanic Individuals",biological sciences,,no,high,8.5
10.1001/archneurol.2010.350,https://doi.org/10.1038/ng.536,failure,close extension,2011,Association of TMEM106B Gene Polymorphism With Age at Onset in Granulin Mutation Carriers and Plasma Granulin Protein Levels,biological sciences,,no,high,8.5
10.1001/archneurol.2011.155,https://doi.org/10.1038/tpj.2009.69,failure,direct,2011,"Association and Expression Analyses With Single-Nucleotide Polymorphisms in &lt;emph type=""ital""&gt;TOMM40&lt;/emph&gt; in Alzheimer Disease",biological sciences,,no,high,8.5
10.1001/archneurol.2011.646,https://doi.org/10.1038/ng.439,failure,close extension,2011,A Comprehensive Genetic Association Study of Alzheimer Disease in African Americans,biological sciences,,no,high,8.5
10.1001/archophthalmol.2008.623,https://pubmed.ncbi.nlm.nih.gov/16807529/,success,close extension,2009,TGFB1 as a Susceptibility Gene for High Myopia,biological sciences,,no,high,8.5
10.1001/archophthalmol.2009.355,https://doi.org/10.1073/pnas.0800454105,reversal,close extension,2010,Association Between Erythropoietin Gene Polymorphisms and Diabetic Retinopathy,biological sciences,,no,high,8.5
10.1001/archophthalmol.2010.261,https://doi.org/10.1016/j.visres.2009.09.016,success,close extension,2010,Prospective Study of Common Variants in the Retinoic Acid Receptor–Related Orphan Receptor α Gene and Risk of Neovascular Age-Related Macular Degeneration,biological sciences,,no,high,8.5
10.1001/archophthalmol.2010.349,https://doi.org/10.1126/science.1146554,inconclusive,close extension,2011,An Investigation Into LOXL1 Variants in Black South African Individuals With Exfoliation Syndrome,biological sciences,,no,high,8.5
10.1001/archoto.2009.219,https://doi.org/10.1001/archotol.133.7.705,success,close extension,2010,"Association of IL1A, IL1B, and TNF Gene Polymorphisms With Chronic Rhinosinusitis With and Without Nasal Polyposis",biological sciences,,no,high,8.5
10.1001/archpsyc.1965.01730010011002,https://doi.org/10.1001/archpsyc.1964.01720260020003,success,close extension,1965,Thought Disturbance in Schizophrenia,biological sciences,,no,high,8.5
10.1001/archpsyc.1979.01780010071007,https://doi.org/10.1001/jama.1967.03120050045008,success,direct,1979,Suicide and Alcoholism,biological sciences,,no,high,8.5
10.1001/archpsyc.1981.01780290083009,https://doi.org/10.1001/archpsyc.1976.01770120057005,inconclusive,close experiment,1981,Attention Deficit Disorder ('Minimal Brain Dysfunction') in Adults,biological sciences,,no,high,8.5
10.1001/archpsyc.1981.01780310086009,https://doi.org/10.1176/ajp.135.7.792,success,close extension,1981,Diagnostic Interview for Borderline Patients,biological sciences,,no,high,8.5
10.1001/archpsyc.1988.01800260037004,https://doi.org/10.1001/archpsyc.1984.01790180039005,success,direct,1988,Antidepressant Specificity in Atypical Depression,biological sciences,,no,high,8.8-base
10.1001/archpsyc.1990.01810220051006,https://doi.org/10.1001/archpsyc.1988.01800260037004,success,direct,1990,"Atypical Depression, Panic Attacks, and Response to Imipramine and Phenelzine",biological sciences,,no,high,8.5
10.1001/archpsyc.1991.01810250079012,https://doi.org/10.1001/archpsyc.1985.01790330017002,success,direct,1991,Hyperactive Boys Almost Grown Up,biological sciences,,no,high,8.5
10.1001/archpsyc.1996.01830080033007,https://doi.org/10.1001/archpsyc.1981.01780330019001,success,direct,1996,Replication of the Stockholm Adoption Study of Alcoholism,biological sciences,,no,high,8.5
10.1001/jama.2010.574,https://doi.org/10.1038/ng.440,success,direct,2010,Genome-wide Analysis of Genetic Loci Associated With Alzheimer Disease,biological sciences,,no,high,8.8-base
10.1001/jamacardio.2018.0569,https://doi.org/10.1161/circgenetics.114.000663,failure,close extension,2018,<i>ADCY9</i> Genetic Variants and Cardiovascular Outcomes With Evacetrapib in Patients With High-Risk Vascular Disease,biological sciences,,no,high,8.5
10.1001/jamaneurol.2013.4835,https://doi.org/10.1016/j.neurobiolaging.2012.11.005,success,close extension,2014,Effect of<i>TMEM106B</i>Polymorphism on Functional Network Connectivity in Asymptomatic<i>GRN</i>Mutation Carriers,biological sciences,,no,high,8.5
10.1002/ab.21544,https://doi.org/10.1098/rspb.2008.1177,success,conceptual,2015,Face of a fighter: Bizygomatic width as a cue of formidability,social sciences,,no,medium,8.8-base
10.1002/ab.70042,https://doi.org/10.1098/rsos.171474,failure,close experiment,2025,The Question of Violent Video Games and Aggression: Testing Statistical and Methodological Issues of Null Effects Using Data From an Open‐Access Case Study,social sciences,,no,high,8.4
10.1002/acp.2974,https://doi.org/10.1111/j.2044-8333.2012.02069.x,success,close extension,2014,The Verifiability Approach: Countermeasures Facilitate its Ability to Discriminate Between Truths and Lies,social sciences,,no,high,8.8-base
10.1002/acp.3439,https://doi.org/10.1002/acp.2878,failure,direct or close,2018,The first direct replication on using verbal credibility assessment for the detection of deceptive intentions,social sciences,,yes,,
10.1002/aepp.13393,https://doi.org/10.1162/rest_a_00806,success,direct or close,2023,A new look at agricultural fires and health: A replication of Rangel and Vogl (2019),social sciences,,partially,,
10.1002/ajim.20660,https://doi.org/10.1002/ajim.20071,inconclusive,close extension,2009,Upper extremity pain and computer use among engineering graduate students: A replication study,biological sciences,,no,high,8.4
10.1002/ajmg.10380,https://doi.org/10.1002/(sici)1096-8628(19970531)74:3<238::aid-ajmg2>3.3.co;2-4,success,direct,2002,Apparent replication of suggestive linkage on chromosome 16 in the NIMH genetics initiative bipolar pedigrees,biological sciences,,no,high,8.4
10.1002/ajmg.10645,https://doi.org/10.1002/ana.69,failure,direct,2002,No evidence for a susceptibility locus for idiopathic generalized epilepsy on chromosome 18q21.1,biological sciences,,no,high,8.4
10.1002/ajmg.1320600515,https://doi.org/10.1002/ajmg.1320540108,inconclusive,direct,1995,Potential linkage for schizophrenia on chromosome 22q12‐q13: A replication study,biological sciences,,no,high,8.4
10.1002/ajmg.a.38190,https://doi.org/10.1038/ncomms7414,failure,close experiment,2017,Gene‐gene interaction of single nucleotide polymorphisms in 16p13.3 may contribute to the risk of non‐syndromic cleft lip with or without cleft palate in Chinese case‐parent trios,biological sciences,,no,high,8.4
10.1002/ajmg.b.10761,https://doi.org/10.1176/appi.ajp.158.8.1258,inconclusive,direct,2003,Familial aggregation of psychotic symptoms in a replication set of 69 bipolar disorder pedigrees,biological sciences,,no,high,8.4
10.1002/ajmg.b.20004,https://doi.org/10.1016/s0140-6736(94)91581-4,success,close extension,2003,Dopamine D2 receptor gene Ser311Cys variant and schizophrenia: association study and meta‐analysis,biological sciences,,no,high,8.4
10.1002/ajmg.b.20021,,success,close experiment,2003,Aggressive behavior in schizophrenia is associated with the low enzyme activity COMT polymorphism: A replication study,biological sciences,,no,high,8.4
10.1002/ajmg.b.30056,https://doi.org/10.1038/sj.mp.4001058,failure,close extension,2004,Non‐replication of the brain‐derived neurotrophic factor (BDNF) association in bipolar affective disorder: A Belgian patient‐control study,biological sciences,,no,high,8.4
10.1002/ajmg.b.30215,https://doi.org/10.1086/342288,success,close experiment,2005,Confirmation of association between the Val66Met polymorphism in the brain‐derived neurotrophic factor (<i>BDNF</i>) gene and bipolar I disorder,biological sciences,,no,high,8.4
10.1002/ajmg.b.30262,https://doi.org/10.1111/j.1440-1819.2004.01280.x,failure,close extension,2006,Association study of a functional promoter polymorphism in the<i>XBP1</i>gene and schizophrenia,biological sciences,,no,high,8.4
10.1002/ajmg.b.30329,https://doi.org/10.1002/ajmg.1497,failure,close experiment,2006,Stratification based on language‐related endophenotypes in autism: Attempt to replicate reported linkage,biological sciences,,no,high,8.4
10.1002/ajmg.b.30610,https://doi.org/10.1097/01.ypg.0000056682.82896.b0,failure,direct,2008,Replication study and meta‐analysis of the genetic association of GRM3 gene polymorphisms with schizophrenia in a large Japanese case‐control population,biological sciences,,no,high,8.4
10.1002/ajmg.b.30658,https://doi.org/10.1126/science.1129837,failure,close experiment,2008,Failure to replicate effect of kibra on human memory in two large cohorts of European origin,biological sciences,,no,high,8.4
10.1002/ajmg.b.30671,https://doi.org/10.1093/aje/kwj347,failure,close extension,2008,"Two methylenetetrahydrofolate reductase gene (<i>MTHFR</i>) polymorphisms, schizophrenia and bipolar disorder: An association study",biological sciences,,no,medium,8.4
10.1002/ajmg.b.30727,https://doi.org/10.1038/nn1795,failure,close extension,2008,The neuregulin 1 promoter polymorphism rs6994992 is not associated with chronic schizophrenia or neurocognition,biological sciences,,no,high,8.5
10.1002/ajmg.b.30744,https://doi.org/10.1002/ajmg.b.30494,failure,close extension,2008,"Association study of candidate variants of COMT with neuroticism, anxiety and depression",biological sciences,,no,high,8.5
10.1002/ajmg.b.30872,https://doi.org/10.1038/sj.mp.4001869,inconclusive,direct,2008,Replication of a rare protective allele in the noradrenaline transporter gene and ADHD,biological sciences,,no,high,8.4
10.1002/ajmg.b.31031,https://doi.org/10.1002/ajmg.b.30778,inconclusive,close extension,2010,The effect of smoking on <i>MAOA</i> promoter methylation in DNA prepared from lymphoblasts and whole blood,biological sciences,,no,high,8.4
10.1002/ajmg.b.31044,https://doi.org/10.1126/science.1083968,failure,close experiment,2010,Do 5HTTLPR and stress interact in risk for depression and suicidality? Item response analyses of a large sample,biological sciences,,no,high,8.4
10.1002/ajmg.b.31088,https://doi.org/10.1001/archpsyc.63.8.844,failure,close extension,2010,<i>PCM1</i> and schizophrenia: A replication study in the Northern Swedish population,biological sciences,,no,high,8.4
10.1002/ajmg.b.31194,https://doi.org/10.1016/j.ajhg.2008.12.008,failure,close extension,2011,Replication study of genome‐wide associated SNPs with late‐onset Alzheimer's disease,biological sciences,,no,high,8.0
10.1002/ajmg.b.32049,https://doi.org/10.1038/nature08192,failure,close extension,2012,"No associations found between the genes situated at 6p22.1, <i>HIST1H2BJ</i>, <i>PRSS16</i>, and <i>PGBD1</i> in Japanese patients diagnosed with schizophrenia",biological sciences,,no,high,8.4
10.1002/ajmg.b.32104,https://doi.org/10.1002/ajmg.b.31030,failure,close extension,2012,Methylenetetrahydrofolate reductase (<i>MTHFR</i>) C677T polymorphism and age at onset of schizophrenia: No consistent evidence for an association in the nordic population,biological sciences,,no,high,8.4
10.1002/ajmg.b.32106,https://doi.org/10.1002/ajmg.b.32168,success,close experiment,2013,Replication of Genome‐Wide association studies (<scp>GWAS</scp>) loci for sleep in the British G1219 cohort,biological sciences,,no,high,8.4
10.1002/ajmg.b.32145,https://doi.org/10.1038/nature10396,inconclusive,close extension,2013,<i>ADCYAP1R1</i> genotype associates with post‐traumatic stress symptoms in highly traumatized African‐American females,biological sciences,,no,high,8.5
10.1002/ajmg.b.32957,https://doi.org/10.1038/s41380-019-0463-8,success,direct,2024,"A polygenic resilience score moderates the genetic risk for schizophrenia: Replication in 18,090 cases and 28,114 controls from the Psychiatric Genomics Consortium",biological sciences,,no,high,8.0
10.1002/ajp.20895,https://doi.org/10.1007/s10764-009-9338-1,inconclusive,close extension,2011,Population‐level right‐handedness for a coordinated bimanual task in naturalistic housed chimpanzees: replication and extension in 114 animals from Zambia and Spain,biological sciences,,no,high,8.4
10.1002/ajpa.1330300206,https://doi.org/10.1002/ajpa.1330230311,success,direct,1969,A replication study on monkey gaits,biological sciences,,no,high,8.4
10.1002/alr.21275,https://doi.org/10.1172/jci64240,success,close extension,2014,Genetic variations in taste receptors are associated with chronic rhinosinusitis: a replication study,biological sciences,,no,high,8.4
10.1002/alz.056705,,success,close experiment,2021,Brain structure in subjective cognitive decline: A replication study,biological sciences,,no,high,8.4
10.1002/ana.22687,https://doi.org/10.1016/s0140-6736(10)62345-8,inconclusive,close extension,2012,"Meta‐analysis of Parkinson's Disease: Identification of a novel locus, <i>RIT2</i>",biological sciences,,no,medium,8.8-base
10.1002/ana.410280508,https://doi.org/10.1002/ana.410230509,success,direct,1990,Mild senile dementia of the Alzheimer type: 3. Longitudinal and cross‐sectional assessment,biological sciences,,no,high,8.4
10.1002/ana.410440223,https://doi.org/10.1002/ana.410400212,failure,direct,1998,Failure to replicate a protective effect of allele 2 of NACP/α‐synuclein polymorphism in Alzheimer's disease: An association study,biological sciences,,no,high,8.4
10.1002/ana.69,https://doi.org/10.1086/302763,success,close experiment,2001,Genome scan of idiopathic generalized epilepsy: Evidence for major susceptibility gene and modifying genes influencing the seizure type,biological sciences,,no,medium,8.8-base
10.1002/ar.1091570205,https://doi.org/10.1163/156853962x00087,success,direct,1967,A double replication of a “small‐sample” study of the sexual behavior of DBA/2J male mice,biological sciences,,no,high,8.4
10.1002/art.21309,https://doi.org/10.1038/ng1206,success,direct,2005,Association between <i>PADI4</i> and rheumatoid arthritis: A replication study,biological sciences,,no,high,8.4
10.1002/art.22301,https://doi.org/10.1073/pnas.0403456101,success,close extension,2007,"Sex and ethnic differences in the association of <i>ASPN</i>, <i>CALM1</i>, <i>COL2A1</i>, <i>COMP</i>, and <i>FRZB</i> with genetic susceptibility to osteoarthritis of the knee",biological sciences,,no,high,8.8-base
10.1002/art.22425,https://doi.org/10.1002/1529-0131(200104)44:4<802::aid-anr136>3.0.co;2-g,failure,close experiment,2007,No evidence for genetic association of interferon regulatory factor 1 in juvenile idiopathic arthritis,biological sciences,,no,high,8.4
10.1002/art.24180,https://doi.org/10.1038/nature05911,failure,close extension,2009,The chromosome 7q region association with rheumatoid arthritis in females in a british population is not replicated in a North American case–control series,biological sciences,,no,high,8.4
10.1002/art.30320,https://doi.org/10.1136/ard.2007.075424,success,close extension,2011,Fine-mapping and transethnic genotyping establish IL2/IL21 genetic association with lupus and localize this genetic effect to IL21,biological sciences,,no,high,8.5
10.1002/art.30604,https://doi.org/10.1186/ar2695,success,close extension,2011,A putative functional variant within the <i>UBAC2</i> gene is associated with increased risk of Behçet's disease,biological sciences,,no,high,8.5
10.1002/art.33381,https://doi.org/10.1002/art.27457,success,close experiment,2012,Replication of association of the <i>PTPRC</i> gene with response to anti–tumor necrosis factor therapy in a large UK cohort,biological sciences,,no,high,8.5
10.1002/art.39302,https://doi.org/10.1002/art.37961,failure,close experiment,2015,Brief Report: Lack of Replication of an Association Between Anti–Citrullinated Fibrinogen and Subclinical Atherosclerosis in Patients With Rheumatoid Arthritis,biological sciences,,no,high,8.4
