doi_r,title_r,doi_o,title_o,set,label,mo_titles,mo_dois,old_key,old_model,mo_key,quote,error,confident,reasoning,answer,flag,flag_names_other,alt,flag_conf,alt_is_mo,alt_first_is_mo
10.1111/jabr.12029,<i>In Situ</i> Methodology for Studying State Driver Stress: A Between‐Subjects Design Replication,10.1111/j.1751-9861.2000.tb00072.x,"The Influence of Traffic Congestion, Daily Hassles, and Trait Stress Susceptibility on State Driver Stress: An Interactive Perspective1",judged,both,"['The relationship between traffic congestion, driver stress and direct versus indirect coping behaviours']",['10.1080/001401397188198'],@hennessy2000,gpt-5.6-luna,@hennessy1997,The current study replicated the findings of the in situ methodology using a between-subjects research design.,,True,"The study re-tests the in situ repeated-measures finding on state driver stress, including trait stress susceptibility, which matches Hennessy et al. (2000)'s title and focus on traffic congestion, daily hassles, and trait stress susceptibility on state driver stress.",identified:@hennessy2000,False,False,[],False,False,False
10.1002/alr.21275,Genetic variations in taste receptors are associated with chronic rhinosinusitis: a replication study,10.1002/alr.21140,Genetics of the taste receptor T2R38 correlates with chronic rhinosinusitis necessitating surgical intervention,judged,ours,['T2R38 taste receptor polymorphisms underlie susceptibility to upper respiratory infection'],['10.1172/jci64240'],@adappa2013,gpt-5.6-luna,@lee2012,CONCLUSION: This study replicates previous work which showed that the coding SNP rs10246939 in the TAS2R38 gene is associated with CRS.,,True,"The study explicitly states it replicates previous work showing that TAS2R38 coding SNP rs10246939 is associated with chronic rhinosinusitis, which matches Adappa et al. 2013, whose title links T2R38 genetics to chronic rhinosinusitis necessitating surgical intervention.",identified:@adappa2013,False,False,[],False,False,False
10.1109/compsac.2013.82,A Replicated Study on Random Test Case Generation and Manual Unit Testing: How Many Bugs Do Professional Developers Find?,10.1109/issre.2008.18,Finding Faults: Manual Testing vs. Random+ Testing vs. User Reports,judged,mo,['Random test case generation and manual unit testing: substitute or complement in retrofitting tests for legacy code?'],['10.1109/seaa.2012.42'],@ciupa2008,gpt-5.6-luna,,"This paper describes the replication of an empirical study comparing tool-supported test case generation and manual development of unit tests. As variation to the original study, which was based on test results from students performing manual unit testing for 60 minutes, the replication involves professional software developers with several years of industry experience and extends the initial time restriction.",,True,"The study describes replicating an original experiment with students performing 60 minutes of manual unit testing against tool-supported test generation, and confirms the conclusion that automated test case generation can be equally efficient and complementary. This matches Fraser and Arcuri's 'Soun",identified:@fraser2012,True,True,['@fraser2012'],True,False,False
10.1046/j.1365-2133.1996.d01-1096.x,Angry back syndrome': a non-reproducible phenomenon,10.1111/j.1600-0536.1975.tb05380.x,The angry back syndrome: eczema creates eczema,judged,ours,"[""Allergic reactions, 'spill-over' reactions, and T-cell subsets""]",['10.1007/bf00412879'],@mitchell1975,gpt-5.6-luna,,"The term 'angry back syndrome' (ABS) was coined by Mitchell in 1975. It was stated that a strong positive patch test reaction could create an 'angry back' which becomes hyper-reactive to other patch test challenges. The present study investigated whether the ABS is a generalized state of hyper-reactivity of skin, whether it is a localized hyper-reactivity of skin, i.e. only in the close proximity to a strong patch test reaction, whether it is an individual specific phenomenon and if ABS is a reproducible phenomenon.",,True,"The study explicitly states that the term 'angry back syndrome' was coined by Mitchell in 1975 and describes the original claim that a strong patch test reaction creates hyper-reactivity to other patch tests, which matches @mitchell1975.",identified:@mitchell1975,False,False,[],False,False,False
10.1167/iovs.08-2382,Linkage Analysis in Keratoconus: Replication of Locus 5q21.2 and Identification of Other Suggestive Loci,10.1167/iovs.06-0214,Two-Stage Genome-Wide Linkage Scan in Keratoconus Sib Pair Families,judged,mo,['Genomewide linkage scan in a multigeneration Caucasian pedigree identifies a novel locus for keratoconus on chromosome 5q14.3-q21.1'],['10.1097/01.gim.0000170772.41860.54'],@li2006,gpt-5.6-luna,,This study represents the first KC linkage replication study on the chromosomal region 5q21.2 and reports evidence of suggestive linkage in several regions for which suggestive or significant linkage has been previously detected in different populations.,,True,"The study explicitly describes itself as the first replication of the keratoconus linkage locus 5q21.2. Among the cited records, Li et al. 2006 is the keratoconus genome-wide linkage scan that reported linkage to 5q21.2, matching the target finding.",identified:@li2006,False,False,[],False,False,False
10.1111/j.1540-4781.2006.00384.x,The Pedagogical Knowledge Base of Four TESOL Teachers,10.3138/cmlr.56.4.585,Investigating Experienced ESL Teachers' Pedagogical Knowledge,judged,ours,"[""Investigating ESL teachers' pedagogical knowledge""]",['10.1111/0026-7902.00004'],@gatbonton2000,gpt-5.6-luna,,"This qualitative study is a partial replication of Gatbonton's (2000) study, using her stimulated recall methodology and coding features, but it also extends her study by incorporating a number of key changes.",,True,"The study explicitly states it is a partial replication of Gatbonton's (2000) study, using her stimulated recall methodology and coding features. The reference list includes that exact work as @gatbonton2000.",identified:@gatbonton2000,False,False,[],False,False,False
10.1002/ajp.20895,Population‐level right‐handedness for a coordinated bimanual task in naturalistic housed chimpanzees: replication and extension in 114 animals from Zambia and Spain,10.1023/a:1023752816951,Population-Level Right Handedness for a Coordinated Bimanual Task in Chimpanzees: Replication and Extension in a Second Colony of Apes,judged,split,"['Manual laterality for simple reaching and bimanual coordinated task in naturalistic housed chimpanzees (Pan troglodytes)', 'Manual laterality for simple reaching and bimanual coordinated task in naturalistic housed chimpanzees (Pan troglodytes)']","['10.1007/s10764-009-9338-1', '10.1007/s10764-009-9338-1']",@hopkins2003,gpt-5.6-luna,@llorente2009,"This has been conducted by replicating previous studies on similar samples (Mona Foundation, Spain), and then by extending the results to chimpanzees housed in intermediate settings. The results are consistent with those obtained by Hopkins in captive settings.",,True,"The study says it replicates previous studies on similar samples from Mona Foundation, Spain, and @llorente2009 is the cited Mona Foundation/naturalistic-housed chimpanzee study specifically on the bimanual coordinated task; Hopkins is mentioned only as a captive-setting comparison.",identified:@llorente2009,True,True,['@llorente2009'],True,True,True
10.1017/s0272263100010032,The Production of Word-Final Voiced Obstruents in English by L1 Speakers of Japanese and Cantonese,10.1111/j.1467-1770.1981.tb01379.x,ON THE NATURALNESS OF INTERLANGUAGE PHONOLOGICAL RULES1,judged,mo,['On predicting phonological difficulty in second language acquisition'],['10.1017/s0272263100004253'],@eckman1981,gpt-5.6-luna,@eckman1981b,This study is a partial replication and extension of Eckman's (1981a) study on the production of English word-final voiced obstruents by native speakers of Japanese and Cantonese,,True,"The study explicitly says it replicates Eckman's (1981a) study on English word-final voiced obstruents by Japanese and Cantonese speakers. Among the listed Eckman 1981 records, @eckman1981 corresponds to the cited 1981a study re-tested here.",identified:@eckman1981,False,False,[],False,False,False
10.1371/journal.pone.0086462,Fear Inhibition in High Trait Anxiety,10.1037/0735-7044.120.5.995,Contingency awareness and fear inhibition in a human fear-potentiated startle paradigm.,judged,split,['Fear potentiation and fear inhibition in a human fear-potentiated startle paradigm'],['10.1016/j.biopsych.2005.02.025'],@jovanovi2006,gpt-5.6-luna,@jovanovi2005,We replicated earlier findings that a transfer of conditioned inhibition for startle responses requires contingency awareness.,,True,"The study states it replicated earlier findings that transfer of conditioned inhibition for startle responses requires contingency awareness, which matches the cited Jovanović et al. (2006) paper titled 'Contingency awareness and fear inhibition in a human fear-potentiated startle paradigm.'",identified:@jovanovi2006,False,False,[],False,False,False
10.1371/journal.pone.0056732,Replication of Association between Schizophrenia and Chromosome 6p21-6p22.1 Polymorphisms in Chinese Han Population,10.1038/nature08192,Common variants on chromosome 6p22.1 are associated with schizophrenia,judged,mo,['Genome-wide association study identifies a susceptibility locus for schizophrenia in Han Chinese at 11p11.2'],['10.1038/ng.979'],@shi2009,gpt-5.6-luna,@yue2011,"In our previous two-stage genome-wide association study (GWAS), polymorphisms of zinc finger with KRAB and SCAN domains 4 (ZKSCAN4), nuclear factor-κB-activating protein-like (NKAPL), and piggyBac transposable element derived 1 (PGBD1), localized to chromosome 6p21-p22.1, were strongly associated with schizophrenia. To further investigate the association between polymorphisms at this locus and schizophrenia in the Chinese Han population, we selected eight other single-nucleotide polymorphisms (SNPs) distributed in or near these genes for a case-control association study in an independent sample of 902 cases and 1,091 healthy controls in an attempt to replicate the GWAS results.",,True,"The study describes its target as the authors' previous two-stage GWAS in Chinese Han reporting strong association of ZKSCAN4, NKAPL, and PGBD1 at chromosome 6p21-p22.1, which matches @li2010.",identified:@li2010,True,True,['@li2010'],True,False,False
10.1186/s12881-014-0102-9,Replication and exploratory analysis of 24 candidate risk polymorphisms for neural tube defects,10.1002/ajmg.a.33755,Evaluation of 64 candidate single nucleotide polymorphisms as risk factors for neural tube defects in a large Irish study population,judged,mo,['Evaluation of common genetic variants in 82 candidate genes as risk factors for neural tube defects'],['10.1186/1471-2350-13-62'],@carter2010,gpt-5.6-luna,@pangilinan2012,We tested whether associations detected in a large Irish cohort could be replicated in an independent population.,,True,"The abstract says the study tests whether associations detected in a large Irish cohort could be replicated; the cited record matching this is Carter et al. 2010, 'Evaluation of 64 candidate single nucleotide polymorphisms as risk factors for neural tube defects in a large Irish study population.'",identified:@carter2010,False,False,[],False,False,False
10.1901/jaba.2000.33-239,USING POSITIVE PEER REPORTING TO IMPROVE THE SOCIAL INTERACTIONS AND ACCEPTANCE OF SOCIALLY ISOLATED ADOLESCENTS IN RESIDENTIAL CARE: A SYSTEMATIC REPLICATION,10.1901/jaba.1996.29-251,FEED THE HUNGRY BEE: USING POSITIVE PEER REPORTS TO IMPROVE THE SOCIAL INTERACTIONS AND ACCEPTANCE OF A SOCIALLY REJECTED GIRL IN RESIDENTIAL CARE,judged,split,['Merging research and practice: The example of positive peer reporting applied to social rejection'],['https://www.semanticscholar.org/paper/3a3c847fa514fca8145c09360ce41d9d0e34fd27'],@ervin1996,gpt-5.6-luna,@bowers1999,USING POSITIVE PEER REPORTING TO IMPROVE THE SOCIAL INTERACTIONS AND ACCEPTANCE OF SOCIALLY ISOLATED ADOLESCENTS IN RESIDENTIAL CARE: A SYSTEMATIC REPLICATION,,True,"The study's title and description closely mirror Ervin et al. (1996), which used positive peer reports to improve social interactions and acceptance of a socially rejected girl in residential care; the current study is a systematic replication with socially isolated adolescents.",identified:@ervin1996,False,False,[],False,False,False
