pair_id,doi_r,title_r,abstract_r,year_r,authors_r,journal_r,url_r,openalex_id_r,source,ref_r,filter_status,filter_method,filter_evidence,filter_confidence,original_match_type,original_match_confidence,oa_work_id_r,oa_work_id_o,doi_o,title_o,year_o,authors_o,ref_o,bibtex_ref_o,bibtex_ref_r,link_method,link_evidence,link_confidence,link_llm_model,doi_o_verification,outcome,outcome_phrase,outcome_confidence,out_quote_source,outcome_reasoning,type,original_rank,n_originals
1122bbe330a9d1e828907091c0c1a2b4,10.3389/fmicb.2019.01147,Role of the R349 Gene and Its Repeats in the MIMIVIRE Defense System,"family) that mediates resistance against Zamilon virophage. It is composed of putative helicase and nuclease associated with a gene of unknown function called R349, which contains four 15 bp repeats homologous to the virophage sequence. In a previous study, the silencing of such genes restored virophage susceptibility. Moreover, the CRISPR Cas-4 like activity of the nuclease has recently been characterized. In this study, a recently isolated Mimivirus of lineage A with R349 gene lacking 3 of 4 repeats was demonstrated to be susceptible to Zamilon. To reinforce the importance of the R349 gene in the MIMIVIRE system, we developed and presented, for the first time to our knowledge, a protocol for Mimivirus genomic editing. By knocking out R349 gene in a Mimivirus lineage A, we observed the replication of Zamilon, indicating that this gene is critical in the resistance against this specific group of virophages.",2019,Saïd Mougari; Jônatas Santos Abrahão; Graziele Pereira Oliveira; Jacques Bou Khalil; Bernard La Scola,Frontiers in Microbiology,https://doi.org/10.3389/fmicb.2019.01147,https://openalex.org/W2944420362,openalex,Mougari · 2019 · Frontiers in Microbiology,replication,both,"phrase:replication of; no author-year cite | llm:By knocking out R349 gene in a Mimivirus lineage A, we observed the replication of Zamilon",high,single_original,high,W2944420362,,,,,,,,"@article{SadMougari_2019, title={Role of the R349 Gene and Its Repeats in the MIMIVIRE Defense System}, author={Saïd Mougari and Jônatas Santos Abrahão and Graziele Pereira Oliveira and Jacques Bou Khalil and Bernard La Scola}, journal={Frontiers in Microbiology}, year={2019}, doi={10.3389/fmicb.2019.01147}, url={https://doi.org/10.3389/fmicb.2019.01147}}",screen_disagreement,screen disagreement: gemini=no/high; openai=yes/high,low,,skipped,success,"In a previous study, the silencing of such genes restored virophage susceptibility. Moreover, the CRISPR Cas-4 like activity of the nuclease has recently been characterized. In this study, a recently isolated Mimivirus of lineage A with R349 gene lacking 3 of 4 repeats was demonstrated to be susceptible to Zamilon. To reinforce the importance of the R349 gene in the MIMIVIRE system, we developed and presented, for the first time to our knowledge, a protocol for Mimivirus genomic editing. By knocking out R349 gene in a Mimivirus lineage A, we observed the replication of Zamilon, indicating that this gene is critical in the resistance against this specific group of virophages.",high,abstract,"The study confirms the original finding by demonstrating that knocking out the R349 gene restores virophage susceptibility, thereby reinforcing its role in the MIMIVIRE defense system.",replication,1,1
ae2ccf29782ff2e5ac99c9360be7f915,10.5858/arpa.2018-0455-oa,Sensitivity and Specificity of Alzheimer Type II Astrocytes in Hepatic Encephalopathy,"Context.— Hepatic encephalopathy (HE) is associated with presence of type II astrocytes in the brain on the basis of observations made in single uncontrolled cases. This finding was subsequently demonstrated by in vitro studies with replication of microenvironment of HE by increase in ammonia levels. However, no human studies have been done correlating HE with type II astrocytes. Objective.— To determine the sensitivity and specificity of type II astrocytes in HE. Design.— This is a retrospective cohort study in which cases and controls were included. A database search was conducted to identify potential cases of hepatic encephalopathy during a 3-year period, as well as concomitant cases with altered mental status from other causes, liver disease, both, and neither. The presence of HE was determined according to standard clinical criteria, and a coronal section of basal ganglia was selected for examination from each case. Type II astrocytes were enumerated over 20 random high-power fields (HPFs). Results.— Twenty-one patients with HE were identified, with 35 patient controls (18 females, 38 males). Among the patients with HE there was a mean of 19.8 type II astrocytes in 20 HPFs. Patients with altered mental status without HE had an average of 7.2 type II astrocytes per 20 HPFs, and for those without altered mental status, the average was 2.8. For patients with hepatic insufficiency without HE, the average was 11, while for patients with normal hepatic function, the average was 4.1. Overall, for those without HE, the average was 5.4 type II astrocytes per 20 HPFs. Conclusions.— At a cutoff of 5 or more type II astrocytes per 20 HPFs, sensitivity for HE was 85.7% and specificity was 68.6%. Alzheimer type II astrocytes were present in all cases of HE but were also present in a wide variety of patients without HE.",2019,Apeksha Agarwal; Daniel D. Mais,Archives of Pathology & Laboratory Medicine,https://doi.org/10.5858/arpa.2018-0455-oa,https://openalex.org/W2943878595,openalex,Agarwal · 2019 · Archives of Pathology & Laboratory Medicine,replication,both,phrase:replication of; no author-year cite | llm:This is a retrospective cohort study in which cases and controls were included.,medium,single_original,medium,W2943878595,,,,,,,,"@article{ApekshaAgarwal_2019, title={Sensitivity and Specificity of Alzheimer Type II Astrocytes in Hepatic Encephalopathy}, author={Apeksha Agarwal and Daniel D. Mais}, journal={Archives of Pathology & Laboratory Medicine}, year={2019}, doi={10.5858/arpa.2018-0455-oa}, url={https://doi.org/10.5858/arpa.2018-0455-oa}}",screen_disagreement,screen disagreement: gemini=no/high; openai=yes/high,low,,skipped,success,"Among the patients with HE there was a mean of 19.8 type II astrocytes in 20 HPFs. Patients with altered mental status without HE had an average of 7.2 type II astrocytes per 20 HPFs, and for those without altered mental status, the average was 2.8. For patients with hepatic insufficiency without HE, the average was 11, while for patients with normal hepatic function, the average was 4.1. Overall, for those without HE, the average was 5.4 type II astrocytes per 20 HPFs. At a cutoff of 5 or more type II astrocytes per 20 HPFs, sensitivity for HE was 85.7% and specificity was 68.6%. Alzheimer type II astrocytes were present in all cases of HE but were also present in a wide variety of patients without HE.",high,abstract,"The study confirms the previously observed association between hepatic encephalopathy and Alzheimer type II astrocytes, finding them present in all HE cases studied, which supports the findings from earlier uncontrolled case reports.",replication,1,1
3cb85ebeba7ac748b6dc7d0cb3c56da9,10.1371/journal.pone.0212479,A simulation environment for studying transcutaneous electrotactile stimulation,"Transcutaneous electrical nerve stimulation (TENS) allows the artificial excitation of nerve fibres by applying electric-current pulses through electrodes on the skin's surface. This work involves the development of a simulation environment that can be used for studying transcutaneous electrotactile stimulation and its dependence on electrode layout and excitation patterns. Using an eight-electrode array implementation, it is shown how nerves located at different depths and with different orientations respond to specific injected currents, allowing the replication of already reported experimental findings and the creation of new hypotheses about the tactile sensations associated with certain stimulation patterns. The simulation consists of a finite element model of a human finger used to calculate the distribution of the electric potential in the finger tissues neglecting capacitive effects, and a cable model to calculate the excitation/inhibition of action potentials in each nerve.",2019,Gloria Araiza-Illan; Heiko Stüber; Ken E. Friedl; Ian R. Summers; Angelika Peer,PLoS ONE,https://doi.org/10.1371/journal.pone.0212479,https://openalex.org/W2915451809,openalex,Araiza-Illan · 2019 · PLoS ONE,replication,both,phrase:replication of; no author-year cite | llm:allowing the replication of already reported experimental findings,high,single_original,low,W2915451809,,,,,,,,"@article{GloriaAraizaIllan_2019, title={A simulation environment for studying transcutaneous electrotactile stimulation}, author={Gloria Araiza-Illan and Heiko Stüber and Ken E. Friedl and Ian R. Summers and Angelika Peer}, journal={PLoS ONE}, year={2019}, doi={10.1371/journal.pone.0212479}, url={https://doi.org/10.1371/journal.pone.0212479}}",screen_disagreement,screen disagreement: gemini=no/high; openai=unclear/medium,low,,skipped,success,"This work involves the development of a simulation environment that can be used for studying transcutaneous electrotactile stimulation and its dependence on electrode layout and excitation patterns. Using an eight-electrode array implementation, it is shown how nerves located at different depths and with different orientations respond to specific injected currents, allowing the replication of already reported experimental findings and the creation of new hypotheses about the tactile sensations associated with certain stimulation patterns. The simulation consists of a finite element model of a human finger used to calculate the distribution of the electric potential in the finger tissues neglecting capacitive effects, and a cable model to calculate the excitation/inhibition of action potentials in each nerve.",high,abstract,"The abstract explicitly states the simulation 'allow[s] the replication of already reported experimental findings,' indicating the original findings were confirmed.",replication,1,1
58c754aab6d85a621da3a902ae3ff553,10.1101/651885,Dissecting the eQTL micro-architecture in <i>Caenorhabditis elegans</i>,"Abstract The study of expression quantitative trait loci (eQTL) using natural variation in inbred populations has yielded detailed information about the transcriptional regulation of complex traits. Studies on eQTL using recombinant inbred lines (RILs) led to insights on local and distant regulatory loci of transcript abundance. However, determining the underlying causal polymorphic genes or variants is difficult, but ultimately essential for the understanding of regulatory networks of complex traits. This requires insight into whether associated loci are single eQTL or a combination of closely linked eQTL, and how this QTL micro-architecture depends on the environment. We addressed these questions by mapping eQTL in N2 x CB4856 C. elegans RIL populations across three different environments (control, heat-stress, and recovery). To test for independent replication of the RIL eQTL, we used introgression lines (ILs). Both populations indicate that the overall heritability, number, and position of eQTL differed among environments. Across environments we were able to replicate 70% of the local- and 40% of the distant-eQTL using the ILs. Simulation models revealed that additive effects explain up to 60-93% of RIL/IL heritability across environments. Closely linked eQTL explained up to 40% of RIL/IL heritability in the control environment whereas only 7% in the heat-stress and recovery environments. In conclusion, we show that reproducibility of eQTL was higher for local vs. distant eQTL and that the environment affects the eQTL micro-architecture.",2019,Mark G. Sterken; R. Bevers; Rita Volkers; Joost A. G. Riksen; Jan E. Kammenga; Basten L. Snoek,bioRxiv (Cold Spring Harbor Laboratory),https://doi.org/10.1101/651885,https://openalex.org/W2947657386,openalex,Sterken · 2019 · bioRxiv (Cold Spring Harbor Laboratory),replication,both,"phrase:replication of; no author-year cite | llm:To test for independent replication of the RIL eQTL, we used introgression lines (ILs).",high,single_original,medium,W2947657386,,,,,,,,"@article{MarkGSterken_2019, title={Dissecting the eQTL micro-architecture in <i>Caenorhabditis elegans</i>}, author={Mark G. Sterken and R. Bevers and Rita Volkers and Joost A. G. Riksen and Jan E. Kammenga and Basten L. Snoek}, journal={bioRxiv (Cold Spring Harbor Laboratory)}, year={2019}, doi={10.1101/651885}, url={https://doi.org/10.1101/651885}}",screen_disagreement,screen disagreement: gemini=no/high; openai=yes/high,low,,skipped,success,"To test for independent replication of the RIL eQTL, we used introgression lines (ILs). Both populations indicate that the overall heritability, number, and position of eQTL differed among environments. Across environments we were able to replicate 70% of the local- and 40% of the distant-eQTL using the ILs. Simulation models revealed that additive effects explain up to 60-93% of RIL/IL heritability across environments. Closely linked eQTL explained up to 40% of RIL/IL heritability in the control environment whereas only 7% in the heat-stress and recovery environments. In conclusion, we show that reproducibility of eQTL was higher for local vs. distant eQTL and that the environment affects the eQTL micro-architecture.",high,abstract,"The authors explicitly state they successfully replicated a significant portion of the eQTLs (70% local, 40% distant) and confirmed the original study's core finding that the environment significantly influences eQTL architecture.",replication,1,1
bc0a83fa65d076e377d599075dbb6052,10.1037/xlm0000750,Sorting out the problem of inert knowledge: Category construction to promote spontaneous transfer.,"A fundamental goal in the study of human cognition is to understand the transfer of knowledge. This goes hand-in-hand with the translational goal of promoting such transfer via instructional techniques. Despite a rich history of research using the analogical problem-solving paradigm, no study activity has been found to produce a robust rate of successful spontaneous transfer-even when the test is immediate. We propose the category status hypothesis as an explanation of the difficulty of transfer and as motivation for a novel approach to promoting transfer. We report a set of experiments evaluating a category construction technique based on a sorting task. In Experiment 1a, we found category construction to be significantly more effective than the ""gold standard"" of schema abstraction through comparison of 2 analogous cases. In Experiment 1b, we explored a variation of the category construction technique that did not reliably differ in effectiveness from comparison-based schema abstraction-we also verified that both study tasks were superior to a baseline task of separate summarization of 2 cases. In Experiment 2, we conducted a replication of the initial design with higher power and confirmed the significant advantage for category construction over schema abstraction via comparison. In Experiment 3, we compared category construction to an information-consistent reading comprehension control to evaluate competing interpretations of the category construction advantage found in Experiments 1 and 2. We discuss theoretical and applied implications of these findings. (PsycInfo Database Record (c) 2020 APA, all rights reserved).",2019,Kenneth J. Kurtz; Garrett Honke,Journal of Experimental Psychology Learning Memory and Cognition,https://doi.org/10.1037/xlm0000750,https://openalex.org/W2963474718,openalex,Kurtz · 2019 · Journal of Experimental Psychology Learning Memory and Cognition,replication,both,"phrase:replication of; no author-year cite | llm:In Experiment 2, we conducted a replication of the initial design with higher power",high,single_original,high,W2963474718,,,,,,,,"@article{KennethJKurtz_2019, title={Sorting out the problem of inert knowledge: Category construction to promote spontaneous transfer.}, author={Kenneth J. Kurtz and Garrett Honke}, journal={Journal of Experimental Psychology Learning Memory and Cognition}, year={2019}, doi={10.1037/xlm0000750}, url={https://doi.org/10.1037/xlm0000750}}",screen_disagreement,screen disagreement: gemini=yes/high; openai=no/high,low,,skipped,success,"We report a set of experiments evaluating a category construction technique based on a sorting task. In Experiment 1a, we found category construction to be significantly more effective than the ""gold standard"" of schema abstraction through comparison of 2 analogous cases. In Experiment 2, we conducted a replication of the initial design with higher power and confirmed the significant advantage for category construction over schema abstraction via comparison.",high,abstract,"The abstract explicitly describes a replication (Experiment 2) and states that it ""confirmed the significant advantage,"" which directly indicates a successful replication of the original finding.",replication,1,1
ee0cc7d5635948139ca25c2779e5f827,10.1186/s42826-019-0012-2,"Comparative analysis of dose-dependent neurotoxic response to 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine in C57BL/6 N mice derived from three different sources","MPTP, 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine is commonly used to induce nigrostriatal defects to induce parkinsonism and/or parkinsonian syndrome, to replicate the lesions seen in Parkinson's disease (PD), with use in numerous PD models in mice. It has been suggested that various biological characteristics including strain could result in differing mortality rates, sensitivity to MPTP administration, and reproducibility of lesions in mice, but there is no evidence on the sensitivity of C57BL/6 mice from different origins to MPTP and its associated pathological lesions. In this study, we investigated the magnitude of the dose-dependent response to acute MPTP administration in C57BL/6NKorl mice and two commercialized C57BL/6 stocks derived from the United States and Japan. We measured biological features (body weight, temperature, and composition), nigrostriatal neurotoxic responses (dopamine levels, tyrosine hydroxylase enzymes, and protein carbonylation) and motor function. In results, the three different C57BL/6 stocks exhibited similar overall neurotoxic response and locomotor impairment which increased in a dose-dependent manner with acute MPTP administration (10 mg/kg, 20 mg/kg, and 30 mg/kg, all with external heat support), although some of these differences were not significant. In conclusion, this study provides scientific evidence that C57BL/6NKorl mice can be used as an alternative animal model for practical and targeted PD research.",2019,Dong-Joo Hwang; Ki-Chun Kwon; Hyunkeun Song; Kil‐Soo Kim; Young‐Suk Jung; Dae‐Youn Hwang; Joon‐Yong Cho,Laboratory Animal Research,https://doi.org/10.1186/s42826-019-0012-2,https://openalex.org/W2965689294,openalex,Hwang · 2019 · Laboratory Animal Research,replication,both,phrase:reproducibility of; no author-year cite | llm:investigated dose-dependent response to acute MPTP in C57BL/6NKorl and two commercial C57BL/6 stocks,high,single_original,medium,W2965689294,,,,,,,,"@article{DongJooHwang_2019, title={Comparative analysis of dose-dependent neurotoxic response to 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine in C57BL/6 N mice derived from three different sources}, author={Dong-Joo Hwang and Ki-Chun Kwon and Hyunkeun Song and Kil‐Soo Kim and Young‐Suk Jung and Dae‐Youn Hwang and Joon‐Yong Cho}, journal={Laboratory Animal Research}, year={2019}, doi={10.1186/s42826-019-0012-2}, url={https://doi.org/10.1186/s42826-019-0012-2}}",screen_disagreement,screen disagreement: gemini=no/high; openai=yes/high,low,,skipped,success,"In this study, we investigated the magnitude of the dose-dependent response to acute MPTP administration in C57BL/6NKorl mice and two commercialized C57BL/6 stocks derived from the United States and Japan. We measured biological features (body weight, temperature, and composition), nigrostriatal neurotoxic responses (dopamine levels, tyrosine hydroxylase enzymes, and protein carbonylation) and motor function. In results, the three different C57BL/6 stocks exhibited similar overall neurotoxic response and locomotor impairment which increased in a dose-dependent manner with acute MPTP administration (10 mg/kg, 20 mg/kg, and 30 mg/kg, all with external heat support), although some of these differences were not significant. In conclusion, this study provides scientific evidence that C57BL/6NKorl mice can be used as an alternative animal model for practical and targeted PD research.",high,abstract,"The abstract explicitly reports that the three C57BL/6 stocks showed similar, dose-dependent neurotoxic responses and locomotor impairment, which confirms the original MPTP-induced dopaminergic neurotoxicity finding.",replication,1,1
6f865cd80b876ef6ca876626ae7f9b96,10.1111/dmcn.14423,Standardized Infant NeuroDevelopmental Assessment developmental and socio‐emotional scales: reliability and predictive value in an at‐risk population,"AIM: To assess the reliability and predictive validity of the developmental and socio-emotional scales of the Standardized Infant NeuroDevelopmental Assessment (SINDA). METHOD: To assess reliability, two sets of three assessors forming eight assessor-pairs independently rated the developmental and socio-emotional scales of 60 infants. To evaluate predictive validity, 223 infants (gestational age 30wks [range 23-41wks]; 117 males, 106 females) attending a non-academic outpatient clinic were assessed by different assessors with SINDA's neurological, developmental, and socio-emotional scales. Atypical neurodevelopmental outcome at a corrected age of 24 months or older implied a Bayley Mental or Psychomotor Developmental Index score of less than 70 or neurological disorder (including cerebral palsy). Behavioural and emotional disorders were classified according to the International Classification of Diseases, 10th Revision. Predictive values were calculated from SINDA (2-12mo corrected age, median 7mo) and typical versus atypical outcome, and for intellectual disability only (Mental Developmental Index <70). RESULTS: Assessors highly agreed on the developmental and socio-emotional assessments (developmental scores: Spearman's rank correlation coefficient ρ=0.972; single socio-emotional behaviour items: Cohen's κ=0.783-0.896). At 24 months or older, 65 children had atypical outcome. Atypical neurological scores predicted atypical outcome (sensitivity 83%, specificity 96%); atypical developmental scores predicted intellectual disability (sensitivity 77%, specificity 92%). Atypical emotionality and atypical self-regulation were associated with behavioural and emotional disorders. INTERPRETATION: SINDA's three scales are reliable, and have a satisfactory predictive validity for atypical developmental outcome at 24 months or older in a non-academic outpatient setting. SINDA's developmental scale has promising predictive validity for intellectual disability. SINDA's socio-emotional scale is a tool for caregiver counselling. WHAT THIS PAPER ADDS: Standardized Infant NeuroDevelopmental Assessment (SINDA)'s developmental and socio-emotional scales have excellent interrater reliability. Replication of the satisfactory validity of SINDA's neurological scale for atypical outcome.",2019,Mijna Hadders‐Algra; Uta Tacke; Joachim Pietz; André Rupp; Heike Philippi,Developmental Medicine & Child Neurology,https://doi.org/10.1111/dmcn.14423,https://openalex.org/W2996568902,openalex,Hadders‐Algra · 2019 · Developmental Medicine & Child Neurology,replication,both,phrase:replication of; no author-year cite | llm:Replication of the satisfactory validity of SINDA's neurological scale for atypical outcome.,high,single_original,high,W2996568902,,,,,,,,"@article{MijnaHaddersAlgra_2019, title={Standardized Infant NeuroDevelopmental Assessment developmental and socio‐emotional scales: reliability and predictive value in an at‐risk population}, author={Mijna Hadders‐Algra and Uta Tacke and Joachim Pietz and André Rupp and Heike Philippi}, journal={Developmental Medicine & Child Neurology}, year={2019}, doi={10.1111/dmcn.14423}, url={https://doi.org/10.1111/dmcn.14423}}",screen_disagreement,screen disagreement: gemini=no/high; openai=yes/high,low,,skipped,success,"INTERPRETATION: SINDA's three scales are reliable, and have a satisfactory predictive validity for atypical developmental outcome at 24 months or older in a non-academic outpatient setting. SINDA's developmental scale has promising predictive validity for intellectual disability. SINDA's socio-emotional scale is a tool for caregiver counselling. WHAT THIS PAPER ADDS: Standardized Infant NeuroDevelopmental Assessment (SINDA)'s developmental and socio-emotional scales have excellent interrater reliability. Replication of the satisfactory validity of SINDA's neurological scale for atypical outcome.",high,abstract,"The abstract explicitly states the scales are reliable and have satisfactory predictive validity and explicitly notes replication of the neurological scale's satisfactory validity, which directly affirms the original findings.",replication,1,1
32a497c6b7cfd6f2fd2a8c0d53045afe,10.1037/xlm0000745,Missing the joke: Reduced rereading of garden-path jokes during mind-wandering.,"Mind-wandering (i.e., thoughts irrelevant to the current task) occurs frequently during reading. The current study examined whether mind-wandering was associated with reduced rereading when the reader read the so-called garden-path jokes. In a garden-path joke, the reader's initial interpretation is violated by the final punchline, and the violation creates a semantic incongruity that needs to be resolved (e.g., ""My girlfriend has read so many negative things about smoking. Therefore, she decided to quit reading.""). Rereading text prior to the punchline can help resolve the incongruity. In a main study and a preregistered replication, participants read jokes and nonfunny controls embedded in filler texts and responded to thought probes that assessed intentional and unintentional mind-wandering. Results were consistent across the two studies: When the reader was not mind-wandering, jokes elicited more rereading (from the punchline) than the nonfunny controls did, and had a recall advantage over the nonfunny controls. During mind-wandering, however, the additional eye movement processing and the recall advantage of jokes were generally reduced. These results show that mind-wandering is associated with reduced rereading, which is important for resolving higher level comprehension difficulties. (PsycInfo Database Record (c) 2020 APA, all rights reserved).",2019,Han Zhang; Chuyan Qu; Kevin F. Miller; Kai S. Cortina,Journal of Experimental Psychology Learning Memory and Cognition,https://doi.org/10.1037/xlm0000745,https://openalex.org/W2962906061,openalex,Zhang · 2019 · Journal of Experimental Psychology Learning Memory and Cognition,replication,both,phrase:preregistered replication; no author-year cite | llm:In a main study and a preregistered replication,high,single_original,high,W2962906061,,,,,,,,"@article{HanZhang_2019, title={Missing the joke: Reduced rereading of garden-path jokes during mind-wandering.}, author={Han Zhang and Chuyan Qu and Kevin F. Miller and Kai S. Cortina}, journal={Journal of Experimental Psychology Learning Memory and Cognition}, year={2019}, doi={10.1037/xlm0000745}, url={https://doi.org/10.1037/xlm0000745}}",screen_disagreement,screen disagreement: gemini=yes/high; openai=unclear/medium,low,,skipped,success,"In a main study and a preregistered replication, participants read jokes and nonfunny controls embedded in filler texts and responded to thought probes that assessed intentional and unintentional mind-wandering. Results were consistent across the two studies: When the reader was not mind-wandering, jokes elicited more rereading (from the punchline) than the nonfunny controls did, and had a recall advantage over the nonfunny controls. During mind-wandering, however, the additional eye movement processing and the recall advantage of jokes were generally reduced. These results show that mind-wandering is associated with reduced rereading, which is important for resolving higher level comprehension difficulties.",high,abstract,"The abstract explicitly states that results were consistent across the main and preregistered replication and describes the same pattern of effects (jokes eliciting more rereading and recall advantage when not mind-wandering, with reductions during mind-wandering), indicating the original finding was confirmed.",replication,1,1
e207d65c343dc34b6217bb74d421e1c0,10.1080/08985626.2019.1606288,The influence of small town context on access to external knowledge,"The relative lack of variety and density of people, companies and knowledge institutions in small towns compel companies to seek new knowledge beyond their location. However, there is only scant research explaining the local characteristics that influence companies’ ability to access external knowledge. In this article, the focus lies on the obstacles and opportunities that arise due to companies’ location in small towns and that emerge when they seek to access external knowledge sources. A multiple case study design with qualitative interview data from five multinational high-tech companies in small towns in the eastern part of Switzerland is used. Also, a theoretical replication of the case study by investigating two single domestic high-tech companies was conducted. The results show that a thin labour market, a lack of urban amenities and the availability of transportation connections to bigger cities are most important for accessing the knowledge of new employees, collaborating with universities and for attending workshops or conferences. On the whole, multinational companies in small towns face the same obstacles and opportunities as single domestic companies in small towns.",2019,Rahel Meili,Entrepreneurship and Regional Development,https://doi.org/10.1080/08985626.2019.1606288,https://openalex.org/W2943406006,openalex,Meili · 2019 · Entrepreneurship and Regional Development,replication,both,phrase:replication of; no author-year cite | llm:a theoretical replication of the case study,high,single_original,medium,W2943406006,,,,,,,,"@article{RahelMeili_2019, title={The influence of small town context on access to external knowledge}, author={Rahel Meili}, journal={Entrepreneurship and Regional Development}, year={2019}, doi={10.1080/08985626.2019.1606288}, url={https://doi.org/10.1080/08985626.2019.1606288}}",screen_disagreement,screen disagreement: gemini=no/high; openai=unclear/medium,low,,skipped,success,"A multiple case study design with qualitative interview data from five multinational high-tech companies in small towns in the eastern part of Switzerland is used. Also, a theoretical replication of the case study by investigating two single domestic high-tech companies was conducted. The results show that a thin labour market, a lack of urban amenities and the availability of transportation connections to bigger cities are most important for accessing the knowledge of new employees, collaborating with universities and for attending workshops or conferences. On the whole, multinational companies in small towns face the same obstacles and opportunities as single domestic companies in small towns.",high,abstract,"The abstract explicitly states a theoretical replication was conducted and reports that multinationals face the same obstacles and opportunities as single domestic companies, indicating the original findings were confirmed.",replication,1,1
e72a50baef6f175c866bdfd26cd49c72,10.1038/s41598-019-49585-0,Exploitation of thermal gradients for investigation of irradiation temperature effects with charged particles,"The effects of radiation damage on materials are strongly dependant on temperature, making it arguably the most significant parameter of concern in nuclear engineering. Owing to the challenges and expense of irradiating and testing materials, material property data is often limited to few irradiation conditions and material variants. A new technique has been developed which enables the investigation of radiation damage of samples subject to a thermal gradient, whereby a wealth of data over a range of irradiation temperatures is produced from a single irradiation experiment. The results produced are practically inaccessible by use of multiple conventional isothermal irradiations. We present a precipitation-hardened copper alloy (CuCrZr) case-study irradiated with a linear temperature gradient between 125 and 440 °C. Subsequent micro-scale post irradiation characterisation (nanoindentation, transmission electron microscopy and atom probe tomography) highlight the capability to observe mechanical and microstructural changes over a wide range of irradiation temperatures. We observed irradiation-softening in CuCrZr that did not occur due to irradiation-enhanced aging of the Cr-precipitates. Excellent reproducibility of the new technique was demonstrated and replicated irradiation-hardening data from several isothermal neutron irradiation studies. Our new technique provides this data at a fraction of the time and cost required by conventional irradiation experiments.",2019,Chris Hardie; Andrew London; Joven Lim; R. Bamber; Tonči Tadić; Marin Vukšić; Stjepko Fazinić,Scientific Reports,https://doi.org/10.1038/s41598-019-49585-0,https://openalex.org/W2974623191,openalex,Hardie · 2019 · Scientific Reports,replication,both,phrase:reproducibility of; no author-year cite | llm:replicated irradiation-hardening data from several isothermal neutron irradiation studies.,high,single_original,high,W2974623191,,,,,,,,"@article{ChrisHardie_2019, title={Exploitation of thermal gradients for investigation of irradiation temperature effects with charged particles}, author={Chris Hardie and Andrew London and Joven Lim and R. Bamber and Tonči Tadić and Marin Vukšić and Stjepko Fazinić}, journal={Scientific Reports}, year={2019}, doi={10.1038/s41598-019-49585-0}, url={https://doi.org/10.1038/s41598-019-49585-0}}",screen_disagreement,screen disagreement: gemini=no/high; openai=yes/high,low,,skipped,success,"Subsequent micro-scale post irradiation characterisation (nanoindentation, transmission electron microscopy and atom probe tomography) highlight the capability to observe mechanical and microstructural changes over a wide range of irradiation temperatures. We observed irradiation-softening in CuCrZr that did not occur due to irradiation-enhanced aging of the Cr-precipitates. Excellent reproducibility of the new technique was demonstrated and replicated irradiation-hardening data from several isothermal neutron irradiation studies. Our new technique provides this data at a fraction of the time and cost required by conventional irradiation experiments.",high,abstract,"The authors explicitly state that their new technique successfully replicated irradiation-hardening data from several previous isothermal neutron irradiation studies, confirming the validity of their results.",replication,1,1
