pair_id,group,variant,src_rung,n_targets,matched,outcome,reason,phrase,qsrc,study_status,rtc,key,match_certain,err,prompt_len
3c694197cb602f74abb8e399ffde9c2f,adj,V0,pre,1,True,failed,The abstract explicitly says the reported early-adolescent findings did not replicate the original study.,"These findings did not replicate those of the original study (Mahon & Yarcheski, 1988).",abstract,completed,,,False,,19670
3c694197cb602f74abb8e399ffde9c2f,adj,V1,pre,1,True,mixed,"The early-adolescent result is explicitly described as not replicating the original, while the middle- and late-adolescent results show the opposite pattern and imply agreement with the original.","For early adolescents, the results indicated that the characterological set of variables explained somewhat more variance in loneliness than did the situational set of variables. These findings did not replicate those of the original study (Mahon & Yarcheski, 1988). For middle and late adolescents, the results indicated that the situational set of variables explained more variance in loneliness than did the characterological set.",abstract,completed,,,False,,21237
3c694197cb602f74abb8e399ffde9c2f,adj,V1b,pre,1,True,failed,The authors explicitly state that the reported early-adolescent result did not replicate Mahon and Yarcheski (1988).,"For early adolescents, the results indicated that the characterological set of variables explained somewhat more variance in loneliness than did the situational set of variables. These findings did not replicate those of the original study (Mahon & Yarcheski, 1988).",abstract,completed,,,False,,20972
3c694197cb602f74abb8e399ffde9c2f,adj,V0r,pre,1,True,failed,The abstract explicitly says the reported early-adolescent findings did not replicate Mahon and Yarcheski (1988).,"These findings did not replicate those of the original study (Mahon & Yarcheski, 1988).",abstract,completed,,,False,,19671
261a28aeb65414af7928ff8d6440482f,adj,V0,pre,1,True,cannot_be_determined,The supplied text identifies the work as a replication of Prutting et al. but provides no results or verdict about whether its finding held.,,,completed,,@prutting1978,True,,20911
261a28aeb65414af7928ff8d6440482f,adj,V1,pre,1,True,cannot_be_determined,The supplied text identifies the replication target but gives no result or verdict about whether its finding held.,,,completed,,@prutting1978,True,,22478
261a28aeb65414af7928ff8d6440482f,adj,V1b,pre,1,True,cannot_be_determined,The supplied text identifies the work as a replication of Prutting et al. but provides no result or verdict about whether their finding held.,,,completed,,@prutting1978,True,,22213
261a28aeb65414af7928ff8d6440482f,adj,V0r,pre,1,True,cannot_be_determined,The supplied text identifies the work as a replication of Prutting et al. but gives no results or conclusion about whether the finding held.,,,completed,,@prutting1978,True,,20912
ab207b2746f4677a43ce4c89501b4af6,adj,V0,pre,1,True,cannot_be_determined,The abstract reports a revised two-factor scale but does not explicitly compare its findings with the original study or state whether the original finding held.,,,completed,,@flessner2007,True,,23345
ab207b2746f4677a43ce4c89501b4af6,adj,V1,pre,1,True,cannot_be_determined,The abstract reports a revised factor structure but does not explicitly compare it with the original study’s finding or state whether that finding was replicated.,,,completed,,@flessner2007,True,,24912
ab207b2746f4677a43ce4c89501b4af6,adj,V1b,pre,1,True,failed,"The reported factor structure and call for a revised scale indicate that the original MIST-A structure was not supported, rather than merely reporting a compatible result.","EFA eigenvalues and visual inspection of our scree plot revealed a two-factor solution. Factor structure coefficients and internal consistencies suggested a 13-item scale with an 8-item ""Intention"" scale and a 5-item ""Emotion"" scale. Both scales displayed good construct and discriminant validity. These findings indicate the need for a revised scale that provides a more refined assessment of pulling phenomenology that can facilitate future treatment advances.",abstract,completed,,@flessner2007,True,,24647
ab207b2746f4677a43ce4c89501b4af6,adj,V0r,pre,1,True,cannot_be_determined,The abstract reports a revised factor structure but does not state how that result compares with the original study’s finding.,,,completed,,@flessner2007,True,,23346
7ef61314b188e4e292d1dfe3ddfba145,adj,V0,pre,0,False,,,,,,,,,,20082
7ef61314b188e4e292d1dfe3ddfba145,adj,V1,pre,1,True,successful,"The paper reports greater responding when the response produced light escape, supporting the operant-conditioning finding identified by its replication target.",The response rate of the light-escape contingent group was greater than that of their yoked pairs.,abstract,completed,,@lee1963,True,,21649
7ef61314b188e4e292d1dfe3ddfba145,adj,V1b,pre,0,False,,,,,,,,,,21384
7ef61314b188e4e292d1dfe3ddfba145,adj,V0r,pre,1,True,cannot_be_determined,"The abstract reports higher responding in the contingent group, but does not state Lee's original finding or explicitly compare this result with it.",,,completed,,@lee1963,True,,20083
d6e8b51cd5048db4fd608a8bf0ea1a6a,adj,V0,pre,5,False,,,,,,,,,,26992
d6e8b51cd5048db4fd608a8bf0ea1a6a,adj,V1,pre,2,False,,,,,,,,,,28559
d6e8b51cd5048db4fd608a8bf0ea1a6a,adj,V1b,pre,2,False,,,,,,,,,,28294
