tier,doi_r,screen_class,screen_confident,abstract_source,abstract_chars,title_r,mo_result,mo_type,mo_year,mo_field,screen_evidence,screen_reasoning
1,10.3758/s13414-024-02955-x,both,yes,epmc,1985,Contextual control demands determine whether stability and flexibility trade off against each other,success,close experiment,2024,social sciences,,
1,10.1001/archinte.168.16.1791,replication,yes,oa,1846,Physical Activity and the Association of Common FTO Gene Variants With Body Mass Index and Obesity,success,close extension,2008,biological sciences,,
1,10.1001/archneurol.2009.101,replication,yes,oa,1561,Implication of Sex and SORL1 Variants in Italian Patients With Alzheimer Disease,inconclusive,close extension,2009,biological sciences,,
1,10.1001/archneurol.2010.350,replication,yes,oa,1775,Association of TMEM106B Gene Polymorphism With Age at Onset in Granulin Mutation Carriers and Plasma Granulin Protein Levels,failure,close extension,2011,biological sciences,,
1,10.1001/archneurol.2011.646,replication,yes,oa,1758,A Comprehensive Genetic Association Study of Alzheimer Disease in African Americans,failure,close extension,2011,biological sciences,,
1,10.1001/archophthalmol.2010.349,replication,yes,oa,1732,An Investigation Into LOXL1 Variants in Black South African Individuals With Exfoliation Syndrome,inconclusive,close extension,2011,biological sciences,,
1,10.1002/bdm.1837,replication,yes,oa,1037,Social Context and the Dynamics of Cooperative Choice,success,close extension,2015,social sciences,,
1,10.1002/hep.28322,replication,yes,oa,1806,DEPDC5 variants increase fibrosis progression in Europeans with chronic hepatitis C virus infection,failure,close extension,2016,biological sciences,,
1,10.1002/hep.31314,replication,yes,oa,1586,Estrogen Signaling and Portopulmonary Hypertension: The Pulmonary Vascular Complications of Liver Disease Study (PVCLD2),success,close extension,2021,biological sciences,,
1,10.1002/humu.20989,replication,yes,oa,539,No association between<i>CALHM1</i>variation and risk of Alzheimer disease,failure,direct,2009,biological sciences,,
1,10.1002/ijc.23471,replication,yes,oa,1760,Chromosome 8q24 markers: Risk of early‐onset and familial prostate cancer,inconclusive,close extension,2008,biological sciences,,
1,10.1002/mgg3.290,replication,yes,oa,2252,"Identification and characterization of variants and a novel 4 bp deletion in the regulatory region of <i><scp>SIX</scp>6</i>, a risk factor for primary open‐angle glaucoma",inconclusive,close extension,2017,biological sciences,,
1,10.1007/s10899-009-9150-z,replication,yes,epmc,1600,Impact of Mode of Display and Message Content of Responsible Gambling Signs for Electronic Gaming Machines on Regular Gamblers,success,close extension,2010,social sciences,,
1,10.1007/s10964-010-9530-9,replication,yes,epmc,1475,The Five Cs Model of Positive Youth Development: A Longitudinal Analysis of Confirmatory Factor Structure and Measurement Invariance,inconclusive,close extension,2010,social sciences,,
1,10.1007/s11033-013-2830-x,replication,yes,epmc,1298,Age-dependent association of KIBRA gene polymorphism with Alzheimer’s disease in Han Chinese,inconclusive,close extension,2013,biological sciences,,
1,10.1007/s11136-013-0387-8,replication,yes,epmc,1769,Using the EORTC-QLQ-C30 in clinical practice for patient management: identifying scores requiring a clinician’s attention,success,close extension,2013,biological sciences,,
1,10.1007/s11136-014-0629-4,replication,yes,epmc,1597,"Cancer patients’ function, symptoms and supportive care needs: a latent class analysis across cultures",success,close extension,2015,biological sciences,,
1,10.1007/s11136-021-03013-x,replication,yes,epmc,1646,"Quality of life in adults with autism spectrum disorder: influence of age, sex, and a controlled, randomized mindfulness-based stress reduction pilot intervention",success,close extension,2022,social sciences,,
1,10.1007/s11896-019-09351-4,replication,yes,epmc,1470,Mindfulness Training Reduces PTSD Symptoms and Improves Stress-Related Health Outcomes in Police Officers,inconclusive,close extension,2021,social sciences,,
1,10.1007/s12016-025-09102-w,replication,yes,epmc,1279,The Genomics/Genetics of Primary Biliary Cholangitis: The Case for a Functional SNP rs10893900 in ETS1/FLI1 and Review of the Literature,success,direct,2025,biological sciences,,
1,10.1007/s12017-009-8068-z,replication,yes,epmc,1599,No Association Between Polymorphisms of Neuronal Oxide Synthase 1 Gene (NOS1) and Schizophrenia in a Japanese Population,failure,close extension,2009,biological sciences,,
1,10.1007/s12110-002-1022-5,replication,yes,epmc,1167,Matrilateral biases in the investment of aunts and uncles,success,close extension,2002,social sciences,,
1,10.1007/s12671-017-0771-5,replication,yes,epmc,1791,Mindfulness and Psychological Health Outcomes: a Latent Profile Analysis Among Military Personnel and College Students,success,close extension,2018,social sciences,,
1,10.1007/s13365-018-0625-5,replication,yes,epmc,2065,No reliable gene expression biomarkers of current or impending neurocognitive impairment in peripheral blood monocytes of persons living with HIV,failure,direct,2018,biological sciences,,
1,10.1007/s40264-018-00784-0,replication,yes,epmc,3811,An Implementation and Visualization of the Tree-Based Scan Statistic for Safety Event Monitoring in Longitudinal Electronic Health Data,inconclusive,conceptual,2019,biological sciences,,
1,10.1007/s40616-018-0101-6,replication,yes,epmc,686,Further Evaluation of the Stimulus Pairing Observation Procedure with Children with Autism Spectrum Disorder,success,close extension,2019,social sciences,,
1,10.1007/s40617-018-0247-7,replication,yes,epmc,658,Incorporating Interview-Informed Functional Analyses into Practice,success,close extension,2018,social sciences,,
1,10.1007/s40617-018-0265-5,replication,yes,epmc,1078,"Individualizing Intervention to Teach Joint Attention, Requesting, and Social Referencing to Children with Autism",inconclusive,close experiment,2019,social sciences,,
1,10.1007/s40617-021-00665-6,replication,yes,epmc,1372,On the Reliability and Treatment Utility of the Practical Functional Assessment Process,success,close extension,2022,social sciences,,
1,10.1016/0002-9149(86)90952-5,replication,yes,epmc,1232,Validation of a computerized QRS criterion for estimating myocardial infarction size and correlation with quantitative morphologic measurements,success,direct,1986,biological sciences,,
1,10.1016/0005-7967(93)90038-v,replication,yes,epmc,604,Attentional bias and spider phobia: Conceptual and clinical issues,success,close experiment,1993,social sciences,,
1,10.1016/0006-3223(93)90272-f,replication,yes,epmc,1495,A comparison of the behavioral effects of oral versus intravenous mCPP administration in OCD patients and the effect of metergoline prior to IV mCPP,failure,direct,1993,biological sciences,,
1,10.1016/0028-3932(89)90102-4,replication,yes,epmc,632,Hand preferences of rhesus monkeys on differing tasks,success,direct,1989,social sciences,,
1,10.1016/0165-0327(79)90004-1,replication,yes,epmc,541,Factor patterns in depression,success,close extension,1979,biological sciences,,
1,10.1016/0165-0327(81)90040-9,replication,yes,epmc,1059,Life events and depression,success,close extension,1981,biological sciences,,
1,10.1016/0301-5629(89)90069-0,replication,yes,epmc,823,Sister chromatid exchanges in Chinese hamster ovary cells exposed to high intensity pulsed ultrasound: Inability to confirm previous positive results,failure,direct,1989,biological sciences,,
1,10.1016/0306-4603(93)90041-7,replication,yes,epmc,830,Alcohol and social anxiety in women and men: Pharmacological and expectancy effects,inconclusive,close experiment,1993,social sciences,,
1,10.1016/0376-8716(84)90046-2,replication,yes,epmc,1155,Brief Minnesota Multiphasic Personality Inventory scales to screen for substance abuse,inconclusive,close experiment,1984,biological sciences,,
1,10.1016/1054-139x(94)90537-1,replication,yes,epmc,1293,Stability of the relationships between anabolic steroid use and multiple substance use among adolescents,success,direct,1994,biological sciences,,
1,10.1016/j.ajhg.2009.04.006,replication,yes,epmc,1582,Genome-wide Association Analysis Identifies PDE4D as an Asthma-Susceptibility Gene,success,close experiment,2009,biological sciences,,
1,10.1016/j.amjcard.2019.03.017,replication,yes,epmc,1705,Serum Metabolomics and Incidence of Atrial Fibrillation (from the Atherosclerosis Risk in Communities Study),success,close extension,2019,biological sciences,,
1,10.1016/j.anai.2012.12.019,replication,yes,epmc,1061,Influence of β2-adrenergic receptor polymorphism on methacholine hyperresponsiveness in asthmatic patients,success,close extension,2013,biological sciences,,
1,10.1016/j.appet.2013.10.005,replication,yes,epmc,1306,"Effects of restriction on children’s intake differ by child temperament, food reinforcement, and parent’s chronic use of restriction",success,direct,2013,social sciences,,
1,10.1016/j.bbrc.2015.02.151,replication,yes,epmc,1293,Tumor promotion by exposure to radiofrequency electromagnetic fields below exposure limits for humans,success,close experiment,2015,biological sciences,,
1,10.1016/j.bcmd.2009.10.001,replication,yes,epmc,1771,A common SNP near BMP2 is associated with severity of the iron burden in HFE p.C282Y homozygous patients: A follow-up study,inconclusive,close experiment,2010,biological sciences,,
1,10.1016/j.beproc.2015.11.010,replication,yes,epmc,1505,"Can old-world and new-world monkeys judge spatial above/below relations to be the same or different? Some of them, but not all of them",failure,close extension,2015,social sciences,,
1,10.1016/j.beproc.2020.104124,replication,yes,epmc,1529,Contribution of alcohol- and cigarette-related cues to concurrent reinforcer choice in humans,success,conceptual,2020,social sciences,,
1,10.1016/j.biopsych.2003.10.008,replication,yes,epmc,1444,Infection with herpes simplex virus type 1 is associated with cognitive deficits in bipolar disorder,success,close extension,2004,biological sciences,,
1,10.1016/j.biopsycho.2012.06.010,replication,yes,epmc,1044,Should it matter when we record? Time of year and time of day as factors influencing frontal EEG asymmetry,failure,close extension,2012,social sciences,,
1,10.1016/j.bodyim.2018.12.008,replication,yes,epmc,1419,Anti-doping rule violations in sport: The attractive leniency effect and attributions of guilt and punishment,failure,direct or close,2018,social sciences,,
1,10.1016/j.bone.2012.06.028,replication,yes,epmc,1985,Genetic association study of UCMA/GRP and OPTN genes (PDB6 locus) with Paget's disease of bone,success,close extension,2012,biological sciences,,
1,10.1016/j.bpsc.2024.06.004,replication,yes,epmc,1620,"Peak Alpha Frequency in Schizophrenia, Bipolar Disorder, and Healthy Volunteers: Associations With Visual Information Processing and Cognition",success,close extension,2024,biological sciences,,
1,10.1016/j.brainres.2008.09.084,replication,yes,epmc,1405,Corticolimbic mechanisms in the control of trial and error learning,success,close extension,2009,biological sciences,,
1,10.1016/j.brat.2007.11.001,replication,yes,epmc,1329,"Cognitive confidence in obsessive-compulsive disorder: Distrusting perception, attention and memory",success,close extension,2008,social sciences,,
1,10.1016/j.chiabu.2022.105925,replication,yes,epmc,1712,Resilience during times of enduring challenge: Brazilian Child Protection Professionals' resilience and psychological distress one year into the COVID-19 pandemic,success,close extension,2022,social sciences,,
1,10.1016/j.cogdev.2010.02.001,replication,yes,epmc,1035,Human-centeredness is not a universal feature of young children's reasoning: Culture and experience matter when reasoning about biological entities,success,close extension,2010,social sciences,,
1,10.1016/j.cognition.2013.11.010,replication,yes,epmc,1500,"""Piensa"" twice: On the foreign language effect in decision making",success,close,2014,social sciences,,
1,10.1016/j.cognition.2015.01.002,replication,yes,epmc,1317,"The role of similarity, sound and awareness in the appreciation of visual artwork via motor simulation",failure,direct,2015,social sciences,,
1,10.1016/j.cognition.2017.03.008,replication,yes,epmc,1609,‘To the victor go the spoils’: Infants expect resources to align with dominance structures,success,close extension,2017,social sciences,,
1,10.1016/j.cognition.2019.04.010,replication,yes,epmc,1561,"Multitasking behavior and its related constructs: Executive functions, working memory capacity, relational integration, and divided attention",success,direct,2019,social sciences,,
1,10.1016/j.cognition.2020.104339,replication,yes,epmc,1635,Retinotopic adaptation reveals distinct categories of causal perception,success,direct,2020,social sciences,,
1,10.1016/j.cortex.2018.01.001,replication,yes,epmc,1778,"Belief, delusion, hypnosis, and the right dorsolateral prefrontal cortex: A transcranial magnetic stimulation study",failure,direct or close,2018,biological sciences,,
1,10.1016/j.cortex.2019.02.025,replication,yes,epmc,1771,Double-blind study of visual imagery in grapheme-color synesthesia,success,close experiment,2019,social sciences,,
1,10.1016/j.cortex.2022.02.006,replication,yes,epmc,1509,No evidence for embodiment: The motor system is not needed to keep action verbs in working memory,failure,direct,2022,social sciences,,
1,10.1016/j.drugalcdep.2009.08.015,replication,yes,epmc,1482,"Test of association between GABRA2 (SNP rs279871) and adolescent conduct/alcohol use disorders utilizing a sample of clinic referred youth with serious substance and conduct problems, controls and available first degree relatives",inconclusive,close extension,2010,biological sciences,,
1,10.1016/j.drugalcdep.2009.10.017,replication,yes,epmc,1865,Naltrexone and combined behavioral intervention effects on trajectories of drinking in the COMBINE study,success,close extension,2010,biological sciences,,
1,10.1016/j.drugalcdep.2012.08.010,replication,yes,epmc,1451,The natural history of efforts to stop smoking: A prospective cohort study,success,close experiment,2013,biological sciences,,
